Datetime,Open,High,Low,Close,Volume
1983-10-24,2941.0,2941.0,2914.0,2941.0,53288.0
1983-10-25,2925.0,2941.0,2903.0,2941.0,6067.0
1983-10-26,2897.0,2930.0,2897.0,2914.0,2659.0
1983-10-27,2919.0,2919.0,2897.0,2919.0,6219.0
1983-10-28,2936.0,2941.0,2919.0,2925.0,3957.0
1983-10-29,2930.0,2941.0,2897.0,2897.0,4300.0
1983-10-31,2903.0,2941.0,2903.0,2941.0,3766.0
1983-11-01,2969.0,2985.0,2947.0,2952.0,9467.0
1983-11-02,2952.0,2952.0,2952.0,2952.0,0.0
1983-11-03,2947.0,2969.0,2947.0,2952.0,16969.0
1983-11-04,2947.0,2947.0,2925.0,2925.0,2587.0
1983-11-05,2919.0,2919.0,2859.0,2859.0,597.0
1983-11-07,2859.0,2914.0,2859.0,2903.0,4045.0
1983-11-08,2908.0,2908.0,2820.0,2820.0,1942.0
1983-11-09,2837.0,2859.0,2831.0,2848.0,3185.0
1983-11-10,2837.0,2936.0,2837.0,2914.0,3201.0
1983-11-11,2941.0,2941.0,2908.0,2941.0,7429.0
1983-11-12,2886.0,2886.0,2886.0,2886.0,668.0
1983-11-14,2881.0,2881.0,2864.0,2864.0,1178.0
1983-11-15,2864.0,2864.0,2848.0,2859.0,1465.0
1983-11-16,2914.0,2969.0,2914.0,2919.0,4889.0
1983-11-17,2914.0,2919.0,2914.0,2914.0,2739.0
1983-11-18,2875.0,2903.0,2875.0,2903.0,692.0
1983-11-19,2903.0,2903.0,2903.0,2903.0,2460.0
1983-11-21,2859.0,2886.0,2859.0,2859.0,2261.0
1983-11-22,2875.0,2958.0,2875.0,2958.0,4530.0
1983-11-23,2886.0,2886.0,2886.0,2886.0,1911.0
1983-11-24,2886.0,2886.0,2875.0,2886.0,7071.0
1983-11-25,2941.0,2941.0,2892.0,2892.0,5805.0
1983-11-26,2864.0,2908.0,2864.0,2908.0,453.0
1983-11-28,2886.0,2908.0,2870.0,2908.0,1696.0
1983-11-29,2908.0,2908.0,2886.0,2908.0,4077.0
1983-11-30,2886.0,2886.0,2870.0,2886.0,6665.0
1983-12-01,2859.0,2886.0,2831.0,2881.0,3240.0
1983-12-02,2903.0,2903.0,2870.0,2870.0,2173.0
1983-12-03,2859.0,2859.0,2842.0,2859.0,3105.0
1983-12-05,2848.0,2859.0,2831.0,2842.0,4992.0
1983-12-06,2842.0,2859.0,2837.0,2837.0,172.0
1983-12-07,2842.0,2842.0,2820.0,2820.0,3686.0
1983-12-08,2831.0,2853.0,2831.0,2853.0,2755.0
1983-12-09,2875.0,2875.0,2859.0,2859.0,3447.0
1983-12-10,2859.0,2914.0,2859.0,2914.0,1592.0
1983-12-12,2875.0,2914.0,2875.0,2881.0,7867.0
1983-12-13,2870.0,2941.0,2870.0,2941.0,14293.0
1983-12-14,2914.0,2941.0,2897.0,2914.0,6067.0
1983-12-15,2908.0,2925.0,2908.0,2925.0,2237.0
1983-12-16,2925.0,2941.0,2925.0,2941.0,5980.0
1983-12-17,2941.0,2952.0,2941.0,2947.0,6808.0
1983-12-19,2947.0,2947.0,2914.0,2941.0,4037.0
1983-12-20,2941.0,2941.0,2859.0,2859.0,2333.0
1983-12-21,2859.0,2859.0,2809.0,2809.0,4284.0
1983-12-22,2831.0,2859.0,2820.0,2859.0,5255.0
1983-12-23,2859.0,2897.0,2859.0,2886.0,7055.0
1983-12-24,2892.0,2903.0,2886.0,2886.0,8050.0
1984-01-04,2776.0,2776.0,2776.0,2776.0,55.0
1984-01-05,2705.0,2721.0,2705.0,2721.0,151.0
1984-01-06,2705.0,2710.0,2694.0,2710.0,764.0
1984-01-07,2705.0,2705.0,2694.0,2694.0,159.0
1984-01-09,2721.0,2727.0,2716.0,2727.0,2325.0
1984-01-10,2727.0,2727.0,2694.0,2727.0,3097.0
1984-01-11,2721.0,2776.0,2699.0,2765.0,4769.0
1984-01-12,2804.0,2853.0,2793.0,2793.0,13473.0
1984-01-13,2804.0,2804.0,2754.0,2754.0,4483.0
1984-01-14,2749.0,2754.0,2738.0,2738.0,3336.0
1984-01-16,2754.0,2776.0,2754.0,2765.0,6290.0
1984-01-17,2765.0,2765.0,2721.0,2721.0,2436.0
1984-01-18,2721.0,2743.0,2716.0,2727.0,2675.0
1984-01-19,2738.0,2776.0,2727.0,2738.0,4968.0
1984-01-20,2732.0,2754.0,2732.0,2743.0,5558.0
1984-01-21,2743.0,2743.0,2743.0,2743.0,2508.0
1984-01-23,2727.0,2776.0,2705.0,2776.0,6657.0
1984-01-24,2771.0,2793.0,2743.0,2749.0,13752.0
1984-01-25,2760.0,2831.0,2760.0,2782.0,12685.0
1984-01-26,2809.0,2908.0,2809.0,2831.0,31891.0
1984-01-27,2842.0,2853.0,2804.0,2826.0,9252.0
1984-01-28,2837.0,2859.0,2831.0,2859.0,13592.0
1984-01-30,2859.0,2864.0,2831.0,2842.0,15679.0
1984-01-31,2859.0,2941.0,2859.0,2897.0,23172.0
1984-02-01,2886.0,2958.0,2864.0,2919.0,28857.0
1984-02-02,2919.0,3079.0,2903.0,3035.0,75632.0
1984-02-03,3051.0,3051.0,2914.0,2914.0,32218.0
1984-02-04,2908.0,2980.0,2908.0,2941.0,8305.0
1984-02-06,2996.0,3101.0,2969.0,2996.0,37171.0
1984-02-07,3024.0,3106.0,2991.0,2996.0,33675.0
1984-02-08,2996.0,3024.0,2969.0,3024.0,22678.0
1984-02-09,3024.0,3024.0,2914.0,2941.0,23020.0
1984-02-10,2969.0,2985.0,2941.0,2947.0,6155.0
1984-02-11,2996.0,3079.0,2996.0,3057.0,11817.0
1984-02-13,3112.0,3332.0,3112.0,3216.0,43239.0
1984-02-14,3277.0,3299.0,3161.0,3161.0,37728.0
1984-02-15,3161.0,3167.0,3112.0,3161.0,8066.0
1984-02-16,3189.0,3266.0,3134.0,3161.0,31796.0
1984-02-17,3156.0,3161.0,3106.0,3117.0,11020.0
1984-02-18,3123.0,3134.0,3101.0,3117.0,20178.0
1984-02-20,3134.0,3178.0,3029.0,3035.0,17430.0
1984-02-21,3051.0,3079.0,3002.0,3024.0,10511.0
1984-02-22,3057.0,3068.0,3024.0,3024.0,6497.0
1984-02-23,3079.0,3084.0,3040.0,3079.0,7198.0
1984-02-24,3106.0,3134.0,3057.0,3134.0,9284.0
1984-02-25,3145.0,3172.0,3084.0,3128.0,5462.0
1984-02-27,3139.0,3139.0,2859.0,2914.0,22025.0
1984-02-28,2897.0,2897.0,2831.0,2886.0,10351.0
1984-02-29,2859.0,2886.0,2859.0,2886.0,8074.0
1984-03-02,2886.0,2886.0,2859.0,2859.0,3973.0
1984-03-03,2853.0,2853.0,2831.0,2853.0,1759.0
1984-03-05,2859.0,2859.0,2798.0,2848.0,1544.0
1984-03-06,2842.0,2842.0,2809.0,2809.0,2460.0
1984-03-07,2782.0,2782.0,2749.0,2749.0,2508.0
1984-03-08,2749.0,2765.0,2705.0,2721.0,4825.0
1984-03-09,2710.0,2721.0,2655.0,2721.0,5207.0
1984-03-12,2716.0,2721.0,2666.0,2666.0,2436.0
1984-03-13,2639.0,2639.0,2611.0,2617.0,6266.0
1984-03-14,2622.0,2661.0,2611.0,2639.0,5526.0
1984-03-15,2666.0,2694.0,2661.0,2694.0,1369.0
1984-03-16,2710.0,2743.0,2710.0,2721.0,5605.0
1984-03-17,2721.0,2721.0,2694.0,2705.0,5167.0
1984-03-19,2694.0,2705.0,2677.0,2694.0,3129.0
1984-03-20,2694.0,2716.0,2688.0,2694.0,3527.0
1984-03-21,2694.0,2721.0,2694.0,2694.0,4459.0
1984-03-22,2694.0,2694.0,2688.0,2688.0,2508.0
1984-03-23,2672.0,2672.0,2639.0,2644.0,3320.0
1984-03-24,2655.0,2666.0,2655.0,2666.0,2365.0
1984-03-26,2710.0,2754.0,2710.0,2716.0,7477.0
1984-03-27,2743.0,2749.0,2716.0,2716.0,13369.0
1984-03-28,2716.0,2716.0,2661.0,2666.0,6298.0
1984-03-29,2683.0,2694.0,2677.0,2677.0,6649.0
1984-03-30,2677.0,2677.0,2655.0,2655.0,5000.0
1984-03-31,2688.0,2688.0,2639.0,2639.0,2118.0
1984-04-02,2639.0,2721.0,2639.0,2721.0,23841.0
1984-04-03,2721.0,2732.0,2699.0,2732.0,6370.0
1984-04-04,2694.0,2732.0,2694.0,2699.0,2229.0
1984-04-06,2694.0,2853.0,2694.0,2760.0,17940.0
1984-04-07,2776.0,2798.0,2760.0,2760.0,5693.0
1984-04-09,2749.0,2749.0,2672.0,2672.0,3822.0
1984-04-10,2694.0,2721.0,2655.0,2655.0,3392.0
1984-04-11,2754.0,2776.0,2699.0,2699.0,9587.0
1984-04-12,2639.0,2672.0,2639.0,2672.0,12358.0
1984-04-13,2639.0,2639.0,2617.0,2639.0,3511.0
1984-04-14,2644.0,2672.0,2639.0,2666.0,4929.0
1984-04-16,2666.0,2666.0,2584.0,2650.0,8512.0
1984-04-17,2694.0,2694.0,2611.0,2639.0,2603.0
1984-04-18,2666.0,2694.0,2628.0,2628.0,4204.0
1984-04-19,2639.0,2650.0,2589.0,2639.0,4252.0
1984-04-20,2639.0,2639.0,2600.0,2600.0,2205.0
1984-04-21,2600.0,2611.0,2600.0,2611.0,1759.0
1984-04-23,2584.0,2589.0,2567.0,2589.0,2372.0
1984-04-24,2578.0,2595.0,2556.0,2573.0,10320.0
1984-04-25,2584.0,2611.0,2562.0,2562.0,3933.0
1984-04-26,2540.0,2540.0,2529.0,2540.0,4244.0
1984-04-27,2529.0,2694.0,2518.0,2694.0,3065.0
1984-04-28,2633.0,2633.0,2584.0,2584.0,820.0
1984-04-30,2584.0,2628.0,2584.0,2611.0,5462.0
1984-05-01,2611.0,2611.0,2534.0,2534.0,2587.0
1984-05-02,2540.0,2584.0,2534.0,2584.0,3073.0
1984-05-03,2584.0,2639.0,2584.0,2584.0,4960.0
1984-05-04,2584.0,2584.0,2556.0,2556.0,2603.0
1984-05-07,2556.0,2556.0,2496.0,2529.0,3941.0
1984-05-09,2529.0,2529.0,2468.0,2468.0,2826.0
1984-05-10,2468.0,2468.0,2430.0,2452.0,4196.0
1984-05-11,2463.0,2479.0,2452.0,2463.0,2930.0
1984-05-12,2463.0,2573.0,2463.0,2573.0,1329.0
1984-05-14,2529.0,2529.0,2474.0,2474.0,2428.0
1984-05-15,2468.0,2556.0,2441.0,2556.0,7413.0
1984-05-16,2595.0,2672.0,2584.0,2584.0,11888.0
1984-05-17,2639.0,2666.0,2529.0,2529.0,3440.0
1984-05-18,2529.0,2584.0,2529.0,2584.0,4132.0
1984-05-19,2556.0,2578.0,2556.0,2556.0,453.0
1984-05-21,2512.0,2512.0,2474.0,2474.0,175.0
1984-05-22,2474.0,2556.0,2474.0,2556.0,4722.0
1984-05-23,2479.0,2551.0,2446.0,2474.0,3527.0
1984-05-24,2485.0,2518.0,2446.0,2446.0,5422.0
1984-05-25,2463.0,2463.0,2419.0,2419.0,4737.0
1984-05-26,2413.0,2446.0,2408.0,2446.0,1727.0
1984-05-28,2419.0,2419.0,2408.0,2408.0,21022.0
1984-05-29,2419.0,2430.0,2419.0,2419.0,5590.0
1984-05-30,2419.0,2419.0,2408.0,2419.0,1839.0
1984-05-31,2419.0,2419.0,2408.0,2408.0,1345.0
1984-06-01,2397.0,2408.0,2397.0,2408.0,1186.0
1984-06-02,2408.0,2435.0,2408.0,2408.0,1751.0
1984-06-04,2419.0,2419.0,2408.0,2408.0,1775.0
1984-06-05,2419.0,2419.0,2419.0,2419.0,6529.0
1984-06-07,2419.0,2419.0,2392.0,2397.0,2014.0
1984-06-08,2392.0,2419.0,2392.0,2419.0,5375.0
1984-06-09,2424.0,2430.0,2419.0,2419.0,4769.0
1984-06-11,2452.0,2501.0,2446.0,2496.0,3901.0
1984-06-12,2523.0,2523.0,2485.0,2490.0,708.0
1984-06-13,2490.0,2490.0,2419.0,2419.0,31557.0
1984-06-14,2474.0,2518.0,2446.0,2474.0,12406.0
1984-06-15,2474.0,2474.0,2408.0,2408.0,430.0
1984-06-16,2408.0,2419.0,2408.0,2419.0,1672.0
1984-06-18,2419.0,2419.0,2315.0,2402.0,15273.0
1984-06-19,2381.0,2381.0,2342.0,2342.0,939.0
1984-06-20,2348.0,2364.0,2315.0,2315.0,1345.0
1984-06-21,2315.0,2337.0,2309.0,2309.0,4841.0
1984-06-22,2337.0,2337.0,2309.0,2315.0,1712.0
1984-06-23,2320.0,2320.0,2320.0,2320.0,1035.0
1984-06-25,2282.0,2320.0,2282.0,2304.0,1942.0
1984-06-26,2309.0,2309.0,2298.0,2298.0,987.0
1984-06-27,2309.0,2309.0,2298.0,2298.0,3479.0
1984-06-28,2309.0,2320.0,2298.0,2298.0,2938.0
1984-06-29,2315.0,2364.0,2309.0,2364.0,3463.0
1984-06-30,2392.0,2392.0,2370.0,2370.0,1911.0
1984-07-02,2364.0,2364.0,2309.0,2315.0,1576.0
1984-07-03,2309.0,2309.0,2298.0,2309.0,4674.0
1984-07-04,2309.0,2474.0,2309.0,2474.0,13903.0
1984-07-05,2474.0,2474.0,2348.0,2419.0,4427.0
1984-07-06,2408.0,2584.0,2402.0,2584.0,13656.0
1984-07-07,2584.0,2611.0,2529.0,2589.0,8902.0
1984-07-09,2650.0,2694.0,2589.0,2666.0,45651.0
1984-07-10,2699.0,2699.0,2611.0,2666.0,34097.0
1984-07-11,2655.0,2655.0,2595.0,2606.0,26269.0
1984-07-12,2584.0,2600.0,2562.0,2600.0,12613.0
1984-07-13,2600.0,2765.0,2600.0,2765.0,39814.0
1984-07-14,2859.0,2925.0,2837.0,2853.0,50883.0
1984-07-16,2804.0,2804.0,2705.0,2754.0,16754.0
1984-07-18,2804.0,2864.0,2782.0,2798.0,33874.0
1984-07-19,2820.0,2853.0,2765.0,2809.0,22352.0
1984-07-20,2864.0,3084.0,2864.0,3084.0,173537.0
1984-07-21,3194.0,3244.0,3090.0,3156.0,119986.0
1984-07-23,3211.0,3288.0,3068.0,3106.0,95993.0
1984-07-24,3106.0,3106.0,2947.0,2974.0,54156.0
