Datetime,Open,High,Low,Close,Volume
1988-09-23,657.0,657.0,657.0,657.0,0.0
1988-09-24,657.0,657.0,657.0,657.0,0.0
1988-09-27,657.0,657.0,657.0,657.0,0.0
1988-09-28,657.0,657.0,657.0,657.0,0.0
1988-09-29,657.0,657.0,657.0,657.0,0.0
1988-09-30,657.0,657.0,657.0,657.0,0.0
1988-10-04,657.0,657.0,657.0,657.0,0.0
1988-10-05,657.0,657.0,657.0,657.0,0.0
1988-10-06,657.0,657.0,657.0,657.0,0.0
1988-10-07,657.0,657.0,657.0,657.0,0.0
1988-10-08,657.0,657.0,657.0,657.0,0.0
1988-10-10,657.0,657.0,657.0,657.0,0.0
1988-10-11,657.0,657.0,657.0,657.0,0.0
1988-10-12,660.0,660.0,660.0,660.0,0.0
1988-10-13,660.0,660.0,660.0,660.0,0.0
1988-10-14,660.0,660.0,660.0,660.0,0.0
1988-10-15,660.0,660.0,660.0,660.0,0.0
1988-10-17,660.0,660.0,660.0,660.0,0.0
1988-10-18,685.0,685.0,685.0,685.0,0.0
1988-10-19,709.0,709.0,709.0,709.0,515.0
1988-10-20,737.0,737.0,737.0,737.0,3674.0
1988-10-21,761.0,764.0,761.0,764.0,10635.0
1988-10-22,786.0,786.0,786.0,786.0,1450.0
1988-10-24,794.0,813.0,794.0,813.0,9378.0
1988-10-25,794.0,835.0,794.0,835.0,3448.0
1988-10-26,819.0,819.0,819.0,819.0,0.0
1988-10-27,794.0,794.0,794.0,794.0,0.0
1988-10-28,794.0,794.0,794.0,794.0,741.0
1988-10-29,794.0,794.0,794.0,794.0,451.0
1988-10-31,794.0,794.0,794.0,794.0,32.0
1988-11-01,781.0,781.0,781.0,781.0,0.0
1988-11-02,794.0,794.0,794.0,794.0,161.0
1988-11-03,803.0,803.0,803.0,803.0,1772.0
1988-11-04,822.0,822.0,822.0,822.0,322.0
1988-11-05,822.0,822.0,822.0,822.0,2900.0
1988-11-07,822.0,849.0,822.0,849.0,5704.0
1988-11-08,863.0,879.0,863.0,879.0,3126.0
1988-11-09,877.0,877.0,877.0,877.0,1740.0
1988-11-10,863.0,912.0,844.0,912.0,999.0
1988-11-11,948.0,948.0,948.0,948.0,6478.0
1988-11-12,983.0,983.0,948.0,948.0,676.0
1988-11-14,929.0,929.0,912.0,929.0,1160.0
1988-11-15,945.0,964.0,945.0,964.0,1289.0
1988-11-16,992.0,992.0,972.0,972.0,483.0
1988-11-17,1000.0,1008.0,1000.0,1008.0,999.0
1988-11-18,1008.0,1008.0,986.0,986.0,1869.0
1988-11-19,986.0,1003.0,986.0,1000.0,483.0
1988-11-21,1000.0,1000.0,1000.0,1000.0,580.0
1988-11-22,986.0,992.0,972.0,972.0,3384.0
1988-11-23,1008.0,1008.0,1008.0,1008.0,1450.0
