Datetime,Open,High,Low,Close,Volume
1983-10-24,228.0,228.0,228.0,228.0,23207.0
1983-10-25,228.0,228.0,228.0,228.0,25650.0
1983-10-26,231.0,231.0,231.0,231.0,203.0
1983-10-27,231.0,231.0,231.0,231.0,0.0
1983-10-28,231.0,231.0,229.0,229.0,33385.0
1983-10-29,228.0,228.0,228.0,228.0,9364.0
1983-10-31,224.0,224.0,223.0,224.0,4682.0
1983-11-01,222.0,223.0,222.0,223.0,65142.0
1983-11-02,220.0,220.0,220.0,220.0,14250.0
1983-11-03,220.0,220.0,219.0,220.0,88960.0
1983-11-04,220.0,220.0,220.0,220.0,18117.0
1983-11-05,220.0,220.0,220.0,220.0,12214.0
1983-11-07,220.0,220.0,220.0,220.0,0.0
1983-11-08,219.0,219.0,219.0,219.0,0.0
1983-11-09,220.0,220.0,220.0,220.0,15267.0
1983-11-10,219.0,219.0,219.0,219.0,13435.0
1983-11-11,220.0,220.0,220.0,220.0,15267.0
1983-11-12,231.0,231.0,231.0,231.0,5089.0
1983-11-14,226.0,226.0,226.0,226.0,0.0
1983-11-15,225.0,225.0,225.0,225.0,0.0
1983-11-16,228.0,228.0,228.0,228.0,46007.0
1983-11-17,219.0,228.0,219.0,228.0,1017.0
1983-11-18,228.0,228.0,228.0,228.0,0.0
1983-11-19,227.0,227.0,227.0,227.0,0.0
1983-11-21,219.0,219.0,219.0,219.0,1425.0
1983-11-22,219.0,219.0,219.0,219.0,5496.0
1983-11-23,218.0,218.0,218.0,218.0,346071.0
1983-11-24,216.0,216.0,216.0,216.0,0.0
1983-11-25,216.0,216.0,216.0,216.0,0.0
1983-11-26,216.0,216.0,216.0,216.0,3460.0
1983-11-28,216.0,216.0,216.0,216.0,12825.0
1983-11-29,216.0,219.0,216.0,216.0,9364.0
1983-11-30,218.0,219.0,216.0,219.0,112371.0
1983-12-01,219.0,219.0,219.0,219.0,7328.0
1983-12-02,220.0,220.0,219.0,219.0,20357.0
1983-12-03,219.0,219.0,219.0,219.0,1017.0
