Datetime,Open,High,Low,Close,Volume
1988-01-20,709.0,718.0,673.0,718.0,82175.0
1988-01-21,718.0,741.0,682.0,741.0,133300.0
1988-01-22,718.0,718.0,705.0,705.0,17186.0
1988-01-23,682.0,699.0,680.0,682.0,48814.0
1988-01-25,664.0,673.0,646.0,653.0,56324.0
1988-01-26,637.0,645.0,633.0,645.0,86074.0
1988-01-27,637.0,638.0,629.0,638.0,70477.0
1988-01-28,651.0,665.0,651.0,665.0,67011.0
1988-01-29,692.0,692.0,692.0,692.0,39426.0
1988-01-30,691.0,691.0,664.0,664.0,5199.0
1988-02-01,682.0,691.0,670.0,691.0,79431.0
1988-02-02,691.0,691.0,655.0,655.0,29461.0
1988-02-03,655.0,673.0,635.0,673.0,38849.0
1988-02-04,651.0,678.0,651.0,678.0,88530.0
1988-02-05,673.0,673.0,651.0,669.0,25995.0
1988-02-06,651.0,673.0,651.0,673.0,16319.0
1988-02-08,673.0,678.0,655.0,673.0,77265.0
1988-02-09,664.0,673.0,653.0,673.0,63834.0
1988-02-10,673.0,682.0,660.0,682.0,123046.0
1988-02-11,673.0,682.0,646.0,678.0,64845.0
1988-02-12,678.0,687.0,664.0,684.0,45781.0
1988-02-13,678.0,678.0,673.0,673.0,34227.0
1988-02-15,678.0,687.0,673.0,678.0,69033.0
1988-02-16,689.0,691.0,673.0,678.0,138066.0
1988-02-17,682.0,714.0,682.0,714.0,72643.0
1988-02-19,750.0,750.0,732.0,750.0,69177.0
1988-02-20,741.0,745.0,727.0,727.0,44192.0
1988-02-22,727.0,741.0,714.0,723.0,39715.0
1988-02-23,727.0,736.0,718.0,732.0,73943.0
1988-02-24,727.0,741.0,714.0,723.0,49391.0
1988-02-26,687.0,700.0,687.0,696.0,18341.0
1988-02-27,709.0,709.0,696.0,709.0,23540.0
1988-02-29,696.0,709.0,678.0,678.0,15164.0
1988-03-02,664.0,671.0,646.0,671.0,7221.0
1988-03-03,673.0,682.0,669.0,673.0,22962.0
1988-03-04,651.0,673.0,651.0,673.0,19352.0
1988-03-05,664.0,669.0,655.0,655.0,20652.0
1988-03-07,664.0,664.0,655.0,660.0,8376.0
1988-03-08,660.0,687.0,660.0,687.0,26573.0
1988-03-09,682.0,682.0,678.0,682.0,30761.0
1988-03-11,682.0,682.0,664.0,673.0,18197.0
1988-03-12,673.0,673.0,673.0,673.0,26140.0
1988-03-14,664.0,682.0,664.0,664.0,19352.0
1988-03-15,669.0,673.0,664.0,669.0,22962.0
1988-03-16,671.0,673.0,660.0,660.0,13719.0
1988-03-17,660.0,682.0,651.0,682.0,55602.0
1988-03-18,673.0,673.0,655.0,664.0,8809.0
1988-03-19,655.0,655.0,646.0,651.0,7509.0
1988-03-21,651.0,651.0,637.0,637.0,32783.0
1988-03-22,639.0,651.0,637.0,639.0,11120.0
1988-03-23,635.0,637.0,628.0,628.0,4477.0
1988-03-24,633.0,633.0,624.0,628.0,10109.0
1988-03-25,633.0,633.0,628.0,633.0,9098.0
1988-03-26,633.0,642.0,633.0,637.0,8376.0
1988-03-28,637.0,637.0,633.0,637.0,12275.0
1988-03-29,637.0,642.0,637.0,637.0,6787.0
1988-03-30,633.0,633.0,628.0,628.0,5343.0
1988-03-31,628.0,628.0,610.0,617.0,16897.0
1988-04-01,624.0,628.0,617.0,624.0,28739.0
1988-04-02,624.0,628.0,615.0,615.0,11842.0
1988-04-04,619.0,637.0,619.0,637.0,37838.0
1988-04-06,633.0,637.0,628.0,637.0,37260.0
1988-04-07,628.0,633.0,628.0,628.0,17330.0
1988-04-08,633.0,633.0,628.0,628.0,53291.0
1988-04-09,628.0,633.0,628.0,633.0,17186.0
1988-04-11,633.0,633.0,615.0,624.0,19352.0
1988-04-12,597.0,624.0,597.0,615.0,10831.0
1988-04-13,610.0,619.0,599.0,619.0,8809.0
1988-04-14,619.0,619.0,615.0,615.0,15164.0
1988-04-15,617.0,619.0,615.0,615.0,17041.0
1988-04-16,617.0,619.0,617.0,617.0,8520.0
1988-04-18,619.0,619.0,606.0,606.0,10542.0
1988-04-19,606.0,606.0,599.0,606.0,8087.0
1988-04-20,606.0,610.0,606.0,610.0,4477.0
1988-04-21,619.0,619.0,610.0,610.0,11842.0
1988-04-22,606.0,610.0,606.0,606.0,9820.0
1988-04-23,606.0,615.0,606.0,615.0,1444.0
1988-04-25,617.0,617.0,610.0,610.0,24262.0
1988-04-27,610.0,610.0,583.0,583.0,24407.0
1988-04-28,592.0,610.0,592.0,610.0,1733.0
1988-04-29,628.0,628.0,610.0,610.0,32350.0
1988-04-30,615.0,624.0,615.0,615.0,6643.0
1988-05-02,610.0,615.0,610.0,615.0,6643.0
1988-05-03,619.0,619.0,610.0,615.0,19352.0
1988-05-04,610.0,624.0,610.0,624.0,26573.0
1988-05-06,615.0,615.0,615.0,615.0,22385.0
1988-05-07,610.0,610.0,588.0,610.0,20941.0
1988-05-09,606.0,606.0,606.0,606.0,2166.0
1988-05-10,606.0,606.0,601.0,601.0,7798.0
1988-05-11,601.0,601.0,592.0,597.0,9965.0
1988-05-12,592.0,606.0,592.0,597.0,10831.0
1988-05-13,606.0,615.0,601.0,615.0,16608.0
1988-05-14,606.0,610.0,606.0,610.0,9387.0
1988-05-16,610.0,610.0,601.0,601.0,16752.0
1988-05-17,606.0,628.0,583.0,610.0,33505.0
1988-05-18,619.0,628.0,619.0,628.0,23829.0
1988-05-19,633.0,642.0,628.0,637.0,23251.0
1988-05-20,642.0,651.0,642.0,642.0,35383.0
1988-05-21,642.0,642.0,637.0,637.0,8665.0
1988-05-24,615.0,628.0,615.0,619.0,41448.0
1988-05-25,619.0,628.0,619.0,624.0,27006.0
1988-05-26,610.0,633.0,610.0,628.0,28450.0
1988-05-27,624.0,655.0,619.0,655.0,71199.0
1988-05-28,669.0,682.0,669.0,682.0,49680.0
1988-05-30,714.0,718.0,696.0,709.0,149186.0
1988-05-31,696.0,696.0,673.0,691.0,28017.0
1988-06-01,673.0,687.0,655.0,687.0,75821.0
1988-06-02,678.0,696.0,673.0,696.0,99361.0
1988-06-03,700.0,718.0,700.0,714.0,63689.0
1988-06-04,700.0,723.0,696.0,709.0,130267.0
1988-06-07,718.0,727.0,696.0,709.0,36971.0
1988-06-08,696.0,723.0,696.0,700.0,41304.0
