Datetime,Open,High,Low,Close,Volume
2001-11-01,1163.0,1163.0,1163.0,1163.0,3554070.0
2001-11-02,1079.0,1088.0,1027.0,1027.0,1503340.0
2001-11-05,905.0,905.0,905.0,905.0,214640.0
2001-11-06,891.0,933.0,887.0,896.0,8789090.0
2001-11-07,896.0,910.0,832.0,840.0,5572440.0
2001-11-08,858.0,875.0,840.0,840.0,2453210.0
2001-11-09,833.0,842.0,755.0,758.0,3320520.0
2001-11-12,732.0,766.0,732.0,748.0,2059340.0
2001-11-13,745.0,781.0,734.0,774.0,2677180.0
2001-11-14,752.0,818.0,752.0,790.0,4510450.0
2001-11-15,798.0,798.0,750.0,766.0,1670570.0
2001-11-16,774.0,814.0,769.0,797.0,2607550.0
2001-11-19,810.0,829.0,782.0,790.0,2360650.0
2001-11-20,793.0,799.0,756.0,763.0,1642520.0
2001-11-21,761.0,769.0,755.0,763.0,626910.0
2001-11-22,763.0,779.0,758.0,779.0,931270.0
2001-11-23,783.0,793.0,763.0,763.0,1287900.0
2001-11-26,760.0,766.0,737.0,742.0,1228940.0
2001-11-27,741.0,751.0,733.0,734.0,852660.0
2001-11-28,732.0,788.0,722.0,747.0,2519600.0
2001-11-29,750.0,777.0,738.0,774.0,1615930.0
2001-11-30,783.0,858.0,774.0,811.0,4267040.0
2001-12-03,811.0,825.0,792.0,797.0,1307400.0
2001-12-04,799.0,863.0,791.0,849.0,3672990.0
2001-12-05,863.0,869.0,821.0,840.0,1950020.0
2001-12-06,854.0,858.0,803.0,816.0,1338660.0
2001-12-07,825.0,838.0,802.0,817.0,1053250.0
2001-12-10,826.0,826.0,797.0,807.0,844510.0
2001-12-11,805.0,841.0,794.0,840.0,1475110.0
2001-12-12,885.0,908.0,845.0,854.0,3990860.0
2001-12-13,863.0,868.0,836.0,844.0,1061190.0
2001-12-14,842.0,882.0,837.0,882.0,1429240.0
2001-12-17,895.0,952.0,882.0,891.0,3991050.0
2001-12-18,882.0,894.0,813.0,821.0,1446750.0
2001-12-19,832.0,844.0,750.0,755.0,1280330.0
2001-12-20,760.0,788.0,750.0,779.0,647520.0
2001-12-21,775.0,816.0,757.0,816.0,1017330.0
2001-12-24,811.0,858.0,779.0,783.0,1187750.0
2001-12-26,788.0,796.0,779.0,793.0,658490.0
2001-12-27,751.0,769.0,751.0,757.0,515460.0
2001-12-28,769.0,777.0,760.0,769.0,471830.0
2002-01-02,770.0,779.0,761.0,769.0,392020.0
2002-01-03,763.0,779.0,756.0,778.0,748680.0
2002-01-04,780.0,780.0,764.0,764.0,425800.0
2002-01-07,763.0,773.0,753.0,760.0,540090.0
2002-01-08,760.0,773.0,747.0,748.0,622740.0
2002-01-09,746.0,766.0,736.0,764.0,659900.0
2002-01-10,750.0,778.0,744.0,757.0,1093970.0
2002-01-11,758.0,766.0,750.0,763.0,343420.0
2002-01-14,760.0,766.0,749.0,755.0,284360.0
2002-01-15,732.0,750.0,732.0,750.0,282850.0
2002-01-16,732.0,751.0,732.0,751.0,499550.0
2002-01-17,741.0,750.0,726.0,741.0,345240.0
2002-01-18,741.0,742.0,727.0,741.0,463630.0
2002-01-21,733.0,747.0,732.0,739.0,195040.0
2002-01-22,739.0,744.0,729.0,739.0,228730.0
2002-01-23,732.0,738.0,726.0,727.0,298270.0
2002-01-24,725.0,732.0,715.0,717.0,395490.0
2002-01-25,718.0,718.0,699.0,700.0,624560.0
2002-01-28,712.0,727.0,694.0,715.0,406470.0
2002-01-29,733.0,764.0,719.0,746.0,986760.0
2002-01-30,725.0,793.0,725.0,771.0,1887160.0
2002-01-31,779.0,797.0,760.0,785.0,840320.0
2002-02-01,797.0,797.0,760.0,760.0,577110.0
2002-02-04,752.0,752.0,722.0,722.0,412700.0
2002-02-05,706.0,740.0,706.0,725.0,284060.0
2002-02-06,725.0,741.0,718.0,728.0,219780.0
2002-02-07,714.0,732.0,714.0,718.0,145730.0
2002-02-08,722.0,728.0,711.0,727.0,151940.0
2002-02-14,732.0,759.0,729.0,759.0,519990.0
2002-02-15,764.0,764.0,737.0,750.0,233330.0
2002-02-18,760.0,760.0,735.0,741.0,353630.0
