Datetime,Open,High,Low,Close,Volume
1990-06-15,8347.0,8347.0,8347.0,8347.0,674.0
1990-06-16,8347.0,8347.0,8347.0,8347.0,699.0
1990-06-18,7984.0,7984.0,7984.0,7984.0,41.0
1990-06-19,7621.0,7621.0,7621.0,7621.0,166.0
1990-06-20,7318.0,7802.0,7258.0,7258.0,2706.0
1990-06-21,7379.0,7379.0,7318.0,7318.0,324.0
1990-06-22,7379.0,7500.0,7379.0,7500.0,341.0
1990-06-23,7500.0,7560.0,7258.0,7500.0,216.0
1990-06-25,7379.0,7379.0,7258.0,7258.0,183.0
1990-06-26,7137.0,7379.0,7137.0,7258.0,399.0
1990-06-27,7137.0,7379.0,7137.0,7379.0,133.0
1990-06-28,7379.0,7379.0,7197.0,7197.0,233.0
1990-06-29,7197.0,7197.0,7197.0,7197.0,124.0
1990-06-30,6895.0,6895.0,6895.0,6895.0,74.0
1990-07-02,6895.0,6895.0,6774.0,6895.0,508.0
1990-07-03,7197.0,7258.0,6956.0,7258.0,541.0
1990-07-04,7258.0,7258.0,7258.0,7258.0,166.0
1990-07-05,7016.0,7016.0,7016.0,7016.0,33.0
1990-07-06,7016.0,7016.0,6956.0,6956.0,241.0
1990-07-07,6956.0,6956.0,6956.0,6956.0,16.0
1990-07-09,7137.0,7137.0,7137.0,7137.0,83.0
1990-07-10,6774.0,6956.0,6774.0,6956.0,324.0
1990-07-11,6835.0,6956.0,6835.0,6956.0,66.0
1990-07-12,6774.0,7258.0,6774.0,7258.0,374.0
1990-07-13,7137.0,7258.0,6895.0,7258.0,582.0
1990-07-14,6956.0,6956.0,6895.0,6956.0,1032.0
1990-07-16,6895.0,6895.0,6653.0,6895.0,166.0
1990-07-18,6895.0,6895.0,6835.0,6835.0,449.0
1990-07-19,6835.0,6835.0,6653.0,6835.0,233.0
1990-07-20,6653.0,6653.0,6653.0,6653.0,1207.0
1990-07-21,6653.0,6774.0,6653.0,6774.0,591.0
1990-07-23,6774.0,6774.0,6653.0,6774.0,91.0
1990-07-24,6653.0,6653.0,6532.0,6653.0,374.0
1990-07-25,6593.0,6774.0,6532.0,6774.0,1407.0
1990-07-26,6472.0,6593.0,6472.0,6593.0,183.0
1990-07-27,6593.0,6593.0,6472.0,6593.0,616.0
1990-07-28,6472.0,6593.0,6472.0,6593.0,249.0
1990-07-30,6472.0,6593.0,6472.0,6593.0,108.0
1990-07-31,6472.0,6774.0,6351.0,6774.0,199.0
1990-08-01,6714.0,7016.0,6714.0,6956.0,1174.0
1990-08-02,6895.0,7258.0,6835.0,7258.0,4514.0
1990-08-03,6956.0,7379.0,6956.0,7258.0,2881.0
1990-08-04,7137.0,7137.0,7137.0,7137.0,16.0
1990-08-06,7077.0,7137.0,6774.0,6956.0,1715.0
1990-08-07,6956.0,7258.0,6653.0,7258.0,716.0
1990-08-08,7197.0,7197.0,7197.0,7197.0,166.0
1990-08-09,6956.0,7379.0,6956.0,7379.0,6429.0
1990-08-10,7379.0,7742.0,7379.0,7621.0,4897.0
1990-08-11,7560.0,7621.0,7439.0,7439.0,333.0
1990-08-13,7379.0,7379.0,7258.0,7258.0,599.0
1990-08-14,6895.0,7258.0,6895.0,7258.0,832.0
1990-08-16,7197.0,7258.0,7077.0,7077.0,549.0
1990-08-17,6956.0,6956.0,6714.0,6956.0,33.0
1990-08-18,6956.0,7077.0,6956.0,7077.0,124.0
1990-08-20,6835.0,7016.0,6714.0,7016.0,458.0
1990-08-21,6774.0,6956.0,6774.0,6956.0,1449.0
1990-08-22,6835.0,7016.0,6835.0,6956.0,1074.0
1990-08-23,6956.0,6956.0,6774.0,6956.0,649.0
1990-08-24,6956.0,6956.0,6956.0,6956.0,333.0
1990-08-25,6835.0,6835.0,6835.0,6835.0,8.0
1990-08-27,7197.0,7197.0,7197.0,7197.0,183.0
1990-08-28,7197.0,7560.0,7197.0,7560.0,3139.0
1990-08-29,7197.0,7258.0,7197.0,7197.0,491.0
1990-08-30,6956.0,7016.0,6835.0,6835.0,1982.0
1990-08-31,6714.0,6956.0,6714.0,6714.0,4439.0
1990-09-01,6774.0,6774.0,6774.0,6774.0,83.0
1990-09-03,6774.0,6774.0,6774.0,6774.0,0.0
1990-09-04,6956.0,7077.0,6774.0,6956.0,366.0
1990-09-05,6956.0,6956.0,6956.0,6956.0,83.0
1990-09-06,7016.0,7077.0,7016.0,7016.0,3148.0
1990-09-07,6956.0,6956.0,6956.0,6956.0,0.0
1990-09-08,6714.0,6714.0,6714.0,6714.0,49.0
1990-09-10,6653.0,6774.0,6653.0,6774.0,1440.0
1990-09-11,6774.0,7016.0,6774.0,6956.0,1057.0
1990-09-12,6774.0,6956.0,6774.0,6956.0,1699.0
1990-09-13,6956.0,6956.0,6956.0,6956.0,166.0
1990-09-14,6714.0,6956.0,6714.0,6956.0,466.0
1990-09-15,6714.0,6714.0,6714.0,6714.0,8.0
1990-09-17,6593.0,6593.0,6593.0,6593.0,0.0
1990-09-18,6472.0,6472.0,6472.0,6472.0,33.0
1990-09-19,6169.0,6472.0,6169.0,6472.0,374.0
1990-09-20,6411.0,6411.0,6169.0,6169.0,1141.0
1990-09-21,6169.0,6169.0,6169.0,6169.0,0.0
1990-09-22,6109.0,6109.0,6109.0,6109.0,116.0
1990-09-24,5746.0,5746.0,5746.0,5746.0,33.0
1990-09-25,5867.0,5867.0,5867.0,5867.0,41.0
1990-09-26,5867.0,5927.0,5867.0,5927.0,291.0
1990-09-27,5867.0,5988.0,5867.0,5988.0,124.0
1990-09-28,5141.0,5141.0,5141.0,5141.0,49.0
1990-09-29,5383.0,5383.0,5383.0,5383.0,8.0
1990-10-05,5443.0,5564.0,5443.0,5564.0,83.0
1990-10-06,5564.0,5564.0,5564.0,5564.0,133.0
1990-10-08,5498.0,5498.0,5498.0,5498.0,83.0
1990-10-10,5262.0,5443.0,5262.0,5443.0,133.0
1990-10-11,5383.0,5443.0,5322.0,5443.0,607.0
1990-10-12,5443.0,5685.0,5383.0,5685.0,1574.0
1990-10-13,5625.0,5806.0,5504.0,5504.0,416.0
1990-10-15,5504.0,5746.0,5504.0,5685.0,1190.0
1990-10-16,5685.0,5746.0,5625.0,5625.0,1199.0
1990-10-17,5625.0,5867.0,5625.0,5867.0,1282.0
1990-10-18,6109.0,6109.0,5988.0,6109.0,1624.0
1990-10-19,6472.0,6472.0,6351.0,6472.0,1215.0
1990-10-20,6593.0,6593.0,6472.0,6532.0,133.0
1990-10-22,6653.0,6895.0,6351.0,6774.0,2973.0
1990-10-23,6956.0,7137.0,6956.0,7137.0,7878.0
1990-10-24,7500.0,7500.0,7500.0,7500.0,5255.0
1990-10-25,7439.0,7439.0,7137.0,7137.0,591.0
1990-10-26,6774.0,6774.0,6774.0,6774.0,49.0
1990-10-27,6411.0,6532.0,6411.0,6532.0,1290.0
1990-10-29,6351.0,6653.0,6290.0,6290.0,1041.0
1990-10-30,6048.0,6290.0,5988.0,6290.0,3514.0
1990-10-31,6048.0,6048.0,5927.0,6048.0,1382.0
1990-11-01,5806.0,6230.0,5806.0,6048.0,433.0
1990-11-02,6109.0,6169.0,5927.0,6048.0,1091.0
1990-11-03,6048.0,6230.0,6048.0,6048.0,433.0
1990-11-05,5927.0,5988.0,5867.0,5867.0,441.0
1990-11-06,5806.0,5927.0,5776.0,5867.0,832.0
1990-11-07,6048.0,6109.0,5988.0,6109.0,1782.0
1990-11-08,6230.0,6230.0,6169.0,6169.0,916.0
1990-11-09,6169.0,6169.0,6048.0,6048.0,374.0
1990-11-10,6109.0,6169.0,6109.0,6109.0,208.0
1990-11-12,6230.0,6230.0,6109.0,6230.0,491.0
1990-11-13,6290.0,6351.0,6048.0,6048.0,941.0
1990-11-14,6230.0,6230.0,6169.0,6230.0,1474.0
1990-11-15,6290.0,6411.0,6290.0,6351.0,932.0
1990-11-16,6290.0,6472.0,6290.0,6411.0,1740.0
1990-11-17,6532.0,6532.0,6532.0,6532.0,341.0
1990-11-19,6169.0,6472.0,6169.0,6472.0,1066.0
1990-11-20,6472.0,6472.0,6230.0,6351.0,366.0
1990-11-21,6411.0,6411.0,5988.0,6230.0,533.0
1990-11-22,6109.0,6290.0,6109.0,6290.0,1024.0
