Datetime,Open,High,Low,Close,Volume
1989-08-22,746.0,746.0,746.0,746.0,9705.0
1989-08-23,777.0,777.0,777.0,777.0,80646.0
1989-08-24,816.0,816.0,816.0,816.0,762171.0
1989-08-25,855.0,855.0,855.0,855.0,1988988.0
1989-08-26,893.0,893.0,893.0,893.0,1916106.0
1989-08-28,932.0,932.0,932.0,932.0,3779448.0
1989-08-29,971.0,971.0,971.0,971.0,4348209.0
1989-08-30,932.0,952.0,932.0,952.0,1374521.0
1989-08-31,944.0,944.0,913.0,913.0,853759.0
1989-09-01,905.0,928.0,893.0,913.0,476820.0
1989-09-02,905.0,905.0,874.0,893.0,205587.0
1989-09-04,893.0,905.0,874.0,886.0,776113.0
1989-09-05,886.0,890.0,874.0,886.0,426173.0
1989-09-06,893.0,913.0,893.0,905.0,1022641.0
1989-09-07,893.0,913.0,886.0,893.0,2757513.0
1989-09-08,905.0,913.0,886.0,901.0,1188345.0
1989-09-09,901.0,909.0,901.0,905.0,236645.0
1989-09-11,890.0,905.0,890.0,901.0,363880.0
1989-09-12,901.0,905.0,890.0,901.0,293292.0
1989-09-16,901.0,901.0,886.0,890.0,290998.0
1989-09-18,870.0,897.0,870.0,893.0,528349.0
1989-09-19,882.0,893.0,878.0,893.0,1281168.0
1989-09-20,905.0,932.0,905.0,932.0,1600931.0
1989-09-21,952.0,952.0,936.0,940.0,1274463.0
1989-09-22,936.0,936.0,901.0,917.0,589761.0
1989-09-23,909.0,928.0,905.0,913.0,304586.0
1989-09-25,913.0,917.0,886.0,893.0,423350.0
1989-09-26,893.0,901.0,886.0,890.0,248998.0
1989-09-27,890.0,913.0,886.0,905.0,333880.0
1989-09-28,917.0,924.0,905.0,913.0,370233.0
1989-09-29,921.0,924.0,905.0,917.0,417879.0
1989-09-30,921.0,924.0,905.0,913.0,229939.0
1989-10-04,874.0,905.0,874.0,901.0,116999.0
1989-10-05,893.0,905.0,866.0,901.0,504173.0
1989-10-06,901.0,905.0,886.0,893.0,244939.0
1989-10-07,893.0,901.0,886.0,893.0,239998.0
1989-10-10,855.0,897.0,855.0,897.0,162881.0
1989-10-11,897.0,901.0,893.0,897.0,280233.0
1989-10-12,886.0,890.0,874.0,886.0,119293.0
1989-10-13,886.0,886.0,874.0,874.0,92822.0
1989-10-14,886.0,886.0,878.0,878.0,83470.0
1989-10-16,862.0,874.0,847.0,855.0,127763.0
1989-10-17,858.0,874.0,858.0,866.0,103940.0
1989-10-18,862.0,862.0,855.0,862.0,403232.0
1989-10-19,858.0,862.0,855.0,855.0,332821.0
1989-10-20,851.0,862.0,847.0,847.0,159352.0
1989-10-21,847.0,847.0,831.0,839.0,45705.0
1989-10-23,827.0,827.0,808.0,823.0,109234.0
1989-10-24,816.0,862.0,816.0,862.0,2401574.0
1989-10-25,851.0,851.0,823.0,835.0,80293.0
1989-10-26,823.0,831.0,823.0,827.0,129705.0
1989-10-27,823.0,823.0,816.0,820.0,60529.0
1989-10-28,820.0,823.0,812.0,823.0,137116.0
1989-10-30,823.0,835.0,816.0,816.0,2730689.0
1989-10-31,816.0,816.0,804.0,812.0,83470.0
1989-11-01,804.0,816.0,804.0,808.0,34235.0
1989-11-02,808.0,816.0,796.0,804.0,285174.0
1989-11-03,804.0,816.0,804.0,804.0,1071876.0
1989-11-04,816.0,816.0,804.0,804.0,1335698.0
1989-11-06,804.0,804.0,796.0,804.0,98646.0
1989-11-07,808.0,816.0,808.0,808.0,323292.0
