Datetime,Open,High,Low,Close,Volume
1988-05-04,881.0,900.0,868.0,900.0,19000.0
1988-05-06,893.0,893.0,893.0,893.0,5000.0
1988-05-07,881.0,881.0,881.0,881.0,0.0
1988-05-09,843.0,843.0,843.0,843.0,0.0
1988-05-10,837.0,837.0,837.0,837.0,0.0
1988-05-11,843.0,843.0,843.0,843.0,10000.0
1988-05-12,843.0,843.0,843.0,843.0,100.0
1988-05-13,818.0,818.0,818.0,818.0,0.0
1988-05-14,818.0,818.0,818.0,818.0,0.0
1988-05-16,812.0,812.0,812.0,812.0,0.0
1988-05-17,812.0,812.0,812.0,812.0,1000.0
1988-05-18,812.0,837.0,812.0,837.0,140000.0
1988-05-19,849.0,862.0,849.0,856.0,40400.0
1988-05-20,868.0,893.0,868.0,893.0,121100.0
1988-05-21,919.0,919.0,906.0,906.0,44300.0
1988-05-24,906.0,919.0,881.0,919.0,26600.0
1988-05-25,893.0,919.0,893.0,900.0,4700.0
1988-05-26,900.0,900.0,887.0,887.0,3600.0
1988-05-27,881.0,887.0,868.0,868.0,8500.0
1988-05-28,849.0,881.0,849.0,881.0,32900.0
1988-05-30,919.0,919.0,912.0,919.0,351400.0
1988-05-31,956.0,956.0,931.0,931.0,317500.0
1988-06-01,956.0,969.0,944.0,963.0,286800.0
1988-06-02,969.0,994.0,963.0,994.0,253900.0
1988-06-03,1010.0,1026.0,1000.0,1026.0,248300.0
1988-06-04,1038.0,1038.0,1019.0,1019.0,58700.0
1988-06-07,1007.0,1019.0,988.0,988.0,88500.0
1988-06-08,1007.0,1007.0,994.0,1000.0,117500.0
1988-06-09,1007.0,1007.0,994.0,994.0,42900.0
1988-06-10,988.0,988.0,963.0,963.0,13400.0
1988-06-11,912.0,963.0,912.0,963.0,41900.0
1988-06-13,944.0,963.0,944.0,963.0,37300.0
1988-06-14,963.0,963.0,950.0,950.0,5700.0
1988-06-15,950.0,1000.0,944.0,944.0,19800.0
1988-06-16,944.0,950.0,931.0,950.0,40600.0
1988-06-17,944.0,944.0,944.0,944.0,9100.0
1988-06-18,944.0,944.0,931.0,944.0,40800.0
1988-06-20,956.0,956.0,944.0,944.0,49600.0
1988-06-21,944.0,944.0,937.0,944.0,6600.0
1988-06-22,944.0,944.0,931.0,931.0,22800.0
1988-06-23,931.0,931.0,912.0,912.0,9300.0
1988-06-24,912.0,950.0,912.0,950.0,30900.0
1988-06-25,950.0,950.0,912.0,950.0,12100.0
1988-06-27,944.0,950.0,944.0,944.0,4500.0
1988-06-28,937.0,937.0,937.0,937.0,200.0
1988-06-29,937.0,937.0,931.0,937.0,7900.0
1988-06-30,950.0,950.0,937.0,950.0,7200.0
1988-07-01,944.0,950.0,944.0,944.0,5500.0
1988-07-02,944.0,944.0,944.0,944.0,2300.0
1988-07-04,944.0,944.0,944.0,944.0,700.0
1988-07-05,925.0,925.0,925.0,925.0,0.0
1988-07-06,900.0,944.0,900.0,944.0,1900.0
1988-07-07,931.0,931.0,931.0,931.0,0.0
1988-07-08,925.0,925.0,925.0,925.0,0.0
1988-07-09,919.0,919.0,919.0,919.0,0.0
1988-07-11,909.0,909.0,909.0,909.0,0.0
1988-07-12,881.0,881.0,871.0,881.0,7500.0
1988-07-13,881.0,881.0,881.0,881.0,9400.0
1988-07-14,881.0,887.0,881.0,887.0,2900.0
1988-07-15,887.0,887.0,887.0,887.0,0.0
1988-07-16,868.0,881.0,868.0,881.0,2100.0
1988-07-18,881.0,881.0,868.0,868.0,7000.0
