Datetime,Open,High,Low,Close,Volume
1996-03-12,346.0,346.0,346.0,346.0,3770.0
1996-03-13,346.0,346.0,346.0,346.0,754.0
1996-03-14,346.0,346.0,346.0,346.0,0.0
1996-03-15,346.0,346.0,346.0,346.0,0.0
1996-03-16,346.0,346.0,346.0,346.0,0.0
1996-03-18,346.0,346.0,346.0,346.0,0.0
1996-03-19,346.0,346.0,346.0,346.0,0.0
1996-03-20,346.0,346.0,346.0,346.0,0.0
1996-03-21,346.0,346.0,346.0,346.0,0.0
1996-03-22,346.0,346.0,346.0,346.0,0.0
1996-03-23,346.0,346.0,346.0,346.0,0.0
1996-03-25,346.0,346.0,346.0,346.0,0.0
1996-03-26,346.0,346.0,346.0,346.0,0.0
1996-03-27,346.0,346.0,346.0,346.0,0.0
1996-03-28,346.0,346.0,346.0,346.0,0.0
1996-03-29,346.0,346.0,346.0,346.0,0.0
1996-03-30,346.0,346.0,346.0,346.0,0.0
1996-04-01,346.0,346.0,346.0,346.0,0.0
1996-04-02,346.0,346.0,346.0,346.0,0.0
1996-04-03,346.0,346.0,346.0,346.0,0.0
1996-04-04,346.0,346.0,346.0,346.0,0.0
1996-04-06,346.0,346.0,346.0,346.0,0.0
1996-04-08,346.0,346.0,346.0,346.0,0.0
1996-04-09,346.0,346.0,346.0,346.0,0.0
1996-04-10,346.0,346.0,346.0,346.0,0.0
1996-04-12,346.0,346.0,346.0,346.0,0.0
1996-04-13,346.0,346.0,346.0,346.0,0.0
1996-04-15,346.0,346.0,346.0,346.0,0.0
1996-04-16,346.0,346.0,346.0,346.0,0.0
1996-04-17,346.0,346.0,346.0,346.0,0.0
1996-04-18,346.0,346.0,346.0,346.0,0.0
1996-04-19,346.0,346.0,346.0,346.0,0.0
1996-04-20,346.0,346.0,346.0,346.0,0.0
1996-04-22,346.0,346.0,346.0,346.0,0.0
1996-04-23,346.0,346.0,346.0,346.0,0.0
1996-04-24,346.0,346.0,346.0,346.0,0.0
1996-04-25,346.0,346.0,346.0,346.0,0.0
1996-04-26,346.0,346.0,346.0,346.0,0.0
1996-04-27,346.0,468.0,346.0,468.0,1256.0
1996-04-29,468.0,468.0,468.0,468.0,0.0
1996-04-30,468.0,468.0,468.0,468.0,0.0
1996-05-02,468.0,468.0,468.0,468.0,0.0
1996-05-03,468.0,468.0,468.0,468.0,0.0
1996-05-04,468.0,468.0,468.0,468.0,0.0
1996-05-06,468.0,468.0,468.0,468.0,0.0
1996-05-07,468.0,468.0,468.0,468.0,0.0
1996-05-08,468.0,468.0,468.0,468.0,0.0
1996-05-09,468.0,468.0,468.0,468.0,0.0
1996-05-10,468.0,468.0,468.0,468.0,0.0
1996-05-11,468.0,468.0,468.0,468.0,0.0
1996-05-13,468.0,468.0,468.0,468.0,0.0
1996-05-14,468.0,468.0,468.0,468.0,0.0
1996-05-15,468.0,468.0,468.0,468.0,0.0
1996-05-16,468.0,468.0,468.0,468.0,0.0
1996-05-17,468.0,468.0,468.0,468.0,0.0
1996-05-18,468.0,468.0,468.0,468.0,0.0
1996-05-20,468.0,468.0,468.0,468.0,0.0
1996-05-21,468.0,468.0,468.0,468.0,0.0
1996-05-22,468.0,468.0,468.0,468.0,0.0
1996-05-23,468.0,468.0,468.0,468.0,0.0
1996-05-25,468.0,468.0,468.0,468.0,0.0
1996-05-27,468.0,468.0,468.0,468.0,0.0
1996-05-28,468.0,468.0,468.0,468.0,0.0
1996-05-29,468.0,468.0,468.0,468.0,1256.0
1996-05-30,468.0,468.0,468.0,468.0,0.0
1996-05-31,468.0,468.0,468.0,468.0,0.0
1996-06-01,468.0,468.0,468.0,468.0,0.0
1996-06-03,468.0,468.0,468.0,468.0,0.0
1996-06-04,468.0,468.0,468.0,468.0,0.0
