Datetime,Open,High,Low,Close,Volume
1993-08-31,1527.0,1527.0,1527.0,1527.0,0.0
1993-09-01,1614.0,1614.0,1614.0,1614.0,0.0
1993-09-02,1700.0,1700.0,1700.0,1700.0,0.0
1993-09-03,1787.0,1787.0,1787.0,1787.0,0.0
1993-09-04,1873.0,1873.0,1873.0,1873.0,0.0
1993-09-06,1960.0,1960.0,1960.0,1960.0,0.0
1993-09-07,2046.0,2046.0,2046.0,2046.0,0.0
1993-09-08,2133.0,2133.0,2133.0,2133.0,0.0
1993-09-09,2219.0,2219.0,2219.0,2219.0,0.0
1993-09-10,2334.0,2334.0,2334.0,2334.0,0.0
1993-09-11,2450.0,2450.0,2450.0,2450.0,0.0
1993-09-13,2565.0,2565.0,2565.0,2565.0,0.0
1993-09-14,2680.0,2680.0,2680.0,2680.0,0.0
1993-09-15,2796.0,2796.0,2796.0,2796.0,2500.0
1993-09-16,2911.0,2911.0,2911.0,2911.0,850.0
1993-09-17,3055.0,3055.0,3055.0,3055.0,11300.0
1993-09-18,3199.0,3199.0,3199.0,3199.0,0.0
1993-09-20,3343.0,3343.0,3315.0,3315.0,20500.0
1993-09-21,3185.0,3315.0,3185.0,3315.0,5000.0
1993-09-22,3243.0,3243.0,3243.0,3243.0,0.0
1993-09-23,3098.0,3098.0,3098.0,3098.0,0.0
1993-09-24,2954.0,2954.0,2954.0,2954.0,0.0
1993-09-25,2810.0,3098.0,2810.0,3098.0,3300.0
1993-09-27,3098.0,3098.0,3098.0,3098.0,0.0
1993-09-28,3026.0,3026.0,3026.0,3026.0,0.0
1993-10-02,3026.0,3026.0,3026.0,3026.0,0.0
1993-10-04,3026.0,3170.0,3026.0,3170.0,650.0
1993-10-05,3315.0,3315.0,3315.0,3315.0,50.0
1993-10-06,3170.0,3415.0,3170.0,3415.0,200.0
1993-10-07,3415.0,3415.0,3415.0,3415.0,0.0
1993-10-08,3271.0,3415.0,3271.0,3271.0,600.0
1993-10-09,3415.0,3415.0,3170.0,3387.0,2550.0
1993-10-11,3459.0,3459.0,3387.0,3387.0,1450.0
1993-10-12,3459.0,3459.0,3459.0,3459.0,2750.0
1993-10-13,3488.0,3488.0,3387.0,3473.0,5650.0
1993-10-14,3545.0,3560.0,3545.0,3545.0,1500.0
1993-10-15,3531.0,3531.0,3531.0,3531.0,0.0
1993-10-16,3531.0,3531.0,3531.0,3531.0,0.0
1993-10-18,3531.0,3531.0,3531.0,3531.0,0.0
1993-10-19,3531.0,3531.0,3531.0,3531.0,0.0
