Datetime,Open,High,Low,Close,Volume
1988-12-24,588.0,588.0,588.0,588.0,0.0
1988-12-26,614.0,614.0,614.0,614.0,0.0
1989-01-04,666.0,666.0,666.0,666.0,93.0
1989-01-05,700.0,700.0,700.0,700.0,2913.0
1989-01-06,735.0,735.0,735.0,735.0,3853.0
1989-01-07,769.0,769.0,769.0,769.0,2443.0
1989-01-09,804.0,804.0,804.0,804.0,16731.0
1989-01-10,839.0,839.0,839.0,839.0,7425.0
1989-01-11,873.0,873.0,873.0,873.0,8271.0
1989-01-12,916.0,916.0,916.0,916.0,12031.0
1989-01-13,960.0,960.0,960.0,960.0,9117.0
1989-01-14,1003.0,1003.0,1003.0,1003.0,6579.0
1989-01-16,1046.0,1046.0,1046.0,1046.0,45871.0
1989-01-17,1081.0,1085.0,1046.0,1059.0,19645.0
1989-01-18,1059.0,1059.0,1016.0,1050.0,3665.0
1989-01-19,1007.0,1007.0,1007.0,1007.0,845.0
1989-01-20,964.0,964.0,964.0,964.0,6673.0
1989-01-21,921.0,921.0,921.0,921.0,4511.0
1989-01-23,877.0,895.0,877.0,886.0,9963.0
1989-01-24,864.0,908.0,864.0,899.0,3665.0
1989-01-25,908.0,942.0,908.0,916.0,1785.0
1989-01-26,929.0,942.0,929.0,942.0,4041.0
1989-01-27,955.0,973.0,955.0,973.0,11185.0
1989-01-28,973.0,994.0,964.0,964.0,20585.0
1989-01-30,960.0,960.0,960.0,960.0,845.0
1989-01-31,916.0,951.0,916.0,929.0,9587.0
1989-02-01,929.0,947.0,929.0,929.0,8929.0
1989-02-02,925.0,929.0,921.0,929.0,1785.0
1989-02-03,942.0,968.0,929.0,947.0,17389.0
1989-02-04,947.0,947.0,929.0,947.0,5639.0
1989-02-08,947.0,947.0,929.0,929.0,1033.0
1989-02-09,938.0,938.0,929.0,929.0,8365.0
1989-02-10,921.0,921.0,921.0,921.0,1221.0
1989-02-11,916.0,916.0,908.0,908.0,68525.0
1989-02-13,929.0,938.0,908.0,925.0,61851.0
1989-02-14,908.0,929.0,908.0,925.0,108005.0
1989-02-15,925.0,938.0,912.0,921.0,171455.0
1989-02-16,908.0,964.0,908.0,964.0,71157.0
1989-02-17,981.0,1003.0,977.0,994.0,226539.0
1989-02-18,1029.0,1033.0,1012.0,1029.0,131035.0
1989-02-20,1037.0,1037.0,1016.0,1025.0,99169.0
1989-02-21,1012.0,1012.0,994.0,1003.0,36471.0
1989-02-22,1003.0,1003.0,981.0,986.0,35061.0
1989-02-23,986.0,986.0,968.0,968.0,17953.0
1989-02-24,960.0,960.0,951.0,960.0,10339.0
1989-02-25,964.0,973.0,960.0,973.0,5075.0
1989-02-27,977.0,986.0,977.0,981.0,6673.0
1989-02-28,986.0,994.0,977.0,990.0,76233.0
1989-03-02,947.0,990.0,947.0,990.0,4511.0
1989-03-03,990.0,1016.0,981.0,1003.0,94187.0
1989-03-04,1016.0,1020.0,1012.0,1012.0,47751.0
1989-03-06,1012.0,1016.0,1012.0,1012.0,26789.0
1989-03-07,1003.0,1007.0,990.0,990.0,1879.0
1989-03-08,1003.0,1029.0,1003.0,1029.0,75763.0
1989-03-09,1046.0,1072.0,1042.0,1059.0,131975.0
1989-03-11,1085.0,1102.0,1085.0,1102.0,23781.0
1989-03-13,1146.0,1146.0,1146.0,1146.0,34779.0
1989-03-14,1189.0,1189.0,1185.0,1185.0,70405.0
1989-03-15,1146.0,1167.0,1141.0,1167.0,158389.0
1989-03-16,1128.0,1163.0,1124.0,1159.0,59877.0
1989-03-17,1180.0,1180.0,1159.0,1167.0,24815.0
1989-03-18,1128.0,1146.0,1128.0,1146.0,3665.0
1989-03-20,1133.0,1189.0,1128.0,1189.0,49537.0
1989-03-21,1176.0,1206.0,1154.0,1206.0,53861.0
1989-03-22,1232.0,1232.0,1176.0,1176.0,48973.0
1989-03-23,1167.0,1189.0,1167.0,1180.0,10903.0
1989-03-24,1189.0,1193.0,1180.0,1180.0,16355.0
1989-03-25,1189.0,1198.0,1189.0,1198.0,26695.0
1989-03-27,1223.0,1223.0,1210.0,1210.0,25943.0
1989-03-28,1202.0,1202.0,1185.0,1189.0,13253.0
1989-03-29,1167.0,1167.0,1146.0,1167.0,6767.0
1989-03-30,1210.0,1210.0,1189.0,1206.0,21431.0
1989-03-31,1215.0,1219.0,1215.0,1219.0,57715.0
1989-04-01,1236.0,1236.0,1232.0,1232.0,22089.0
1989-04-03,1228.0,1228.0,1210.0,1223.0,32053.0
1989-04-04,1189.0,1189.0,1189.0,1189.0,0.0
1989-04-06,1167.0,1180.0,1167.0,1167.0,2349.0
1989-04-07,1167.0,1176.0,1146.0,1176.0,2067.0
1989-04-08,1198.0,1198.0,1198.0,1198.0,4229.0
1989-04-10,1210.0,1210.0,1198.0,1198.0,3759.0
