Datetime,Open,High,Low,Close,Volume
1996-12-24,6571.0,6571.0,6571.0,6571.0,0.0
1996-12-26,6571.0,6571.0,6571.0,6571.0,0.0
1996-12-27,6571.0,6571.0,6571.0,6571.0,0.0
1997-01-03,6571.0,6647.0,6571.0,6571.0,40714.0
1997-01-04,6571.0,6590.0,6571.0,6571.0,54476.0
1997-01-06,6571.0,6590.0,6571.0,6571.0,151666.0
1997-01-07,6571.0,6647.0,6571.0,6647.0,70952.0
1997-01-08,6647.0,6665.0,6571.0,6590.0,272666.0
1997-01-09,6590.0,6778.0,6571.0,6778.0,289666.0
1997-01-10,6741.0,7249.0,6571.0,7155.0,113714.0
1997-01-11,7155.0,7343.0,6967.0,7343.0,102571.0
1997-01-13,7230.0,7438.0,6967.0,6967.0,84333.0
1997-01-14,6967.0,7249.0,6967.0,7061.0,71095.0
1997-01-15,7061.0,7212.0,6986.0,7174.0,93571.0
1997-01-16,7061.0,7155.0,7023.0,7117.0,83285.0
1997-01-17,7155.0,7682.0,7117.0,7325.0,322000.0
1997-01-18,7343.0,7701.0,7343.0,7569.0,144761.0
1997-01-20,7588.0,7701.0,7249.0,7532.0,205904.0
1997-01-21,7532.0,8134.0,7456.0,7908.0,418095.0
1997-01-22,7551.0,8021.0,7551.0,8021.0,242047.0
1997-01-23,8040.0,8511.0,7908.0,8247.0,344428.0
1997-01-24,7645.0,8247.0,7645.0,8247.0,152857.0
1997-01-25,8134.0,8454.0,7908.0,7908.0,95619.0
1997-01-27,7739.0,7814.0,7551.0,7701.0,105904.0
1997-01-28,7494.0,7908.0,7494.0,7494.0,28904.0
1997-01-29,7551.0,7551.0,7212.0,7325.0,68047.0
1997-01-30,7155.0,7532.0,7155.0,7532.0,49333.0
1997-01-31,7532.0,7682.0,7343.0,7438.0,70428.0
1997-02-01,7456.0,7626.0,7438.0,7513.0,57619.0
1997-02-03,7343.0,7833.0,7287.0,7532.0,143619.0
1997-02-04,7551.0,7645.0,7343.0,7400.0,14428.0
1997-02-05,7532.0,7626.0,7400.0,7532.0,53000.0
1997-02-06,7626.0,7776.0,7532.0,7758.0,56428.0
1997-02-10,7908.0,7908.0,7626.0,7701.0,60904.0
1997-02-11,7720.0,7720.0,7456.0,7720.0,51857.0
1997-02-12,7193.0,7532.0,7193.0,7343.0,94476.0
1997-02-13,7532.0,7532.0,7362.0,7362.0,21428.0
1997-02-14,7362.0,7494.0,6967.0,7494.0,35000.0
1997-02-15,7174.0,7682.0,7174.0,7569.0,64952.0
1997-02-17,7438.0,7475.0,7306.0,7475.0,21333.0
1997-02-18,7438.0,7438.0,7268.0,7287.0,24952.0
1997-02-19,7287.0,7343.0,7287.0,7343.0,41523.0
1997-02-20,7155.0,7419.0,7155.0,7362.0,19000.0
1997-02-21,7400.0,7400.0,7061.0,7061.0,45190.0
1997-02-22,7042.0,7343.0,6891.0,7343.0,28190.0
1997-02-24,7061.0,7155.0,7061.0,7155.0,10714.0
1997-02-25,7155.0,7155.0,6986.0,7099.0,14285.0
1997-02-26,6967.0,7494.0,6967.0,7268.0,920476.0
1997-02-27,7343.0,7343.0,7155.0,7212.0,80761.0
1997-02-28,7212.0,7776.0,7212.0,7776.0,399714.0
1997-03-03,7833.0,8097.0,7626.0,7664.0,147380.0
1997-03-04,7645.0,7720.0,7532.0,7645.0,119095.0
1997-03-05,7664.0,8021.0,7664.0,7776.0,204238.0
1997-03-06,7814.0,7889.0,7532.0,7532.0,89619.0
1997-03-07,7569.0,7889.0,7551.0,7664.0,130809.0
1997-03-08,7645.0,7720.0,7626.0,7664.0,71190.0
1997-03-10,8002.0,8002.0,7626.0,7626.0,172285.0
1997-03-11,7626.0,7626.0,7438.0,7438.0,68761.0
1997-03-12,7325.0,7494.0,7325.0,7494.0,74761.0
1997-03-13,7532.0,7814.0,7456.0,7607.0,108190.0
1997-03-14,7532.0,7626.0,7343.0,7419.0,48714.0
1997-03-15,7438.0,7456.0,7306.0,7306.0,62238.0
1997-03-17,7325.0,7438.0,7325.0,7419.0,24809.0
1997-03-18,7343.0,7438.0,7249.0,7438.0,39047.0
1997-03-19,7532.0,7532.0,7343.0,7419.0,61000.0
1997-03-20,7343.0,7419.0,7193.0,7400.0,39666.0
1997-03-21,7400.0,7400.0,7212.0,7212.0,43857.0
1997-03-22,7230.0,7494.0,7212.0,7212.0,15904.0
1997-03-24,7117.0,7117.0,6797.0,6929.0,34904.0
1997-03-25,6967.0,7249.0,6967.0,7249.0,31666.0
1997-03-26,7249.0,7438.0,7061.0,7438.0,42285.0
1997-03-27,7343.0,7400.0,7268.0,7325.0,25714.0
1997-03-28,7249.0,7438.0,7155.0,7438.0,42333.0
1997-03-29,7343.0,7494.0,7325.0,7438.0,31571.0
1997-03-31,7438.0,8021.0,7249.0,8021.0,125333.0
1997-04-01,7419.0,7626.0,7381.0,7381.0,21095.0
1997-04-02,7438.0,7438.0,7268.0,7287.0,62333.0
1997-04-03,7720.0,7720.0,7174.0,7343.0,54904.0
1997-04-04,7381.0,7381.0,7193.0,7343.0,38904.0
1997-04-07,7174.0,7362.0,7174.0,7325.0,20523.0
1997-04-08,7193.0,7381.0,7193.0,7381.0,21666.0
1997-04-09,7325.0,7456.0,7212.0,7456.0,24000.0
1997-04-10,7456.0,7532.0,7343.0,7343.0,39523.0
1997-04-11,7343.0,7532.0,7343.0,7475.0,58857.0
1997-04-12,7475.0,7532.0,7438.0,7456.0,49000.0
1997-04-14,7343.0,7419.0,7249.0,7343.0,21047.0
1997-04-15,7343.0,7343.0,7080.0,7212.0,32285.0
1997-04-16,7061.0,7343.0,7061.0,7306.0,33904.0
1997-04-17,7155.0,7343.0,7061.0,7117.0,4571.0
1997-04-18,7155.0,7343.0,7155.0,7155.0,30619.0
1997-04-19,7174.0,7419.0,7174.0,7268.0,28476.0
1997-04-21,7343.0,7419.0,7193.0,7268.0,22428.0
1997-04-22,7193.0,7268.0,7117.0,7268.0,57904.0
1997-04-23,7155.0,7456.0,7155.0,7456.0,55380.0
1997-04-24,7513.0,8040.0,7513.0,8021.0,323095.0
1997-04-25,8021.0,8021.0,7720.0,7833.0,103619.0
1997-04-26,7908.0,7908.0,7664.0,7889.0,82619.0
1997-04-28,7551.0,7833.0,7551.0,7551.0,40047.0
1997-04-29,7626.0,7626.0,7381.0,7438.0,17142.0
1997-04-30,7475.0,7532.0,7343.0,7343.0,43809.0
1997-05-02,7532.0,7626.0,7343.0,7532.0,48571.0
1997-05-03,7532.0,7532.0,7343.0,7438.0,12047.0
1997-05-06,7438.0,7438.0,7249.0,7343.0,14619.0
1997-05-07,7362.0,7400.0,7306.0,7362.0,41714.0
1997-05-08,7268.0,7532.0,7268.0,7532.0,29761.0
1997-05-09,7456.0,7908.0,7362.0,7551.0,79428.0
1997-05-10,7720.0,7814.0,7532.0,7626.0,69809.0
1997-05-12,8097.0,8228.0,7758.0,7776.0,262761.0
1997-05-13,7776.0,7984.0,7513.0,7889.0,99047.0
1997-05-15,8002.0,8172.0,7739.0,7889.0,78904.0
1997-05-16,7889.0,8115.0,7739.0,8021.0,95238.0
1997-05-17,8097.0,8097.0,7889.0,8021.0,77904.0
1997-05-19,8021.0,8643.0,8021.0,8304.0,251380.0
1997-05-20,8379.0,8567.0,8304.0,8323.0,253809.0
1997-05-21,8379.0,8454.0,8002.0,8097.0,77476.0
1997-05-22,8097.0,8191.0,7701.0,7701.0,55523.0
1997-05-23,7833.0,7908.0,7739.0,7833.0,48809.0
1997-05-24,7908.0,8266.0,7871.0,8115.0,75047.0
1997-05-26,8134.0,8247.0,8002.0,8153.0,132857.0
1997-05-27,8172.0,8567.0,8040.0,8567.0,198952.0
1997-05-28,8812.0,8812.0,8097.0,8454.0,101476.0
1997-05-29,8304.0,9095.0,7946.0,8360.0,117619.0
1997-05-30,8379.0,8737.0,8379.0,8398.0,140571.0
1997-05-31,8473.0,8549.0,8379.0,8417.0,77809.0
1997-06-02,8417.0,8473.0,8285.0,8285.0,47285.0
1997-06-03,8210.0,8247.0,7908.0,8021.0,19761.0
1997-06-04,8021.0,8247.0,8021.0,8097.0,36523.0
1997-06-05,8191.0,8473.0,8115.0,8172.0,100000.0
1997-06-07,8304.0,8304.0,8097.0,8172.0,29714.0
1997-06-09,8172.0,8285.0,8021.0,8059.0,60428.0
1997-06-10,8059.0,8191.0,8002.0,8059.0,40761.0
1997-06-11,8097.0,8473.0,8097.0,8285.0,75190.0
1997-06-12,8285.0,8473.0,8191.0,8323.0,87952.0
1997-06-13,8323.0,8549.0,8228.0,8266.0,91523.0
1997-06-14,8285.0,8341.0,8191.0,8266.0,104095.0
1997-06-16,8323.0,8906.0,8266.0,8831.0,244428.0
1997-06-17,8869.0,8906.0,8379.0,8643.0,56523.0
1997-06-18,8473.0,8718.0,8304.0,8304.0,67380.0
1997-06-19,8417.0,8549.0,8304.0,8323.0,63761.0
1997-06-20,8379.0,8718.0,8323.0,8567.0,134904.0
1997-06-21,8662.0,8793.0,8586.0,8643.0,69904.0
1997-06-23,8662.0,8793.0,8567.0,8756.0,105047.0
1997-06-24,8756.0,9226.0,8756.0,8925.0,221476.0
1997-06-25,9000.0,9000.0,8285.0,8925.0,150523.0
1997-06-26,8662.0,9584.0,8662.0,9132.0,366761.0
1997-06-27,9151.0,9170.0,8944.0,9038.0,156000.0
1997-06-28,9000.0,9226.0,9000.0,9226.0,88333.0
1997-06-30,9321.0,9848.0,9245.0,9434.0,451238.0
1997-07-01,9415.0,9773.0,9415.0,9509.0,269142.0
1997-07-02,9603.0,9603.0,9245.0,9415.0,319142.0
1997-07-03,9415.0,9584.0,9151.0,9415.0,93333.0
1997-07-04,9415.0,9490.0,9283.0,9396.0,68523.0
1997-07-05,9415.0,9509.0,9283.0,9396.0,37142.0
1997-07-07,9471.0,9603.0,9396.0,9603.0,131380.0
1997-07-08,9791.0,10356.0,9697.0,10337.0,300000.0
1997-07-09,10545.0,10902.0,9980.0,10300.0,284047.0
1997-07-10,10356.0,10921.0,10243.0,10921.0,190523.0
1997-07-11,11109.0,11486.0,10752.0,11109.0,333428.0
1997-07-12,11109.0,11109.0,10921.0,11109.0,105952.0
1997-07-14,10865.0,10921.0,10224.0,10224.0,118190.0
1997-07-15,10224.0,10224.0,9415.0,9415.0,179666.0
1997-07-16,9321.0,9980.0,9264.0,9697.0,121857.0
1997-07-18,8925.0,9961.0,8925.0,9867.0,92666.0
1997-07-19,10074.0,10356.0,9678.0,9773.0,72952.0
1997-07-21,9697.0,9791.0,9641.0,9641.0,44333.0
1997-07-22,9660.0,9660.0,9038.0,9339.0,114095.0
1997-07-23,9038.0,9603.0,9038.0,9603.0,45952.0
1997-07-24,9132.0,9735.0,9132.0,9415.0,60666.0
1997-07-25,9415.0,9565.0,9245.0,9490.0,109523.0
1997-07-26,9490.0,9961.0,9339.0,9961.0,64523.0
1997-07-28,9923.0,10639.0,9923.0,10545.0,252714.0
1997-07-29,10545.0,10639.0,10356.0,10620.0,92095.0
1997-07-30,10450.0,10639.0,10356.0,10545.0,44714.0
1997-07-31,10507.0,11204.0,10375.0,11204.0,238095.0
1997-08-01,11317.0,11674.0,11015.0,11298.0,375285.0
1997-08-02,11015.0,11241.0,10827.0,11109.0,68952.0
1997-08-04,10902.0,11279.0,10902.0,11109.0,88714.0
1997-08-05,11109.0,11109.0,10752.0,10771.0,75857.0
1997-08-06,10639.0,10846.0,10356.0,10733.0,77571.0
1997-08-07,10639.0,10921.0,10450.0,10620.0,114523.0
1997-08-08,9980.0,10620.0,9980.0,10356.0,72523.0
1997-08-09,10168.0,10356.0,9791.0,10356.0,69333.0
1997-08-11,10545.0,10545.0,10187.0,10262.0,54285.0
1997-08-12,10356.0,10432.0,9904.0,10074.0,60190.0
1997-08-13,9980.0,10375.0,9415.0,10337.0,135857.0
1997-08-14,10262.0,10639.0,10168.0,10620.0,148761.0
1997-08-16,10450.0,10865.0,10262.0,10507.0,21857.0
1997-08-18,10507.0,10545.0,10262.0,10337.0,64952.0
1997-08-19,10093.0,10450.0,9791.0,9791.0,65666.0
1997-08-20,9980.0,10356.0,9980.0,10262.0,105238.0
1997-08-21,10356.0,11015.0,10168.0,10733.0,219428.0
1997-08-22,10940.0,11015.0,10545.0,10733.0,170285.0
1997-08-23,10752.0,10997.0,10733.0,10959.0,87761.0
1997-08-25,10959.0,11147.0,10827.0,11053.0,324428.0
1997-08-26,11053.0,11109.0,10827.0,10921.0,155619.0
1997-08-27,10733.0,10921.0,10130.0,10130.0,71666.0
1997-08-28,10224.0,10224.0,9603.0,9603.0,88666.0
1997-08-29,9434.0,9886.0,9415.0,9415.0,78952.0
1997-08-30,9415.0,9980.0,9415.0,9980.0,41095.0
1997-09-01,9980.0,9980.0,9415.0,9415.0,19142.0
1997-09-02,9415.0,9697.0,9132.0,9603.0,99238.0
1997-09-03,9321.0,9886.0,9321.0,9886.0,68238.0
1997-09-04,9980.0,9980.0,9603.0,9603.0,14238.0
1997-09-05,9509.0,9848.0,9452.0,9791.0,22238.0
1997-09-06,9980.0,10356.0,9980.0,10055.0,70238.0
1997-09-08,9980.0,10281.0,9697.0,9754.0,30714.0
1997-09-09,10055.0,10055.0,9697.0,9980.0,65285.0
1997-09-10,9886.0,10149.0,9886.0,10149.0,46238.0
1997-09-11,10074.0,10149.0,9791.0,9980.0,61666.0
1997-09-12,9603.0,10224.0,9603.0,10055.0,65333.0
1997-09-13,10055.0,10149.0,9980.0,10093.0,23761.0
1997-09-18,9886.0,10074.0,9829.0,9980.0,38523.0
1997-09-19,9829.0,9980.0,9603.0,9886.0,86380.0
1997-09-20,9810.0,9923.0,9622.0,9622.0,12571.0
1997-09-22,9603.0,9773.0,9396.0,9622.0,57380.0
1997-09-23,9415.0,9791.0,9415.0,9791.0,50809.0
1997-09-24,9697.0,9867.0,9603.0,9791.0,27285.0
1997-09-25,9415.0,9697.0,9415.0,9415.0,12571.0
1997-09-26,9038.0,9377.0,8662.0,8756.0,82904.0
1997-09-27,8756.0,9226.0,8756.0,9132.0,53761.0
1997-09-29,9038.0,9358.0,9038.0,9226.0,28809.0
1997-09-30,9226.0,9415.0,9226.0,9245.0,19380.0
1997-10-01,8925.0,9415.0,8925.0,9245.0,12904.0
1997-10-02,9132.0,9490.0,9132.0,9415.0,116904.0
1997-10-04,9415.0,9603.0,9415.0,9565.0,33809.0
1997-10-06,9415.0,9603.0,9415.0,9509.0,16809.0
1997-10-07,9321.0,9603.0,9321.0,9603.0,27190.0
1997-10-08,9321.0,9603.0,9038.0,9038.0,42571.0
1997-10-09,9415.0,9415.0,8323.0,8323.0,58380.0
1997-10-10,8323.0,8417.0,7814.0,8002.0,62619.0
1997-10-11,8097.0,8643.0,8097.0,8567.0,47333.0
1997-10-13,8097.0,8925.0,8097.0,8567.0,75047.0
1997-10-14,8680.0,9226.0,8567.0,9132.0,79380.0
1997-10-15,9132.0,9302.0,8831.0,9132.0,50333.0
1997-10-16,8850.0,9264.0,8850.0,8944.0,47714.0
1997-10-17,9132.0,9226.0,9038.0,9226.0,30333.0
1997-10-18,9415.0,9415.0,8850.0,9377.0,34476.0
1997-10-20,9226.0,9226.0,8662.0,9019.0,8000.0
1997-10-21,8662.0,9226.0,8473.0,8887.0,48952.0
1997-10-22,8304.0,9415.0,8304.0,8775.0,28285.0
1997-10-23,8662.0,8662.0,8078.0,8266.0,582428.0
1997-10-24,8191.0,8191.0,7607.0,7607.0,69571.0
1997-10-25,7607.0,7607.0,7004.0,7004.0,69333.0
1997-10-27,6835.0,7362.0,6458.0,6458.0,85666.0
1997-10-28,6044.0,6383.0,5950.0,5950.0,69428.0
1997-10-29,5667.0,5950.0,5479.0,5498.0,217666.0
1997-10-30,5366.0,5762.0,5366.0,5554.0,170904.0
1997-10-31,5554.0,5743.0,5498.0,5554.0,77571.0
1997-11-01,5554.0,5988.0,5554.0,5988.0,47428.0
