Datetime,Open,High,Low,Close,Volume
1996-08-24,1122.0,1122.0,1122.0,1122.0,0.0
1996-08-26,1122.0,1122.0,1122.0,1122.0,0.0
1996-08-27,1122.0,1122.0,1122.0,1122.0,0.0
1996-08-28,1122.0,1122.0,1122.0,1122.0,0.0
1996-08-29,1122.0,1122.0,1122.0,1122.0,0.0
1996-08-30,1122.0,1122.0,1122.0,1122.0,0.0
1996-08-31,1122.0,1122.0,1122.0,1122.0,0.0
1996-09-02,1180.0,1180.0,1180.0,1180.0,0.0
1996-09-03,1237.0,1237.0,1237.0,1237.0,0.0
1996-09-04,1295.0,1295.0,1295.0,1295.0,0.0
1996-09-05,1353.0,1353.0,1353.0,1353.0,0.0
1996-09-06,1410.0,1410.0,1410.0,1410.0,0.0
1996-09-07,1468.0,1468.0,1468.0,1468.0,0.0
1996-09-09,1540.0,1540.0,1540.0,1540.0,4000.0
1996-09-10,1612.0,1612.0,1612.0,1612.0,0.0
1996-09-11,1684.0,1684.0,1684.0,1684.0,570.0
1996-09-12,1756.0,1756.0,1756.0,1756.0,3220.0
1996-09-13,1827.0,1827.0,1827.0,1827.0,0.0
1996-09-14,1899.0,1899.0,1899.0,1899.0,0.0
1996-09-16,1971.0,1971.0,1971.0,1971.0,4000.0
1996-09-17,2067.0,2067.0,2067.0,2067.0,1000.0
1996-09-18,2163.0,2163.0,2163.0,2163.0,1430.0
1996-09-19,2259.0,2259.0,2072.0,2207.0,42840.0
1996-09-20,2231.0,2302.0,2207.0,2302.0,2560.0
1996-09-21,2398.0,2398.0,2398.0,2398.0,2000.0
1996-09-23,2542.0,2542.0,2538.0,2538.0,5410.0
1996-09-24,2494.0,2494.0,2394.0,2394.0,4580.0
1996-09-25,2302.0,2307.0,2298.0,2298.0,2150.0
1996-09-30,2298.0,2298.0,2298.0,2298.0,0.0
1996-10-01,2111.0,2111.0,2106.0,2202.0,1700.0
1996-10-02,2106.0,2106.0,2106.0,2106.0,0.0
1996-10-04,1967.0,1967.0,1967.0,2010.0,2200.0
1996-10-05,1967.0,1967.0,1967.0,1967.0,2200.0
1996-10-07,1991.0,1991.0,1991.0,1991.0,2980.0
1996-10-08,2015.0,2015.0,1991.0,1991.0,6250.0
1996-10-09,1991.0,1991.0,1895.0,1895.0,5740.0
1996-10-10,1827.0,1827.0,1823.0,1823.0,5600.0
1996-10-11,1751.0,1751.0,1751.0,1751.0,5950.0
1996-10-12,1703.0,1727.0,1684.0,1727.0,2910.0
1996-10-14,1727.0,1799.0,1727.0,1799.0,3720.0
1996-10-15,1799.0,1871.0,1799.0,1871.0,1600.0
1996-10-16,1943.0,1943.0,1943.0,1943.0,3000.0
1996-10-17,2039.0,2039.0,2039.0,2039.0,1000.0
1996-10-18,2135.0,2135.0,2087.0,2135.0,1500.0
1996-10-19,2231.0,2231.0,2231.0,2231.0,1840.0
1996-10-21,2326.0,2326.0,2183.0,2183.0,8500.0
