Datetime,Open,High,Low,Close,Volume
2009-10-30,4872.0,4899.0,4768.0,4899.0,13084.0
2009-11-02,4624.0,4741.0,4624.0,4732.0,647.0
2009-11-03,4759.0,4759.0,4696.0,4723.0,248.0
2009-11-04,4768.0,4832.0,4759.0,4832.0,344.0
2009-11-05,4822.0,4822.0,4750.0,4750.0,1028.0
2009-11-06,4804.0,4813.0,4786.0,4795.0,46.0
2009-11-09,4886.0,4940.0,4886.0,4913.0,3895.0
2009-11-10,5648.0,5648.0,4922.0,4926.0,4360.0
2009-11-11,4926.0,4985.0,4913.0,4976.0,2526.0
2009-11-12,5639.0,5639.0,4962.0,4967.0,2526.0
2009-11-13,5007.0,5007.0,4895.0,4940.0,1533.0
2009-11-16,5414.0,5414.0,4949.0,5089.0,2214.0
2009-11-17,5084.0,5138.0,5053.0,5066.0,2111.0
2009-11-18,5066.0,5174.0,5066.0,5174.0,2776.0
2009-11-19,5192.0,5197.0,5089.0,5129.0,5708.0
2009-11-20,5147.0,5183.0,5138.0,5147.0,1126.0
2009-11-23,5197.0,5197.0,5120.0,5147.0,1511.0
2009-11-24,5188.0,5188.0,5107.0,5138.0,1580.0
2009-11-25,5215.0,5215.0,5098.0,5129.0,65261.0
2009-11-26,5229.0,5229.0,4931.0,4962.0,9859.0
2009-11-27,4913.0,4913.0,4534.0,4534.0,15092.0
2009-11-30,4759.0,4935.0,4705.0,4935.0,4893.0
2009-12-01,4728.0,4782.0,4642.0,4705.0,5050.0
2009-12-02,4868.0,4868.0,4755.0,4782.0,9235.0
2009-12-03,4872.0,4872.0,4759.0,4859.0,2917.0
2009-12-04,4859.0,4859.0,4804.0,4832.0,3876.0
2009-12-07,4854.0,4868.0,4800.0,4859.0,4878.0
2009-12-08,5062.0,5062.0,4822.0,4868.0,1661.0
2009-12-09,4859.0,4859.0,4759.0,4841.0,1033.0
2009-12-10,4845.0,4872.0,4786.0,4850.0,2326.0
2009-12-11,4868.0,4899.0,4850.0,4899.0,5983.0
2009-12-14,4917.0,5012.0,4850.0,5007.0,9392.0
2009-12-15,4962.0,4962.0,4908.0,4922.0,10948.0
2009-12-16,4908.0,4958.0,4890.0,4940.0,5087.0
2009-12-17,4940.0,4940.0,4872.0,4886.0,2119.0
2009-12-18,4863.0,4877.0,4827.0,4877.0,1019.0
2009-12-21,5048.0,5048.0,4804.0,4809.0,3497.0
2009-12-22,4868.0,4917.0,4859.0,4917.0,7003.0
2009-12-23,4917.0,4940.0,4899.0,4899.0,975.0
2009-12-24,5071.0,5071.0,4899.0,5003.0,6485.0
2009-12-28,5752.0,5752.0,5120.0,5138.0,14944.0
2009-12-29,5346.0,5346.0,5102.0,5129.0,6643.0
2009-12-30,5287.0,5287.0,5035.0,5071.0,920.0
2010-01-04,5071.0,5152.0,5071.0,5152.0,1394.0
2010-01-05,5125.0,5147.0,5093.0,5143.0,5001.0
2010-01-06,5147.0,5229.0,5143.0,5188.0,1791.0
2010-01-07,5233.0,5233.0,5138.0,5174.0,6587.0
2010-01-08,5201.0,5201.0,5143.0,5183.0,2734.0
2010-01-11,5323.0,5355.0,5188.0,5341.0,14660.0
2010-01-12,5346.0,5346.0,5269.0,5296.0,6135.0
2010-01-13,5305.0,5305.0,5233.0,5256.0,1687.0
2010-01-14,5233.0,5301.0,5188.0,5229.0,2523.0
2010-01-15,5305.0,5305.0,5197.0,5211.0,304.0
2010-01-18,5296.0,5296.0,5156.0,5229.0,2544.0
2010-01-19,5238.0,5269.0,5229.0,5242.0,478.0
2010-01-20,5269.0,5269.0,5192.0,5192.0,2737.0
2010-01-21,5192.0,5256.0,5170.0,5256.0,548.0
2010-01-22,5220.0,5220.0,5120.0,5143.0,2789.0
2010-01-25,5238.0,5238.0,4931.0,4958.0,7025.0
2010-01-26,5129.0,5129.0,4795.0,4800.0,5850.0
2010-01-27,4890.0,4890.0,4732.0,4777.0,2049.0
2010-01-28,4895.0,4895.0,4723.0,4872.0,485.0
2010-01-29,5039.0,5039.0,4746.0,4777.0,1519.0
