Datetime,Open,High,Low,Close,Volume
2009-12-30,9766.0,9766.0,8301.0,8301.0,155982.0
2010-01-04,7062.0,7926.0,7062.0,7062.0,447737.0
2010-01-05,7062.0,7550.0,6986.0,7062.0,475225.0
2010-01-06,7287.0,7287.0,7024.0,7024.0,158831.0
2010-01-07,7024.0,7099.0,6498.0,6648.0,229481.0
2010-01-08,6686.0,6836.0,6536.0,6611.0,114586.0
2010-01-11,6611.0,6986.0,6611.0,6686.0,101613.0
2010-01-12,6761.0,6836.0,6686.0,6799.0,66559.0
2010-01-13,6799.0,6836.0,6498.0,6611.0,71493.0
2010-01-14,6573.0,6723.0,6461.0,6498.0,53901.0
2010-01-15,6498.0,6799.0,6498.0,6686.0,89688.0
2010-01-18,6723.0,6723.0,6536.0,6648.0,55606.0
2010-01-19,6573.0,6686.0,6498.0,6536.0,60821.0
2010-01-20,6573.0,6611.0,6385.0,6423.0,55790.0
2010-01-21,6348.0,6461.0,6348.0,6423.0,53889.0
2010-01-22,6385.0,6385.0,6198.0,6310.0,54201.0
2010-01-25,6273.0,6423.0,6160.0,6235.0,52714.0
2010-01-26,6310.0,7137.0,6235.0,6949.0,423773.0
2010-01-27,6986.0,7024.0,6423.0,6611.0,144557.0
2010-01-28,6723.0,6761.0,6385.0,6461.0,63553.0
2010-01-29,6273.0,6461.0,6122.0,6310.0,64889.0
2010-02-01,6198.0,6498.0,6122.0,6198.0,67943.0
2010-02-02,6198.0,6273.0,6122.0,6160.0,70248.0
2010-02-03,6235.0,6310.0,6160.0,6198.0,25097.0
2010-02-04,6348.0,6423.0,6198.0,6235.0,47755.0
2010-02-05,6047.0,6160.0,5935.0,6010.0,68089.0
2010-02-08,6122.0,6122.0,5860.0,5860.0,43526.0
2010-02-09,5822.0,5897.0,5709.0,5822.0,30567.0
2010-02-10,5860.0,5897.0,5747.0,5784.0,22950.0
2010-02-11,5822.0,5860.0,5747.0,5784.0,21278.0
2010-02-12,5784.0,5935.0,5784.0,5860.0,40003.0
2010-02-16,5860.0,6122.0,5822.0,5897.0,34978.0
2010-02-17,5897.0,6085.0,5897.0,5972.0,40753.0
2010-02-18,5935.0,6047.0,5897.0,5972.0,17697.0
2010-02-19,5972.0,6010.0,5822.0,5897.0,35796.0
2010-02-22,5897.0,6010.0,5897.0,5972.0,19198.0
2010-02-23,5972.0,6010.0,5860.0,5972.0,34820.0
2010-02-24,5860.0,5972.0,5860.0,5897.0,18632.0
2010-02-25,5897.0,5972.0,5822.0,5860.0,34146.0
2010-02-26,5860.0,5935.0,5822.0,5860.0,18432.0
