Datetime,Open,High,Low,Close,Volume
2014-12-17,11617.0,11625.0,11535.0,11587.0,364451.0
2014-12-18,11672.0,11672.0,11390.0,11476.0,2909.0
2014-12-19,11540.0,11557.0,11459.0,11480.0,1265.0
2014-12-22,11476.0,11561.0,11476.0,11561.0,1530.0
2014-12-23,11574.0,11574.0,11523.0,11523.0,1280.0
2014-12-24,11561.0,11617.0,11527.0,11578.0,2000.0
2014-12-26,11578.0,11638.0,11578.0,11617.0,1019.0
2014-12-29,11715.0,11728.0,11668.0,11677.0,334.0
2014-12-30,11651.0,11655.0,11544.0,11574.0,804.0
2015-01-02,11488.0,11621.0,11480.0,11621.0,235.0
2015-01-05,11625.0,11702.0,11604.0,11689.0,329.0
2015-01-06,11595.0,11651.0,11531.0,11583.0,905.0
2015-01-07,11531.0,11570.0,11518.0,11544.0,165.0
2015-01-08,11583.0,11659.0,11578.0,11638.0,168.0
2015-01-09,11685.0,11809.0,11685.0,11732.0,323.0
2015-01-12,11843.0,11852.0,11796.0,11852.0,388.0
2015-01-13,11865.0,11963.0,11852.0,11937.0,10371.0
2015-01-14,11942.0,11942.0,11831.0,11899.0,6087.0
2015-01-15,11852.0,11946.0,11848.0,11946.0,7638.0
2015-01-16,11903.0,11903.0,11826.0,11895.0,5547.0
2015-01-19,11933.0,11980.0,11907.0,11907.0,116.0
2015-01-20,11955.0,11989.0,11933.0,11989.0,2620.0
2015-01-21,12014.0,12108.0,12014.0,12096.0,1140.0
2015-01-22,12121.0,12121.0,12036.0,12113.0,1096.0
2015-01-23,12198.0,12198.0,12053.0,12066.0,20600.0
2015-01-26,12100.0,12100.0,12014.0,12061.0,159.0
2015-01-27,12079.0,12121.0,12057.0,12113.0,80.0
2015-01-28,12113.0,12275.0,12113.0,12267.0,4912.0
2015-01-29,12220.0,12237.0,12185.0,12237.0,43.0
2015-01-30,12241.0,12284.0,12181.0,12284.0,773.0
2015-02-02,12297.0,12301.0,12245.0,12301.0,1570.0
2015-02-03,12309.0,12309.0,12177.0,12275.0,12282.0
2015-02-04,12352.0,12382.0,12352.0,12378.0,33216.0
2015-02-05,12382.0,12403.0,12301.0,12403.0,429.0
2015-02-06,12399.0,12399.0,12318.0,12335.0,7992.0
2015-02-09,12327.0,12327.0,12250.0,12258.0,851.0
2015-02-10,12250.0,12275.0,12160.0,12241.0,518.0
2015-02-11,12284.0,12284.0,12203.0,12258.0,155.0
2015-02-12,12267.0,12309.0,12241.0,12297.0,1359.0
2015-02-13,12361.0,12361.0,12284.0,12361.0,3057.0
2015-02-16,12348.0,12348.0,12271.0,12275.0,2096.0
2015-02-17,12271.0,12292.0,12220.0,12292.0,331.0
2015-02-23,12378.0,12425.0,12365.0,12421.0,802.0
2015-02-24,12399.0,12579.0,12352.0,12545.0,556.0
2015-02-25,12545.0,12694.0,12545.0,12673.0,543.0
2015-02-26,12664.0,12664.0,12592.0,12613.0,1290.0
2015-02-27,12656.0,12681.0,12600.0,12639.0,1524.0
2015-03-02,12664.0,12664.0,12574.0,12647.0,1774.0
2015-03-03,12660.0,12660.0,12553.0,12634.0,1169.0
2015-03-04,12587.0,12639.0,12587.0,12639.0,123.0
2015-03-05,12613.0,12647.0,12540.0,12647.0,666.0
2015-03-06,12651.0,12651.0,12527.0,12634.0,1990.0
2015-03-09,12549.0,12617.0,12485.0,12527.0,3207.0
2015-03-10,12566.0,12570.0,12472.0,12532.0,824.0
2015-03-11,12395.0,12455.0,12395.0,12429.0,3093.0
2015-03-12,12433.0,12468.0,12378.0,12468.0,8433.0
2015-03-13,12536.0,12600.0,12476.0,12583.0,1046.0
2015-03-16,12562.0,12634.0,12562.0,12634.0,331.0
2015-03-17,12656.0,12741.0,12647.0,12741.0,395.0
2015-03-18,12733.0,12754.0,12656.0,12673.0,362206.0
2015-03-19,12741.0,12775.0,12698.0,12750.0,1721.0
2015-03-20,12716.0,12831.0,12707.0,12831.0,474.0
2015-03-23,12831.0,12861.0,12788.0,12831.0,31212.0
2015-03-24,12818.0,12878.0,12814.0,12878.0,1174.0
2015-03-25,12882.0,12994.0,12878.0,12994.0,41699.0
2015-03-26,12989.0,12989.0,12921.0,12972.0,1097.0
2015-03-27,13006.0,13006.0,12912.0,12951.0,2259.0
2015-03-30,12951.0,13070.0,12951.0,13062.0,14432.0
2015-03-31,13079.0,13135.0,13062.0,13135.0,35881.0
2015-04-01,13122.0,13186.0,13092.0,13186.0,27376.0
2015-04-02,13207.0,13254.0,13169.0,13207.0,13656.0
2015-04-03,13207.0,13246.0,13152.0,13229.0,2652.0
2015-04-06,13246.0,13370.0,13246.0,13361.0,29331.0
2015-04-07,13408.0,13455.0,13340.0,13387.0,38976.0
2015-04-08,13374.0,13417.0,13348.0,13417.0,34462.0
2015-04-09,13408.0,13494.0,13408.0,13442.0,3310.0
2015-04-10,13494.0,13639.0,13442.0,13631.0,12445.0
2015-04-13,13652.0,13665.0,13528.0,13605.0,22436.0
2015-04-14,13605.0,13631.0,13383.0,13562.0,6187.0
2015-04-15,13558.0,13643.0,13472.0,13643.0,33308.0
2015-04-16,13601.0,13682.0,13528.0,13648.0,29575.0
2015-04-17,13699.0,13840.0,13631.0,13840.0,1878.0
2015-04-20,13780.0,13802.0,13673.0,13772.0,10264.0
2015-04-21,13832.0,13866.0,13725.0,13844.0,47285.0
2015-04-22,13879.0,13879.0,13554.0,13678.0,9104.0
2015-04-23,13703.0,13785.0,13588.0,13767.0,5030.0
2015-04-24,13832.0,13887.0,13661.0,13699.0,6006.0
2015-04-27,13870.0,13938.0,13810.0,13938.0,45599.0
2015-04-28,13990.0,13990.0,13904.0,13909.0,2698.0
2015-04-29,13956.0,13978.0,13800.0,13978.0,3321.0
2015-04-30,13956.0,13956.0,13757.0,13822.0,43073.0
2015-05-04,13878.0,13878.0,13684.0,13839.0,10360.0
2015-05-06,13848.0,13848.0,13510.0,13584.0,10719.0
2015-05-07,13567.0,13567.0,13195.0,13489.0,13603.0
2015-05-08,13489.0,13697.0,13454.0,13697.0,1374.0
2015-05-11,13792.0,14056.0,13792.0,14038.0,2577.0
2015-05-12,14060.0,14060.0,13943.0,13991.0,2190.0
2015-05-13,14030.0,14151.0,13965.0,14151.0,2165.0
2015-05-14,14151.0,14315.0,14133.0,14276.0,1979.0
2015-05-15,14324.0,14324.0,14229.0,14298.0,5134.0
2015-05-18,14350.0,14397.0,14285.0,14397.0,3891.0
2015-05-19,14428.0,14436.0,14315.0,14406.0,6776.0
2015-05-20,14389.0,14536.0,14328.0,14536.0,2823.0
2015-05-21,14536.0,14553.0,14376.0,14510.0,14542.0
2015-05-22,14553.0,14674.0,14493.0,14657.0,69639.0
2015-05-26,14653.0,14761.0,14566.0,14700.0,11119.0
2015-05-27,14614.0,14614.0,14354.0,14445.0,53221.0
2015-05-28,14449.0,14666.0,14449.0,14562.0,7320.0
2015-05-29,14514.0,14873.0,14514.0,14748.0,191269.0
2015-06-01,14778.0,14852.0,14579.0,14839.0,201212.0
2015-06-02,14808.0,15315.0,14540.0,14562.0,24861.0
2015-06-03,14549.0,14635.0,14441.0,14501.0,7391.0
2015-06-04,14510.0,14635.0,14449.0,14475.0,4968.0
2015-06-05,14488.0,14566.0,14350.0,14467.0,22908.0
2015-06-08,14519.0,14579.0,14419.0,14579.0,3746.0
