Datetime,Open,High,Low,Close,Volume
2015-10-07,6373.0,6383.0,6100.0,6100.0,5953.0
2015-10-08,6100.0,6115.0,5974.0,6047.0,2860.0
2015-10-12,6022.0,6047.0,5876.0,5876.0,10718.0
2015-10-13,5896.0,5930.0,5706.0,5827.0,8610.0
2015-10-14,5793.0,5818.0,5759.0,5759.0,1370.0
2015-10-15,5759.0,5847.0,5759.0,5832.0,1321.0
2015-10-16,5881.0,5944.0,5881.0,5935.0,1896.0
2015-10-19,5959.0,5959.0,5818.0,5818.0,633.0
2015-10-20,5837.0,5852.0,5808.0,5852.0,226.0
2015-10-21,5871.0,5871.0,5788.0,5808.0,2222.0
2015-10-22,5793.0,5823.0,5745.0,5823.0,440.0
2015-10-23,5827.0,5862.0,5784.0,5808.0,285.0
2015-10-26,5842.0,5866.0,5774.0,5866.0,668.0
2015-10-27,5847.0,5847.0,5788.0,5793.0,200.0
2015-10-28,5857.0,5979.0,5832.0,5979.0,12240.0
2015-10-29,5988.0,6022.0,5940.0,5940.0,3043.0
2015-10-30,5954.0,5954.0,5871.0,5905.0,1065.0
2015-11-02,5920.0,5920.0,5784.0,5852.0,17.0
2015-11-03,5886.0,5896.0,5847.0,5857.0,205.0
2015-11-04,5871.0,5944.0,5871.0,5920.0,264.0
2015-11-05,5896.0,5920.0,5896.0,5920.0,271.0
2015-11-06,5891.0,5988.0,5871.0,5901.0,2638.0
2015-11-09,5901.0,5901.0,5676.0,5686.0,4574.0
2015-11-10,5589.0,5603.0,5457.0,5511.0,4642.0
2015-11-11,5525.0,5530.0,5482.0,5530.0,241.0
2015-11-12,5608.0,5608.0,5564.0,5579.0,133.0
2015-11-13,5511.0,5574.0,5467.0,5574.0,26.0
2015-11-16,5477.0,5589.0,5462.0,5589.0,315.0
2015-11-17,5715.0,5764.0,5618.0,5647.0,1510.0
2015-11-18,5628.0,5628.0,5550.0,5555.0,281.0
2015-11-19,5555.0,5657.0,5555.0,5657.0,569.0
2015-11-20,5637.0,5667.0,5633.0,5662.0,125.0
2015-11-23,5662.0,5798.0,5662.0,5774.0,4007.0
2015-11-24,5808.0,5891.0,5769.0,5891.0,1356.0
2015-11-25,5920.0,5949.0,5901.0,5930.0,11136.0
2015-11-26,6003.0,6018.0,5974.0,5974.0,4716.0
2015-11-27,6008.0,6042.0,5944.0,6042.0,361.0
2015-11-30,6032.0,6032.0,5905.0,5969.0,564.0
2015-12-01,6047.0,6100.0,6047.0,6086.0,2362.0
2015-12-02,6120.0,6169.0,6071.0,6125.0,767.0
2015-12-03,6100.0,6100.0,6008.0,6052.0,1034.0
2015-12-04,5979.0,6037.0,5959.0,5988.0,1170.0
2015-12-07,5969.0,5969.0,5915.0,5915.0,238.0
2015-12-08,5862.0,5862.0,5808.0,5823.0,35.0
2015-12-09,5871.0,5876.0,5793.0,5793.0,156.0
2015-12-10,5774.0,5793.0,5676.0,5706.0,1497.0
2015-12-11,5720.0,5750.0,5657.0,5657.0,659.0
2015-12-14,5535.0,5535.0,5447.0,5472.0,770.0
2015-12-15,5540.0,5555.0,5540.0,5555.0,1829.0
2015-12-16,5633.0,5779.0,5633.0,5730.0,3397.0
2015-12-17,5798.0,5842.0,5754.0,5788.0,1822.0
2015-12-18,5754.0,5818.0,5720.0,5818.0,4347.0
2015-12-21,5852.0,5876.0,5852.0,5876.0,99.0
