Datetime,Open,High,Low,Close,Volume
2017-08-01,10075.0,10075.0,9970.0,10020.0,15.0
2017-08-02,9990.0,9990.0,9940.0,9955.0,18.0
2017-08-03,10015.0,10210.0,10015.0,10210.0,20.0
2017-08-04,10260.0,10320.0,10220.0,10260.0,10.0
2017-08-07,13335.0,13335.0,10070.0,10080.0,56.0
2017-08-08,10015.0,10090.0,10005.0,10040.0,166.0
2017-08-09,10120.0,10160.0,10060.0,10160.0,53.0
2017-08-10,10120.0,10225.0,10105.0,10150.0,82.0
2017-08-11,10320.0,10365.0,10215.0,10365.0,1013.0
2017-08-14,10360.0,10360.0,10270.0,10310.0,83027.0
2017-08-16,10245.0,10245.0,10150.0,10150.0,133122.0
2017-08-17,10120.0,10135.0,9995.0,9995.0,104037.0
2017-08-18,10050.0,10115.0,9960.0,9995.0,174736.0
2017-08-21,10000.0,10060.0,9990.0,10035.0,220105.0
2017-08-22,10020.0,10045.0,9955.0,9985.0,207414.0
2017-08-23,9955.0,10000.0,9930.0,9995.0,166052.0
2017-08-24,9965.0,9985.0,9950.0,9955.0,133360.0
2017-08-25,9930.0,9940.0,9890.0,9895.0,219868.0
2017-08-28,9935.0,9935.0,9810.0,9810.0,208276.0
2017-08-29,9915.0,9915.0,9805.0,9840.0,259683.0
2017-08-30,9715.0,9855.0,9715.0,9820.0,117057.0
2017-08-31,9765.0,9815.0,9755.0,9770.0,179621.0
2017-09-01,9710.0,9745.0,9650.0,9685.0,246851.0
2017-09-04,9915.0,9925.0,9755.0,9830.0,43503.0
2017-09-05,9745.0,9870.0,9745.0,9830.0,148619.0
2017-09-06,9865.0,9865.0,9740.0,9740.0,160605.0
2017-09-07,9635.0,9720.0,9595.0,9705.0,135708.0
2017-09-08,9655.0,9705.0,9650.0,9705.0,256137.0
2017-09-11,9625.0,9675.0,9595.0,9645.0,195193.0
2017-09-12,9590.0,9650.0,9575.0,9590.0,117098.0
2017-09-13,9565.0,9625.0,9550.0,9625.0,113805.0
2017-09-14,9595.0,9595.0,9440.0,9485.0,862179.0
2017-09-15,9440.0,9440.0,9275.0,9285.0,277721.0
2017-09-18,9220.0,9230.0,9140.0,9180.0,1519523.0
2017-09-19,9205.0,9260.0,9170.0,9190.0,1077565.0
2017-09-20,9190.0,9250.0,9090.0,9250.0,1386110.0
2017-09-21,9235.0,9405.0,9235.0,9330.0,1365111.0
2017-09-22,9330.0,9450.0,9330.0,9410.0,1492203.0
2017-09-25,9280.0,9435.0,9280.0,9370.0,1241925.0
2017-09-26,9470.0,9470.0,9310.0,9335.0,1319923.0
2017-09-27,9335.0,9350.0,9250.0,9270.0,1348630.0
2017-09-28,9265.0,9305.0,9220.0,9305.0,1464499.0
2017-09-29,9280.0,9340.0,9275.0,9310.0,1352070.0
2017-10-10,9255.0,9255.0,9185.0,9230.0,112940.0
2017-10-11,9145.0,9150.0,9130.0,9135.0,171584.0
2017-10-12,9125.0,9125.0,9035.0,9035.0,177824.0
2017-10-13,8980.0,9070.0,8840.0,9035.0,193650.0
2017-10-16,8980.0,9100.0,8975.0,8980.0,80436.0
2017-10-17,8930.0,8930.0,8680.0,8680.0,190668.0
2017-10-18,8690.0,8700.0,8570.0,8665.0,192337.0
2017-10-19,8600.0,8770.0,8600.0,8765.0,1219268.0
2017-10-20,8790.0,8790.0,8645.0,8645.0,222060.0
2017-10-23,8605.0,8620.0,8575.0,8620.0,223576.0
2017-10-24,8590.0,8590.0,8375.0,8380.0,366873.0
2017-10-25,8380.0,8435.0,8350.0,8365.0,395192.0
2017-10-26,8420.0,8535.0,8380.0,8535.0,357539.0
2017-10-27,8535.0,8535.0,8350.0,8355.0,438996.0
2017-10-30,8270.0,8365.0,8270.0,8345.0,243525.0
2017-10-31,8345.0,8350.0,8285.0,8295.0,326080.0
2017-11-01,8280.0,8285.0,8245.0,8285.0,654073.0
2017-11-02,8270.0,8345.0,8210.0,8260.0,1276897.0
2017-11-03,8240.0,8240.0,8160.0,8160.0,1213156.0
2017-11-06,8125.0,8175.0,8075.0,8095.0,2149285.0
2017-11-07,8095.0,8215.0,8095.0,8175.0,732399.0
2017-11-08,8185.0,8185.0,8020.0,8020.0,654445.0
2017-11-09,8005.0,8100.0,7975.0,8035.0,489278.0
2017-11-10,8035.0,8090.0,7890.0,7890.0,571997.0
2017-11-13,7895.0,7895.0,7560.0,7570.0,464777.0
2017-11-14,7520.0,7535.0,7290.0,7300.0,529607.0
2017-11-15,7285.0,7295.0,7010.0,7075.0,775694.0
2017-11-16,7025.0,7235.0,6935.0,6945.0,788436.0
2017-11-17,6980.0,7105.0,6980.0,7060.0,711765.0
2017-11-20,7080.0,7080.0,6885.0,6885.0,619821.0
2017-11-21,6870.0,6920.0,6780.0,6875.0,671892.0
2017-11-22,6855.0,7045.0,6825.0,7045.0,889508.0
2017-11-23,7110.0,7185.0,6820.0,6820.0,958455.0
2017-11-24,6835.0,6965.0,6810.0,6965.0,1053744.0
2017-11-27,7040.0,7085.0,6915.0,6995.0,1246248.0
2017-11-28,6950.0,7250.0,6945.0,7250.0,718805.0
2017-11-29,7250.0,7290.0,7130.0,7145.0,924373.0
2017-11-30,7150.0,7275.0,7140.0,7260.0,818203.0
2017-12-01,7220.0,7220.0,7025.0,7035.0,730138.0
2017-12-04,7035.0,7155.0,7015.0,7120.0,737893.0
2017-12-05,7130.0,7280.0,7120.0,7280.0,636980.0
2017-12-06,7270.0,7430.0,7165.0,7370.0,733018.0
