Datetime,Open,High,Low,Close,Volume
2017-08-10,7917.0,7928.0,7877.0,7913.0,212189.0
2017-08-11,7917.0,7920.0,7826.0,7869.0,196571.0
2017-08-14,7854.0,7869.0,7826.0,7865.0,210428.0
2017-08-16,7909.0,7909.0,7869.0,7873.0,195462.0
2017-08-17,7913.0,7948.0,7913.0,7948.0,187078.0
2017-08-18,7830.0,7854.0,7818.0,7846.0,193812.0
2017-08-21,7830.0,7830.0,7806.0,7818.0,195610.0
2017-08-22,7830.0,7854.0,7806.0,7854.0,188958.0
2017-08-23,7881.0,7889.0,7857.0,7889.0,209650.0
2017-08-24,7857.0,7861.0,7850.0,7854.0,196013.0
2017-08-25,7814.0,7814.0,7795.0,7814.0,214095.0
2017-08-28,7857.0,7861.0,7850.0,7857.0,188763.0
2017-08-29,7857.0,7865.0,7818.0,7850.0,272123.0
2017-08-30,7850.0,7857.0,7838.0,7850.0,222742.0
2017-08-31,7861.0,7869.0,7846.0,7865.0,223865.0
2017-09-01,7873.0,7877.0,7869.0,7877.0,197660.0
2017-09-04,7897.0,7901.0,7861.0,7897.0,219485.0
2017-09-05,7838.0,7909.0,7838.0,7897.0,215683.0
2017-09-06,7897.0,7901.0,7877.0,7897.0,215641.0
2017-09-07,7924.0,7944.0,7901.0,7924.0,214389.0
2017-09-08,7932.0,7952.0,7920.0,7932.0,240997.0
2017-09-11,7960.0,7972.0,7936.0,7960.0,226697.0
2017-09-12,7976.0,7979.0,7964.0,7976.0,226592.0
2017-09-13,7956.0,7976.0,7944.0,7960.0,236306.0
2017-09-14,7944.0,8168.0,7944.0,7952.0,266037.0
2017-09-15,7956.0,7976.0,7917.0,7968.0,211693.0
2017-09-18,7968.0,7976.0,7944.0,7964.0,227031.0
2017-09-19,7980.0,7988.0,7960.0,7976.0,246508.0
2017-09-20,7980.0,7988.0,7968.0,7984.0,236809.0
2017-09-21,7996.0,8004.0,7984.0,7992.0,244439.0
2017-09-22,7964.0,7972.0,7928.0,7964.0,242424.0
2017-09-25,7980.0,7988.0,7952.0,7980.0,221685.0
2017-09-26,8020.0,8024.0,8012.0,8016.0,223820.0
2017-09-27,8020.0,8032.0,8004.0,8008.0,263715.0
2017-09-28,8000.0,8008.0,7948.0,7992.0,227749.0
2017-09-29,8024.0,8040.0,7996.0,8040.0,239700.0
