Datetime,Open,High,Low,Close,Volume
2017-12-08,9367.0,9367.0,9367.0,9367.0,1.0
2017-12-11,9362.0,9362.0,9344.0,9344.0,3.0
2017-12-12,9321.0,9321.0,9275.0,9275.0,5.0
2017-12-13,9389.0,9504.0,9389.0,9504.0,2.0
2017-12-14,9549.0,9549.0,9549.0,9549.0,0.0
2017-12-15,9645.0,9645.0,9645.0,9645.0,1.0
2017-12-18,9568.0,9568.0,9563.0,9563.0,2.0
2017-12-19,9618.0,9618.0,9618.0,9618.0,1.0
2017-12-20,9687.0,9687.0,9687.0,9687.0,10.0
2017-12-21,9650.0,9650.0,9650.0,9650.0,100.0
2017-12-22,9645.0,9645.0,9645.0,9645.0,1.0
2017-12-26,9709.0,9723.0,9709.0,9723.0,4.0
2017-12-27,9760.0,9760.0,9760.0,9760.0,1.0
2017-12-28,9819.0,9874.0,9819.0,9874.0,22.0
2018-01-02,9787.0,9787.0,9787.0,9787.0,1.0
2018-01-03,9874.0,9892.0,9874.0,9892.0,11.0
2018-01-04,9865.0,9865.0,9865.0,9865.0,46.0
2018-01-05,9892.0,9970.0,9892.0,9952.0,6.0
2018-01-08,10071.0,10212.0,10071.0,10212.0,80.0
2018-01-09,10345.0,10345.0,10263.0,10313.0,112.0
2018-01-10,10391.0,10400.0,10391.0,10400.0,14.0
2018-01-11,10299.0,10354.0,10299.0,10354.0,2.0
2018-01-12,10473.0,10541.0,10473.0,10473.0,256.0
2018-01-15,10596.0,10596.0,10528.0,10546.0,439.0
2018-01-16,10450.0,10450.0,10377.0,10377.0,454.0
2018-01-17,10349.0,10418.0,10313.0,10418.0,139.0
2018-01-18,10514.0,10514.0,10372.0,10372.0,1448.0
2018-01-19,10404.0,10514.0,10404.0,10505.0,1047.0
2018-01-22,10605.0,10605.0,10354.0,10359.0,323.0
2018-01-23,10427.0,10688.0,10427.0,10688.0,23.0
2018-01-24,10592.0,10633.0,10523.0,10523.0,571.0
2018-01-25,10519.0,10519.0,10445.0,10445.0,33.0
2018-01-26,10409.0,10450.0,10395.0,10450.0,54.0
2018-01-29,10601.0,10665.0,10560.0,10583.0,209.0
2018-01-30,10573.0,10624.0,10464.0,10496.0,80.0
2018-01-31,10528.0,10578.0,10372.0,10578.0,15358.0
2018-02-01,10546.0,10546.0,10455.0,10541.0,836.0
2018-02-02,10555.0,10555.0,10409.0,10496.0,13.0
2018-02-05,10482.0,10564.0,10455.0,10564.0,35.0
2018-02-06,10368.0,10368.0,10089.0,10189.0,135.0
2018-02-07,10203.0,10217.0,9970.0,10002.0,32.0
2018-02-08,10007.0,10016.0,9892.0,9924.0,11.0
2018-02-09,9755.0,9755.0,9664.0,9691.0,37.0
2018-02-12,9764.0,10011.0,9764.0,10011.0,116.0
2018-02-13,9979.0,10029.0,9920.0,9947.0,208.0
2018-02-14,9947.0,9947.0,9879.0,9901.0,9.0
2018-02-19,10039.0,10116.0,10039.0,10098.0,44.0
2018-02-20,10075.0,10084.0,9997.0,9997.0,6.0
2018-02-21,9924.0,10043.0,9924.0,10029.0,105.0
2018-02-22,9984.0,10020.0,9984.0,10020.0,5.0
2018-02-23,10011.0,10157.0,10011.0,10157.0,5.0
2018-02-26,10185.0,10185.0,10061.0,10084.0,193.0
2018-02-27,10107.0,10107.0,9997.0,10011.0,25.0
2018-02-28,9943.0,9956.0,9897.0,9952.0,29.0
2018-03-02,9924.0,9924.0,9773.0,9824.0,194.0
2018-03-05,9828.0,9837.0,9627.0,9664.0,17.0
2018-03-06,9691.0,9691.0,9609.0,9627.0,10.0
2018-03-07,9559.0,9559.0,9431.0,9490.0,69.0
2018-03-08,9527.0,9540.0,9444.0,9522.0,51.0
2018-03-09,9536.0,9705.0,9536.0,9623.0,6.0
2018-03-12,9737.0,9888.0,9668.0,9888.0,23.0
2018-03-13,9723.0,9723.0,9618.0,9645.0,314.0
2018-03-14,9618.0,9627.0,9554.0,9581.0,516.0
2018-03-15,9549.0,9581.0,9472.0,9545.0,93.0
2018-03-16,9586.0,9668.0,9572.0,9668.0,43.0
2018-03-19,9682.0,9682.0,9632.0,9668.0,108.0
2018-03-20,9609.0,9682.0,9609.0,9682.0,77.0
2018-03-21,9627.0,9737.0,9627.0,9687.0,628.0
2018-03-22,9796.0,9851.0,9792.0,9805.0,414.0
2018-03-23,9568.0,9568.0,9472.0,9472.0,7.0
2018-03-26,9463.0,9463.0,9394.0,9426.0,5.0
2018-03-27,9554.0,9554.0,9495.0,9513.0,5.0
2018-03-28,9421.0,9421.0,9248.0,9275.0,277.0
2018-03-29,9348.0,9417.0,9325.0,9417.0,104.0
2018-03-30,9458.0,9490.0,9426.0,9431.0,714.0
2018-04-02,9449.0,9449.0,9325.0,9325.0,8.0
2018-04-03,9229.0,9229.0,9028.0,9056.0,327.0
2018-04-04,9083.0,9088.0,9024.0,9024.0,17.0
2018-04-05,9133.0,9133.0,9028.0,9060.0,37.0
2018-04-06,9037.0,9097.0,9037.0,9060.0,18.0
2018-04-09,8969.0,9042.0,8937.0,8992.0,69.0
2018-04-10,8964.0,9170.0,8964.0,9170.0,38.0
2018-04-11,9083.0,9147.0,9083.0,9129.0,221.0
2018-04-12,9165.0,9243.0,9161.0,9193.0,75.0
2018-04-13,9266.0,9303.0,9257.0,9275.0,552.0
2018-04-16,9312.0,9312.0,9197.0,9293.0,577.0
2018-04-17,9344.0,9344.0,9220.0,9234.0,301.0
2018-04-18,9252.0,9298.0,9252.0,9298.0,37.0
2018-04-19,9298.0,9344.0,9298.0,9344.0,77.0
2018-04-20,9380.0,9399.0,9280.0,9280.0,162.0
2018-04-23,9316.0,9495.0,9316.0,9495.0,22.0
2018-04-24,9467.0,9650.0,9467.0,9650.0,36.0
2018-04-25,9613.0,9623.0,9545.0,9545.0,26.0
2018-04-26,9591.0,9645.0,9591.0,9609.0,17.0
2018-04-27,9674.0,9707.0,9600.0,9604.0,55.0
2018-04-30,9731.0,9731.0,9646.0,9698.0,23.0
2018-05-02,9674.0,9674.0,9581.0,9586.0,56.0
2018-05-03,9590.0,9590.0,9529.0,9548.0,29.0
2018-05-04,9384.0,9492.0,9361.0,9450.0,50.0
2018-05-08,9436.0,9473.0,9394.0,9417.0,23.0
2018-05-09,9342.0,9403.0,9314.0,9389.0,699.0
2018-05-10,9445.0,9506.0,9445.0,9455.0,23.0
2018-05-11,9511.0,9571.0,9497.0,9548.0,14.0
2018-05-14,9557.0,9600.0,9557.0,9595.0,64.0
2018-05-15,9557.0,9557.0,9464.0,9487.0,12.0
2018-05-16,9455.0,9543.0,9455.0,9534.0,5.0
2018-05-17,9520.0,9520.0,9483.0,9483.0,5.0
2018-05-18,9422.0,9422.0,9333.0,9342.0,45.0
2018-05-21,9356.0,9436.0,9356.0,9422.0,6.0
2018-05-23,9300.0,9314.0,9281.0,9314.0,125.0
2018-05-24,9370.0,9370.0,9281.0,9305.0,5.0
2018-05-25,9300.0,9300.0,9188.0,9193.0,25.0
2018-05-28,9277.0,9277.0,9183.0,9197.0,6.0
2018-05-29,9178.0,9193.0,9127.0,9164.0,7.0
2018-05-30,9071.0,9071.0,8837.0,8921.0,48.0
2018-05-31,8856.0,8879.0,8804.0,8814.0,78.0
2018-06-01,8874.0,8874.0,8828.0,8865.0,6.0
2018-06-04,8945.0,9104.0,8945.0,9104.0,11.0
2018-06-05,9118.0,9160.0,9118.0,9160.0,1553.0
2018-06-07,9291.0,9375.0,9291.0,9356.0,55.0
2018-06-08,9342.0,9384.0,9328.0,9328.0,11.0
2018-06-11,9338.0,9412.0,9333.0,9412.0,77.0
2018-06-12,9412.0,9436.0,9352.0,9375.0,108.0
2018-06-14,9309.0,9309.0,9221.0,9221.0,238.0
2018-06-15,9155.0,9155.0,9015.0,9057.0,225.0
2018-06-18,9080.0,9178.0,9076.0,9150.0,41.0
2018-06-19,9029.0,9155.0,9029.0,9090.0,5.0
2018-06-20,9188.0,9188.0,9104.0,9136.0,5.0
2018-06-21,9005.0,9005.0,8823.0,8823.0,8.0
2018-06-22,8743.0,8865.0,8743.0,8860.0,8.0
2018-06-25,8856.0,8963.0,8856.0,8963.0,11.0
2018-06-26,8898.0,8959.0,8828.0,8921.0,75.0
2018-06-27,8935.0,8935.0,8879.0,8879.0,5.0
2018-06-28,8851.0,8851.0,8739.0,8739.0,6.0
2018-06-29,8767.0,8804.0,8715.0,8786.0,25.0
2018-07-02,8790.0,8837.0,8673.0,8673.0,86.0
2018-07-03,8622.0,8655.0,8538.0,8655.0,10.0
2018-07-04,8584.0,8673.0,8584.0,8645.0,5.0
2018-07-05,8622.0,8739.0,8622.0,8683.0,5.0
2018-07-06,8743.0,8884.0,8743.0,8884.0,5.0
2018-07-09,8907.0,9047.0,8907.0,9019.0,22.0
2018-07-10,8991.0,8991.0,8888.0,8888.0,421.0
2018-07-11,8786.0,8832.0,8697.0,8832.0,45.0
2018-07-12,8828.0,8828.0,8753.0,8753.0,5.0
2018-07-13,8828.0,8949.0,8828.0,8940.0,6.0
2018-07-16,8870.0,8907.0,8790.0,8818.0,13.0
