Datetime,Open,High,Low,Close,Volume
2018-03-23,9640.0,9670.0,9570.0,9570.0,451.0
2018-03-26,9525.0,9585.0,9525.0,9585.0,31.0
2018-03-27,9735.0,9745.0,9735.0,9745.0,120.0
2018-03-28,9625.0,9625.0,9625.0,9625.0,1.0
2018-03-29,9565.0,9565.0,9565.0,9565.0,10.0
2018-03-30,9775.0,9775.0,9775.0,9775.0,1.0
2018-04-02,9715.0,9715.0,9690.0,9690.0,6201.0
2018-04-03,9560.0,9560.0,9560.0,9560.0,11.0
2018-04-04,9610.0,9610.0,9610.0,9610.0,1.0
2018-04-05,9635.0,9635.0,9635.0,9635.0,10.0
2018-04-06,9570.0,9570.0,9550.0,9550.0,11.0
2018-04-09,9635.0,9635.0,9625.0,9625.0,17520.0
2018-04-10,9650.0,9660.0,9650.0,9660.0,3900.0
2018-04-11,9655.0,9655.0,9655.0,9655.0,0.0
2018-04-12,9645.0,9645.0,9645.0,9645.0,1.0
2018-04-13,9670.0,9670.0,9670.0,9670.0,1.0
2018-04-16,9635.0,9635.0,9635.0,9635.0,10.0
2018-04-17,9570.0,9575.0,9570.0,9575.0,63.0
2018-04-18,9575.0,9575.0,9575.0,9575.0,0.0
2018-04-19,9715.0,9715.0,9715.0,9715.0,53.0
2018-04-20,9595.0,9595.0,9595.0,9595.0,10.0
2018-04-23,9595.0,9595.0,9595.0,9595.0,0.0
2018-04-24,9505.0,9505.0,9505.0,9505.0,0.0
2018-04-25,9415.0,9415.0,9405.0,9405.0,7.0
2018-04-26,9330.0,9330.0,9330.0,9330.0,0.0
2018-04-27,9480.0,9480.0,9480.0,9480.0,3.0
2018-04-30,9585.0,9585.0,9585.0,9585.0,1.0
2018-05-02,9485.0,9485.0,9485.0,9485.0,5.0
2018-05-03,9350.0,9350.0,9345.0,9345.0,33.0
2018-05-04,9320.0,9320.0,9315.0,9315.0,263.0
2018-05-08,9375.0,9375.0,9375.0,9375.0,1.0
2018-05-09,9370.0,9370.0,9370.0,9370.0,3.0
2018-05-10,9370.0,9370.0,9370.0,9370.0,0.0
2018-05-11,9535.0,9535.0,9535.0,9535.0,23.0
2018-05-14,9550.0,9550.0,9550.0,9550.0,0.0
2018-05-15,9490.0,9490.0,9485.0,9485.0,43.0
2018-05-16,9430.0,9430.0,9430.0,9430.0,0.0
2018-05-17,9515.0,9515.0,9515.0,9515.0,1.0
