Datetime,Open,High,Low,Close,Volume
2018-05-11,50010.0,50025.0,49985.0,49995.0,7.0
2018-05-14,49950.0,49950.0,49945.0,49945.0,4.0
2018-05-15,49895.0,49895.0,49845.0,49850.0,5.0
2018-05-16,49750.0,49865.0,49735.0,49865.0,3.0
2018-05-17,49905.0,49955.0,49905.0,49955.0,2.0
2018-05-18,49935.0,50060.0,49935.0,50060.0,2.0
2018-05-21,50080.0,50130.0,50080.0,50130.0,5.0
2018-05-23,50145.0,50145.0,50145.0,50145.0,2.0
2018-05-24,50335.0,50335.0,50335.0,50335.0,2.0
2018-05-25,50325.0,50330.0,50325.0,50330.0,2.0
2018-05-28,50405.0,50405.0,50290.0,50290.0,12.0
2018-05-29,50400.0,50400.0,50400.0,50400.0,2.0
2018-05-30,50720.0,50720.0,50420.0,50420.0,4.0
2018-05-31,50445.0,50470.0,50435.0,50435.0,3004.0
2018-06-01,50405.0,50445.0,50390.0,50395.0,30.0
2018-06-04,50340.0,50340.0,50315.0,50315.0,102.0
2018-06-05,50280.0,50320.0,50275.0,50320.0,2102.0
2018-06-07,50240.0,50240.0,50215.0,50235.0,107.0
2018-06-08,50260.0,50360.0,50240.0,50360.0,1102.0
2018-06-11,50320.0,50320.0,50265.0,50300.0,12.0
2018-06-12,50405.0,50435.0,50325.0,50325.0,14.0
2018-06-14,50330.0,50380.0,50310.0,50380.0,2002.0
2018-06-15,50475.0,50480.0,50475.0,50480.0,2.0
2018-06-18,50520.0,50675.0,50520.0,50675.0,2002.0
2018-06-19,50730.0,50795.0,50730.0,50795.0,2.0
2018-06-20,50735.0,50785.0,50735.0,50785.0,2.0
2018-06-21,50730.0,50890.0,50730.0,50890.0,2.0
2018-06-22,50885.0,50885.0,50870.0,50870.0,16.0
2018-06-25,50910.0,50910.0,50860.0,50860.0,22.0
2018-06-26,50935.0,50935.0,50840.0,50840.0,202.0
2018-06-27,50900.0,51010.0,50900.0,51010.0,2.0
2018-06-28,51070.0,51145.0,51070.0,51120.0,2003.0
2018-06-29,51120.0,51130.0,51055.0,51100.0,445.0
2018-07-02,51100.0,51210.0,51100.0,51210.0,19.0
2018-07-03,51125.0,51135.0,51025.0,51025.0,1503.0
2018-07-04,51075.0,51145.0,51075.0,51145.0,503.0
2018-07-05,51135.0,51175.0,51135.0,51175.0,3.0
2018-07-06,51215.0,51215.0,51130.0,51130.0,3.0
2018-07-09,51165.0,51165.0,51100.0,51140.0,7.0
2018-07-10,51085.0,51160.0,51085.0,51160.0,331.0
2018-07-11,51240.0,51320.0,51240.0,51315.0,1303.0
2018-07-12,51300.0,51315.0,51185.0,51230.0,47.0
2018-07-13,51170.0,51170.0,51150.0,51155.0,8.0
2018-07-16,51170.0,51225.0,51135.0,51220.0,68.0
2018-07-17,51175.0,51205.0,51175.0,51185.0,503.0
