Datetime,Open,High,Low,Close,Volume
2019-10-18,3570.0,4640.0,3570.0,4640.0,433.0
2019-10-21,6030.0,6030.0,6030.0,6030.0,131.0
2019-10-22,7830.0,7830.0,7830.0,7830.0,14.0
2019-10-23,10150.0,10150.0,10150.0,10150.0,273.0
2019-10-24,13150.0,13150.0,13150.0,13150.0,304.0
2019-10-25,17050.0,17050.0,17050.0,17050.0,293.0
2019-10-28,17050.0,17050.0,17050.0,17050.0,0.0
2019-10-29,22150.0,22150.0,22150.0,22150.0,680.0
2019-10-30,28400.0,28750.0,21050.0,28750.0,532247.0
2019-10-31,28750.0,28750.0,28750.0,28750.0,0.0
2019-11-01,31200.0,36400.0,29350.0,34000.0,480639.0
2019-11-04,35300.0,36800.0,28350.0,28350.0,347995.0
2019-11-05,27100.0,27550.0,22150.0,23000.0,291943.0
2019-11-06,22800.0,25900.0,21350.0,24000.0,303947.0
2019-11-07,23550.0,23550.0,20250.0,21350.0,136605.0
2019-11-08,20800.0,22850.0,20250.0,20850.0,150637.0
2019-11-11,20650.0,22400.0,19800.0,19850.0,110751.0
2019-11-12,20450.0,20500.0,18100.0,18700.0,74621.0
2019-11-13,18700.0,19350.0,17850.0,18650.0,60486.0
2019-11-14,18650.0,18900.0,17850.0,18600.0,51540.0
2019-11-15,19900.0,21100.0,18500.0,19600.0,209556.0
2019-11-18,20200.0,20400.0,18650.0,19050.0,68666.0
2019-11-19,18200.0,19300.0,17600.0,18050.0,57057.0
2019-11-20,17550.0,18150.0,16900.0,17000.0,28829.0
2019-11-21,17100.0,17300.0,15700.0,15900.0,32210.0
2019-11-22,15550.0,15900.0,15050.0,15650.0,22456.0
2019-11-25,15950.0,16750.0,15550.0,16250.0,16074.0
2019-11-26,16000.0,16150.0,15300.0,15750.0,14452.0
2019-11-27,15750.0,16700.0,15000.0,16550.0,21431.0
2019-11-28,16300.0,16500.0,15450.0,15450.0,17378.0
2019-11-29,15400.0,15700.0,13900.0,14550.0,16316.0
2019-12-02,14150.0,14900.0,13500.0,14300.0,31313.0
2019-12-03,14000.0,18550.0,13650.0,18550.0,217178.0
2019-12-04,20100.0,22100.0,16300.0,16800.0,666852.0
2019-12-05,16350.0,16800.0,14100.0,15000.0,136457.0
2019-12-06,14750.0,17450.0,14200.0,14750.0,444225.0
2019-12-09,15200.0,15400.0,14300.0,14550.0,96990.0
2019-12-10,14650.0,18900.0,14600.0,15100.0,845717.0
2019-12-11,15900.0,18600.0,15500.0,18200.0,691613.0
2019-12-12,18000.0,18700.0,16800.0,17600.0,169552.0
2019-12-13,18500.0,22850.0,18000.0,22850.0,586457.0
2019-12-16,26150.0,29700.0,24650.0,29700.0,985159.0
2019-12-17,28750.0,35500.0,27300.0,28250.0,1630921.0
2019-12-18,27500.0,31150.0,26450.0,26500.0,713353.0
2019-12-19,27450.0,28000.0,25250.0,25600.0,343968.0
2019-12-20,25800.0,26100.0,22500.0,23750.0,216354.0
2019-12-23,23050.0,24050.0,21450.0,21700.0,150620.0
2019-12-24,21500.0,26000.0,21300.0,23900.0,763196.0
2019-12-26,23800.0,28350.0,22000.0,24750.0,769718.0
2019-12-27,25400.0,28400.0,25100.0,25200.0,627503.0
2019-12-30,26300.0,27350.0,25200.0,25200.0,324015.0
2020-01-02,25600.0,26850.0,25250.0,25600.0,168179.0
2020-01-03,25700.0,28250.0,24700.0,25800.0,432192.0
2020-01-06,25000.0,26100.0,24300.0,24650.0,186429.0
2020-01-07,24500.0,25250.0,23850.0,23900.0,83944.0
2020-01-08,24150.0,24500.0,22050.0,22700.0,92914.0
2020-01-09,23450.0,24800.0,22950.0,23700.0,114625.0
2020-01-10,24500.0,24850.0,23200.0,23500.0,80285.0
2020-01-13,23950.0,23950.0,22750.0,22750.0,39745.0
2020-01-14,23100.0,25350.0,22800.0,23000.0,138190.0
2020-01-15,23300.0,23350.0,22700.0,22750.0,32461.0
2020-01-16,23150.0,23850.0,22700.0,23100.0,55494.0
2020-01-17,23500.0,23550.0,22350.0,22450.0,43645.0
2020-01-20,22400.0,22850.0,22000.0,22050.0,31962.0
2020-01-21,22100.0,22400.0,21000.0,21300.0,30885.0
2020-01-22,21400.0,24500.0,21250.0,22600.0,398782.0
2020-01-23,22950.0,23550.0,22300.0,22350.0,70940.0
2020-01-28,21250.0,23000.0,20700.0,22200.0,80125.0
2020-01-29,22400.0,23000.0,21650.0,21650.0,52160.0
2020-01-30,21500.0,26500.0,21400.0,23250.0,536951.0
2020-01-31,22950.0,23700.0,21450.0,21500.0,94084.0
2020-02-03,20500.0,22350.0,19950.0,20850.0,90803.0
2020-02-04,21650.0,24600.0,21500.0,22650.0,298868.0
2020-02-05,23700.0,25300.0,23150.0,24550.0,210479.0
2020-02-06,24150.0,24900.0,23900.0,24800.0,89624.0
2020-02-07,25300.0,25900.0,23900.0,24900.0,88756.0
2020-02-10,24400.0,24850.0,23800.0,24200.0,60099.0
2020-02-11,24200.0,27400.0,24050.0,25400.0,283240.0
2020-02-12,25400.0,25900.0,24600.0,25000.0,58030.0
2020-02-13,25700.0,25750.0,24200.0,24300.0,42406.0
2020-02-14,24950.0,26550.0,24500.0,25300.0,135515.0
2020-02-17,25450.0,25700.0,24800.0,25100.0,27084.0
2020-02-18,25300.0,25500.0,23900.0,24750.0,29429.0
2020-02-19,24900.0,25300.0,24000.0,24650.0,20011.0
2020-02-20,24900.0,24900.0,23900.0,24400.0,17351.0
2020-02-21,24300.0,24350.0,23000.0,23000.0,20971.0
2020-02-24,22500.0,22500.0,21300.0,21750.0,23868.0
2020-02-25,21750.0,22800.0,21100.0,22500.0,20268.0
2020-02-26,22350.0,23300.0,21900.0,22950.0,18751.0
2020-02-27,22650.0,23200.0,22050.0,22050.0,10873.0
2020-02-28,22050.0,22500.0,20600.0,21000.0,12381.0
2020-03-02,21000.0,22000.0,20700.0,21550.0,10374.0
2020-03-03,22300.0,22450.0,21500.0,21700.0,9716.0
2020-03-04,21200.0,22800.0,21000.0,22550.0,18131.0
2020-03-05,22550.0,23300.0,22350.0,22600.0,14389.0
2020-03-06,22100.0,22500.0,21700.0,21950.0,7066.0
2020-03-09,21950.0,21950.0,20350.0,20500.0,9587.0
2020-03-10,19550.0,21200.0,19350.0,20600.0,15208.0
2020-03-11,21000.0,21000.0,18700.0,18750.0,16116.0
2020-03-12,18000.0,18900.0,15800.0,15800.0,37715.0
2020-03-13,13100.0,14550.0,12650.0,14000.0,38092.0
