,Datetime,Open,High,Low,Close,Volume
0,2004-10-29,4174.0,4636.0,4159.0,4368.0,287131.0
1,2004-11-01,4353.0,4368.0,3846.0,3846.0,111497.0
2,2004-11-02,3831.0,4025.0,3756.0,3890.0,81647.0
3,2004-11-03,3890.0,3965.0,3816.0,3890.0,59518.0
4,2004-11-04,3876.0,4025.0,3801.0,3890.0,110894.0
5,2004-11-05,3935.0,4069.0,3831.0,3831.0,65737.0
6,2004-11-08,3846.0,3876.0,3577.0,3667.0,47917.0
7,2004-11-09,3682.0,3712.0,3548.0,3667.0,38376.0
8,2004-11-10,3622.0,3876.0,3607.0,3756.0,75506.0
9,2004-11-11,3771.0,3831.0,3697.0,3756.0,49231.0
10,2004-11-12,3771.0,3965.0,3726.0,3846.0,120578.0
11,2004-11-15,3905.0,3935.0,3786.0,3831.0,26629.0
12,2004-11-16,3861.0,3905.0,3697.0,3712.0,36610.0
13,2004-11-17,3697.0,3756.0,3682.0,3697.0,20799.0
14,2004-11-18,3697.0,3741.0,3682.0,3726.0,17936.0
15,2004-11-19,3726.0,3816.0,3726.0,3816.0,28421.0
16,2004-11-22,3771.0,3771.0,3622.0,3682.0,14105.0
17,2004-11-23,3697.0,3726.0,3622.0,3652.0,19675.0
18,2004-11-24,3622.0,3652.0,3428.0,3518.0,34630.0
19,2004-11-25,3562.0,3562.0,3428.0,3488.0,22752.0
20,2004-11-26,3458.0,3622.0,3458.0,3577.0,36261.0
21,2004-11-29,3562.0,3562.0,3249.0,3369.0,48073.0
22,2004-11-30,3324.0,3369.0,3264.0,3339.0,40220.0
23,2004-12-01,3309.0,3354.0,3264.0,3309.0,32502.0
24,2004-12-02,3324.0,3533.0,3324.0,3458.0,52187.0
25,2004-12-03,3458.0,3503.0,3369.0,3488.0,23415.0
26,2004-12-06,3428.0,3771.0,3428.0,3607.0,85182.0
27,2004-12-07,3652.0,3995.0,3652.0,3786.0,267653.0
28,2004-12-08,3786.0,3965.0,3697.0,3876.0,122309.0
29,2004-12-09,3816.0,3935.0,3786.0,3905.0,65067.0
30,2004-12-10,3876.0,3935.0,3697.0,3726.0,41520.0
31,2004-12-13,3607.0,3726.0,3577.0,3577.0,27619.0
32,2004-12-14,3548.0,3667.0,3548.0,3667.0,20346.0
33,2004-12-15,3697.0,3950.0,3697.0,3935.0,110220.0
34,2004-12-16,3935.0,3980.0,3846.0,3920.0,64269.0
35,2004-12-17,3861.0,4099.0,3846.0,3965.0,85285.0
36,2004-12-20,3920.0,3980.0,3876.0,3950.0,65154.0
37,2004-12-21,4025.0,4099.0,3950.0,3965.0,71437.0
38,2004-12-22,4010.0,4099.0,3920.0,3980.0,66083.0
39,2004-12-23,4010.0,4069.0,3876.0,3905.0,65129.0
40,2004-12-24,4040.0,4114.0,3935.0,3980.0,133394.0
41,2004-12-27,4054.0,4054.0,3846.0,3846.0,72891.0
42,2004-12-28,3831.0,3965.0,3786.0,3846.0,40974.0
43,2004-12-29,3771.0,3876.0,3741.0,3846.0,26692.0
44,2004-12-30,3801.0,3846.0,3726.0,3816.0,42952.0
45,2005-01-03,3831.0,4025.0,3831.0,4010.0,40028.0
46,2005-01-04,3995.0,4159.0,3935.0,4099.0,118745.0
47,2005-01-05,4084.0,4233.0,4054.0,4114.0,94338.0
48,2005-01-06,4114.0,4502.0,4114.0,4323.0,346444.0
49,2005-01-07,4382.0,4531.0,4323.0,4502.0,180367.0
50,2005-01-10,4472.0,4621.0,4442.0,4591.0,202332.0
51,2005-01-11,4531.0,4591.0,4427.0,4591.0,112458.0
52,2005-01-12,4621.0,4800.0,4517.0,4621.0,157562.0
53,2005-01-13,4591.0,4710.0,4517.0,4621.0,47331.0
54,2005-01-14,4546.0,4666.0,4502.0,4666.0,182437.0
55,2005-01-17,4681.0,5143.0,4681.0,5083.0,209466.0
56,2005-01-18,5083.0,5098.0,4666.0,4785.0,301299.0
57,2005-01-19,4889.0,4889.0,4681.0,4710.0,151660.0
58,2005-01-20,4740.0,4919.0,4591.0,4859.0,255171.0
59,2005-01-21,4800.0,5068.0,4800.0,5023.0,218327.0
60,2005-01-24,5217.0,5262.0,4979.0,5083.0,202125.0
61,2005-01-25,5098.0,5098.0,4949.0,5068.0,101521.0
62,2005-01-26,5187.0,5217.0,5009.0,5023.0,87059.0
63,2005-01-27,4979.0,5068.0,4859.0,5068.0,61156.0
64,2005-01-28,5128.0,5128.0,4949.0,5053.0,53988.0
65,2005-01-31,5023.0,5232.0,5009.0,5217.0,80489.0
