Datetime,Open,High,Low,Close,Volume
2009-09-15,15250.0,15900.0,12975.0,13550.0,1575608.0
2009-09-16,13550.0,14825.0,13375.0,13450.0,1200409.0
2009-09-17,13750.0,14225.0,13300.0,13450.0,439852.0
2009-09-18,13600.0,13675.0,12275.0,12275.0,424261.0
2009-09-21,12275.0,13575.0,12150.0,12575.0,516350.0
2009-09-22,12900.0,14450.0,12800.0,14450.0,517330.0
2009-09-23,15300.0,15675.0,12750.0,12750.0,1132898.0
2009-09-24,12850.0,13100.0,12075.0,12075.0,238545.0
2009-09-25,12150.0,12175.0,11050.0,11375.0,172603.0
2009-09-28,11050.0,11900.0,10900.0,10900.0,138067.0
2009-09-29,11100.0,11125.0,10000.0,10300.0,150321.0
2009-09-30,10500.0,10700.0,9750.0,9750.0,151747.0
2009-10-01,9775.0,9900.0,8925.0,8975.0,176941.0
2009-10-05,8975.0,9325.0,8850.0,8950.0,94144.0
2009-10-06,9100.0,9150.0,8425.0,8500.0,106505.0
2009-10-07,8900.0,9775.0,8750.0,9775.0,161304.0
2009-10-08,11225.0,11225.0,8925.0,8925.0,915867.0
2009-10-09,8925.0,9250.0,8700.0,8875.0,151411.0
2009-10-12,8975.0,9150.0,8900.0,8900.0,71024.0
2009-10-13,8850.0,9375.0,8800.0,9300.0,110529.0
2009-10-14,9100.0,9200.0,8950.0,8975.0,74961.0
2009-10-15,9000.0,9350.0,8775.0,8775.0,105590.0
2009-10-16,8750.0,8925.0,8225.0,8400.0,148541.0
2009-10-19,8400.0,8425.0,8100.0,8150.0,61951.0
2009-10-20,8275.0,8600.0,8275.0,8325.0,85337.0
2009-10-21,8425.0,8650.0,8400.0,8400.0,44801.0
2009-10-22,8325.0,8900.0,8325.0,8900.0,94381.0
2009-10-23,8875.0,8950.0,8625.0,8675.0,55437.0
2009-10-26,8600.0,9100.0,8525.0,9000.0,172154.0
2009-10-27,9350.0,9475.0,8725.0,8725.0,215673.0
2009-10-28,8725.0,8750.0,8200.0,8250.0,64511.0
2009-10-29,8100.0,8225.0,7725.0,7875.0,56430.0
2009-10-30,8000.0,8125.0,7850.0,7950.0,43903.0
2009-11-02,7575.0,7900.0,7575.0,7650.0,38882.0
2009-11-03,7700.0,8000.0,7500.0,7525.0,56493.0
2009-11-04,7550.0,7675.0,7425.0,7450.0,53055.0
2009-11-05,7525.0,7750.0,6975.0,7300.0,64559.0
2009-11-06,7350.0,7675.0,7350.0,7400.0,39728.0
2009-11-09,7450.0,8450.0,7450.0,8000.0,150990.0
2009-11-10,8175.0,8175.0,7675.0,7675.0,53249.0
2009-11-11,7700.0,7850.0,7675.0,7700.0,32262.0
2009-11-12,7850.0,7850.0,7550.0,7675.0,21937.0
2009-11-13,7675.0,7775.0,7350.0,7350.0,39095.0
2009-11-16,7450.0,7750.0,7250.0,7375.0,41758.0
2009-11-17,7025.0,7450.0,6750.0,7125.0,179480.0
2009-11-18,6925.0,7200.0,6925.0,7000.0,38576.0
2009-11-19,7050.0,7075.0,6825.0,6825.0,63220.0
2009-11-20,6850.0,7500.0,6750.0,7325.0,157671.0
2009-11-23,7450.0,7700.0,7275.0,7350.0,120250.0
2009-11-24,7275.0,7500.0,6950.0,7100.0,64864.0
2009-11-25,7500.0,7775.0,7250.0,7250.0,163680.0
2009-11-26,7275.0,7425.0,7025.0,7025.0,35924.0
2009-11-27,6825.0,7100.0,6275.0,6450.0,68129.0
2009-11-30,6575.0,6700.0,6450.0,6500.0,47901.0
2009-12-01,6550.0,6925.0,6550.0,6800.0,56351.0
2009-12-02,6925.0,7150.0,6775.0,6900.0,91203.0
2009-12-03,7075.0,7125.0,6900.0,7025.0,32105.0
2009-12-04,7000.0,7200.0,6825.0,6875.0,31860.0
2009-12-07,7000.0,7650.0,6875.0,7400.0,172890.0
2009-12-08,7450.0,8500.0,7250.0,8500.0,293231.0
2009-12-09,8400.0,8775.0,8250.0,8450.0,291419.0
2009-12-10,8650.0,9125.0,8375.0,8600.0,259325.0
2009-12-11,8550.0,8850.0,8450.0,8500.0,102882.0
2009-12-14,8675.0,8675.0,8200.0,8300.0,88336.0
2009-12-15,8400.0,8600.0,8275.0,8350.0,89275.0
2009-12-16,8350.0,9175.0,8150.0,8875.0,225968.0
2009-12-17,8950.0,9375.0,8800.0,9325.0,159811.0
2009-12-18,9175.0,9450.0,9050.0,9225.0,93665.0
2009-12-21,9275.0,9750.0,9100.0,9725.0,133282.0
2009-12-22,9950.0,10000.0,9250.0,9250.0,164545.0
2009-12-23,9250.0,9350.0,8400.0,8400.0,142636.0
2009-12-24,8700.0,9100.0,8525.0,8725.0,159019.0
2009-12-28,8775.0,8975.0,7925.0,7925.0,136477.0
