,Datetime,Open,High,Low,Close,Volume
0,2016-04-14,878.0,888.0,841.0,878.0,1798295.0
1,2016-04-14,878.0,880.0,862.0,865.0,279023.0
2,2016-04-14,865.0,865.0,849.0,849.0,431269.0
3,2016-04-15,856.0,867.0,849.0,866.0,364459.0
4,2016-04-15,849.0,889.0,848.0,867.0,1114383.0
5,2016-04-15,866.0,868.0,850.0,858.0,263729.0
6,2016-04-18,883.0,883.0,869.0,875.0,447443.0
7,2016-04-18,856.0,873.0,850.0,868.0,530551.0
8,2016-04-18,868.0,908.0,864.0,881.0,1368630.0
9,2016-04-19,894.0,896.0,886.0,895.0,240971.0
10,2016-04-19,886.0,913.0,878.0,887.0,1357866.0
11,2016-04-19,887.0,901.0,886.0,895.0,316253.0
12,2016-04-20,899.0,912.0,893.0,905.0,630247.0
13,2016-04-20,888.0,921.0,886.0,900.0,1085688.0
14,2016-04-20,900.0,907.0,894.0,899.0,214396.0
15,2016-04-21,891.0,903.0,875.0,895.0,794091.0
16,2016-04-21,895.0,896.0,885.0,889.0,263426.0
17,2016-04-21,890.0,905.0,881.0,905.0,601166.0
18,2016-04-22,910.0,924.0,895.0,909.0,504777.0
19,2016-04-22,910.0,913.0,900.0,907.0,290625.0
20,2016-04-22,907.0,936.0,903.0,924.0,1207556.0
21,2016-04-25,935.0,1025.0,925.0,955.0,5193586.0
22,2016-04-25,955.0,980.0,950.0,970.0,552612.0
23,2016-04-25,970.0,996.0,948.0,996.0,978069.0
24,2016-04-26,1015.0,1015.0,948.0,966.0,1366087.0
25,2016-04-26,966.0,975.0,950.0,969.0,432360.0
26,2016-04-26,969.0,1050.0,940.0,959.0,3458586.0
27,2016-04-27,923.0,934.0,920.0,929.0,350373.0
28,2016-04-27,941.0,941.0,910.0,922.0,522537.0
29,2016-04-27,955.0,964.0,927.0,941.0,878880.0
30,2016-04-28,919.0,919.0,911.0,911.0,148036.0
31,2016-04-28,911.0,930.0,910.0,920.0,423239.0
32,2016-04-28,930.0,934.0,911.0,919.0,555879.0
33,2016-04-29,920.0,929.0,890.0,894.0,769008.0
34,2016-04-29,893.0,894.0,889.0,893.0,138032.0
35,2016-04-29,894.0,901.0,891.0,894.0,373617.0
36,2016-05-02,895.0,906.0,885.0,889.0,275963.0
37,2016-05-02,894.0,895.0,865.0,875.0,276852.0
38,2016-05-02,875.0,876.0,850.0,850.0,520448.0
39,2016-05-03,865.0,905.0,865.0,895.0,785751.0
40,2016-05-03,897.0,897.0,886.0,889.0,147551.0
41,2016-05-03,892.0,907.0,884.0,901.0,296014.0
42,2016-05-04,890.0,922.0,886.0,905.0,403747.0
43,2016-05-04,911.0,912.0,901.0,902.0,139452.0
44,2016-05-04,904.0,914.0,890.0,914.0,336018.0
45,2016-05-09,900.0,904.0,894.0,902.0,143507.0
46,2016-05-09,923.0,923.0,898.0,908.0,235291.0
47,2016-05-09,908.0,908.0,897.0,900.0,129546.0
48,2016-05-10,895.0,908.0,895.0,907.0,140770.0
49,2016-05-10,907.0,912.0,903.0,910.0,151079.0
50,2016-05-10,903.0,910.0,889.0,895.0,207440.0
51,2016-05-11,918.0,919.0,895.0,900.0,349717.0
52,2016-05-11,903.0,911.0,895.0,906.0,94815.0
53,2016-05-11,905.0,912.0,900.0,912.0,125281.0
54,2016-05-12,915.0,915.0,900.0,908.0,190880.0
55,2016-05-12,937.0,950.0,933.0,942.0,408127.0
56,2016-05-12,908.0,960.0,906.0,937.0,1158071.0
57,2016-05-13,945.0,985.0,923.0,985.0,1240995.0
58,2016-05-13,985.0,1020.0,967.0,974.0,4158089.0
59,2016-05-13,975.0,979.0,930.0,946.0,1379858.0
60,2016-05-16,970.0,973.0,940.0,968.0,912297.0
61,2016-05-16,968.0,968.0,953.0,959.0,228033.0
62,2016-05-16,959.0,959.0,942.0,943.0,519632.0
63,2016-05-17,1125.0,1225.0,1065.0,1090.0,10917096.0
64,2016-05-17,1095.0,1210.0,1065.0,1125.0,11510396.0
65,2016-05-17,935.0,1105.0,915.0,1095.0,7272238.0
66,2016-05-18,1055.0,1065.0,982.0,988.0,5179039.0
67,2016-05-18,986.0,1015.0,985.0,1005.0,927745.0
68,2016-05-18,1005.0,1015.0,993.0,1010.0,953640.0
69,2016-05-19,1005.0,1025.0,992.0,1000.0,1097585.0
70,2016-05-19,1000.0,1005.0,993.0,998.0,407469.0
71,2016-05-19,998.0,1025.0,998.0,1015.0,760761.0
72,2016-05-20,1085.0,1085.0,1035.0,1040.0,1227020.0
73,2016-05-20,1020.0,1155.0,1015.0,1090.0,7043234.0
74,2016-05-20,1090.0,1130.0,1070.0,1085.0,1654157.0
75,2016-05-23,1060.0,1145.0,1040.0,1100.0,2561599.0
76,2016-05-23,1100.0,1120.0,1075.0,1100.0,756015.0
77,2016-05-23,1100.0,1155.0,1080.0,1155.0,1901235.0
78,2016-05-24,1160.0,1160.0,1085.0,1110.0,1996112.0
79,2016-05-24,1110.0,1125.0,1105.0,1115.0,366145.0
80,2016-05-24,1110.0,1120.0,1095.0,1100.0,728959.0
81,2016-05-25,1045.0,1050.0,1020.0,1035.0,766799.0
82,2016-05-25,1030.0,1065.0,1030.0,1050.0,431029.0
83,2016-05-25,1115.0,1135.0,1025.0,1035.0,1914406.0
84,2016-05-26,1045.0,1055.0,1030.0,1045.0,263533.0
85,2016-05-26,1065.0,1075.0,1025.0,1035.0,1014542.0
86,2016-05-26,1035.0,1060.0,1025.0,1045.0,399520.0
87,2016-05-27,1010.0,1020.0,1000.0,1005.0,346463.0
88,2016-05-27,1045.0,1050.0,999.0,1010.0,878687.0
89,2016-05-27,1010.0,1020.0,999.0,1010.0,396312.0
90,2016-05-30,1005.0,1025.0,987.0,1010.0,738190.0
91,2016-05-30,1010.0,1015.0,1000.0,1015.0,147154.0
92,2016-05-30,1010.0,1035.0,1005.0,1020.0,559953.0
93,2016-05-31,1010.0,1040.0,1010.0,1035.0,504757.0
94,2016-05-31,1035.0,1085.0,1025.0,1050.0,1381172.0
95,2016-05-31,1050.0,1060.0,1045.0,1045.0,261805.0
96,2016-06-01,1065.0,1065.0,1025.0,1040.0,455860.0
97,2016-06-01,1030.0,1040.0,1020.0,1025.0,206885.0
98,2016-06-01,1035.0,1045.0,1020.0,1040.0,248098.0
99,2016-06-02,1060.0,1090.0,1020.0,1055.0,1549739.0
100,2016-06-02,1045.0,1060.0,1040.0,1050.0,116395.0
101,2016-06-02,1045.0,1075.0,1040.0,1070.0,555188.0
102,2016-06-03,1045.0,1100.0,1035.0,1040.0,1195678.0
103,2016-06-03,1070.0,1085.0,1025.0,1050.0,541493.0
104,2016-06-03,1050.0,1060.0,1035.0,1050.0,217774.0
105,2016-06-07,1030.0,1060.0,1030.0,1045.0,439775.0
106,2016-06-07,1050.0,1070.0,1040.0,1055.0,218777.0
107,2016-06-07,1050.0,1075.0,1045.0,1060.0,443703.0
108,2016-06-08,1060.0,1070.0,1025.0,1035.0,573830.0
109,2016-06-08,1040.0,1055.0,1035.0,1050.0,278335.0
110,2016-06-08,1040.0,1065.0,1035.0,1060.0,371183.0
111,2016-06-09,1100.0,1105.0,1070.0,1105.0,540188.0
112,2016-06-09,1115.0,1120.0,1085.0,1100.0,463277.0
113,2016-06-09,1065.0,1145.0,1060.0,1115.0,3364661.0
114,2016-06-10,1120.0,1150.0,1105.0,1110.0,1314932.0
115,2016-06-10,1110.0,1115.0,1095.0,1100.0,282094.0
116,2016-06-10,1105.0,1110.0,1090.0,1105.0,363319.0
117,2016-06-13,1120.0,1120.0,1045.0,1075.0,761912.0
118,2016-06-13,1075.0,1100.0,1070.0,1090.0,213837.0
119,2016-06-13,1090.0,1135.0,1080.0,1120.0,710596.0
