Datetime,Open,High,Low,Close,Volume
1989-11-25,5039.0,5039.0,5039.0,5039.0,0.0
1989-11-27,5039.0,5039.0,5039.0,5039.0,0.0
1989-11-28,5039.0,5039.0,5039.0,5039.0,0.0
1989-11-29,5039.0,5039.0,5039.0,5039.0,0.0
1989-11-30,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-01,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-02,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-04,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-05,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-06,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-07,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-08,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-09,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-11,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-12,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-13,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-14,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-15,5039.0,5039.0,5039.0,5039.0,0.0
1989-12-16,4834.0,4834.0,4834.0,4834.0,0.0
1989-12-18,4834.0,4834.0,4834.0,4834.0,363.0
1989-12-19,4834.0,4857.0,4834.0,4857.0,7627.0
1989-12-20,4857.0,4857.0,4857.0,4857.0,0.0
1989-12-21,4857.0,4857.0,4857.0,4857.0,0.0
1989-12-22,4857.0,4857.0,4857.0,4857.0,0.0
1989-12-23,4857.0,4857.0,4857.0,4857.0,0.0
1989-12-26,4629.0,4629.0,4629.0,4629.0,0.0
1990-01-03,3853.0,4036.0,3785.0,4036.0,31090.0
1990-01-04,4104.0,4218.0,4104.0,4218.0,124871.0
1990-01-05,4218.0,4264.0,4127.0,4173.0,159920.0
1990-01-06,4218.0,4287.0,4173.0,4218.0,147571.0
1990-01-08,4264.0,4355.0,4241.0,4332.0,274549.0
1990-01-09,4401.0,4423.0,4287.0,4355.0,236630.0
1990-01-10,4378.0,4446.0,4309.0,4401.0,371053.0
1990-01-11,4401.0,4401.0,4218.0,4264.0,157777.0
1990-01-12,4218.0,4264.0,4173.0,4241.0,126105.0
1990-01-13,4241.0,4241.0,4173.0,4173.0,52701.0
1990-01-15,4173.0,4173.0,4104.0,4150.0,59929.0
1990-01-16,4127.0,4150.0,4036.0,4059.0,22664.0
