Datetime,Open,High,Low,Close,Volume
1983-10-24,7401.0,7401.0,7287.0,7287.0,426.0
1983-10-25,7060.0,7174.0,7060.0,7151.0,45.0
1983-10-26,7401.0,7401.0,7038.0,7378.0,607.0
1983-10-27,7424.0,7424.0,7174.0,7174.0,908.0
1983-10-28,7287.0,7605.0,7287.0,7401.0,1907.0
1983-10-29,7446.0,7719.0,7446.0,7719.0,620.0
1983-10-31,7742.0,8150.0,7696.0,8128.0,1577.0
1983-11-01,7969.0,8059.0,7764.0,7764.0,2136.0
1983-11-02,7605.0,7969.0,7515.0,7583.0,1306.0
1983-11-03,7583.0,7810.0,7537.0,7560.0,552.0
1983-11-04,7560.0,7673.0,7560.0,7605.0,494.0
1983-11-05,7515.0,7515.0,7378.0,7492.0,360.0
1983-11-07,7787.0,7810.0,7537.0,7560.0,572.0
1983-11-08,7673.0,7719.0,7515.0,7515.0,795.0
1983-11-09,7719.0,7719.0,7719.0,7719.0,123.0
1983-11-10,7719.0,7719.0,7696.0,7719.0,471.0
1983-11-11,7832.0,7923.0,7719.0,7719.0,737.0
1983-11-12,7719.0,7719.0,7492.0,7719.0,236.0
1983-11-14,7605.0,7605.0,7583.0,7583.0,84.0
1983-11-15,7605.0,7696.0,7515.0,7696.0,335.0
1983-11-16,7855.0,7946.0,7742.0,7832.0,1497.0
1983-11-17,7787.0,7787.0,7605.0,7651.0,486.0
1983-11-18,7605.0,7605.0,7605.0,7605.0,541.0
1983-11-19,7605.0,7605.0,7605.0,7605.0,292.0
1983-11-21,7424.0,7424.0,7424.0,7424.0,28.0
1983-11-22,7560.0,7560.0,7560.0,7560.0,41.0
1983-11-23,7492.0,7515.0,7333.0,7333.0,391.0
1983-11-24,7333.0,7333.0,7265.0,7287.0,451.0
1983-11-25,7560.0,7560.0,7560.0,7560.0,123.0
1983-11-26,7560.0,7560.0,7492.0,7492.0,185.0
1983-11-28,7492.0,7492.0,7446.0,7446.0,537.0
1983-11-29,7446.0,7446.0,7401.0,7401.0,154.0
1983-11-30,7310.0,7401.0,7310.0,7401.0,53.0
1983-12-01,7424.0,7446.0,7287.0,7287.0,692.0
1983-12-02,7333.0,7356.0,7333.0,7333.0,906.0
1983-12-03,7265.0,7265.0,7083.0,7265.0,150.0
1983-12-05,7265.0,7401.0,7174.0,7265.0,2694.0
1983-12-06,7333.0,7378.0,7265.0,7265.0,1837.0
1983-12-07,7083.0,7265.0,7083.0,7265.0,1172.0
1983-12-08,7265.0,7492.0,7265.0,7492.0,2890.0
1983-12-09,7628.0,7719.0,7537.0,7537.0,2043.0
1983-12-10,7492.0,7651.0,7492.0,7651.0,1650.0
1983-12-12,7696.0,7832.0,7696.0,7764.0,2830.0
1983-12-13,7719.0,7900.0,7719.0,7900.0,1240.0
1983-12-14,7878.0,7878.0,7719.0,7719.0,2478.0
1983-12-15,7719.0,7719.0,7583.0,7673.0,1153.0
1983-12-16,7605.0,7719.0,7560.0,7560.0,414.0
1983-12-17,7605.0,7605.0,7492.0,7560.0,601.0
1983-12-19,7515.0,7560.0,7492.0,7492.0,776.0
1983-12-20,7446.0,7446.0,7378.0,7378.0,834.0
1983-12-21,7356.0,7356.0,7310.0,7333.0,646.0
1983-12-22,7378.0,7492.0,7378.0,7492.0,354.0
1983-12-23,7537.0,7605.0,7492.0,7560.0,1001.0
1983-12-24,7696.0,7696.0,7583.0,7605.0,376.0
1984-01-04,7469.0,7469.0,7469.0,7469.0,823.0
1984-01-05,7378.0,7378.0,7378.0,7378.0,16.0
1984-01-06,7219.0,7219.0,7219.0,7219.0,0.0
1984-01-07,7219.0,7219.0,7219.0,7219.0,41.0
1984-01-09,7151.0,7151.0,7151.0,7151.0,0.0
1984-01-10,7038.0,7038.0,6856.0,6856.0,105.0
1984-01-11,6856.0,7537.0,6811.0,7356.0,3230.0
1984-01-12,7605.0,7719.0,7492.0,7492.0,1343.0
1984-01-13,7378.0,7651.0,7378.0,7401.0,2224.0
1984-01-14,7287.0,7333.0,7287.0,7287.0,67.0
1984-01-16,7310.0,7628.0,7310.0,7492.0,749.0
1984-01-17,7605.0,7628.0,7446.0,7446.0,432.0
1984-01-18,7174.0,7378.0,7151.0,7378.0,1058.0
1984-01-19,7265.0,7265.0,7265.0,7265.0,288.0
1984-01-20,7242.0,7265.0,7106.0,7106.0,1077.0
1984-01-21,7106.0,7106.0,7038.0,7038.0,366.0
1984-01-23,7083.0,7083.0,6856.0,7038.0,554.0
1984-01-24,7038.0,7378.0,7038.0,7197.0,1017.0
1984-01-25,7151.0,7151.0,7038.0,7038.0,102.0
1984-01-26,6970.0,7151.0,6879.0,7151.0,395.0
1984-01-27,7265.0,7378.0,7151.0,7151.0,2121.0
1984-01-28,7151.0,7151.0,7038.0,7038.0,82.0
1984-01-30,7265.0,7265.0,6992.0,7151.0,1050.0
1984-01-31,7129.0,7129.0,6970.0,7038.0,1184.0
1984-02-01,7060.0,7719.0,7060.0,7719.0,4167.0
1984-02-02,8059.0,8400.0,7969.0,8400.0,6550.0
1984-02-03,8741.0,8831.0,7787.0,7946.0,4245.0
1984-02-04,7946.0,8286.0,7946.0,8286.0,3172.0
1984-02-06,8423.0,8741.0,8423.0,8513.0,8316.0
1984-02-07,8627.0,9195.0,8627.0,8922.0,11865.0
1984-02-08,8741.0,9535.0,8695.0,9217.0,10619.0
1984-02-09,8831.0,8968.0,8672.0,8741.0,1940.0
1984-02-10,8400.0,8854.0,8400.0,8854.0,3089.0
1984-02-11,8854.0,9195.0,8854.0,9195.0,2665.0
1984-02-13,9422.0,9581.0,9013.0,9081.0,3810.0
1984-02-14,9058.0,9308.0,8854.0,8968.0,4225.0
1984-02-15,8763.0,9195.0,8741.0,9195.0,3534.0
1984-02-16,9354.0,9399.0,8854.0,9081.0,2187.0
1984-02-17,8945.0,9195.0,8854.0,8854.0,1631.0
1984-02-18,8763.0,8854.0,8627.0,8741.0,2476.0
1984-02-20,8763.0,8786.0,8377.0,8377.0,1406.0
1984-02-21,8445.0,8627.0,8286.0,8423.0,3178.0
1984-02-22,8582.0,8741.0,8445.0,8627.0,2381.0
1984-02-23,8854.0,8854.0,8513.0,8513.0,1147.0
1984-02-24,8513.0,8672.0,8400.0,8672.0,1882.0
1984-02-25,8809.0,8854.0,8672.0,8672.0,2092.0
1984-02-27,8741.0,8741.0,8513.0,8627.0,1392.0
1984-02-28,8582.0,8627.0,8400.0,8627.0,1186.0
1984-02-29,8582.0,8582.0,8196.0,8196.0,1071.0
1984-03-02,8332.0,8423.0,8332.0,8400.0,953.0
1984-03-03,8445.0,8445.0,8332.0,8400.0,838.0
1984-03-05,8423.0,8741.0,8423.0,8741.0,1168.0
1984-03-06,8741.0,8741.0,8445.0,8445.0,1299.0
1984-03-07,8718.0,8718.0,8400.0,8513.0,335.0
1984-03-08,8627.0,8741.0,8423.0,8491.0,778.0
1984-03-09,8468.0,8741.0,8468.0,8741.0,867.0
1984-03-12,8854.0,8922.0,8718.0,8741.0,1507.0
1984-03-13,8718.0,8718.0,8582.0,8582.0,234.0
1984-03-14,8627.0,8831.0,8627.0,8831.0,2301.0
1984-03-15,8968.0,9058.0,8741.0,9058.0,4418.0
1984-03-16,9058.0,9104.0,8809.0,9058.0,4171.0
1984-03-17,8968.0,8968.0,8786.0,8786.0,914.0
1984-03-19,8809.0,8990.0,8786.0,8854.0,2519.0
1984-03-20,8899.0,8945.0,8831.0,8854.0,939.0
1984-03-21,8741.0,9149.0,8741.0,9149.0,8025.0
1984-03-22,9217.0,9240.0,8990.0,9217.0,9261.0
1984-03-23,9263.0,9422.0,9104.0,9376.0,6896.0
1984-03-24,9354.0,9717.0,9354.0,9694.0,7704.0
1984-03-26,9989.0,10103.0,9785.0,9944.0,7974.0
1984-03-27,9989.0,10012.0,9762.0,9876.0,4818.0
