Datetime,Open,High,Low,Close,Volume
1996-07-31,5296.0,5296.0,5296.0,5296.0,0.0
1996-08-01,5609.0,5609.0,5609.0,5609.0,0.0
1996-08-02,5942.0,5942.0,5942.0,5942.0,0.0
1996-08-03,6295.0,6295.0,6295.0,6295.0,0.0
1996-08-05,6662.0,6662.0,6662.0,6662.0,0.0
1996-08-06,7061.0,7061.0,7061.0,7061.0,0.0
1996-08-07,7461.0,7461.0,7461.0,7461.0,600.0
1996-08-08,7894.0,7894.0,7894.0,7894.0,0.0
1996-08-09,8361.0,8361.0,8361.0,8361.0,0.0
1996-08-10,8860.0,8860.0,8860.0,8860.0,0.0
1996-08-12,9360.0,9360.0,9360.0,9360.0,0.0
1996-08-13,9893.0,9893.0,9893.0,9893.0,0.0
1996-08-14,10459.0,10459.0,10459.0,10459.0,56900.0
1996-08-16,11059.0,11059.0,10992.0,11059.0,458900.0
1996-08-17,10459.0,10992.0,10426.0,10426.0,57200.0
1996-08-19,9860.0,10992.0,9860.0,10459.0,187600.0
1996-08-20,9926.0,10459.0,9926.0,9993.0,44000.0
1996-08-21,9993.0,9993.0,9393.0,9393.0,94000.0
1996-08-22,9393.0,9926.0,9127.0,9660.0,193600.0
1996-08-23,9726.0,10226.0,9726.0,10226.0,70600.0
1996-08-24,10592.0,10826.0,10592.0,10826.0,198700.0
1996-08-26,11392.0,11459.0,11392.0,11459.0,87400.0
1996-08-27,11991.0,11991.0,11059.0,11325.0,159900.0
1996-08-28,11325.0,11325.0,10659.0,10659.0,128400.0
1996-08-29,10526.0,11292.0,10026.0,10892.0,104700.0
1996-08-30,10259.0,11525.0,10259.0,11525.0,265800.0
1996-08-31,11525.0,11991.0,11259.0,11792.0,91200.0
1996-09-02,11792.0,12491.0,11325.0,11325.0,297000.0
1996-09-03,11459.0,11592.0,10726.0,11525.0,75700.0
1996-09-04,11991.0,11991.0,11325.0,11725.0,83300.0
1996-09-05,11725.0,11991.0,11325.0,11425.0,84500.0
1996-09-06,11259.0,11325.0,10826.0,10992.0,67900.0
1996-09-07,11059.0,11525.0,11059.0,11259.0,141500.0
1996-09-09,11259.0,11592.0,11125.0,11125.0,29100.0
1996-09-10,11325.0,11525.0,11059.0,11459.0,75200.0
1996-09-11,11425.0,12125.0,11392.0,12125.0,208500.0
1996-09-12,12591.0,12824.0,12591.0,12791.0,353100.0
1996-09-13,12791.0,12791.0,12158.0,12325.0,217200.0
1996-09-14,12391.0,13057.0,12391.0,13057.0,172100.0
1996-09-16,13057.0,13790.0,13057.0,13191.0,144200.0
1996-09-17,13191.0,13457.0,12791.0,13057.0,94000.0
1996-09-18,13324.0,13590.0,13191.0,13524.0,150000.0
1996-09-19,13524.0,13790.0,13324.0,13324.0,82600.0
1996-09-20,13324.0,13324.0,12524.0,12524.0,133400.0
1996-09-21,12524.0,13124.0,12491.0,12591.0,108500.0
1996-09-23,12591.0,12658.0,12191.0,12658.0,30100.0
1996-09-24,12258.0,12658.0,11991.0,11991.0,61600.0
1996-09-25,11991.0,12524.0,11825.0,11991.0,50500.0
1996-09-30,12325.0,12691.0,12258.0,12591.0,55200.0
1996-10-01,12658.0,12724.0,12258.0,12591.0,106300.0
1996-10-02,12724.0,12991.0,12524.0,12858.0,104200.0
1996-10-04,13057.0,13057.0,12591.0,12858.0,81400.0
1996-10-05,12858.0,12991.0,12658.0,12724.0,67000.0
1996-10-07,12658.0,12658.0,12191.0,12191.0,37600.0
1996-10-08,12125.0,12524.0,11492.0,11492.0,191600.0
1996-10-09,11525.0,11525.0,11025.0,11025.0,81300.0
1996-10-10,11025.0,11192.0,10659.0,10859.0,39000.0
1996-10-11,11325.0,11492.0,11059.0,11492.0,52200.0
1996-10-12,11492.0,11492.0,11159.0,11325.0,11600.0
1996-10-14,11325.0,11325.0,11025.0,11059.0,15800.0
1996-10-15,11059.0,11325.0,10659.0,11325.0,37500.0
1996-10-16,11991.0,11991.0,11192.0,11325.0,37400.0
1996-10-17,11325.0,11325.0,10659.0,11192.0,40500.0
1996-10-18,10992.0,10992.0,10726.0,10992.0,17900.0
1996-10-19,10992.0,10992.0,10659.0,10859.0,5800.0
1996-10-21,10792.0,11192.0,10792.0,11192.0,17400.0
1996-10-22,11192.0,11792.0,11192.0,11392.0,61300.0
1996-10-23,11725.0,11725.0,11392.0,11392.0,25900.0
1996-10-24,11325.0,11325.0,11259.0,11259.0,11400.0
1996-10-25,11259.0,11325.0,10992.0,11192.0,16300.0
1996-10-26,11325.0,11325.0,11259.0,11259.0,7900.0
1996-10-28,11325.0,11392.0,11259.0,11259.0,36300.0
1996-10-29,11259.0,11325.0,11125.0,11225.0,4500.0
1996-10-30,11259.0,11259.0,10926.0,11225.0,17900.0
1996-10-31,10659.0,10992.0,10659.0,10926.0,20800.0
1996-11-01,10926.0,10926.0,10659.0,10659.0,15500.0
1996-11-02,10792.0,10926.0,10792.0,10926.0,12400.0
1996-11-04,10992.0,10992.0,10659.0,10826.0,14600.0
1996-11-05,10659.0,10659.0,10526.0,10526.0,1500.0
1996-11-06,10526.0,10726.0,10059.0,10526.0,18000.0
