Datetime,Open,High,Low,Close,Volume
1983-10-24,2401.0,2414.0,2392.0,2396.0,6885.0
1983-10-25,2383.0,2392.0,2383.0,2392.0,5321.0
1983-10-26,2383.0,2414.0,2383.0,2414.0,1744.0
1983-10-27,2414.0,2436.0,2401.0,2414.0,19574.0
1983-10-28,2418.0,2475.0,2418.0,2453.0,24680.0
1983-10-29,2458.0,2458.0,2423.0,2445.0,8182.0
1983-10-31,2449.0,2480.0,2449.0,2467.0,22086.0
1983-11-01,2480.0,2524.0,2480.0,2502.0,23100.0
1983-11-02,2497.0,2524.0,2484.0,2502.0,27990.0
1983-11-03,2502.0,2546.0,2493.0,2524.0,58242.0
1983-11-04,2528.0,2612.0,2524.0,2590.0,200106.0
1983-11-05,2563.0,2563.0,2528.0,2563.0,25462.0
1983-11-07,2572.0,2607.0,2563.0,2572.0,76403.0
1983-11-08,2546.0,2563.0,2541.0,2563.0,53668.0
1983-11-09,2568.0,2655.0,2568.0,2633.0,82656.0
1983-11-10,2655.0,2673.0,2638.0,2638.0,80594.0
1983-11-11,2633.0,2655.0,2590.0,2590.0,62799.0
1983-11-12,2598.0,2616.0,2590.0,2607.0,22335.0
1983-11-14,2585.0,2585.0,2546.0,2546.0,7400.0
1983-11-15,2541.0,2546.0,2524.0,2546.0,19957.0
1983-11-16,2590.0,2629.0,2559.0,2581.0,53602.0
1983-11-17,2581.0,2581.0,2524.0,2528.0,22917.0
1983-11-18,2524.0,2532.0,2511.0,2524.0,30435.0
1983-11-19,2524.0,2524.0,2489.0,2489.0,17778.0
1983-11-21,2493.0,2493.0,2458.0,2458.0,11957.0
1983-11-22,2480.0,2480.0,2458.0,2480.0,12756.0
1983-11-23,2497.0,2502.0,2462.0,2462.0,11375.0
1983-11-24,2480.0,2480.0,2458.0,2467.0,11043.0
1983-11-25,2471.0,2480.0,2458.0,2480.0,19192.0
1983-11-26,2480.0,2480.0,2467.0,2475.0,6037.0
1983-11-28,2475.0,2475.0,2458.0,2458.0,15167.0
1983-11-29,2458.0,2475.0,2449.0,2458.0,14968.0
1983-11-30,2458.0,2475.0,2458.0,2471.0,11026.0
1983-12-01,2480.0,2524.0,2462.0,2493.0,22901.0
1983-12-02,2489.0,2506.0,2458.0,2458.0,14053.0
1983-12-03,2458.0,2462.0,2458.0,2458.0,8814.0
1983-12-05,2458.0,2480.0,2458.0,2480.0,9280.0
1983-12-06,2484.0,2532.0,2484.0,2502.0,18277.0
1983-12-07,2497.0,2502.0,2471.0,2502.0,6369.0
1983-12-08,2537.0,2590.0,2511.0,2590.0,22585.0
1983-12-09,2612.0,2616.0,2554.0,2568.0,13105.0
1983-12-10,2563.0,2563.0,2541.0,2541.0,14768.0
1983-12-12,2550.0,2590.0,2546.0,2546.0,27774.0
1983-12-13,2546.0,2568.0,2528.0,2546.0,28006.0
1983-12-14,2546.0,2546.0,2524.0,2524.0,12307.0
1983-12-15,2511.0,2568.0,2511.0,2568.0,38783.0
1983-12-16,2568.0,2590.0,2537.0,2554.0,23333.0
1983-12-17,2568.0,2568.0,2559.0,2563.0,10361.0
1983-12-19,2568.0,2572.0,2532.0,2546.0,23932.0
1983-12-20,2568.0,2568.0,2511.0,2528.0,28372.0
1983-12-21,2506.0,2511.0,2484.0,2489.0,11242.0
1983-12-22,2489.0,2502.0,2484.0,2484.0,16115.0
1983-12-23,2502.0,2502.0,2462.0,2480.0,30152.0
1983-12-24,2489.0,2519.0,2484.0,2502.0,49195.0
1984-01-04,2379.0,2379.0,2379.0,2379.0,1197.0
1984-01-05,2370.0,2379.0,2357.0,2379.0,4141.0
1984-01-06,2379.0,2379.0,2353.0,2353.0,9097.0
1984-01-07,2348.0,2348.0,2326.0,2326.0,1929.0
1984-01-09,2313.0,2370.0,2313.0,2370.0,31965.0
1984-01-10,2370.0,2414.0,2370.0,2414.0,15333.0
1984-01-11,2440.0,2524.0,2410.0,2524.0,48829.0
1984-01-12,2546.0,2546.0,2458.0,2475.0,44654.0
1984-01-13,2493.0,2493.0,2449.0,2453.0,30052.0
1984-01-14,2445.0,2445.0,2436.0,2445.0,3126.0
1984-01-16,2458.0,2480.0,2440.0,2449.0,11142.0
1984-01-17,2458.0,2458.0,2432.0,2432.0,22568.0
1984-01-18,2410.0,2414.0,2392.0,2414.0,10011.0
1984-01-19,2405.0,2410.0,2383.0,2410.0,12822.0
1984-01-20,2418.0,2436.0,2405.0,2414.0,28638.0
1984-01-21,2453.0,2480.0,2449.0,2480.0,39665.0
1984-01-23,2502.0,2524.0,2480.0,2524.0,54766.0
1984-01-24,2537.0,2568.0,2506.0,2506.0,105292.0
1984-01-25,2524.0,2546.0,2458.0,2458.0,24298.0
1984-01-26,2484.0,2484.0,2453.0,2467.0,16182.0
1984-01-27,2467.0,2480.0,2462.0,2462.0,13571.0
1984-01-28,2458.0,2458.0,2436.0,2436.0,5937.0
1984-01-30,2445.0,2458.0,2414.0,2414.0,35524.0
1984-01-31,2423.0,2480.0,2414.0,2458.0,70283.0
1984-02-01,2467.0,2677.0,2467.0,2677.0,127478.0
1984-02-02,2765.0,2897.0,2748.0,2897.0,251629.0
1984-02-03,3116.0,3116.0,2941.0,2963.0,356905.0
1984-02-04,3081.0,3160.0,3072.0,3072.0,270107.0
1984-02-06,3138.0,3178.0,2985.0,2985.0,201636.0
1984-02-07,3068.0,3094.0,2853.0,2853.0,127145.0
1984-02-08,2941.0,2941.0,2813.0,2813.0,196530.0
1984-02-09,2792.0,2805.0,2677.0,2721.0,114788.0
1984-02-10,2739.0,2849.0,2739.0,2765.0,45586.0
1984-02-11,2805.0,2822.0,2778.0,2787.0,31599.0
1984-02-13,2875.0,2945.0,2813.0,2827.0,86249.0
1984-02-14,2844.0,2853.0,2809.0,2809.0,44870.0
1984-02-15,2765.0,2783.0,2752.0,2765.0,38800.0
1984-02-16,2787.0,2831.0,2765.0,2765.0,37985.0
1984-02-17,2765.0,2787.0,2765.0,2765.0,21287.0
1984-02-18,2778.0,2778.0,2765.0,2765.0,14053.0
1984-02-20,2792.0,2809.0,2726.0,2743.0,26693.0
1984-02-21,2743.0,2761.0,2695.0,2743.0,16032.0
1984-02-22,2765.0,2783.0,2721.0,2739.0,33578.0
1984-02-23,2774.0,2809.0,2743.0,2765.0,47149.0
1984-02-24,2765.0,2783.0,2743.0,2765.0,38384.0
1984-02-25,2783.0,2787.0,2721.0,2721.0,17994.0
1984-02-27,2726.0,2739.0,2699.0,2721.0,31565.0
1984-02-28,2699.0,2721.0,2699.0,2721.0,17229.0
1984-02-29,2721.0,2721.0,2704.0,2704.0,13903.0
1984-03-02,2721.0,2721.0,2708.0,2721.0,58458.0
1984-03-03,2721.0,2743.0,2721.0,2721.0,60920.0
1984-03-05,2721.0,2721.0,2677.0,2686.0,19741.0
1984-03-06,2691.0,2708.0,2677.0,2682.0,61335.0
1984-03-07,2682.0,2682.0,2616.0,2625.0,70416.0
1984-03-08,2335.0,2370.0,2287.0,2326.0,15300.0
1984-03-09,2322.0,2322.0,2295.0,2322.0,13837.0
1984-03-12,2339.0,2344.0,2282.0,2291.0,12772.0
1984-03-13,2291.0,2291.0,2269.0,2278.0,13022.0
1984-03-14,2278.0,2300.0,2278.0,2287.0,6236.0
1984-03-15,2282.0,2304.0,2273.0,2304.0,13620.0
1984-03-16,2300.0,2300.0,2282.0,2282.0,13521.0
1984-03-17,2287.0,2287.0,2287.0,2287.0,3991.0
1984-03-19,2282.0,2282.0,2260.0,2265.0,6802.0
1984-03-20,2265.0,2265.0,2225.0,2225.0,5621.0
1984-03-21,2243.0,2326.0,2243.0,2322.0,22501.0
1984-03-22,2322.0,2326.0,2304.0,2322.0,28023.0
1984-03-23,2287.0,2287.0,2287.0,2287.0,4889.0
1984-03-24,2309.0,2326.0,2309.0,2322.0,13354.0
1984-03-26,2322.0,2370.0,2322.0,2326.0,35906.0
1984-03-27,2348.0,2370.0,2326.0,2326.0,29503.0
1984-03-28,2326.0,2374.0,2326.0,2348.0,61818.0
1984-03-29,2357.0,2361.0,2317.0,2322.0,36272.0
1984-03-30,2335.0,2414.0,2335.0,2370.0,41511.0
1984-03-31,2361.0,2370.0,2331.0,2357.0,13654.0
1984-04-02,2357.0,2370.0,2317.0,2348.0,51689.0
1984-04-03,2361.0,2361.0,2304.0,2313.0,19791.0
1984-04-04,2304.0,2339.0,2300.0,2326.0,38584.0
1984-04-06,2326.0,2326.0,2238.0,2238.0,17296.0
1984-04-07,2260.0,2282.0,2243.0,2256.0,35474.0
1984-04-09,2282.0,2282.0,2230.0,2230.0,15916.0
1984-04-10,2252.0,2252.0,2238.0,2247.0,29004.0
1984-04-11,2247.0,2278.0,2238.0,2238.0,24830.0
1984-04-12,2230.0,2238.0,2216.0,2216.0,12623.0
1984-04-13,2216.0,2221.0,2194.0,2194.0,19841.0
1984-04-14,2194.0,2194.0,2155.0,2194.0,10560.0
1984-04-16,2194.0,2194.0,2111.0,2142.0,15117.0
1984-04-17,2111.0,2111.0,2041.0,2063.0,21770.0
1984-04-18,2072.0,2129.0,2072.0,2124.0,30884.0
1984-04-19,2133.0,2151.0,2129.0,2133.0,16182.0
1984-04-20,2133.0,2146.0,2107.0,2107.0,23350.0
1984-04-21,2098.0,2098.0,2063.0,2076.0,8814.0
1984-04-23,2054.0,2094.0,2054.0,2085.0,22784.0
1984-04-24,2120.0,2190.0,2120.0,2151.0,12340.0
1984-04-25,2151.0,2151.0,2102.0,2102.0,7084.0
1984-04-26,2129.0,2129.0,2102.0,2102.0,6353.0
1984-04-27,2107.0,2107.0,2058.0,2058.0,9928.0
1984-04-28,2058.0,2058.0,2041.0,2041.0,9213.0
1984-04-30,2041.0,2124.0,2019.0,2124.0,9097.0
1984-05-01,2120.0,2120.0,2063.0,2085.0,11159.0
1984-05-02,2080.0,2085.0,2041.0,2063.0,10527.0
1984-05-03,2085.0,2085.0,2045.0,2045.0,4490.0
1984-05-04,2019.0,2019.0,1979.0,1988.0,7118.0
1984-05-07,1979.0,2001.0,1979.0,2001.0,5953.0
1984-05-09,2001.0,2001.0,1887.0,1931.0,10926.0
1984-05-10,1927.0,1927.0,1852.0,1861.0,7550.0
1984-05-11,1839.0,1848.0,1795.0,1834.0,19924.0
1984-05-12,1834.0,1865.0,1834.0,1865.0,7700.0
1984-05-14,1843.0,1843.0,1799.0,1799.0,5005.0
1984-05-15,1799.0,1799.0,1777.0,1799.0,5654.0
1984-05-16,1799.0,1804.0,1799.0,1804.0,10111.0
1984-05-17,1795.0,1834.0,1795.0,1799.0,7201.0
1984-05-18,1808.0,1839.0,1799.0,1804.0,9978.0
1984-05-19,1808.0,1821.0,1808.0,1821.0,931.0
1984-05-21,1804.0,1821.0,1804.0,1821.0,3010.0
1984-05-22,1821.0,1953.0,1821.0,1931.0,24331.0
1984-05-23,1909.0,1909.0,1843.0,1887.0,7484.0
1984-05-24,1883.0,1883.0,1843.0,1865.0,8997.0
1984-05-25,1865.0,1865.0,1848.0,1848.0,8149.0
1984-05-26,1760.0,1821.0,1760.0,1821.0,6303.0
1984-05-28,1821.0,1821.0,1804.0,1804.0,5804.0
1984-05-29,1804.0,1804.0,1782.0,1799.0,4390.0
1984-05-30,1799.0,1821.0,1782.0,1782.0,1846.0
1984-05-31,1839.0,1839.0,1760.0,1777.0,7916.0
1984-06-01,1804.0,1804.0,1782.0,1799.0,2478.0
1984-06-02,1804.0,1839.0,1804.0,1821.0,11575.0
1984-06-04,1826.0,1843.0,1826.0,1830.0,6735.0
1984-06-05,1843.0,1962.0,1843.0,1931.0,87413.0
1984-06-07,1957.0,1975.0,1935.0,1975.0,36588.0
