Datetime,Open,High,Low,Close,Volume
1983-10-24,145.0,145.0,145.0,145.0,0.0
1983-10-25,145.0,145.0,145.0,145.0,0.0
1983-10-26,145.0,145.0,145.0,145.0,0.0
1983-10-27,145.0,145.0,145.0,145.0,0.0
1983-10-28,145.0,145.0,145.0,145.0,0.0
1983-10-29,145.0,145.0,145.0,145.0,0.0
1983-10-31,145.0,145.0,145.0,145.0,0.0
1983-11-01,145.0,145.0,145.0,145.0,0.0
1983-11-02,145.0,145.0,145.0,145.0,0.0
1983-11-03,145.0,145.0,145.0,145.0,0.0
1983-11-04,145.0,145.0,145.0,145.0,0.0
1983-11-05,145.0,145.0,145.0,145.0,0.0
1983-11-07,145.0,145.0,145.0,145.0,0.0
1983-11-08,145.0,145.0,145.0,145.0,0.0
1983-11-09,145.0,145.0,145.0,145.0,0.0
1983-11-10,145.0,145.0,145.0,145.0,0.0
1983-11-11,145.0,145.0,145.0,145.0,0.0
1983-11-12,145.0,145.0,145.0,145.0,0.0
1983-11-14,145.0,145.0,145.0,145.0,0.0
1983-11-15,145.0,145.0,145.0,145.0,0.0
1983-11-16,145.0,145.0,145.0,145.0,0.0
1983-11-17,145.0,145.0,145.0,145.0,0.0
1983-11-18,145.0,145.0,145.0,145.0,0.0
1983-11-19,145.0,145.0,145.0,145.0,0.0
1983-11-21,145.0,145.0,145.0,145.0,0.0
1983-11-22,145.0,145.0,145.0,145.0,0.0
1983-11-23,145.0,145.0,145.0,145.0,0.0
1983-11-24,145.0,145.0,145.0,145.0,0.0
1983-11-25,145.0,145.0,145.0,145.0,0.0
1983-11-26,145.0,145.0,145.0,145.0,0.0
1983-11-28,145.0,145.0,145.0,145.0,0.0
1983-11-29,145.0,145.0,145.0,145.0,0.0
1983-11-30,145.0,145.0,145.0,145.0,200.0
1983-12-01,145.0,145.0,145.0,145.0,200.0
1983-12-02,145.0,145.0,145.0,145.0,0.0
1983-12-03,145.0,145.0,145.0,145.0,0.0
1983-12-05,145.0,145.0,145.0,145.0,0.0
1983-12-06,145.0,145.0,145.0,145.0,0.0
1983-12-07,145.0,145.0,145.0,145.0,0.0
1983-12-08,145.0,145.0,145.0,145.0,0.0
1983-12-09,145.0,145.0,145.0,145.0,0.0
1983-12-10,145.0,145.0,145.0,145.0,0.0
1983-12-12,145.0,145.0,145.0,145.0,0.0
1983-12-13,145.0,145.0,145.0,145.0,0.0
1983-12-14,145.0,145.0,145.0,145.0,0.0
1983-12-15,145.0,145.0,145.0,145.0,0.0
1983-12-16,145.0,145.0,145.0,145.0,0.0
1983-12-17,145.0,145.0,145.0,145.0,0.0
1983-12-19,145.0,145.0,145.0,145.0,0.0
1983-12-20,145.0,145.0,145.0,145.0,0.0
1983-12-21,145.0,145.0,145.0,145.0,0.0
1983-12-22,145.0,145.0,145.0,145.0,0.0
1983-12-23,145.0,145.0,145.0,145.0,0.0
1983-12-24,145.0,145.0,145.0,145.0,0.0
1984-01-04,145.0,145.0,145.0,145.0,0.0
1984-01-05,136.0,136.0,136.0,136.0,0.0
1984-01-06,136.0,136.0,136.0,136.0,0.0
1984-01-07,136.0,136.0,136.0,136.0,0.0
1984-01-09,136.0,136.0,136.0,136.0,0.0
1984-01-10,136.0,136.0,136.0,136.0,0.0
1984-01-11,136.0,136.0,136.0,136.0,0.0
1984-01-12,136.0,136.0,136.0,136.0,0.0
1984-01-13,136.0,136.0,136.0,136.0,0.0
1984-01-14,136.0,136.0,136.0,136.0,0.0
1984-01-16,136.0,136.0,136.0,136.0,0.0
1984-01-17,136.0,136.0,136.0,136.0,0.0
1984-01-18,136.0,136.0,136.0,136.0,0.0
1984-01-19,136.0,136.0,136.0,136.0,0.0
1984-01-20,136.0,136.0,136.0,136.0,0.0
1984-01-21,136.0,136.0,136.0,136.0,0.0
1984-01-23,136.0,136.0,136.0,136.0,2000.0
1984-01-24,136.0,136.0,136.0,136.0,0.0
1984-01-25,136.0,136.0,136.0,136.0,0.0
1984-01-26,136.0,136.0,136.0,136.0,0.0
1984-01-27,136.0,136.0,136.0,136.0,0.0
1984-01-28,136.0,136.0,136.0,136.0,0.0
1984-01-30,136.0,136.0,136.0,136.0,0.0
1984-01-31,136.0,136.0,136.0,136.0,0.0
1984-02-01,136.0,136.0,136.0,136.0,0.0
1984-02-02,136.0,136.0,136.0,136.0,0.0
1984-02-03,136.0,136.0,136.0,136.0,0.0
1984-02-04,136.0,136.0,136.0,136.0,0.0
1984-02-06,134.0,134.0,134.0,134.0,400.0
1984-02-07,134.0,134.0,134.0,134.0,0.0
1984-02-08,134.0,134.0,134.0,134.0,0.0
1984-02-09,134.0,134.0,134.0,134.0,0.0
1984-02-10,134.0,134.0,134.0,134.0,0.0
1984-02-11,134.0,134.0,134.0,134.0,0.0
1984-02-13,134.0,134.0,134.0,134.0,0.0
1984-02-14,134.0,134.0,134.0,134.0,0.0
1984-02-15,134.0,134.0,134.0,134.0,0.0
1984-02-16,134.0,134.0,134.0,134.0,0.0
1984-02-17,136.0,136.0,136.0,136.0,0.0
1984-02-18,136.0,136.0,136.0,136.0,0.0
1984-02-20,136.0,136.0,136.0,136.0,0.0
1984-02-21,136.0,136.0,136.0,136.0,0.0
1984-02-22,136.0,136.0,136.0,136.0,0.0
1984-02-23,136.0,136.0,136.0,136.0,0.0
1984-02-24,136.0,136.0,136.0,136.0,0.0
1984-02-25,136.0,136.0,136.0,136.0,0.0
1984-02-27,136.0,136.0,136.0,136.0,0.0
1984-02-28,143.0,143.0,143.0,143.0,0.0
1984-02-29,149.0,149.0,149.0,149.0,0.0
1984-03-02,153.0,153.0,153.0,153.0,0.0
