Datetime,Open,High,Low,Close,Volume
1992-01-03,381.0,403.0,381.0,403.0,1100.0
1992-01-04,402.0,402.0,402.0,402.0,4700.0
1992-01-06,381.0,381.0,381.0,381.0,1100.0
1992-01-07,361.0,361.0,361.0,361.0,2400.0
1992-01-08,341.0,341.0,341.0,341.0,200.0
1992-01-09,320.0,320.0,320.0,320.0,0.0
1992-01-10,307.0,320.0,307.0,307.0,9800.0
1992-01-11,293.0,293.0,293.0,293.0,100.0
1992-01-13,280.0,280.0,280.0,280.0,5600.0
1992-01-14,266.0,272.0,266.0,272.0,22100.0
1992-01-15,272.0,272.0,272.0,272.0,16700.0
1992-01-16,273.0,276.0,273.0,273.0,14100.0
1992-01-17,274.0,279.0,274.0,276.0,6300.0
1992-01-18,276.0,279.0,276.0,276.0,9900.0
1992-01-20,283.0,289.0,283.0,283.0,37900.0
1992-01-21,296.0,296.0,286.0,286.0,58400.0
1992-01-22,300.0,300.0,300.0,300.0,34700.0
1992-01-23,313.0,313.0,313.0,313.0,2400.0
1992-01-24,327.0,327.0,320.0,320.0,40000.0
1992-01-25,320.0,327.0,306.0,306.0,12800.0
1992-01-27,313.0,320.0,313.0,320.0,40200.0
1992-01-28,334.0,334.0,320.0,320.0,38400.0
1992-01-29,327.0,334.0,321.0,333.0,60900.0
1992-01-30,341.0,347.0,341.0,347.0,44500.0
1992-01-31,367.0,367.0,367.0,367.0,4100.0
1992-02-01,388.0,388.0,388.0,388.0,2100.0
1992-02-06,408.0,408.0,408.0,408.0,16400.0
1992-02-07,428.0,428.0,428.0,428.0,13000.0
1992-02-08,449.0,449.0,449.0,449.0,19900.0
1992-02-10,469.0,469.0,469.0,469.0,182800.0
1992-02-11,469.0,469.0,449.0,449.0,33400.0
1992-02-12,428.0,428.0,428.0,428.0,22900.0
1992-02-13,408.0,422.0,408.0,411.0,89000.0
1992-02-14,409.0,422.0,409.0,422.0,49400.0
1992-02-15,416.0,443.0,416.0,429.0,33800.0
1992-02-17,429.0,436.0,422.0,429.0,54100.0
1992-02-18,409.0,409.0,409.0,409.0,10700.0
1992-02-19,388.0,388.0,388.0,388.0,50100.0
1992-02-20,378.0,409.0,378.0,401.0,30000.0
1992-02-21,409.0,409.0,388.0,402.0,18600.0
1992-02-22,422.0,422.0,409.0,422.0,31900.0
1992-02-24,443.0,443.0,422.0,443.0,44000.0
1992-02-25,461.0,461.0,436.0,436.0,60500.0
1992-02-26,416.0,416.0,416.0,416.0,17000.0
1992-02-27,395.0,409.0,395.0,409.0,36200.0
1992-02-28,388.0,409.0,388.0,388.0,25200.0
1992-02-29,381.0,381.0,375.0,381.0,31400.0
1992-03-02,381.0,402.0,375.0,402.0,39700.0
1992-03-03,409.0,422.0,409.0,422.0,70100.0
1992-03-04,429.0,436.0,409.0,409.0,70200.0
1992-03-05,409.0,429.0,409.0,429.0,62600.0
1992-03-06,450.0,450.0,450.0,450.0,115100.0
1992-03-07,470.0,470.0,470.0,470.0,232400.0
1992-03-09,477.0,477.0,456.0,456.0,95500.0
1992-03-11,436.0,443.0,436.0,436.0,26500.0
1992-03-12,416.0,416.0,416.0,416.0,83400.0
1992-03-13,409.0,435.0,409.0,435.0,62400.0
1992-03-14,443.0,443.0,443.0,443.0,84700.0
1992-03-16,429.0,443.0,422.0,429.0,30200.0
1992-03-17,416.0,422.0,409.0,422.0,35200.0
1992-03-18,422.0,436.0,422.0,422.0,14800.0
1992-03-19,402.0,402.0,402.0,402.0,0.0
1992-03-20,381.0,381.0,381.0,381.0,700.0
1992-03-21,361.0,361.0,361.0,361.0,8100.0
1992-03-23,341.0,361.0,341.0,343.0,45800.0
1992-03-25,334.0,334.0,323.0,323.0,4400.0
1992-03-26,313.0,337.0,310.0,334.0,26200.0
1992-03-27,347.0,347.0,341.0,347.0,10200.0
1992-03-28,361.0,368.0,361.0,368.0,12000.0
1992-03-30,381.0,388.0,361.0,388.0,12300.0
1992-03-31,367.0,381.0,367.0,381.0,10900.0
1992-04-01,381.0,381.0,361.0,361.0,21400.0
1992-04-02,341.0,341.0,341.0,341.0,3000.0
1992-04-03,327.0,327.0,327.0,327.0,21400.0
1992-04-04,327.0,341.0,327.0,341.0,8600.0
1992-04-06,347.0,361.0,347.0,361.0,9100.0
1992-04-07,381.0,381.0,347.0,347.0,15700.0
1992-04-08,354.0,361.0,354.0,354.0,12300.0
1992-04-09,361.0,375.0,361.0,375.0,7900.0
1992-04-10,395.0,395.0,381.0,381.0,15600.0
1992-04-11,381.0,381.0,381.0,381.0,6000.0
1992-04-13,381.0,381.0,381.0,381.0,8500.0
1992-04-14,361.0,375.0,361.0,375.0,1800.0
1992-04-15,375.0,375.0,368.0,375.0,14800.0
1992-04-16,392.0,392.0,361.0,388.0,12400.0
1992-04-17,381.0,381.0,381.0,381.0,1100.0
1992-04-18,375.0,375.0,375.0,375.0,400.0
1992-04-20,354.0,381.0,354.0,376.0,9600.0
1992-04-21,388.0,395.0,383.0,388.0,13700.0
1992-04-22,375.0,388.0,375.0,381.0,13400.0
1992-04-23,375.0,375.0,375.0,375.0,0.0
1992-04-24,354.0,375.0,354.0,375.0,3200.0
1992-04-25,361.0,361.0,354.0,354.0,7100.0
1992-04-27,361.0,375.0,358.0,375.0,16000.0
1992-04-28,361.0,375.0,354.0,361.0,7200.0
1992-04-29,361.0,361.0,347.0,347.0,7900.0
1992-04-30,349.0,349.0,341.0,347.0,31800.0
1992-05-01,347.0,347.0,341.0,347.0,26000.0
1992-05-02,347.0,347.0,341.0,341.0,13900.0
1992-05-04,341.0,354.0,341.0,349.0,35300.0
1992-05-06,349.0,364.0,349.0,361.0,16200.0
1992-05-07,341.0,361.0,341.0,347.0,11500.0
1992-05-08,341.0,342.0,341.0,341.0,3200.0
1992-05-09,341.0,341.0,341.0,341.0,1300.0
1992-05-11,342.0,360.0,328.0,341.0,5500.0
1992-05-12,341.0,341.0,327.0,334.0,6600.0
1992-05-13,341.0,347.0,341.0,347.0,17900.0
1992-05-14,368.0,368.0,361.0,368.0,23300.0
1992-05-15,388.0,388.0,388.0,388.0,40300.0
1992-05-16,409.0,409.0,409.0,409.0,49000.0
1992-05-18,429.0,429.0,429.0,429.0,35400.0
1992-05-19,450.0,450.0,450.0,450.0,55100.0
1992-05-20,470.0,470.0,429.0,429.0,149000.0
1992-05-21,409.0,429.0,409.0,409.0,120700.0
1992-05-22,395.0,429.0,395.0,422.0,56800.0
1992-05-23,402.0,422.0,402.0,422.0,12200.0
1992-05-25,402.0,416.0,402.0,402.0,7900.0
