Datetime,Open,High,Low,Close,Volume
1983-10-24,190.0,190.0,190.0,190.0,1055.0
1983-10-25,189.0,189.0,189.0,189.0,10234.0
1983-10-26,189.0,189.0,189.0,189.0,0.0
1983-10-27,189.0,189.0,189.0,189.0,0.0
1983-10-28,193.0,193.0,193.0,193.0,527.0
1983-10-29,198.0,201.0,198.0,201.0,6330.0
1983-10-31,189.0,200.0,189.0,200.0,316.0
1983-11-01,200.0,200.0,200.0,200.0,0.0
1983-11-02,200.0,200.0,200.0,200.0,0.0
1983-11-03,197.0,197.0,197.0,197.0,3165.0
1983-11-04,197.0,197.0,189.0,189.0,2321.0
1983-11-05,191.0,191.0,191.0,191.0,105.0
1983-11-07,189.0,189.0,189.0,189.0,105.0
1983-11-08,184.0,184.0,184.0,184.0,1899.0
1983-11-09,186.0,186.0,186.0,186.0,2743.0
1983-11-10,187.0,189.0,187.0,189.0,3059.0
1983-11-11,192.0,192.0,192.0,192.0,1266.0
1983-11-12,192.0,192.0,192.0,192.0,1477.0
1983-11-14,192.0,192.0,192.0,192.0,0.0
1983-11-15,192.0,192.0,192.0,192.0,8440.0
1983-11-16,192.0,192.0,192.0,192.0,2110.0
1983-11-17,192.0,192.0,192.0,192.0,3165.0
1983-11-18,192.0,192.0,192.0,192.0,0.0
1983-11-19,192.0,192.0,192.0,192.0,0.0
1983-11-21,192.0,192.0,192.0,192.0,105.0
1983-11-22,192.0,192.0,192.0,192.0,0.0
1983-11-23,192.0,192.0,192.0,192.0,0.0
1983-11-24,190.0,190.0,190.0,190.0,2110.0
1983-11-25,190.0,190.0,190.0,190.0,0.0
1983-11-26,190.0,190.0,190.0,190.0,0.0
1983-11-28,190.0,190.0,190.0,190.0,0.0
1983-11-29,190.0,190.0,190.0,190.0,0.0
1983-11-30,190.0,192.0,190.0,190.0,8546.0
1983-12-01,190.0,192.0,190.0,190.0,4431.0
1983-12-02,190.0,190.0,190.0,190.0,12238.0
1983-12-03,191.0,191.0,191.0,191.0,2110.0
1983-12-05,191.0,191.0,191.0,191.0,0.0
1983-12-06,192.0,192.0,192.0,192.0,10656.0
1983-12-07,192.0,192.0,190.0,192.0,12027.0
1983-12-08,190.0,190.0,190.0,190.0,16881.0
1983-12-09,190.0,190.0,189.0,189.0,5275.0
1983-12-10,190.0,190.0,190.0,190.0,5275.0
1983-12-12,189.0,195.0,189.0,192.0,72378.0
1983-12-13,195.0,195.0,195.0,195.0,10339.0
1983-12-14,195.0,198.0,195.0,198.0,11605.0
1983-12-15,198.0,198.0,190.0,190.0,3059.0
1983-12-16,193.0,193.0,193.0,193.0,0.0
1983-12-17,196.0,196.0,196.0,196.0,5275.0
1983-12-19,195.0,195.0,195.0,195.0,5064.0
1983-12-20,195.0,195.0,194.0,194.0,58029.0
1983-12-21,194.0,194.0,193.0,193.0,11816.0
1983-12-22,193.0,193.0,193.0,193.0,2321.0
1983-12-23,192.0,192.0,190.0,190.0,15087.0
1983-12-24,190.0,190.0,189.0,189.0,17197.0
1984-01-04,181.0,181.0,181.0,181.0,0.0
1984-01-05,181.0,181.0,181.0,181.0,0.0
1984-01-06,181.0,181.0,181.0,181.0,0.0
1984-01-07,181.0,181.0,181.0,181.0,0.0
1984-01-09,181.0,181.0,181.0,181.0,0.0
1984-01-10,181.0,181.0,181.0,181.0,1055.0
1984-01-11,181.0,181.0,181.0,181.0,10867.0
1984-01-12,189.0,189.0,185.0,185.0,10550.0
1984-01-13,183.0,184.0,180.0,180.0,15615.0
1984-01-14,180.0,180.0,180.0,180.0,0.0
1984-01-16,180.0,180.0,180.0,180.0,0.0
1984-01-17,181.0,181.0,181.0,181.0,211.0
1984-01-18,180.0,180.0,180.0,180.0,10023.0
1984-01-19,180.0,180.0,180.0,180.0,12660.0
1984-01-20,180.0,180.0,180.0,180.0,2110.0
1984-01-21,180.0,180.0,180.0,180.0,0.0
1984-01-23,180.0,180.0,180.0,180.0,0.0
1984-01-24,180.0,180.0,180.0,180.0,5169.0
1984-01-25,181.0,181.0,180.0,181.0,16037.0
1984-01-26,181.0,183.0,181.0,183.0,3692.0
1984-01-27,183.0,187.0,183.0,187.0,2110.0
1984-01-28,187.0,187.0,187.0,187.0,2426.0
1984-01-30,188.0,201.0,188.0,201.0,13716.0
1984-01-31,201.0,201.0,201.0,201.0,1582.0
1984-02-01,192.0,192.0,192.0,192.0,10550.0
1984-02-02,189.0,189.0,188.0,188.0,14665.0
1984-02-03,188.0,188.0,188.0,188.0,8229.0
1984-02-04,188.0,188.0,188.0,188.0,0.0
1984-02-06,187.0,187.0,187.0,187.0,5275.0
1984-02-07,188.0,190.0,188.0,190.0,5486.0
1984-02-08,190.0,190.0,190.0,190.0,1055.0
1984-02-09,190.0,190.0,189.0,189.0,11500.0
1984-02-10,183.0,188.0,183.0,188.0,2110.0
1984-02-11,188.0,188.0,188.0,188.0,0.0
1984-02-13,188.0,188.0,188.0,188.0,10550.0
1984-02-14,188.0,189.0,186.0,189.0,18147.0
1984-02-15,189.0,190.0,189.0,190.0,7596.0
1984-02-16,190.0,190.0,190.0,190.0,5486.0
1984-02-17,183.0,183.0,183.0,183.0,3165.0
1984-02-18,181.0,181.0,181.0,181.0,527.0
1984-02-20,180.0,180.0,180.0,180.0,1582.0
1984-02-21,177.0,177.0,177.0,177.0,105.0
1984-02-22,177.0,177.0,177.0,177.0,2743.0
1984-02-23,177.0,180.0,177.0,180.0,6330.0
1984-02-24,180.0,180.0,180.0,180.0,0.0
1984-02-25,180.0,180.0,180.0,180.0,0.0
1984-02-27,180.0,180.0,180.0,180.0,8018.0
1984-02-28,180.0,180.0,180.0,180.0,0.0
1984-02-29,180.0,180.0,180.0,180.0,5275.0
1984-03-02,180.0,180.0,180.0,180.0,2110.0
1984-03-03,180.0,180.0,180.0,180.0,0.0
1984-03-05,177.0,177.0,177.0,177.0,0.0
1984-03-06,177.0,177.0,177.0,177.0,0.0
1984-03-07,177.0,177.0,177.0,177.0,0.0
1984-03-08,174.0,174.0,174.0,174.0,2110.0
1984-03-09,171.0,171.0,171.0,171.0,422.0
1984-03-12,171.0,171.0,168.0,168.0,4536.0
1984-03-13,167.0,167.0,167.0,167.0,0.0
1984-03-14,167.0,167.0,166.0,166.0,1688.0
1984-03-15,166.0,166.0,166.0,166.0,3692.0
1984-03-16,167.0,167.0,159.0,159.0,6013.0
1984-03-17,161.0,161.0,161.0,161.0,211.0
1984-03-19,161.0,161.0,161.0,161.0,0.0
1984-03-20,164.0,164.0,164.0,164.0,0.0
1984-03-21,164.0,164.0,164.0,164.0,0.0
1984-03-22,162.0,162.0,162.0,162.0,738.0
1984-03-23,162.0,162.0,162.0,162.0,0.0
1984-03-24,162.0,162.0,162.0,162.0,11394.0
1984-03-26,165.0,165.0,162.0,162.0,13716.0
1984-03-27,162.0,162.0,160.0,162.0,73750.0
1984-03-28,162.0,169.0,162.0,169.0,33762.0
1984-03-29,174.0,183.0,174.0,183.0,21523.0
1984-03-30,181.0,181.0,181.0,181.0,0.0
1984-03-31,180.0,180.0,180.0,180.0,0.0
1984-04-02,180.0,180.0,180.0,180.0,1055.0
1984-04-03,178.0,178.0,178.0,178.0,2110.0
1984-04-04,164.0,178.0,164.0,178.0,211.0
1984-04-06,175.0,180.0,171.0,180.0,15087.0
1984-04-07,180.0,180.0,178.0,178.0,9495.0
1984-04-09,172.0,173.0,172.0,173.0,7385.0
1984-04-10,177.0,188.0,177.0,188.0,55286.0
1984-04-11,203.0,203.0,201.0,201.0,97805.0
