Datetime,Open,High,Low,Close,Volume
1994-04-29,153352.0,153352.0,153352.0,153352.0,122.0
1994-04-30,158829.0,158829.0,158829.0,158829.0,170.0
1994-05-02,164306.0,164306.0,164306.0,164306.0,240.0
1994-05-03,171426.0,171426.0,171426.0,171426.0,127.0
1994-05-04,178546.0,178546.0,178546.0,178546.0,192.0
1994-05-06,185666.0,185666.0,185666.0,185666.0,1445.0
1994-05-07,192786.0,192786.0,192786.0,192786.0,12102.0
1994-05-09,185666.0,185666.0,185666.0,185666.0,2607.0
1994-05-10,178546.0,178546.0,178546.0,178546.0,1008.0
1994-05-11,171426.0,171426.0,171426.0,171426.0,579.0
1994-05-12,164306.0,164306.0,164306.0,164306.0,746.0
1994-05-13,157186.0,170878.0,157186.0,164306.0,17399.0
1994-05-14,164306.0,164306.0,157186.0,157186.0,3112.0
1994-05-16,157186.0,162663.0,157186.0,162663.0,7644.0
1994-05-17,162115.0,167045.0,159925.0,160472.0,8459.0
1994-05-19,159925.0,163758.0,158829.0,163211.0,5832.0
1994-05-20,163211.0,165401.0,163211.0,163211.0,6493.0
1994-05-21,163211.0,168688.0,163211.0,168688.0,4583.0
1994-05-23,173069.0,175808.0,173069.0,175808.0,7520.0
1994-05-24,180189.0,182927.0,176903.0,182927.0,12759.0
1994-05-25,185666.0,187857.0,180737.0,185666.0,13394.0
1994-05-26,186214.0,188952.0,182927.0,187309.0,6488.0
1994-05-27,186214.0,187857.0,181284.0,185666.0,4655.0
1994-05-28,187309.0,187309.0,180737.0,184571.0,3581.0
1994-05-30,184571.0,184571.0,180737.0,180737.0,3223.0
1994-05-31,175260.0,182927.0,175260.0,182927.0,1818.0
1994-06-01,182927.0,182927.0,177451.0,181832.0,1079.0
1994-06-02,179641.0,180737.0,176355.0,180189.0,1026.0
1994-06-03,177998.0,187309.0,177998.0,186214.0,1894.0
1994-06-04,186214.0,188952.0,186214.0,188404.0,1644.0
1994-06-07,181284.0,188404.0,181284.0,187309.0,9058.0
1994-06-08,187309.0,187309.0,183475.0,185118.0,3646.0
1994-06-09,186214.0,186214.0,178546.0,182380.0,641.0
1994-06-10,185118.0,185118.0,177451.0,181284.0,1075.0
1994-06-11,177451.0,177451.0,174164.0,174164.0,53.0
1994-06-13,174164.0,177998.0,168688.0,177998.0,475.0
1994-06-14,176903.0,177998.0,171974.0,175260.0,692.0
1994-06-15,168140.0,169783.0,168140.0,168140.0,531.0
1994-06-16,164306.0,169783.0,162663.0,168140.0,280.0
1994-06-17,169783.0,172521.0,168140.0,169783.0,367.0
1994-06-18,167045.0,169783.0,167045.0,169783.0,257.0
1994-06-20,170878.0,172521.0,168688.0,172521.0,229.0
1994-06-21,171974.0,171974.0,167045.0,167592.0,217.0
1994-06-22,167592.0,169783.0,165401.0,167592.0,277.0
1994-06-23,165401.0,169783.0,163758.0,168688.0,1200.0
1994-06-24,170331.0,170331.0,164306.0,164306.0,409.0
1994-06-25,163211.0,164306.0,159925.0,161020.0,139.0
1994-06-27,158829.0,164306.0,158829.0,164306.0,199.0
1994-06-28,162663.0,167045.0,159925.0,164306.0,151.0
1994-06-29,161568.0,164306.0,161568.0,164306.0,179.0
1994-06-30,161568.0,169783.0,161568.0,169783.0,654.0
1994-07-01,168688.0,172521.0,168688.0,168688.0,4368.0
1994-07-02,167045.0,169783.0,167045.0,168688.0,75.0
1994-07-04,172521.0,173617.0,165401.0,170878.0,872.0
1994-07-05,167045.0,177998.0,167045.0,177998.0,2102.0
1994-07-06,180737.0,185118.0,180737.0,185118.0,1450.0
1994-07-07,192238.0,192238.0,185118.0,185666.0,3496.0
1994-07-08,186214.0,191690.0,186214.0,191690.0,2058.0
1994-07-09,191690.0,198810.0,185118.0,198810.0,2299.0
1994-07-11,191690.0,205930.0,191690.0,205930.0,7103.0
1994-07-12,213050.0,213050.0,208669.0,213050.0,6401.0
1994-07-13,218527.0,218527.0,210312.0,213050.0,3594.0
1994-07-14,213050.0,218527.0,211407.0,212503.0,3084.0
1994-07-15,213598.0,219623.0,213050.0,219623.0,10878.0
1994-07-16,210860.0,223456.0,210860.0,210860.0,4379.0
1994-07-18,213598.0,217980.0,211407.0,217980.0,5279.0
1994-07-19,221813.0,225100.0,214693.0,221813.0,6479.0
