Datetime,Open,High,Low,Close,Volume
2020-12-07,13000.0,16900.0,13000.0,16900.0,14612630.0
2020-12-08,18750.0,21500.0,18700.0,20300.0,30118130.0
2020-12-09,20500.0,20600.0,17300.0,18350.0,10991239.0
2020-12-10,17400.0,19550.0,17100.0,17700.0,5721823.0
2020-12-11,18400.0,19050.0,17800.0,18050.0,3217799.0
2020-12-14,17700.0,17900.0,17150.0,17350.0,1695454.0
2020-12-15,17850.0,22550.0,17700.0,22550.0,15621929.0
2020-12-16,24700.0,26700.0,23350.0,24300.0,24784405.0
2020-12-17,23800.0,31550.0,23450.0,30800.0,31354372.0
2020-12-18,33150.0,40000.0,31850.0,40000.0,17175002.0
2020-12-21,45100.0,52000.0,43850.0,51800.0,10415545.0
2020-12-22,46650.0,61400.0,42400.0,49700.0,18098979.0
2020-12-23,52500.0,54100.0,42600.0,45700.0,6701473.0
2020-12-24,43600.0,46300.0,36500.0,41100.0,9516868.0
2020-12-28,40100.0,44500.0,38700.0,40650.0,5082998.0
2020-12-29,41500.0,42500.0,39400.0,41000.0,3345904.0
2020-12-30,43200.0,49550.0,41150.0,45650.0,13319132.0
2021-01-04,47150.0,48600.0,45650.0,48400.0,4184952.0
2021-01-05,50800.0,52200.0,45800.0,48300.0,4623308.0
2021-01-06,47100.0,48050.0,45600.0,46300.0,2079115.0
2021-01-07,42650.0,46100.0,42500.0,44000.0,3551576.0
2021-01-08,46000.0,49500.0,44550.0,45750.0,5579876.0
2021-01-11,46000.0,46000.0,41800.0,43650.0,1884178.0
2021-01-12,41750.0,45900.0,41400.0,44850.0,3222156.0
2021-01-13,45350.0,46900.0,43350.0,45100.0,3635149.0
2021-01-14,45150.0,47400.0,44200.0,47300.0,3152261.0
2021-01-15,47200.0,47650.0,44500.0,44600.0,2057698.0
2021-01-18,44000.0,45400.0,42850.0,43100.0,1154035.0
2021-01-19,43000.0,44800.0,42050.0,43450.0,1148682.0
2021-01-20,44650.0,44750.0,43100.0,43150.0,732591.0
2021-01-21,43100.0,45200.0,42150.0,45100.0,1657491.0
2021-01-22,44500.0,45000.0,43350.0,43700.0,937075.0
2021-01-25,43450.0,44350.0,43300.0,43350.0,638850.0
2021-01-26,43950.0,44050.0,42150.0,42200.0,767103.0
2021-01-27,42400.0,42750.0,39650.0,39850.0,1187179.0
2021-01-28,37500.0,38700.0,37000.0,37100.0,1035370.0
2021-01-29,37500.0,38250.0,35000.0,35400.0,861061.0
2021-02-01,34700.0,39400.0,33700.0,37050.0,1683283.0
2021-02-02,38000.0,38500.0,37000.0,37650.0,579410.0
2021-02-03,38400.0,40350.0,37900.0,39300.0,1461343.0
2021-02-04,39400.0,39600.0,37900.0,38000.0,525369.0
2021-02-05,38000.0,41350.0,36650.0,37550.0,2443213.0
2021-02-08,36550.0,37050.0,35900.0,36000.0,447561.0
2021-02-09,36100.0,37750.0,35100.0,36350.0,1077350.0
2021-02-10,36650.0,37050.0,35950.0,36050.0,400912.0
2021-02-15,35900.0,36800.0,35350.0,35850.0,449466.0
2021-02-16,35900.0,36650.0,35050.0,35200.0,776698.0
2021-02-17,35000.0,35550.0,34450.0,34450.0,452070.0
2021-02-18,34250.0,43050.0,33800.0,40150.0,16560548.0
2021-02-19,40150.0,42200.0,36350.0,36750.0,3254311.0
2021-02-22,36800.0,37250.0,35000.0,35000.0,1075640.0
2021-02-23,33900.0,34300.0,32750.0,33000.0,911399.0
2021-02-24,32400.0,33000.0,31450.0,31500.0,651356.0
2021-02-25,31800.0,33400.0,31700.0,32000.0,646811.0
2021-02-26,29850.0,32900.0,29850.0,31100.0,649611.0
2021-03-02,31650.0,32300.0,30700.0,30800.0,356542.0
2021-03-03,30300.0,31700.0,30300.0,30900.0,269158.0
2021-03-04,30550.0,31200.0,30100.0,30200.0,261140.0
2021-03-05,29800.0,29800.0,29050.0,29500.0,316360.0
2021-03-08,26600.0,27500.0,25350.0,25450.0,2229138.0
2021-03-09,24850.0,26400.0,24000.0,25900.0,1230638.0
2021-03-10,29050.0,29500.0,25300.0,25300.0,2058054.0
2021-03-11,25050.0,26200.0,25000.0,25400.0,561012.0
2021-03-12,25900.0,27100.0,25700.0,26500.0,811956.0
2021-03-15,26500.0,27600.0,25950.0,27250.0,552584.0
2021-03-16,27650.0,27650.0,26600.0,26900.0,390795.0
2021-03-17,26900.0,26900.0,25950.0,26250.0,267740.0
2021-03-18,27150.0,27200.0,26600.0,26950.0,291928.0
2021-03-19,26000.0,26800.0,25800.0,26550.0,220291.0
2021-03-22,26550.0,26700.0,25750.0,25800.0,311900.0
2021-03-23,25900.0,26200.0,25000.0,25150.0,301434.0
2021-03-24,25150.0,25400.0,24500.0,25050.0,202470.0
2021-03-25,24750.0,25950.0,24550.0,25350.0,380226.0
2021-03-26,25450.0,25500.0,24850.0,25100.0,208126.0
2021-03-29,25150.0,26700.0,24850.0,25700.0,529801.0
2021-03-30,25500.0,26250.0,25400.0,26000.0,227343.0
2021-03-31,26400.0,26400.0,25450.0,25500.0,237554.0
2021-04-01,26250.0,26300.0,25500.0,25650.0,196622.0
2021-04-02,25800.0,27700.0,25650.0,26200.0,799689.0
2021-04-05,26850.0,29300.0,26200.0,27900.0,1703939.0
2021-04-06,28300.0,28800.0,27350.0,27600.0,769625.0
2021-04-07,27850.0,27850.0,27000.0,27200.0,316616.0
2021-04-08,26600.0,27800.0,26550.0,26750.0,380071.0
2021-04-09,27000.0,27250.0,26750.0,26850.0,194476.0
2021-04-12,27100.0,27100.0,26550.0,26700.0,214856.0
2021-04-13,27000.0,28700.0,26950.0,28700.0,1200330.0
2021-04-14,30050.0,31000.0,29000.0,29000.0,2158486.0
2021-04-15,29100.0,29500.0,28000.0,29050.0,544328.0
2021-04-16,29500.0,29550.0,28650.0,29000.0,295511.0
2021-04-19,28200.0,28850.0,28200.0,28300.0,355533.0
2021-04-20,28050.0,28550.0,27750.0,28500.0,252159.0
2021-04-21,28550.0,28550.0,28000.0,28000.0,253868.0
2021-04-22,28300.0,30000.0,28050.0,29650.0,1178028.0
2021-04-23,29600.0,29600.0,29000.0,29200.0,422326.0
2021-04-26,29600.0,33500.0,29100.0,32150.0,6047167.0
2021-04-27,32300.0,34150.0,31100.0,31650.0,3538373.0
2021-04-28,31400.0,31450.0,30500.0,30850.0,712941.0
2021-04-29,31200.0,32450.0,30550.0,30800.0,872683.0
2021-04-30,30600.0,31500.0,29800.0,29950.0,426734.0
2021-05-03,29550.0,30200.0,28950.0,29000.0,362480.0
2021-05-04,28900.0,28950.0,27200.0,28000.0,512897.0
2021-05-06,27400.0,28200.0,27150.0,27550.0,334689.0
2021-05-07,27300.0,28300.0,27300.0,27900.0,230701.0
2021-05-10,27750.0,28850.0,27750.0,28650.0,300010.0
2021-05-11,28050.0,28250.0,27650.0,28000.0,226383.0
2021-05-12,27650.0,28450.0,26900.0,27300.0,310220.0
2021-05-13,26750.0,27100.0,26150.0,26450.0,242164.0
2021-05-14,26550.0,27700.0,26450.0,27450.0,215415.0
2021-05-17,27500.0,28000.0,27000.0,27300.0,160338.0
2021-05-18,27150.0,27700.0,27150.0,27350.0,115750.0
2021-05-20,27050.0,27900.0,27050.0,27300.0,157212.0
2021-05-21,27650.0,27700.0,27000.0,27050.0,154572.0
2021-05-24,26900.0,27250.0,25900.0,25900.0,261999.0
2021-05-25,25700.0,26150.0,25600.0,25700.0,237818.0
2021-05-26,25600.0,25600.0,24900.0,25050.0,416838.0
2021-05-27,25400.0,26550.0,25000.0,25800.0,389834.0
2021-05-28,26250.0,26700.0,26050.0,26350.0,262165.0
2021-05-31,26750.0,26800.0,26050.0,26100.0,185547.0
2021-06-01,26150.0,26500.0,26000.0,26100.0,208303.0
2021-06-02,26050.0,26100.0,25450.0,25550.0,255769.0
2021-06-03,25500.0,25950.0,25500.0,25750.0,139797.0
2021-06-04,25400.0,25650.0,25300.0,25650.0,169329.0
2021-06-07,25500.0,25650.0,25000.0,25200.0,369646.0
2021-06-08,25200.0,25750.0,25200.0,25350.0,170720.0
2021-06-09,25650.0,25650.0,25000.0,25050.0,186824.0
2021-06-10,25100.0,25400.0,25000.0,25400.0,154645.0
2021-06-11,25400.0,25800.0,25300.0,25800.0,235038.0
2021-06-14,26100.0,26900.0,25750.0,26600.0,547714.0
2021-06-15,27450.0,30100.0,27100.0,28150.0,2896462.0
2021-06-16,27700.0,27750.0,27000.0,27650.0,565914.0
2021-06-17,27300.0,27800.0,27050.0,27200.0,402917.0
2021-06-18,27400.0,29300.0,27300.0,28100.0,1206970.0
2021-06-21,28300.0,29200.0,27950.0,28100.0,595676.0
2021-06-22,28200.0,28500.0,27350.0,27500.0,398879.0
2021-06-23,27900.0,28500.0,27750.0,28250.0,585358.0
2021-06-24,28850.0,29100.0,28100.0,28150.0,453708.0
2021-06-25,28800.0,28800.0,28100.0,28200.0,283415.0
