Datetime,Open,High,Low,Close,Volume
1990-01-30,920.0,920.0,920.0,920.0,0.0
1990-01-31,920.0,920.0,920.0,920.0,0.0
1990-02-01,920.0,920.0,920.0,920.0,0.0
1990-02-02,920.0,920.0,920.0,920.0,0.0
1990-02-03,920.0,920.0,920.0,920.0,0.0
1990-02-05,920.0,920.0,920.0,920.0,0.0
1990-02-06,920.0,920.0,920.0,920.0,0.0
1990-02-07,920.0,920.0,920.0,920.0,0.0
1990-02-08,920.0,920.0,920.0,920.0,0.0
1990-02-09,920.0,920.0,920.0,920.0,0.0
1990-02-10,920.0,920.0,920.0,920.0,0.0
1990-02-12,920.0,920.0,920.0,920.0,0.0
1990-02-13,920.0,920.0,920.0,920.0,0.0
1990-02-14,920.0,920.0,920.0,920.0,0.0
1990-02-15,920.0,920.0,920.0,920.0,0.0
1990-02-16,920.0,920.0,920.0,920.0,0.0
1990-02-17,889.0,889.0,889.0,889.0,100.0
1990-02-19,857.0,857.0,857.0,857.0,200.0
1990-02-20,847.0,847.0,847.0,847.0,200.0
1990-02-21,847.0,847.0,847.0,847.0,577600.0
1990-02-22,847.0,847.0,847.0,847.0,0.0
1990-02-23,847.0,847.0,847.0,847.0,300.0
1990-02-24,831.0,831.0,831.0,831.0,100.0
1990-02-26,837.0,837.0,837.0,837.0,638500.0
1990-02-27,837.0,837.0,837.0,837.0,0.0
1990-02-28,837.0,837.0,837.0,837.0,0.0
1990-03-02,837.0,837.0,837.0,837.0,731000.0
1990-03-03,831.0,831.0,831.0,831.0,0.0
1990-03-05,847.0,847.0,847.0,847.0,200.0
1990-03-06,842.0,842.0,842.0,842.0,0.0
1990-03-07,805.0,805.0,805.0,805.0,0.0
1990-03-08,769.0,769.0,769.0,769.0,1500.0
1990-03-09,769.0,769.0,753.0,753.0,3000.0
1990-03-12,759.0,759.0,759.0,759.0,500.0
1990-03-13,748.0,748.0,748.0,748.0,0.0
1990-03-14,722.0,727.0,722.0,727.0,2400.0
1990-03-15,722.0,753.0,722.0,753.0,1100.0
1990-03-16,769.0,774.0,769.0,769.0,3200.0
1990-03-17,769.0,769.0,769.0,769.0,0.0
1990-03-19,759.0,759.0,759.0,759.0,0.0
1990-03-20,727.0,743.0,727.0,743.0,5000.0
1990-03-21,743.0,753.0,743.0,748.0,9000.0
1990-03-22,753.0,753.0,753.0,753.0,3100.0
1990-03-23,759.0,769.0,759.0,769.0,2400.0
1990-03-24,764.0,764.0,764.0,764.0,0.0
1990-03-26,774.0,774.0,774.0,774.0,1900.0
1990-03-27,753.0,753.0,753.0,753.0,1000.0
1990-03-28,753.0,753.0,743.0,743.0,2300.0
1990-03-29,743.0,743.0,743.0,743.0,1400.0
1990-03-30,727.0,727.0,722.0,722.0,2700.0
1990-03-31,738.0,738.0,738.0,738.0,800.0
1990-04-02,738.0,738.0,717.0,722.0,1800.0
1990-04-03,722.0,722.0,707.0,707.0,8900.0
1990-04-04,717.0,722.0,712.0,722.0,2400.0
1990-04-06,727.0,733.0,722.0,722.0,7000.0
1990-04-07,722.0,722.0,722.0,722.0,0.0
1990-04-09,722.0,722.0,717.0,717.0,3900.0
1990-04-10,722.0,722.0,722.0,722.0,700.0
1990-04-11,722.0,733.0,722.0,727.0,5700.0
1990-04-12,727.0,727.0,727.0,727.0,3700.0
1990-04-13,738.0,759.0,738.0,748.0,10300.0
1990-04-14,759.0,774.0,759.0,769.0,16000.0
1990-04-16,764.0,764.0,743.0,743.0,8500.0
1990-04-17,733.0,733.0,727.0,733.0,5000.0
1990-04-18,727.0,738.0,727.0,738.0,3300.0
1990-04-19,748.0,748.0,738.0,738.0,2800.0
1990-04-20,743.0,748.0,712.0,712.0,3000.0
1990-04-21,717.0,717.0,717.0,717.0,1500.0
1990-04-23,727.0,727.0,722.0,727.0,2000.0
1990-04-24,727.0,733.0,717.0,717.0,2800.0
1990-04-25,707.0,717.0,707.0,717.0,1900.0
1990-04-26,717.0,717.0,717.0,717.0,4300.0
1990-04-27,712.0,712.0,707.0,707.0,1400.0
1990-04-28,675.0,681.0,675.0,681.0,2500.0
1990-04-30,675.0,686.0,675.0,686.0,1100.0
1990-05-01,686.0,686.0,686.0,686.0,1300.0
1990-05-03,701.0,717.0,701.0,717.0,3900.0
1990-05-04,717.0,738.0,717.0,738.0,2100.0
1990-05-07,727.0,727.0,727.0,727.0,0.0
1990-05-08,717.0,717.0,701.0,701.0,500.0
1990-05-09,691.0,691.0,675.0,675.0,3100.0
1990-05-10,670.0,675.0,670.0,675.0,3900.0
1990-05-11,675.0,675.0,655.0,675.0,4200.0
1990-05-12,681.0,681.0,681.0,681.0,400.0
1990-05-14,670.0,675.0,670.0,675.0,2200.0
1990-05-15,665.0,665.0,660.0,660.0,300.0
1990-05-16,649.0,681.0,644.0,681.0,11200.0
1990-05-17,681.0,681.0,681.0,681.0,1500.0
1990-05-18,665.0,665.0,655.0,660.0,2400.0
1990-05-19,629.0,675.0,629.0,675.0,5100.0
1990-05-21,660.0,675.0,660.0,675.0,2000.0
1990-05-22,675.0,691.0,675.0,691.0,2000.0
1990-05-23,691.0,707.0,691.0,691.0,3000.0
1990-05-24,691.0,691.0,691.0,691.0,2000.0
1990-05-25,701.0,701.0,665.0,665.0,2500.0
1990-05-26,675.0,675.0,675.0,675.0,1900.0
1990-05-28,686.0,686.0,686.0,686.0,1000.0
1990-05-29,691.0,696.0,691.0,696.0,2700.0
1990-05-30,691.0,691.0,691.0,691.0,2000.0
1990-05-31,691.0,691.0,691.0,691.0,3000.0
1990-06-01,681.0,681.0,670.0,675.0,4200.0
1990-06-02,665.0,675.0,665.0,675.0,3400.0
1990-06-04,686.0,696.0,686.0,686.0,5000.0
1990-06-05,701.0,701.0,681.0,681.0,2800.0
1990-06-07,681.0,681.0,675.0,675.0,4000.0
1990-06-08,675.0,675.0,675.0,675.0,1900.0
1990-06-09,675.0,675.0,670.0,670.0,900.0
1990-06-11,670.0,670.0,660.0,660.0,3900.0
1990-06-12,675.0,675.0,655.0,655.0,3000.0
1990-06-13,649.0,649.0,649.0,649.0,500.0
1990-06-14,644.0,655.0,644.0,655.0,2400.0
1990-06-15,670.0,670.0,670.0,670.0,3000.0
1990-06-16,665.0,665.0,660.0,660.0,1600.0
1990-06-18,670.0,670.0,670.0,670.0,4000.0
1990-06-19,660.0,660.0,660.0,660.0,300.0
1990-06-20,670.0,670.0,670.0,670.0,1800.0
1990-06-21,660.0,675.0,660.0,670.0,2200.0
1990-06-22,665.0,665.0,660.0,660.0,500.0
1990-06-23,649.0,649.0,649.0,649.0,500.0
1990-06-25,639.0,639.0,639.0,639.0,700.0
1990-06-26,634.0,634.0,629.0,634.0,2400.0
1990-06-27,623.0,634.0,603.0,634.0,3200.0
1990-06-28,634.0,634.0,629.0,629.0,1800.0
1990-06-29,623.0,623.0,618.0,618.0,500.0
1990-06-30,613.0,613.0,613.0,613.0,400.0
1990-07-02,623.0,623.0,608.0,623.0,1500.0
1990-07-03,623.0,655.0,623.0,655.0,4100.0
1990-07-04,644.0,644.0,634.0,634.0,6300.0
