Datetime,Open,High,Low,Close,Volume
1996-11-22,2633.0,2633.0,2633.0,2633.0,0.0
1996-11-25,2428.0,2428.0,2428.0,2428.0,0.0
1996-11-26,2236.0,2236.0,2236.0,2236.0,3500.0
1996-11-27,2062.0,2410.0,2062.0,2410.0,10900.0
1996-11-28,2546.0,2602.0,2546.0,2602.0,1500.0
1996-11-29,2807.0,2807.0,2807.0,2807.0,0.0
1996-11-30,3031.0,3031.0,3031.0,3031.0,0.0
1996-12-02,3273.0,3273.0,3105.0,3167.0,13500.0
1996-12-03,3167.0,3416.0,3167.0,3416.0,2800.0
1996-12-04,3670.0,3670.0,3571.0,3571.0,4300.0
1996-12-05,3534.0,3851.0,3534.0,3789.0,18300.0
1996-12-06,3913.0,4037.0,3789.0,3820.0,11600.0
1996-12-07,3820.0,3820.0,3820.0,3820.0,400.0
1996-12-09,3515.0,3726.0,3515.0,3515.0,9900.0
1996-12-10,3236.0,3478.0,3236.0,3478.0,1200.0
1996-12-11,3602.0,3602.0,3602.0,3602.0,6100.0
1996-12-12,3751.0,3751.0,3751.0,3751.0,100.0
1996-12-13,3702.0,3702.0,3702.0,3702.0,0.0
1996-12-14,3596.0,3596.0,3596.0,3596.0,600.0
1996-12-16,3410.0,3410.0,3410.0,3410.0,0.0
1996-12-17,3229.0,3229.0,3229.0,3229.0,0.0
1996-12-18,3217.0,3217.0,3217.0,3217.0,700.0
1996-12-19,2962.0,2962.0,2962.0,2962.0,0.0
1996-12-20,2826.0,3167.0,2826.0,3167.0,6100.0
1996-12-21,3354.0,3416.0,3354.0,3416.0,4000.0
1996-12-23,3292.0,3428.0,3292.0,3422.0,3000.0
1996-12-24,3292.0,3292.0,3292.0,3292.0,0.0
1996-12-26,3031.0,3031.0,3031.0,3031.0,1400.0
1996-12-27,3273.0,3273.0,3273.0,3273.0,100.0
1997-01-03,3247.0,3345.0,3116.0,3280.0,12000.0
1997-01-04,3148.0,3181.0,3135.0,3135.0,19000.0
1997-01-06,3017.0,3017.0,2886.0,2886.0,19400.0
1997-01-07,2656.0,2656.0,2656.0,2656.0,11300.0
1997-01-08,2460.0,2656.0,2446.0,2453.0,41300.0
1997-01-09,2368.0,2643.0,2368.0,2643.0,25300.0
1997-01-10,2624.0,2801.0,2624.0,2742.0,65600.0
1997-01-11,2696.0,2886.0,2696.0,2886.0,6100.0
1997-01-13,2755.0,2788.0,2689.0,2755.0,21300.0
1997-01-14,2755.0,2952.0,2663.0,2853.0,55800.0
1997-01-15,2722.0,2853.0,2722.0,2853.0,24500.0
1997-01-16,2866.0,3076.0,2866.0,3076.0,39200.0
1997-01-17,3181.0,3319.0,3083.0,3214.0,80900.0
1997-01-18,3280.0,3280.0,3148.0,3214.0,23000.0
1997-01-20,3148.0,3463.0,3148.0,3352.0,106700.0
1997-01-21,3352.0,3352.0,3148.0,3352.0,109500.0
1997-01-22,3352.0,3411.0,3214.0,3411.0,78300.0
1997-01-23,3417.0,3680.0,3411.0,3680.0,186300.0
1997-01-24,3608.0,3968.0,3608.0,3811.0,212500.0
1997-01-25,3870.0,4001.0,3739.0,3772.0,130500.0
1997-01-27,3614.0,3752.0,3470.0,3470.0,25400.0
1997-01-28,3312.0,3739.0,3273.0,3601.0,64900.0
1997-01-29,3345.0,3476.0,3319.0,3319.0,42900.0
1997-01-30,3214.0,3319.0,3148.0,3207.0,38900.0
1997-01-31,3280.0,3345.0,3214.0,3286.0,152800.0
1997-02-01,3266.0,3266.0,3148.0,3181.0,6900.0
1997-02-03,3260.0,3260.0,3050.0,3050.0,30100.0
1997-02-04,3017.0,3116.0,2984.0,3050.0,66500.0
1997-02-05,3116.0,3116.0,3050.0,3089.0,97000.0
1997-02-06,3089.0,3214.0,3050.0,3214.0,108700.0
1997-02-10,3280.0,3339.0,3247.0,3339.0,60900.0
1997-02-11,3286.0,3286.0,3148.0,3214.0,35800.0
1997-02-12,3214.0,3280.0,3214.0,3247.0,34600.0
1997-02-13,3096.0,3240.0,3096.0,3142.0,14500.0
1997-02-14,2919.0,3122.0,2919.0,3083.0,18500.0
1997-02-15,3070.0,3168.0,3017.0,3116.0,3900.0
1997-02-17,3017.0,3247.0,3017.0,3063.0,7300.0
1997-02-18,3083.0,3083.0,2952.0,3017.0,15400.0
1997-02-19,2952.0,3109.0,2952.0,3050.0,8200.0
1997-02-20,3050.0,3148.0,3050.0,3148.0,27600.0
1997-02-21,3148.0,3148.0,3017.0,3017.0,15700.0
1997-02-22,2938.0,2952.0,2938.0,2945.0,10500.0
1997-02-24,2820.0,3024.0,2820.0,3017.0,18900.0
1997-02-25,3083.0,3116.0,2984.0,3024.0,9300.0
1997-02-26,3043.0,3089.0,3043.0,3083.0,33500.0
1997-02-27,3017.0,3083.0,3017.0,3030.0,14300.0
1997-02-28,3017.0,3076.0,3017.0,3017.0,21800.0
1997-03-03,2892.0,3017.0,2892.0,2958.0,21200.0
1997-03-04,2965.0,3024.0,2965.0,3024.0,9800.0
1997-03-05,3030.0,3260.0,3024.0,3260.0,67600.0
1997-03-06,3345.0,3516.0,3194.0,3509.0,213500.0
1997-03-07,3542.0,3785.0,3509.0,3785.0,189100.0
1997-03-08,3798.0,3844.0,3614.0,3739.0,79800.0
1997-03-10,3739.0,3739.0,3555.0,3608.0,42800.0
1997-03-11,3476.0,3608.0,3319.0,3476.0,49600.0
1997-03-12,3411.0,3575.0,3345.0,3411.0,67700.0
1997-03-13,3378.0,3411.0,3299.0,3299.0,13100.0
1997-03-14,3280.0,3496.0,3050.0,3280.0,12300.0
1997-03-15,3273.0,3273.0,3273.0,3273.0,500.0
1997-03-17,3083.0,3345.0,3083.0,3280.0,9900.0
1997-03-18,3220.0,3280.0,3220.0,3280.0,5400.0
1997-03-19,3280.0,3280.0,3161.0,3280.0,15000.0
1997-03-20,3148.0,3280.0,3148.0,3214.0,9500.0
1997-03-21,3155.0,3214.0,3083.0,3148.0,11400.0
1997-03-22,3148.0,3247.0,3050.0,3050.0,28600.0
1997-03-24,3017.0,3050.0,2952.0,3050.0,15600.0
1997-03-25,3083.0,3214.0,3083.0,3214.0,11500.0
1997-03-26,3148.0,3273.0,3083.0,3273.0,9500.0
1997-03-27,3273.0,3273.0,3214.0,3240.0,21500.0
1997-03-28,3280.0,3280.0,3148.0,3155.0,7300.0
1997-03-29,3175.0,3214.0,3083.0,3083.0,9200.0
1997-03-31,3096.0,3181.0,3096.0,3116.0,17900.0
1997-04-01,3155.0,3280.0,3148.0,3214.0,33100.0
