Datetime,Open,High,Low,Close,Volume
2000-12-26,64854.0,64854.0,64854.0,64854.0,1237.0
2001-01-02,57845.0,64068.0,57714.0,58631.0,44075.0
2001-01-03,58631.0,59221.0,57845.0,57910.0,29245.0
2001-01-04,60531.0,61382.0,58041.0,58041.0,84139.0
2001-01-05,58369.0,61579.0,57779.0,57976.0,80051.0
2001-01-08,58238.0,60793.0,58107.0,59876.0,57282.0
2001-01-09,60989.0,66820.0,60989.0,66820.0,72797.0
2001-01-10,74026.0,74681.0,60334.0,68785.0,121529.0
2001-01-11,70095.0,76974.0,65510.0,76319.0,99856.0
2001-01-12,78612.0,80904.0,74026.0,74026.0,90597.0
2001-01-15,75991.0,79594.0,71405.0,75664.0,76049.0
2001-01-16,75991.0,75991.0,68457.0,68457.0,60793.0
2001-01-17,68785.0,73371.0,64396.0,69440.0,53995.0
2001-01-18,66492.0,76319.0,66492.0,70423.0,72156.0
2001-01-19,71405.0,74026.0,68785.0,70095.0,32624.0
2001-01-22,72061.0,75336.0,70750.0,73371.0,32166.0
2001-01-26,75336.0,81887.0,72716.0,81887.0,44897.0
2001-01-29,90731.0,91714.0,88766.0,91714.0,11432.0
2001-01-30,102523.0,102523.0,102523.0,102523.0,2042.0
2001-01-31,101213.0,104816.0,90403.0,91714.0,94743.0
2001-02-01,93024.0,99575.0,88438.0,90731.0,49376.0
2001-02-02,94334.0,99575.0,90731.0,96299.0,53863.0
2001-02-05,92696.0,94989.0,84835.0,84835.0,39826.0
2001-02-06,85163.0,89748.0,83525.0,87455.0,33175.0
2001-02-07,87783.0,87783.0,78939.0,79922.0,39319.0
2001-02-08,80577.0,82870.0,78939.0,81232.0,24829.0
2001-02-09,80904.0,88438.0,79922.0,85163.0,36319.0
2001-02-12,82542.0,89093.0,82542.0,88111.0,30595.0
2001-02-13,89748.0,91714.0,83852.0,84507.0,27910.0
2001-02-14,87128.0,94334.0,87128.0,94334.0,73292.0
2001-02-15,95644.0,96627.0,91058.0,92369.0,55213.0
2001-02-16,93024.0,94989.0,89093.0,91386.0,27246.0
2001-02-19,92369.0,98920.0,91714.0,96627.0,42532.0
2001-02-20,98592.0,100885.0,94006.0,95644.0,36588.0
2001-02-21,94334.0,94989.0,89748.0,90731.0,18247.0
2001-02-22,88438.0,88438.0,80577.0,82542.0,23961.0
2001-02-23,79267.0,83852.0,79267.0,82542.0,15530.0
2001-02-26,82542.0,88111.0,82542.0,85490.0,17929.0
2001-02-27,85818.0,88438.0,80577.0,80577.0,11876.0
2001-02-28,77629.0,78612.0,74681.0,76974.0,13727.0
2001-03-02,75991.0,75991.0,67802.0,68130.0,16682.0
2001-03-05,65837.0,71733.0,64461.0,71733.0,14958.0
2001-03-06,70095.0,73371.0,68457.0,68457.0,12079.0
2001-03-07,72388.0,72716.0,69440.0,70423.0,13934.0
2001-03-08,71078.0,78612.0,71078.0,77301.0,34610.0
2001-03-09,77629.0,79267.0,72716.0,73698.0,11936.0
2001-03-12,68785.0,71405.0,67475.0,68785.0,9857.0
2001-03-13,66165.0,67147.0,63544.0,64199.0,9042.0
2001-03-14,67802.0,69440.0,66165.0,69440.0,13011.0
2001-03-15,64527.0,67475.0,64527.0,67475.0,9955.0
2001-03-16,68130.0,70423.0,66820.0,67802.0,11188.0
2001-03-19,67802.0,68457.0,66165.0,67475.0,7248.0
2001-03-20,68457.0,70750.0,68130.0,69440.0,15425.0
2001-03-21,67475.0,75336.0,66820.0,73371.0,30065.0
2001-03-22,74681.0,75991.0,68785.0,71078.0,15336.0
2001-03-23,72388.0,73371.0,68785.0,69440.0,11726.0
2001-03-26,68130.0,73043.0,68130.0,70750.0,15974.0
2001-03-27,69768.0,71405.0,69113.0,69113.0,7994.0
2001-03-28,70095.0,71405.0,68130.0,68785.0,10634.0
2001-03-29,68130.0,69440.0,66492.0,66820.0,9070.0
2001-03-30,67802.0,67802.0,63675.0,65182.0,7122.0
2001-04-02,65837.0,65837.0,63872.0,65182.0,5044.0
2001-04-03,62234.0,64199.0,61644.0,62234.0,5743.0
2001-04-04,59679.0,61251.0,59679.0,60793.0,5120.0
2001-04-06,63479.0,64592.0,62562.0,62627.0,8506.0
2001-04-09,61579.0,62824.0,59876.0,61251.0,3740.0
2001-04-10,62169.0,62169.0,60007.0,60596.0,4602.0
2001-04-11,61906.0,63217.0,61382.0,62693.0,6470.0
2001-04-12,63348.0,63806.0,62300.0,62365.0,6991.0
2001-04-13,64854.0,69768.0,64199.0,69768.0,15485.0
2001-04-16,71405.0,73698.0,68130.0,68785.0,39746.0
2001-04-17,68130.0,69440.0,66820.0,68457.0,10780.0
2001-04-18,69440.0,72388.0,68457.0,72061.0,21331.0
2001-04-19,80249.0,80577.0,75008.0,75336.0,29935.0
2001-04-20,76646.0,76646.0,70750.0,71405.0,12813.0
2001-04-23,71405.0,74353.0,70423.0,73371.0,18314.0
2001-04-24,70095.0,72716.0,69440.0,72061.0,9264.0
2001-04-25,70095.0,73371.0,70095.0,73043.0,7641.0
2001-04-26,74681.0,75008.0,70423.0,70423.0,7296.0
2001-04-27,72061.0,72061.0,68130.0,68785.0,4791.0
2001-04-30,70423.0,72388.0,70423.0,71733.0,11405.0
2001-05-02,71733.0,76974.0,71733.0,74353.0,21561.0
2001-05-03,76974.0,77629.0,72716.0,74681.0,13978.0
2001-05-04,73043.0,77301.0,72061.0,75991.0,12517.0
2001-05-07,76974.0,83197.0,76974.0,80577.0,27121.0
2001-05-08,78612.0,80577.0,76974.0,77301.0,15516.0
