Datetime,Open,High,Low,Close,Volume
2009-06-25,7852.0,8389.0,6957.0,6957.0,8505485.0
2009-06-26,7057.0,7415.0,6868.0,7007.0,1841997.0
2009-06-29,7027.0,7067.0,6272.0,6272.0,1323433.0
2009-06-30,6113.0,6272.0,5824.0,5824.0,1103298.0
2009-07-01,5765.0,6291.0,5735.0,6023.0,923762.0
2009-07-02,6132.0,6132.0,5884.0,5884.0,272215.0
2009-07-03,5765.0,5983.0,5715.0,5894.0,249009.0
2009-07-06,5894.0,6152.0,5894.0,5963.0,227696.0
2009-07-07,6172.0,6520.0,6073.0,6371.0,1019691.0
2009-07-08,6311.0,6441.0,6182.0,6361.0,358602.0
2009-07-09,6361.0,6450.0,6242.0,6252.0,231405.0
2009-07-10,6172.0,6262.0,6013.0,6023.0,327876.0
2009-07-13,6063.0,6063.0,5824.0,5834.0,238979.0
2009-07-14,5914.0,5954.0,5665.0,5804.0,186460.0
2009-07-15,5844.0,5954.0,5745.0,5904.0,236812.0
2009-07-16,5963.0,6063.0,5884.0,6003.0,214658.0
2009-07-17,6063.0,6113.0,5884.0,5894.0,150763.0
2009-07-20,6003.0,6093.0,5894.0,5973.0,213325.0
2009-07-21,5993.0,6321.0,5944.0,6321.0,590638.0
2009-07-22,6351.0,6361.0,6142.0,6272.0,242558.0
2009-07-23,6301.0,6301.0,6142.0,6212.0,111732.0
2009-07-24,6272.0,6282.0,6073.0,6073.0,294313.0
2009-07-27,6073.0,6113.0,5705.0,5934.0,254543.0
2009-07-28,5934.0,6033.0,5884.0,5944.0,106040.0
2009-07-29,6003.0,6003.0,5894.0,5944.0,112350.0
2009-07-30,5934.0,5954.0,5765.0,5834.0,114198.0
2009-07-31,5864.0,5904.0,5804.0,5834.0,92221.0
2009-08-03,5804.0,5834.0,5665.0,5745.0,178517.0
2009-08-04,5765.0,5874.0,5755.0,5834.0,102413.0
2009-08-05,5864.0,5864.0,5785.0,5785.0,59767.0
2009-08-06,5834.0,5983.0,5775.0,5904.0,141069.0
2009-08-07,5963.0,6321.0,5914.0,6242.0,517558.0
2009-08-10,6262.0,6282.0,6043.0,6162.0,164163.0
2009-08-11,6103.0,6282.0,6103.0,6262.0,199950.0
2009-08-12,6262.0,6431.0,6212.0,6421.0,262544.0
2009-08-13,6490.0,6490.0,6331.0,6361.0,180897.0
2009-08-14,6421.0,6421.0,6282.0,6282.0,121583.0
2009-08-17,6282.0,6282.0,6023.0,6023.0,136995.0
2009-08-18,6063.0,6122.0,5914.0,5944.0,160914.0
2009-08-19,6083.0,6282.0,5993.0,6192.0,325350.0
2009-08-20,6282.0,7116.0,6202.0,6938.0,1352112.0
2009-08-21,6987.0,7156.0,6689.0,7156.0,602501.0
2009-08-24,7146.0,7256.0,6928.0,7077.0,402941.0
2009-08-25,7047.0,7047.0,6639.0,6808.0,366415.0
2009-08-26,6769.0,6908.0,6510.0,6610.0,354834.0
2009-08-27,6570.0,6659.0,6311.0,6321.0,400791.0
2009-08-28,6401.0,6540.0,6351.0,6460.0,310205.0
2009-08-31,6460.0,6629.0,6311.0,6580.0,221534.0
2009-09-01,6580.0,6619.0,6421.0,6460.0,209703.0
2009-09-02,6351.0,6441.0,6063.0,6063.0,329915.0
2009-09-03,6122.0,6282.0,6093.0,6162.0,218563.0
2009-09-04,6202.0,6242.0,6093.0,6202.0,109756.0
2009-09-07,6113.0,6252.0,6083.0,6202.0,81334.0
2009-09-08,6202.0,6212.0,6063.0,6063.0,139425.0
2009-09-09,6093.0,6162.0,6053.0,6053.0,86132.0
2009-09-10,6083.0,6222.0,6063.0,6152.0,136739.0
2009-09-11,6152.0,6262.0,6122.0,6132.0,114133.0
