Datetime,Open,High,Low,Close,Volume
2002-11-11,1863.0,2141.0,1584.0,1584.0,4354228.0
2002-11-12,1584.0,1669.0,1348.0,1348.0,5738046.0
2002-11-13,1298.0,1310.0,1147.0,1229.0,12069298.0
2002-11-14,1229.0,1275.0,1047.0,1047.0,17341666.0
2002-11-15,1008.0,1109.0,985.0,1028.0,21518912.0
2002-11-18,1055.0,1159.0,1055.0,1082.0,27569783.0
2002-11-19,1078.0,1097.0,950.0,974.0,13719096.0
2002-11-20,966.0,985.0,916.0,927.0,7914780.0
2002-11-21,954.0,966.0,916.0,923.0,6676625.0
2002-11-22,927.0,943.0,819.0,819.0,6582432.0
2002-11-25,811.0,858.0,784.0,831.0,6491553.0
2002-11-26,889.0,950.0,873.0,873.0,13072905.0
2002-11-27,850.0,865.0,796.0,811.0,6474572.0
2002-11-28,819.0,850.0,792.0,850.0,5401346.0
2002-11-29,865.0,931.0,827.0,850.0,12762193.0
2002-12-02,865.0,881.0,838.0,850.0,6063961.0
2002-12-03,861.0,873.0,827.0,842.0,5731618.0
2002-12-04,842.0,854.0,726.0,726.0,7304165.0
2002-12-05,749.0,769.0,726.0,726.0,6507140.0
2002-12-06,722.0,746.0,680.0,699.0,7030329.0
2002-12-09,703.0,715.0,595.0,649.0,11547642.0
2002-12-10,649.0,691.0,630.0,672.0,9281317.0
2002-12-11,684.0,726.0,664.0,664.0,11214594.0
2002-12-12,680.0,703.0,664.0,680.0,8211328.0
2002-12-13,688.0,695.0,660.0,660.0,3480519.0
2002-12-16,641.0,660.0,618.0,618.0,4092728.0
2002-12-17,633.0,637.0,614.0,622.0,4430615.0
2002-12-18,618.0,626.0,602.0,622.0,3882664.0
2002-12-20,610.0,657.0,602.0,645.0,9738809.0
2002-12-23,637.0,715.0,630.0,641.0,23385592.0
2002-12-24,657.0,676.0,548.0,548.0,8668881.0
2002-12-26,548.0,548.0,471.0,475.0,5575991.0
2002-12-27,459.0,490.0,440.0,448.0,7853405.0
2002-12-30,440.0,452.0,401.0,421.0,6632182.0
2003-01-02,425.0,483.0,425.0,471.0,10823190.0
2003-01-03,487.0,494.0,452.0,459.0,7568493.0
2003-01-06,471.0,483.0,463.0,479.0,5218677.0
2003-01-07,502.0,548.0,498.0,548.0,4693360.0
