Datetime,Open,High,Low,Close,Volume
2004-12-22,2484.0,2851.0,2118.0,2118.0,2271451.0
2004-12-23,2028.0,2430.0,1903.0,2430.0,1653964.0
2004-12-24,2573.0,2591.0,2073.0,2109.0,1220562.0
2004-12-27,2046.0,2216.0,1975.0,2082.0,734580.0
2004-12-28,2037.0,2162.0,1894.0,2082.0,740730.0
2004-12-29,2180.0,2252.0,1984.0,2001.0,728111.0
2004-12-30,1975.0,2037.0,1930.0,2001.0,404199.0
2005-01-03,2028.0,2082.0,1975.0,2019.0,554447.0
2005-01-04,2037.0,2082.0,1948.0,1948.0,467254.0
2005-01-05,1939.0,1957.0,1867.0,1957.0,494843.0
2005-01-06,1885.0,1948.0,1876.0,1876.0,404182.0
2005-01-07,1858.0,1903.0,1858.0,1858.0,320574.0
2005-01-10,1885.0,1894.0,1858.0,1876.0,192028.0
2005-01-11,1876.0,1948.0,1850.0,1903.0,378721.0
2005-01-12,1912.0,1912.0,1850.0,1858.0,226939.0
2005-01-13,1867.0,1894.0,1823.0,1823.0,154979.0
2005-01-14,1823.0,1823.0,1782.0,1796.0,360389.0
2005-01-17,1832.0,1850.0,1787.0,1832.0,324257.0
2005-01-18,1850.0,1850.0,1796.0,1796.0,247545.0
2005-01-19,1814.0,1814.0,1762.0,1771.0,280717.0
2005-01-20,1758.0,1787.0,1728.0,1748.0,245223.0
2005-01-21,1742.0,1769.0,1730.0,1730.0,190808.0
2005-01-24,1717.0,1749.0,1680.0,1680.0,316006.0
2005-01-25,1690.0,1705.0,1671.0,1678.0,169294.0
2005-01-26,1683.0,1696.0,1673.0,1690.0,177556.0
2005-01-27,1689.0,1823.0,1685.0,1758.0,536217.0
2005-01-28,1748.0,1778.0,1698.0,1715.0,225881.0
2005-01-31,1735.0,1966.0,1717.0,1966.0,861425.0
2005-02-01,2055.0,2091.0,1876.0,1930.0,1109014.0
2005-02-02,1957.0,2162.0,1912.0,1984.0,1638881.0
2005-02-03,2055.0,2279.0,1993.0,2109.0,3588295.0
2005-02-04,2207.0,2207.0,2046.0,2127.0,1173522.0
2005-02-07,2180.0,2323.0,2109.0,2243.0,1168662.0
2005-02-11,2144.0,2225.0,2144.0,2207.0,531832.0
2005-02-14,2261.0,2323.0,2198.0,2216.0,760467.0
2005-02-15,2234.0,2234.0,2100.0,2127.0,647754.0
2005-02-16,2162.0,2216.0,2082.0,2136.0,687551.0
2005-02-17,2144.0,2216.0,2100.0,2171.0,554960.0
2005-02-18,2180.0,2457.0,2162.0,2341.0,1688680.0
2005-02-21,2413.0,2690.0,2350.0,2690.0,1391152.0
2005-02-22,2725.0,2725.0,2413.0,2448.0,1045386.0
2005-02-23,2404.0,2770.0,2404.0,2681.0,1182157.0
2005-02-24,2645.0,2833.0,2591.0,2770.0,844799.0
2005-02-25,2815.0,2842.0,2484.0,2502.0,736832.0
2005-02-28,2529.0,2600.0,2422.0,2484.0,462896.0
2005-03-02,2556.0,2600.0,2332.0,2413.0,665919.0
2005-03-03,2386.0,2493.0,2350.0,2475.0,353666.0
2005-03-04,2475.0,2618.0,2395.0,2565.0,455433.0
2005-03-07,2573.0,2618.0,2430.0,2448.0,357532.0
2005-03-08,2466.0,2511.0,2287.0,2323.0,316708.0
2005-03-09,2270.0,2332.0,2270.0,2305.0,271354.0
2005-03-10,2270.0,2332.0,2252.0,2305.0,187811.0
2005-03-11,2279.0,2350.0,2270.0,2279.0,283514.0
2005-03-14,2279.0,2350.0,2279.0,2296.0,183539.0
2005-03-15,2305.0,2341.0,2198.0,2207.0,263124.0
2005-03-16,2162.0,2198.0,2037.0,2144.0,414259.0
2005-03-17,2127.0,2162.0,2064.0,2073.0,89990.0
2005-03-18,2055.0,2109.0,1966.0,2001.0,184247.0
2005-03-21,1957.0,1966.0,1858.0,1921.0,292516.0
2005-03-22,1894.0,2019.0,1894.0,2019.0,176957.0
2005-03-23,1966.0,2010.0,1903.0,1939.0,185975.0
2005-03-24,1975.0,2037.0,1966.0,2019.0,244510.0
2005-03-25,2073.0,2109.0,2010.0,2064.0,132029.0
2005-03-28,2028.0,2091.0,2019.0,2028.0,163727.0
2005-03-29,2001.0,2001.0,1912.0,1921.0,145329.0
2005-03-30,1903.0,1966.0,1903.0,1930.0,83267.0
2005-03-31,1966.0,1993.0,1948.0,1984.0,124852.0
2005-04-01,1984.0,2082.0,1930.0,1993.0,106023.0
2005-04-04,1984.0,2037.0,1984.0,2001.0,81901.0
2005-04-06,2001.0,2010.0,1966.0,1984.0,72602.0
2005-04-07,1966.0,2010.0,1930.0,1939.0,137207.0
2005-04-08,1948.0,1966.0,1930.0,1930.0,94607.0
2005-04-11,1921.0,1957.0,1912.0,1939.0,62963.0
2005-04-12,1948.0,2001.0,1939.0,1993.0,106703.0
2005-04-13,2001.0,2001.0,1957.0,1957.0,68163.0
2005-04-14,1930.0,1966.0,1885.0,1912.0,100169.0
2005-04-15,1912.0,1921.0,1823.0,1841.0,96065.0
2005-04-18,1805.0,1823.0,1683.0,1724.0,143326.0
2005-04-19,1726.0,1773.0,1726.0,1760.0,90487.0
2005-04-20,1753.0,1805.0,1746.0,1757.0,57509.0
2005-04-21,1712.0,1751.0,1708.0,1751.0,43793.0
2005-04-22,1774.0,1796.0,1760.0,1782.0,86939.0
