Datetime,Open,High,Low,Close,Volume
2006-06-27,6325.0,6347.0,6213.0,6347.0,998156.0
2006-06-28,6256.0,6386.0,6135.0,6386.0,374288.0
2006-06-29,6455.0,6463.0,6342.0,6455.0,256982.0
2006-06-30,6575.0,6575.0,6455.0,6549.0,374208.0
2006-07-03,6558.0,6558.0,6429.0,6485.0,270795.0
2006-07-04,6502.0,6502.0,6377.0,6390.0,421247.0
2006-07-05,6282.0,6334.0,6282.0,6325.0,220743.0
2006-07-06,6269.0,6269.0,6109.0,6226.0,265502.0
2006-07-07,6260.0,6260.0,6170.0,6196.0,227897.0
2006-07-10,6157.0,6226.0,6109.0,6226.0,192341.0
2006-07-11,6222.0,6256.0,6178.0,6256.0,378394.0
2006-07-12,6260.0,6260.0,6196.0,6243.0,366926.0
2006-07-13,6209.0,6213.0,6075.0,6213.0,333074.0
2006-07-14,6135.0,6135.0,5850.0,5885.0,420531.0
2006-07-18,5781.0,5781.0,5687.0,5760.0,441515.0
2006-07-19,5760.0,5816.0,5721.0,5781.0,180568.0
2006-07-20,5872.0,6040.0,5872.0,5937.0,240288.0
2006-07-21,5928.0,6019.0,5920.0,6019.0,222384.0
2006-07-24,5980.0,5980.0,5876.0,5976.0,291667.0
2006-07-25,5984.0,6079.0,5984.0,6040.0,240461.0
2006-07-26,6079.0,6114.0,6032.0,6114.0,261965.0
2006-07-27,6118.0,6170.0,6075.0,6170.0,320179.0
2006-07-28,6213.0,6213.0,6049.0,6075.0,291944.0
2006-07-31,6247.0,6247.0,6062.0,6062.0,112033.0
2006-08-01,6075.0,6109.0,6014.0,6014.0,263440.0
2006-08-02,5989.0,6135.0,5971.0,6135.0,239496.0
2006-08-03,6209.0,6209.0,6079.0,6183.0,159004.0
2006-08-04,6204.0,6204.0,6183.0,6204.0,123082.0
2006-08-07,6204.0,6230.0,6204.0,6230.0,100748.0
2006-08-08,6217.0,6222.0,6213.0,6222.0,101120.0
2006-08-09,6222.0,6321.0,6222.0,6282.0,244607.0
2006-08-10,6282.0,6286.0,6178.0,6286.0,100518.0
2006-08-11,6386.0,6386.0,6161.0,6161.0,1639.0
2006-08-14,6213.0,6213.0,6187.0,6187.0,120840.0
2006-08-16,6247.0,6329.0,6247.0,6329.0,120657.0
2006-08-17,6351.0,6429.0,6334.0,6411.0,123325.0
2006-08-18,6394.0,6485.0,6386.0,6411.0,121142.0
2006-08-21,6437.0,6519.0,6416.0,6416.0,121333.0
2006-08-22,6489.0,6524.0,6446.0,6524.0,200961.0
2006-08-23,6480.0,6532.0,6480.0,6528.0,182275.0
2006-08-24,6524.0,6524.0,6437.0,6511.0,121015.0
2006-08-25,6524.0,6549.0,6485.0,6532.0,120711.0
2006-08-28,6549.0,6549.0,6485.0,6524.0,121451.0
2006-08-29,6524.0,6597.0,6524.0,6528.0,122763.0
2006-08-30,6541.0,6575.0,6524.0,6558.0,121069.0
2006-08-31,6562.0,6748.0,6562.0,6670.0,162229.0
2006-09-01,6774.0,6800.0,6722.0,6800.0,121378.0
2006-09-04,6800.0,6925.0,6800.0,6873.0,122063.0
2006-09-05,7033.0,7033.0,6839.0,6847.0,123227.0
2006-09-06,6864.0,6903.0,6852.0,6852.0,124911.0
2006-09-07,6808.0,6852.0,6782.0,6782.0,122235.0
2006-09-08,6774.0,6852.0,6774.0,6813.0,160622.0
2006-09-11,6778.0,6778.0,6692.0,6701.0,126790.0
2006-09-12,6701.0,6757.0,6644.0,6683.0,121029.0
2006-09-13,6688.0,6800.0,6688.0,6800.0,120030.0
2006-09-14,7438.0,7438.0,6696.0,6839.0,121571.0
2006-09-15,6800.0,6886.0,6800.0,6886.0,120884.0
2006-09-18,6903.0,6994.0,6903.0,6994.0,121638.0
2006-09-19,7080.0,7080.0,6998.0,7015.0,122833.0
2006-09-20,6990.0,7033.0,6921.0,7033.0,1761.0
2006-09-21,7033.0,7054.0,6929.0,6929.0,121148.0
2006-09-22,6929.0,6929.0,6795.0,6821.0,4282.0
2006-09-25,6817.0,6856.0,6795.0,6847.0,122610.0
2006-09-26,6299.0,6847.0,6299.0,6722.0,121792.0
2006-09-27,6817.0,6873.0,6817.0,6873.0,121268.0
2006-09-28,7335.0,7335.0,6813.0,6908.0,121707.0
2006-09-29,6921.0,6946.0,6882.0,6946.0,792.0
2006-10-02,6908.0,6990.0,6908.0,6968.0,184.0
2006-10-04,6929.0,6929.0,6821.0,6882.0,415.0
2006-10-09,6808.0,6808.0,6532.0,6614.0,4147.0
2006-10-10,7335.0,7335.0,6588.0,6610.0,22697.0
2006-10-11,6670.0,6670.0,6610.0,6627.0,120076.0
2006-10-12,6644.0,6653.0,6627.0,6644.0,120327.0
2006-10-13,6877.0,6877.0,6644.0,6692.0,207783.0
2006-10-16,6744.0,6791.0,6722.0,6739.0,926.0
2006-10-17,6739.0,6739.0,6623.0,6627.0,1984.0
2006-10-18,6774.0,6774.0,6627.0,6688.0,727.0
2006-10-19,6688.0,6701.0,6679.0,6679.0,312.0
2006-10-20,6679.0,6722.0,6679.0,6701.0,846.0
2006-10-23,6701.0,6774.0,6662.0,6683.0,1033.0
2006-10-24,6683.0,6718.0,6683.0,6718.0,2039.0
2006-10-25,6895.0,6895.0,6752.0,6752.0,702.0
2006-10-26,6752.0,6800.0,6752.0,6757.0,1260.0
2006-10-27,6765.0,6765.0,6649.0,6670.0,1027.0
2006-10-30,6688.0,6688.0,6584.0,6610.0,2303.0
2006-10-31,6817.0,6817.0,6606.0,6657.0,248.0
2006-11-01,6653.0,6726.0,6619.0,6726.0,1086.0
2006-11-02,6696.0,6735.0,6683.0,6683.0,138.0
2006-11-03,6696.0,6713.0,6610.0,6610.0,50311.0
2006-11-06,6627.0,7326.0,6472.0,6541.0,15477.0
2006-11-07,6558.0,6580.0,6541.0,6541.0,1059.0
2006-11-08,6545.0,6562.0,6545.0,6554.0,334.0
2006-11-09,6584.0,6644.0,6580.0,6619.0,1255.0
2006-11-10,6644.0,6657.0,6619.0,6623.0,1497.0
2006-11-13,6644.0,6644.0,6549.0,6588.0,2428.0
2006-11-14,6619.0,6718.0,6619.0,6653.0,12839.0
2006-11-15,6852.0,6852.0,6666.0,6679.0,821.0
2006-11-16,6886.0,6890.0,6644.0,6670.0,1038.0
2006-11-17,6688.0,6688.0,6623.0,6644.0,1130.0
2006-11-20,6726.0,6726.0,6511.0,6528.0,1873.0
2006-11-21,6631.0,6631.0,6386.0,6411.0,10267.0
2006-11-22,6537.0,6537.0,6442.0,6480.0,5092.0
2006-11-23,6463.0,6463.0,6386.0,6411.0,2148.0
2006-11-24,6411.0,6429.0,6390.0,6429.0,5278.0
2006-11-27,6472.0,6519.0,6472.0,6519.0,947.0
2006-11-28,6541.0,6541.0,6463.0,6519.0,1373.0
2006-11-29,6541.0,6562.0,6511.0,6511.0,15430.0
2006-11-30,6541.0,6601.0,6541.0,6584.0,399.0
2006-12-01,6610.0,7305.0,6498.0,6575.0,1601.0
2006-12-04,6575.0,6575.0,6519.0,6549.0,535.0
2006-12-05,6558.0,6558.0,6463.0,6476.0,8852.0
2006-12-06,6476.0,6476.0,6269.0,6329.0,2937.0
2006-12-07,6329.0,6329.0,6204.0,6243.0,2086.0
2006-12-08,6386.0,6386.0,6105.0,6127.0,2352.0
2006-12-11,6127.0,6739.0,6109.0,6127.0,7960.0
2006-12-12,6170.0,6170.0,6105.0,6131.0,1275.0
2006-12-13,6131.0,6265.0,6131.0,6222.0,230.0
2006-12-14,6045.0,6316.0,6045.0,6316.0,2089.0
2006-12-15,6342.0,6386.0,6342.0,6377.0,1910.0
2006-12-18,6377.0,6455.0,6377.0,6420.0,2839.0
2006-12-19,6446.0,7054.0,5523.0,6450.0,21768.0
2006-12-20,6455.0,6890.0,6437.0,6463.0,5362.0
2006-12-21,6463.0,6485.0,6424.0,6463.0,4082.0
2006-12-22,6455.0,6455.0,6368.0,6424.0,579.0
2006-12-26,5954.0,6403.0,5954.0,6325.0,2930.0
2006-12-27,6420.0,6455.0,6386.0,6407.0,2360.0
2006-12-28,6403.0,6485.0,6390.0,6485.0,19135.0
2007-01-02,6398.0,6541.0,6398.0,6541.0,427.0
2007-01-03,6537.0,6541.0,6468.0,6468.0,655.0
2007-01-04,6476.0,6476.0,6291.0,6325.0,1243.0
2007-01-05,6325.0,6338.0,6178.0,6230.0,1429.0
2007-01-08,6230.0,6230.0,6075.0,6114.0,4832.0
2007-01-09,6127.0,6127.0,6032.0,6040.0,2732.0
2007-01-10,6040.0,6040.0,5859.0,5932.0,3539.0
2007-01-11,5928.0,6002.0,5928.0,5954.0,343.0
2007-01-12,5954.0,6023.0,5954.0,5976.0,6812.0
2007-01-15,5976.0,6014.0,5971.0,5971.0,870.0
2007-01-16,6463.0,6463.0,5976.0,6045.0,1138.0
2007-01-17,6045.0,6045.0,5915.0,5963.0,1974.0
2007-01-18,5967.0,5989.0,5954.0,5980.0,579.0
2007-01-19,6299.0,6299.0,5846.0,5863.0,1696.0
2007-01-22,5807.0,5902.0,5781.0,5846.0,1001.0
2007-01-23,6023.0,6023.0,5799.0,5829.0,647.0
2007-01-24,5872.0,5945.0,5872.0,5920.0,4118.0
2007-01-25,5954.0,5954.0,5920.0,5937.0,1522.0
2007-01-26,5954.0,5954.0,5876.0,5898.0,1488.0
2007-01-29,5902.0,5902.0,5816.0,5816.0,2781.0
2007-01-30,5859.0,5876.0,5812.0,5842.0,3252.0
2007-01-31,6040.0,6040.0,5833.0,5833.0,194.0
2007-02-01,5833.0,5894.0,5833.0,5889.0,428.0
2007-02-02,5898.0,6027.0,5898.0,6010.0,844.0
2007-02-05,6010.0,6027.0,5954.0,5989.0,2831.0
2007-02-06,6040.0,6040.0,5954.0,6006.0,667.0
2007-02-07,6006.0,6114.0,6006.0,6079.0,2409.0
2007-02-08,6114.0,6122.0,6040.0,6092.0,2221.0
2007-02-09,6092.0,6105.0,6058.0,6092.0,1487.0
2007-02-12,6092.0,6092.0,5954.0,6053.0,2835.0
2007-02-13,6053.0,6058.0,5997.0,6040.0,4232.0
2007-02-14,6049.0,6161.0,6049.0,6122.0,5649.0
2007-02-15,6127.0,6178.0,6127.0,6135.0,1979.0
2007-02-16,6135.0,6235.0,6135.0,6235.0,3016.0
2007-02-20,6269.0,6351.0,6243.0,6351.0,3911.0
2007-02-21,6351.0,6429.0,6351.0,6381.0,2207.0
2007-02-22,6489.0,6575.0,6360.0,6368.0,2270.0
2007-02-23,6368.0,6368.0,6295.0,6334.0,2645.0
2007-02-26,6334.0,6334.0,6235.0,6269.0,4590.0
2007-02-27,6265.0,6265.0,6170.0,6200.0,2196.0
2007-02-28,6127.0,6127.0,5989.0,6058.0,4431.0
2007-03-02,5997.0,6096.0,5997.0,6058.0,1062.0
2007-03-05,5954.0,6049.0,5954.0,6002.0,3052.0
