Datetime,Open,High,Low,Close,Volume
2006-06-27,7744.0,7794.0,7668.0,7776.0,49103.0
2006-06-28,7677.0,7708.0,7641.0,7708.0,122123.0
2006-06-29,7789.0,7875.0,7758.0,7848.0,101320.0
2006-06-30,8086.0,8095.0,8018.0,8018.0,126745.0
2006-07-03,8014.0,8135.0,8009.0,8090.0,187694.0
2006-07-04,8113.0,8135.0,8045.0,8086.0,142248.0
2006-07-05,7996.0,8153.0,7973.0,8113.0,184394.0
2006-07-06,8045.0,8072.0,7991.0,8032.0,114869.0
2006-07-07,8203.0,8203.0,8045.0,8045.0,136677.0
2006-07-10,7991.0,8989.0,7991.0,8989.0,127660.0
2006-07-11,8270.0,8369.0,8180.0,8315.0,208477.0
2006-07-12,8333.0,8405.0,8284.0,8405.0,166110.0
2006-07-13,8270.0,8441.0,8266.0,8369.0,148826.0
2006-07-14,8266.0,8306.0,8180.0,8225.0,206187.0
2006-07-18,8090.0,8095.0,8014.0,8045.0,185031.0
2006-07-19,8050.0,8113.0,8036.0,8063.0,293254.0
2006-07-20,8252.0,8252.0,8180.0,8194.0,565110.0
2006-07-21,8104.0,8234.0,8099.0,8234.0,444080.0
2006-07-24,8162.0,8185.0,8090.0,8185.0,479465.0
2006-07-25,8261.0,8342.0,8261.0,8342.0,493582.0
2006-07-26,8342.0,8360.0,8270.0,8302.0,411270.0
2006-07-27,8297.0,8351.0,8266.0,8351.0,380910.0
2006-07-28,8270.0,8342.0,8261.0,8315.0,395631.0
2006-07-31,8450.0,8513.0,8423.0,8513.0,484626.0
2006-08-01,8513.0,8535.0,8472.0,8517.0,331366.0
2006-08-02,8387.0,8495.0,8387.0,8486.0,336911.0
2006-08-03,8450.0,8585.0,8450.0,8535.0,226430.0
2006-08-04,8522.0,8585.0,8508.0,8540.0,397614.0
2006-08-07,8544.0,8544.0,8441.0,8495.0,387599.0
2006-08-08,8486.0,8486.0,8400.0,8459.0,388862.0
2006-08-09,8459.0,8504.0,8409.0,8504.0,478761.0
2006-08-10,8450.0,8522.0,8432.0,8477.0,386385.0
2006-08-11,8540.0,8558.0,8450.0,8450.0,392001.0
2006-08-14,8432.0,8459.0,8405.0,8405.0,423605.0
2006-08-16,8486.0,8540.0,8450.0,8472.0,422891.0
2006-08-17,8540.0,8675.0,8540.0,8675.0,387657.0
2006-08-18,8594.0,8828.0,8594.0,8828.0,195515.0
2006-08-21,8810.0,8828.0,8751.0,8751.0,188633.0
2006-08-22,8747.0,8859.0,8747.0,8854.0,215376.0
2006-08-23,8810.0,8854.0,8765.0,8769.0,448549.0
2006-08-24,8810.0,8810.0,8594.0,8594.0,456891.0
2006-08-25,8594.0,8819.0,8594.0,8792.0,460991.0
2006-08-28,8684.0,8899.0,8684.0,8899.0,444003.0
2006-08-29,8940.0,9025.0,8926.0,8931.0,446620.0
2006-08-30,8989.0,9025.0,8980.0,8989.0,452084.0
2006-08-31,9034.0,9187.0,9034.0,9151.0,461548.0
2006-09-01,9151.0,9241.0,9151.0,9232.0,452512.0
2006-09-04,9281.0,9322.0,9281.0,9322.0,441337.0
2006-09-05,9394.0,9394.0,8810.0,9273.0,385036.0
2006-09-06,9273.0,9389.0,9268.0,9389.0,442688.0
2006-09-07,9380.0,9380.0,9151.0,9268.0,444332.0
2006-09-08,9268.0,9362.0,9259.0,9362.0,442628.0
2006-09-11,9439.0,9439.0,9358.0,9358.0,444084.0
2006-09-12,9385.0,9430.0,9317.0,9317.0,725803.0
2006-09-13,9394.0,9506.0,9394.0,9430.0,445195.0
2006-09-14,9439.0,9484.0,9421.0,9484.0,443163.0
2006-09-15,9529.0,9794.0,9529.0,9789.0,213633.0
2006-09-18,10652.0,10652.0,9771.0,9951.0,210883.0
2006-09-19,9960.0,9978.0,9888.0,9933.0,441820.0
2006-09-20,9888.0,9888.0,9709.0,9780.0,217310.0
2006-09-21,9888.0,9888.0,9700.0,9700.0,445348.0
2006-09-22,9646.0,9646.0,9403.0,9556.0,447735.0
2006-09-25,9556.0,9556.0,9439.0,9556.0,446548.0
2006-09-26,9664.0,9664.0,9389.0,9439.0,441976.0
2006-09-27,9529.0,9529.0,9493.0,9529.0,202781.0
2006-09-28,9529.0,9628.0,9529.0,9610.0,450632.0
2006-09-29,9610.0,9628.0,9601.0,9628.0,102041.0
2006-10-02,9628.0,9655.0,9538.0,9655.0,165472.0
2006-10-04,9601.0,9619.0,9556.0,9556.0,121095.0
2006-10-09,9511.0,9511.0,9169.0,9304.0,202850.0
2006-10-10,9124.0,9259.0,8989.0,9259.0,131596.0
2006-10-11,9259.0,9259.0,9079.0,9106.0,105068.0
2006-10-12,9106.0,9196.0,9079.0,9196.0,103115.0
2006-10-13,9196.0,9403.0,9196.0,9403.0,166828.0
2006-10-16,9403.0,9798.0,9403.0,9533.0,163687.0
2006-10-17,9533.0,9533.0,9439.0,9475.0,162221.0
2006-10-18,9439.0,9475.0,9259.0,9475.0,164256.0
2006-10-19,9511.0,9511.0,9394.0,9502.0,195714.0
2006-10-20,9520.0,9888.0,9335.0,9335.0,189139.0
2006-10-23,9335.0,9349.0,9313.0,9340.0,165599.0
2006-10-24,9340.0,9358.0,9304.0,9358.0,162298.0
2006-10-25,9358.0,9394.0,9102.0,9349.0,87437.0
2006-10-26,9349.0,9349.0,9232.0,9304.0,60726.0
2006-10-27,9313.0,9313.0,9151.0,9304.0,64394.0
2006-10-30,9187.0,9187.0,8953.0,9079.0,70794.0
2006-10-31,9079.0,9102.0,8944.0,9102.0,61638.0
