Datetime,Open,High,Low,Close,Volume
2009-04-20,39000.0,44850.0,36700.0,37200.0,329549.0
2009-04-21,36500.0,37000.0,33000.0,33450.0,118770.0
2009-04-22,34000.0,34400.0,33100.0,33600.0,52030.0
2009-04-23,33400.0,38600.0,33400.0,38600.0,111478.0
2009-04-24,39050.0,43800.0,36000.0,40750.0,152238.0
2009-04-27,40850.0,42000.0,39200.0,40700.0,56529.0
2009-04-28,40100.0,41850.0,39050.0,40300.0,38191.0
2009-04-29,39750.0,40850.0,39100.0,40400.0,16918.0
2009-04-30,40400.0,40450.0,39450.0,40450.0,20197.0
2009-05-04,40200.0,40200.0,38700.0,38800.0,16170.0
2009-05-06,38850.0,38850.0,37200.0,38350.0,25496.0
2009-05-07,38600.0,39500.0,37100.0,37750.0,16862.0
2009-05-08,36700.0,37600.0,36700.0,37250.0,15326.0
2009-05-11,37350.0,38500.0,37300.0,37900.0,12990.0
2009-05-12,37100.0,37650.0,36500.0,37450.0,7107.0
2009-05-13,37850.0,38200.0,37000.0,37650.0,9169.0
2009-05-14,36600.0,37650.0,36600.0,37500.0,9119.0
2009-05-15,37500.0,37500.0,36000.0,37300.0,13940.0
2009-05-18,37150.0,37450.0,37000.0,37400.0,7037.0
2009-05-19,38100.0,42500.0,37600.0,42000.0,51606.0
2009-05-20,41800.0,42450.0,39850.0,42200.0,26201.0
2009-05-21,42450.0,43500.0,42100.0,42700.0,44748.0
2009-05-22,42650.0,45900.0,42100.0,43500.0,38698.0
2009-05-25,43500.0,43900.0,40000.0,43300.0,10258.0
2009-05-26,44000.0,46500.0,42300.0,43950.0,16112.0
2009-05-27,45000.0,49750.0,44200.0,46000.0,18973.0
2009-05-28,41000.0,46000.0,41000.0,44600.0,11658.0
2009-05-29,45000.0,45000.0,43500.0,43500.0,1500.0
2009-06-01,43200.0,44950.0,43100.0,44700.0,1003.0
2009-06-02,45000.0,45000.0,43700.0,44000.0,3358.0
2009-06-03,45000.0,45000.0,43000.0,43050.0,2514.0
