Datetime,Open,High,Low,Close,Volume
2013-06-04,9900.0,9900.0,9705.0,9745.0,219571.0
2013-06-05,9760.0,9760.0,9535.0,9600.0,380133.0
2013-06-07,9580.0,9625.0,9405.0,9420.0,2698749.0
2013-06-10,9490.0,9495.0,9420.0,9455.0,13676.0
2013-06-11,9450.0,9450.0,9350.0,9405.0,13211.0
2013-06-12,9370.0,9390.0,9340.0,9350.0,5691.0
2013-06-13,9315.0,9365.0,9225.0,9225.0,304091.0
2013-06-14,9250.0,9250.0,9085.0,9100.0,8015.0
2013-06-17,9145.0,9200.0,9125.0,9190.0,66726.0
2013-06-18,9190.0,9215.0,9145.0,9210.0,127171.0
2013-06-19,9215.0,9215.0,9080.0,9120.0,7186.0
2013-06-20,9120.0,9120.0,9025.0,9045.0,6780.0
2013-06-21,9045.0,9065.0,9030.0,9055.0,3056.0
2013-06-24,9065.0,9065.0,8605.0,8610.0,19392.0
2013-06-25,8595.0,8600.0,8045.0,8250.0,8373.0
2013-06-26,8325.0,8410.0,8235.0,8310.0,2312.0
2013-06-27,8400.0,8460.0,8255.0,8350.0,42147.0
2013-06-28,8435.0,8540.0,8295.0,8540.0,10519.0
2013-07-01,8540.0,8540.0,8340.0,8520.0,224.0
2013-07-02,8520.0,8520.0,8435.0,8495.0,22.0
2013-07-03,8495.0,8495.0,8245.0,8340.0,27693.0
2013-07-04,8340.0,8525.0,8340.0,8500.0,288.0
2013-07-05,8505.0,8645.0,8450.0,8645.0,85326.0
2013-07-08,8270.0,8585.0,8270.0,8365.0,1209.0
2013-07-09,8330.0,8380.0,8330.0,8380.0,51.0
2013-07-10,8435.0,8470.0,8255.0,8470.0,75154.0
2013-07-11,8530.0,8885.0,8490.0,8885.0,31936.0
2013-07-12,8985.0,8985.0,8795.0,8830.0,2700.0
2013-07-15,8695.0,8875.0,8695.0,8850.0,2272.0
2013-07-16,8770.0,8775.0,8630.0,8720.0,248.0
2013-07-17,8720.0,8720.0,8680.0,8720.0,1883.0
2013-07-18,8715.0,8715.0,8590.0,8635.0,122.0
2013-07-19,8635.0,8635.0,8490.0,8490.0,430.0
2013-07-22,8410.0,8410.0,8185.0,8315.0,1198.0
2013-07-23,8430.0,8560.0,8430.0,8540.0,3287.0
2013-07-24,8540.0,8540.0,8350.0,8380.0,53.0
2013-07-25,8465.0,8465.0,8455.0,8455.0,13.0
2013-07-26,8455.0,8460.0,8300.0,8460.0,110.0
2013-07-29,8460.0,8460.0,8220.0,8250.0,186.0
2013-07-30,8245.0,8415.0,8215.0,8415.0,164.0
2013-07-31,8430.0,8470.0,8310.0,8470.0,1352.0
2013-08-01,8405.0,8545.0,8250.0,8480.0,933.0
2013-08-02,8490.0,8595.0,8490.0,8595.0,781.0
2013-08-05,8515.0,8520.0,8505.0,8510.0,495.0
2013-08-06,8470.0,8560.0,8470.0,8560.0,446.0
2013-08-07,8560.0,8675.0,8490.0,8645.0,602.0
2013-08-08,8580.0,8590.0,8535.0,8575.0,362.0
2013-08-09,8500.0,8605.0,8500.0,8550.0,8355.0
2013-08-12,8490.0,8785.0,8490.0,8785.0,550.0
2013-08-13,8845.0,8870.0,8800.0,8825.0,2343.0
2013-08-14,8880.0,8900.0,8860.0,8880.0,1352.0
2013-08-16,8740.0,9135.0,8720.0,8845.0,22522.0
2013-08-19,8750.0,8820.0,8665.0,8820.0,341.0
2013-08-20,8800.0,8905.0,8800.0,8845.0,2951.0
2013-08-21,8785.0,8785.0,8785.0,8785.0,50.0
2013-08-22,8735.0,8850.0,8735.0,8785.0,154.0
2013-08-23,8790.0,8810.0,8560.0,8560.0,972.0
2013-08-26,8715.0,8750.0,8690.0,8750.0,80.0
2013-08-27,8750.0,8870.0,8740.0,8750.0,3740.0
2013-08-28,8755.0,8755.0,8675.0,8690.0,99.0
2013-08-29,8690.0,8720.0,8600.0,8600.0,2508.0
2013-08-30,8670.0,8830.0,8570.0,8830.0,3460.0
2013-09-02,8830.0,8830.0,8600.0,8645.0,1379.0
2013-09-03,8525.0,8640.0,8525.0,8620.0,521.0
2013-09-04,8655.0,8685.0,8655.0,8685.0,255.0
2013-09-05,8695.0,8710.0,8600.0,8710.0,575.0
2013-09-06,8710.0,8710.0,8710.0,8710.0,0.0
2013-09-09,8720.0,9050.0,8720.0,9050.0,875.0
2013-09-10,9080.0,9100.0,9010.0,9100.0,1562.0
2013-09-11,9100.0,9230.0,9100.0,9230.0,3683.0
2013-09-12,9065.0,9400.0,9050.0,9400.0,2178.0
2013-09-13,9395.0,9395.0,9175.0,9305.0,400378.0
2013-09-16,9260.0,9275.0,9130.0,9275.0,253762.0
2013-09-17,9055.0,9145.0,8970.0,9060.0,315.0
2013-09-23,8965.0,8965.0,8905.0,8940.0,198.0
2013-09-24,9035.0,9090.0,8835.0,8925.0,286.0
2013-09-25,8890.0,8890.0,8885.0,8885.0,51.0
2013-09-26,8840.0,8840.0,8645.0,8645.0,1154.0
2013-09-27,8700.0,8700.0,8700.0,8700.0,4.0
2013-09-30,8740.0,8805.0,8740.0,8805.0,401.0
2013-10-01,8755.0,8775.0,8740.0,8775.0,10101.0
2013-10-02,8745.0,8750.0,8560.0,8750.0,108.0
2013-10-04,8755.0,8755.0,8755.0,8755.0,40.0
2013-10-07,8715.0,8715.0,8715.0,8715.0,3.0
2013-10-08,9215.0,9225.0,8550.0,8835.0,250130.0
2013-10-10,8890.0,8890.0,8890.0,8890.0,1.0
2013-10-11,8735.0,8835.0,8725.0,8790.0,902.0
2013-10-14,8860.0,8860.0,8845.0,8845.0,9.0
2013-10-15,8350.0,8990.0,8350.0,8815.0,272.0
2013-10-16,8810.0,8815.0,8560.0,8650.0,664.0
2013-10-17,8660.0,8660.0,8630.0,8640.0,573.0
2013-10-18,8605.0,8630.0,8590.0,8630.0,400.0
2013-10-21,8645.0,8660.0,8515.0,8660.0,42.0
2013-10-22,8695.0,8695.0,8510.0,8695.0,11700.0
2013-10-23,8695.0,8755.0,8610.0,8655.0,335.0
2013-10-24,8655.0,8655.0,8530.0,8635.0,50.0
2013-10-25,8645.0,8920.0,8560.0,8580.0,206.0
2013-10-28,8520.0,8690.0,8465.0,8690.0,171.0
2013-10-29,8495.0,8680.0,8405.0,8510.0,234.0
2013-10-30,8595.0,8640.0,8490.0,8640.0,2373.0
2013-10-31,8615.0,8670.0,8590.0,8670.0,766.0
2013-11-01,8630.0,8655.0,8475.0,8650.0,39.0
2013-11-04,8685.0,8685.0,8505.0,8665.0,6.0
2013-11-05,8620.0,8630.0,8480.0,8545.0,57.0
2013-11-06,8595.0,8595.0,8555.0,8555.0,4.0
2013-11-07,8480.0,8495.0,8405.0,8470.0,140.0
2013-11-08,8485.0,8485.0,8390.0,8475.0,274.0
2013-11-11,8485.0,8495.0,8385.0,8495.0,501.0
2013-11-12,8465.0,8540.0,8310.0,8540.0,93.0
2013-11-13,8430.0,8580.0,8345.0,8415.0,590.0
2013-11-14,8320.0,8340.0,8240.0,8340.0,453.0
2013-11-15,8570.0,8575.0,8415.0,8530.0,8.0
2013-11-18,8460.0,8660.0,8310.0,8660.0,186.0
2013-11-19,8740.0,8745.0,8665.0,8690.0,213.0
2013-11-20,8660.0,8660.0,8570.0,8655.0,15.0
2013-11-21,8680.0,8680.0,8555.0,8600.0,547.0
2013-11-22,8660.0,8665.0,8490.0,8645.0,20.0
2013-11-25,8455.0,8695.0,8455.0,8695.0,171.0
2013-11-26,8595.0,8635.0,8520.0,8630.0,1741.0
2013-11-27,8595.0,8670.0,8570.0,8670.0,13.0
