Datetime,Open,High,Low,Close,Volume
2015-11-16,9850.0,9850.0,9680.0,9700.0,87672.0
2015-11-17,9900.0,9900.0,9740.0,9740.0,45839.0
2015-11-18,9800.0,9800.0,9665.0,9695.0,42494.0
2015-11-19,9755.0,9905.0,9755.0,9890.0,50594.0
2015-11-20,9980.0,10030.0,9925.0,10025.0,50059.0
2015-11-23,10025.0,10025.0,9925.0,9960.0,38458.0
2015-11-24,10000.0,10025.0,9940.0,10010.0,52605.0
2015-11-25,10080.0,10215.0,10055.0,10215.0,47893.0
2015-11-26,10185.0,10210.0,10125.0,10145.0,38511.0
2015-11-27,10145.0,10145.0,10050.0,10050.0,40940.0
2015-11-30,9975.0,10010.0,9910.0,9955.0,51810.0
2015-12-01,9910.0,9965.0,9880.0,9940.0,65416.0
2015-12-02,10020.0,10025.0,9820.0,9850.0,45017.0
2015-12-03,9850.0,9855.0,9740.0,9855.0,52220.0
2015-12-04,9970.0,10045.0,9945.0,9970.0,60649.0
2015-12-07,9975.0,9975.0,9760.0,9775.0,48219.0
2015-12-08,9765.0,9765.0,9600.0,9605.0,37447.0
2015-12-09,9605.0,9700.0,9575.0,9595.0,52273.0
2015-12-10,9605.0,9675.0,9555.0,9555.0,50174.0
2015-12-11,9555.0,9615.0,9545.0,9600.0,49963.0
2015-12-14,9595.0,9595.0,9445.0,9490.0,11007.0
2015-12-15,9500.0,9540.0,9500.0,9530.0,6437.0
2015-12-16,9550.0,9650.0,9540.0,9645.0,227767.0
2015-12-17,9670.0,9670.0,9540.0,9560.0,228072.0
2015-12-18,9540.0,9540.0,9435.0,9525.0,204854.0
2015-12-21,9590.0,9620.0,9560.0,9595.0,155599.0
2015-12-22,9600.0,9665.0,9595.0,9665.0,173940.0
2015-12-23,9670.0,9740.0,9670.0,9705.0,202548.0
2015-12-24,9715.0,9790.0,9645.0,9790.0,165190.0
2015-12-28,9800.0,9860.0,9770.0,9800.0,214129.0
2015-12-29,9690.0,9795.0,9690.0,9725.0,200333.0
2015-12-30,9775.0,9775.0,9655.0,9715.0,194966.0
2016-01-04,9750.0,9750.0,9440.0,9460.0,174776.0
2016-01-05,9435.0,9525.0,9390.0,9435.0,147824.0
2016-01-06,9420.0,9455.0,9295.0,9310.0,194005.0
2016-01-07,9365.0,9365.0,9205.0,9260.0,189089.0
2016-01-08,9355.0,9375.0,9255.0,9280.0,172955.0
2016-01-11,9200.0,9200.0,9090.0,9105.0,162731.0
2016-01-12,9150.0,9185.0,9055.0,9105.0,176668.0
2016-01-13,9195.0,9195.0,9085.0,9185.0,186743.0
2016-01-14,9085.0,9105.0,9025.0,9040.0,184047.0
2016-01-15,9180.0,9180.0,9015.0,9055.0,185490.0
2016-01-18,9030.0,9095.0,9015.0,9075.0,22709.0
2016-01-19,9195.0,9195.0,9050.0,9150.0,6912.0
2016-01-20,9180.0,9180.0,9030.0,9045.0,13288.0
2016-01-21,9055.0,9145.0,9035.0,9040.0,33349.0
2016-01-22,9270.0,9270.0,9145.0,9245.0,3434.0
2016-01-25,9290.0,9350.0,9260.0,9310.0,6588.0
2016-01-26,9200.0,9250.0,9190.0,9190.0,5837.0
2016-01-27,9380.0,9380.0,9175.0,9200.0,60699.0
2016-01-28,9175.0,9175.0,9060.0,9125.0,7532.0
2016-01-29,9275.0,9280.0,9055.0,9280.0,11534.0
2016-02-01,9280.0,9280.0,9100.0,9255.0,9192.0
2016-02-02,9215.0,9295.0,9160.0,9170.0,6822.0
2016-02-03,9025.0,9075.0,8950.0,8970.0,13749.0
2016-02-04,9200.0,9245.0,9170.0,9215.0,16204.0
2016-02-05,9305.0,9405.0,9280.0,9280.0,31046.0
2016-02-11,9305.0,9405.0,9145.0,9210.0,39350.0
2016-02-12,9185.0,9300.0,8720.0,9075.0,187834.0
2016-02-15,9090.0,9140.0,9060.0,9140.0,22508.0
2016-02-16,9100.0,9100.0,8965.0,9010.0,29102.0
2016-02-17,8955.0,8955.0,8840.0,8850.0,34270.0
2016-02-18,8850.0,8920.0,8835.0,8840.0,30099.0
2016-02-19,8840.0,8840.0,8670.0,8730.0,46516.0
2016-02-22,8835.0,8835.0,8690.0,8735.0,38935.0
2016-02-23,8820.0,8845.0,8750.0,8770.0,12986.0
2016-02-24,8750.0,8750.0,8705.0,8740.0,5008.0
2016-02-25,8745.0,8745.0,8675.0,8675.0,15646.0
2016-02-26,8700.0,8750.0,8690.0,8690.0,7232.0
2016-02-29,8670.0,8700.0,8585.0,8700.0,18982.0
2016-03-02,8750.0,8820.0,8720.0,8820.0,35688.0
2016-03-03,8865.0,9015.0,8860.0,9015.0,31831.0
2016-03-04,9070.0,9175.0,9035.0,9175.0,83450.0
2016-03-07,9205.0,9275.0,9175.0,9215.0,21354.0
2016-03-08,9140.0,9225.0,9115.0,9115.0,8273.0
2016-03-09,9050.0,9050.0,8980.0,8980.0,14391.0
2016-03-10,9045.0,9185.0,8995.0,9165.0,25633.0
2016-03-11,9145.0,9325.0,9085.0,9320.0,21731.0
2016-03-14,9370.0,9475.0,9355.0,9450.0,14436.0
2016-03-15,9400.0,9435.0,9345.0,9425.0,8093.0
2016-03-16,9370.0,9370.0,9300.0,9340.0,7752.0
2016-03-17,9490.0,9645.0,9485.0,9645.0,15473.0
2016-03-18,9880.0,9935.0,9810.0,9810.0,19310.0
2016-03-21,9795.0,9830.0,9720.0,9815.0,7126.0
2016-03-22,9815.0,9980.0,9800.0,9955.0,5639.0
2016-03-23,9925.0,9940.0,9825.0,9835.0,4981.0
2016-03-24,9720.0,9780.0,9700.0,9745.0,2587.0
2016-03-25,9800.0,9800.0,9655.0,9725.0,9449.0
2016-03-28,9725.0,9770.0,9655.0,9750.0,656.0
2016-03-29,9770.0,9850.0,9770.0,9825.0,1339.0
2016-03-30,9900.0,10015.0,9900.0,10015.0,27478.0
2016-03-31,10105.0,10170.0,10100.0,10170.0,5325.0
2016-04-01,10170.0,10170.0,9955.0,9955.0,5563.0
2016-04-04,10060.0,10105.0,10015.0,10095.0,6172.0
2016-04-05,10000.0,10000.0,9910.0,9930.0,4224.0
2016-04-06,9810.0,9975.0,9800.0,9935.0,4076.0
2016-04-07,10020.0,10020.0,9910.0,10020.0,4859.0
2016-04-08,9860.0,10000.0,9820.0,9975.0,21541.0
2016-04-11,9950.0,10110.0,9950.0,10090.0,15372.0
2016-04-12,10110.0,10165.0,10090.0,10120.0,8192.0
2016-04-14,10115.0,10115.0,9900.0,9925.0,39723.0
2016-04-15,9960.0,10095.0,9950.0,10095.0,19440.0
2016-04-18,10065.0,10085.0,9995.0,10020.0,2016.0
2016-04-19,10085.0,10300.0,10085.0,10300.0,18106.0
2016-04-20,10380.0,10420.0,10280.0,10305.0,10044.0
2016-04-21,10335.0,10355.0,10250.0,10335.0,9220.0
2016-04-22,10300.0,10300.0,10150.0,10195.0,5602.0
2016-04-25,10150.0,10150.0,10025.0,10075.0,4888.0
2016-04-26,10105.0,10105.0,10025.0,10055.0,1966.0
2016-04-27,10085.0,10175.0,10085.0,10105.0,940.0
2016-04-28,10080.0,10250.0,10055.0,10250.0,4548.0
2016-04-29,10250.0,10330.0,10180.0,10265.0,16060.0
2016-05-02,10270.0,10285.0,10140.0,10285.0,9991.0
2016-05-03,10285.0,10360.0,10230.0,10235.0,12211.0
2016-05-04,10135.0,10135.0,9965.0,9980.0,15909.0
2016-05-09,9840.0,9840.0,9670.0,9790.0,9217.0
2016-05-10,9720.0,9720.0,9620.0,9675.0,18951.0
2016-05-11,9730.0,9780.0,9685.0,9725.0,3003.0
2016-05-12,9780.0,9850.0,9755.0,9810.0,3816.0
2016-05-13,9755.0,9770.0,9675.0,9695.0,2122.0
2016-05-16,9675.0,9675.0,9560.0,9565.0,7891.0
2016-05-17,9610.0,9670.0,9595.0,9640.0,7211.0
2016-05-18,9635.0,9635.0,9490.0,9495.0,5113.0
2016-05-19,9440.0,9440.0,9330.0,9350.0,20172.0
2016-05-20,9430.0,9450.0,9365.0,9365.0,13763.0
2016-05-23,9430.0,9500.0,9430.0,9495.0,22212.0
2016-05-24,9495.0,9495.0,9350.0,9350.0,12652.0
2016-05-25,9450.0,9500.0,9370.0,9465.0,5149.0
2016-05-26,9520.0,9550.0,9480.0,9520.0,5509.0
2016-05-27,9550.0,9560.0,9505.0,9535.0,7099.0
2016-05-30,9505.0,9535.0,9325.0,9330.0,11573.0
2016-05-31,9400.0,9400.0,9345.0,9375.0,6262.0
2016-06-01,9345.0,9375.0,9295.0,9350.0,9489.0
2016-06-02,9350.0,9440.0,9350.0,9400.0,11767.0
2016-06-03,9415.0,9490.0,9395.0,9490.0,3046.0
2016-06-07,9685.0,9830.0,9685.0,9800.0,34513.0
2016-06-08,9850.0,9950.0,9850.0,9890.0,14649.0
2016-06-09,9950.0,9995.0,9840.0,9915.0,20193.0
2016-06-10,9915.0,9915.0,9770.0,9770.0,5829.0
2016-06-13,9770.0,9770.0,9630.0,9650.0,4640.0
2016-06-14,9650.0,9680.0,9640.0,9650.0,1205.0
2016-06-15,9640.0,9650.0,9550.0,9650.0,1756.0
