Datetime,Open,High,Low,Close,Volume
2016-01-27,9550.0,9598.0,9541.0,9565.0,157.0
2016-01-28,9565.0,9579.0,9560.0,9574.0,4.0
2016-01-29,9593.0,9636.0,9588.0,9636.0,2923.0
2016-02-01,9660.0,9693.0,9655.0,9688.0,1914.0
2016-02-02,9679.0,9679.0,9660.0,9660.0,384.0
2016-02-03,9655.0,9665.0,9631.0,9665.0,9.0
2016-02-04,9665.0,9665.0,9622.0,9641.0,86.0
2016-02-05,9641.0,9641.0,9588.0,9617.0,367.0
2016-02-11,9574.0,9584.0,9550.0,9569.0,140.0
2016-02-12,9550.0,9550.0,9436.0,9479.0,1216.0
2016-02-15,9479.0,9479.0,9450.0,9469.0,33.0
2016-02-16,9479.0,9517.0,9469.0,9517.0,105.0
2016-02-17,9512.0,9512.0,9445.0,9445.0,180.0
2016-02-18,9488.0,9503.0,9474.0,9503.0,221.0
2016-02-19,9531.0,9541.0,9526.0,9541.0,7470.0
2016-02-22,9517.0,9560.0,9517.0,9560.0,7501.0
2016-02-23,9555.0,9569.0,9512.0,9522.0,6189.0
2016-02-24,9493.0,9531.0,9493.0,9517.0,4176.0
2016-02-25,9550.0,9574.0,9550.0,9574.0,4435.0
2016-02-26,9588.0,9593.0,9588.0,9593.0,3337.0
2016-02-29,9588.0,9588.0,9565.0,9569.0,6510.0
2016-03-02,9603.0,9622.0,9593.0,9612.0,4111.0
2016-03-03,9607.0,9607.0,9555.0,9565.0,6615.0
2016-03-04,9555.0,9565.0,9550.0,9565.0,1582.0
2016-03-07,9550.0,9550.0,9507.0,9512.0,2205.0
2016-03-08,9484.0,9484.0,9469.0,9484.0,1997.0
2016-03-09,9498.0,9545.0,9498.0,9545.0,3260.0
2016-03-10,9555.0,9555.0,9555.0,9555.0,1674.0
2016-03-11,9541.0,9555.0,9536.0,9550.0,1760.0
2016-03-14,9541.0,9555.0,9512.0,9555.0,8914.0
2016-03-15,9560.0,9588.0,9555.0,9574.0,8319.0
2016-03-16,9588.0,9622.0,9588.0,9622.0,6922.0
2016-03-17,9612.0,9645.0,9607.0,9626.0,5534.0
2016-03-18,9617.0,9626.0,9598.0,9622.0,5023.0
2016-03-21,9631.0,9636.0,9593.0,9607.0,8205.0
2016-03-22,9603.0,9603.0,9560.0,9579.0,6628.0
2016-03-23,9588.0,9593.0,9574.0,9574.0,8590.0
2016-03-24,9584.0,9607.0,9579.0,9598.0,6684.0
2016-03-25,9598.0,9622.0,9593.0,9607.0,6445.0
2016-03-28,9603.0,9603.0,9588.0,9598.0,9198.0
2016-03-29,9588.0,9617.0,9584.0,9607.0,6806.0
2016-03-30,9603.0,9626.0,9598.0,9617.0,11928.0
2016-03-31,9603.0,9603.0,9584.0,9603.0,4946.0
2016-04-01,9603.0,9626.0,9579.0,9617.0,6466.0
2016-04-04,9617.0,9626.0,9603.0,9626.0,4514.0
2016-04-05,9626.0,9626.0,9607.0,9617.0,8181.0
2016-04-06,9612.0,9636.0,9588.0,9636.0,3175.0
2016-04-07,9617.0,9636.0,9607.0,9626.0,7548.0
2016-04-08,9593.0,9650.0,9593.0,9650.0,12410.0
2016-04-11,9622.0,9636.0,9603.0,9612.0,23308.0
2016-04-12,9598.0,9626.0,9584.0,9607.0,4819.0
2016-04-14,9603.0,9607.0,9574.0,9588.0,7226.0
2016-04-15,9598.0,9636.0,9593.0,9636.0,6809.0
2016-04-18,9641.0,9650.0,9617.0,9650.0,7537.0
2016-04-19,9645.0,9645.0,9617.0,9641.0,3835.0
2016-04-20,9631.0,9650.0,9626.0,9645.0,9069.0
2016-04-21,9636.0,9679.0,9636.0,9674.0,6868.0
2016-04-22,9655.0,9688.0,9650.0,9684.0,6560.0
2016-04-25,9665.0,9703.0,9665.0,9693.0,15756.0
2016-04-26,9698.0,9722.0,9674.0,9717.0,9753.0
2016-04-27,9707.0,9736.0,9698.0,9722.0,5342.0
2016-04-28,9722.0,9726.0,9526.0,9712.0,12066.0
2016-04-29,9707.0,9712.0,9679.0,9688.0,8884.0
2016-05-02,9688.0,9712.0,9679.0,9684.0,14396.0
2016-05-03,9703.0,9741.0,9698.0,9741.0,12650.0
2016-05-04,9736.0,9750.0,9703.0,9746.0,11110.0
2016-05-09,9755.0,9793.0,9755.0,9779.0,13954.0
2016-05-10,9774.0,9803.0,9769.0,9798.0,12541.0
2016-05-11,9779.0,9793.0,9750.0,9793.0,16180.0
2016-05-12,9779.0,9798.0,9769.0,9798.0,8203.0
2016-05-13,9807.0,9812.0,9779.0,9793.0,7798.0
2016-05-16,9779.0,9803.0,9769.0,9803.0,25816.0
2016-05-17,9622.0,9822.0,9622.0,9803.0,17208.0
2016-05-18,9803.0,9803.0,9750.0,9769.0,21330.0
2016-05-19,9760.0,9760.0,9712.0,9741.0,9897.0
2016-05-20,9746.0,9750.0,9726.0,9750.0,13355.0
2016-05-23,9731.0,9769.0,9731.0,9765.0,17858.0
2016-05-24,9741.0,9774.0,9736.0,9765.0,8172.0
2016-05-25,9760.0,9793.0,9760.0,9784.0,20060.0
2016-05-26,9784.0,9788.0,9750.0,9755.0,13702.0
2016-05-27,9765.0,9774.0,9741.0,9774.0,17268.0
2016-05-30,9755.0,9784.0,9741.0,9784.0,19084.0
2016-05-31,9774.0,9807.0,9760.0,9798.0,15215.0
2016-06-01,9774.0,9798.0,9765.0,9793.0,17106.0
2016-06-02,9760.0,9798.0,9755.0,9798.0,9932.0
2016-06-03,9784.0,9798.0,9769.0,9784.0,9633.0
2016-06-07,9793.0,9822.0,9788.0,9807.0,23439.0
2016-06-08,9822.0,9855.0,9803.0,9855.0,10732.0
2016-06-09,9860.0,9865.0,9836.0,9841.0,10353.0
2016-06-10,9850.0,9855.0,9812.0,9841.0,18002.0
2016-06-13,9841.0,9841.0,9769.0,9779.0,15528.0
2016-06-14,9765.0,9788.0,9755.0,9788.0,9477.0
2016-06-15,9760.0,9779.0,9736.0,9760.0,12421.0
2016-06-16,9760.0,9774.0,9731.0,9736.0,12737.0
2016-06-17,9736.0,9736.0,9703.0,9722.0,7011.0
2016-06-20,9731.0,9755.0,9726.0,9755.0,17415.0
2016-06-21,9755.0,9774.0,9746.0,9774.0,7692.0
2016-06-22,9760.0,9779.0,9746.0,9765.0,5455.0
2016-06-23,9746.0,9765.0,9736.0,9760.0,7665.0
2016-06-24,9760.0,9779.0,9665.0,9693.0,11333.0
2016-06-27,9688.0,9750.0,9688.0,9726.0,99969.0
2016-06-28,9722.0,9793.0,9717.0,9793.0,7714.0
2016-06-29,9765.0,9836.0,9765.0,9836.0,8182.0
2016-06-30,9841.0,9850.0,9817.0,9846.0,43683.0
2016-07-01,9846.0,9874.0,9841.0,9850.0,14499.0
2016-07-04,9846.0,9860.0,9831.0,9860.0,88727.0
2016-07-05,9841.0,9850.0,9826.0,9850.0,18176.0
2016-07-06,9846.0,9860.0,9803.0,9841.0,6309.0
2016-07-07,9836.0,9860.0,9826.0,9846.0,9167.0
2016-07-08,9855.0,9865.0,9798.0,9807.0,15515.0
2016-07-11,9822.0,9841.0,9807.0,9807.0,20357.0
2016-07-12,9826.0,9836.0,9798.0,9826.0,13121.0
2016-07-13,9822.0,9831.0,9803.0,9803.0,12287.0
2016-07-14,9822.0,9822.0,9793.0,9817.0,11000.0
2016-07-15,9812.0,9822.0,9793.0,9812.0,13958.0
2016-07-18,9812.0,9826.0,9793.0,9817.0,17232.0
2016-07-19,9817.0,9826.0,9793.0,9807.0,13795.0
2016-07-20,9812.0,9812.0,9784.0,9788.0,23580.0
2016-07-21,9807.0,9807.0,9769.0,9788.0,14376.0
2016-07-22,9788.0,9807.0,9769.0,9798.0,23649.0
2016-07-25,9803.0,9803.0,9760.0,9779.0,32487.0
2016-07-26,9769.0,9807.0,9769.0,9807.0,17547.0
2016-07-27,9784.0,9798.0,9755.0,9769.0,15470.0
2016-07-28,9760.0,9774.0,9746.0,9760.0,13072.0
2016-07-29,9750.0,9755.0,9722.0,9731.0,18401.0
2016-08-01,9703.0,9722.0,9684.0,9684.0,29281.0
2016-08-02,9684.0,9712.0,9679.0,9712.0,11647.0
2016-08-03,9679.0,9693.0,9655.0,9674.0,10734.0
2016-08-04,9669.0,9688.0,9660.0,9684.0,9926.0
2016-08-05,9679.0,9688.0,9636.0,9660.0,24553.0
2016-08-08,9655.0,9746.0,9603.0,9693.0,16169.0
2016-08-09,9684.0,9703.0,9679.0,9693.0,7917.0
2016-08-10,9693.0,9755.0,9684.0,9755.0,24111.0
