Datetime,Open,High,Low,Close,Volume
2016-05-13,9990.0,10020.0,9840.0,9890.0,165773.0
2016-05-16,9885.0,10010.0,9870.0,10010.0,246907.0
2016-05-17,10080.0,10085.0,9975.0,10045.0,246115.0
2016-05-18,10025.0,10025.0,9885.0,10005.0,231889.0
2016-05-19,10065.0,10095.0,9975.0,9995.0,220370.0
2016-05-20,10025.0,10065.0,9965.0,10000.0,232862.0
2016-05-23,10085.0,10175.0,10030.0,10175.0,203230.0
2016-05-24,10255.0,10260.0,10195.0,10195.0,224504.0
2016-05-25,10500.0,10500.0,10195.0,10400.0,185640.0
2016-05-26,10485.0,10525.0,10355.0,10370.0,244373.0
2016-05-27,10405.0,10620.0,10380.0,10565.0,237355.0
2016-05-30,10580.0,10660.0,10570.0,10635.0,185148.0
2016-05-31,10635.0,10775.0,10455.0,10770.0,231966.0
2016-06-01,10675.0,10745.0,10510.0,10680.0,222921.0
2016-06-02,10735.0,10850.0,10630.0,10630.0,174847.0
2016-06-03,10755.0,10760.0,10490.0,10490.0,201067.0
2016-06-07,10600.0,10775.0,10595.0,10745.0,181124.0
2016-06-08,10850.0,10895.0,10785.0,10795.0,221751.0
2016-06-09,10845.0,11020.0,10835.0,10865.0,210836.0
2016-06-10,11070.0,11070.0,10855.0,10900.0,217205.0
2016-06-13,10795.0,10825.0,10495.0,10495.0,266352.0
2016-06-14,10465.0,10585.0,10395.0,10570.0,220055.0
2016-06-15,10555.0,10800.0,10550.0,10785.0,236470.0
2016-06-16,10825.0,10880.0,10585.0,10650.0,213110.0
2016-06-17,10715.0,10790.0,10560.0,10590.0,194717.0
2016-06-20,10695.0,10895.0,10695.0,10895.0,216751.0
2016-06-21,10900.0,10900.0,10665.0,10870.0,263627.0
2016-06-22,10945.0,11195.0,10905.0,11165.0,235387.0
2016-06-23,11145.0,11380.0,11145.0,11380.0,206244.0
2016-06-24,11560.0,11675.0,10540.0,10800.0,321573.0
2016-06-27,10670.0,10700.0,10590.0,10690.0,215991.0
2016-06-28,10670.0,10780.0,10450.0,10680.0,220707.0
2016-06-29,10870.0,11195.0,10790.0,10900.0,240872.0
2016-06-30,11040.0,11245.0,10925.0,11245.0,276490.0
2016-07-01,11250.0,11525.0,11185.0,11515.0,239911.0
2016-07-04,11600.0,11690.0,11390.0,11690.0,238900.0
2016-07-05,11690.0,11740.0,11615.0,11665.0,205734.0
2016-07-06,11655.0,11655.0,11045.0,11125.0,208136.0
2016-07-07,11185.0,11470.0,11185.0,11410.0,217597.0
2016-07-08,11445.0,11570.0,11445.0,11535.0,254721.0
2016-07-11,11685.0,11875.0,11685.0,11875.0,11090.0
2016-07-12,11875.0,11875.0,11695.0,11755.0,6708.0
2016-07-13,12020.0,12020.0,11820.0,11860.0,15531.0
2016-07-14,11955.0,12040.0,11955.0,12040.0,1936.0
2016-07-15,12070.0,12215.0,12020.0,12025.0,4597.0
2016-07-18,12085.0,12085.0,11970.0,12085.0,5630.0
2016-07-19,11980.0,12040.0,11920.0,12040.0,29.0
2016-07-20,11910.0,11960.0,11795.0,11795.0,2883.0
2016-07-21,11955.0,11955.0,11855.0,11880.0,6413.0
2016-07-22,11800.0,11860.0,11800.0,11860.0,101.0
2016-07-25,11900.0,12015.0,11805.0,11805.0,5093.0
2016-07-26,11670.0,11965.0,11670.0,11965.0,1778.0
2016-07-27,12070.0,12200.0,12070.0,12200.0,10156.0
2016-07-28,12260.0,12295.0,12055.0,12170.0,27502.0
2016-07-29,12205.0,12470.0,12205.0,12340.0,9154.0
2016-08-01,12570.0,12570.0,12455.0,12540.0,7712.0
2016-08-02,12420.0,12420.0,12280.0,12340.0,203.0
2016-08-03,12090.0,12315.0,12090.0,12235.0,168.0
2016-08-04,12350.0,12350.0,12265.0,12270.0,1259.0
2016-08-05,12270.0,12730.0,12270.0,12730.0,4259.0
2016-08-08,12960.0,13005.0,12935.0,12975.0,395.0
2016-08-09,13050.0,13215.0,12955.0,13215.0,4649.0
2016-08-10,13300.0,13300.0,12950.0,12980.0,3372.0
2016-08-11,12955.0,12995.0,12835.0,12995.0,2269.0
2016-08-12,13195.0,13205.0,13080.0,13135.0,3269.0
2016-08-16,13135.0,13380.0,13065.0,13140.0,3263.0
2016-08-17,13085.0,13110.0,12980.0,13110.0,139.0
2016-08-18,13115.0,13650.0,13115.0,13650.0,13416.0
2016-08-19,13700.0,14060.0,13650.0,14060.0,5819.0
2016-08-22,14105.0,14145.0,14015.0,14070.0,6510.0
2016-08-23,14270.0,14270.0,14000.0,14080.0,1862.0
2016-08-24,14080.0,14100.0,13825.0,13990.0,9497.0
2016-08-25,13845.0,13885.0,13645.0,13810.0,1553.0
2016-08-26,13665.0,13750.0,13660.0,13690.0,1542.0
2016-08-29,13640.0,13720.0,13485.0,13685.0,2763.0
2016-08-30,13855.0,13930.0,13745.0,13830.0,1366.0
2016-08-31,13905.0,13905.0,13740.0,13835.0,12339.0
2016-09-01,13560.0,13560.0,13255.0,13415.0,29104.0
2016-09-02,13415.0,13510.0,13345.0,13510.0,5204.0
2016-09-05,13610.0,13845.0,13610.0,13820.0,4377.0
