Datetime,Open,High,Low,Close,Volume
2016-05-13,9398.0,9459.0,9347.0,9352.0,14175.0
2016-05-16,9324.0,9352.0,9301.0,9342.0,10902.0
2016-05-17,9324.0,9328.0,9231.0,9259.0,5682.0
2016-05-18,9208.0,9208.0,9129.0,9170.0,8405.0
2016-05-19,9166.0,9166.0,9054.0,9092.0,6547.0
2016-05-20,9096.0,9105.0,9054.0,9068.0,6692.0
2016-05-23,9101.0,9101.0,9003.0,9045.0,244.0
2016-05-24,8999.0,9026.0,8985.0,8985.0,66045.0
2016-05-25,9054.0,9101.0,9050.0,9096.0,6977.0
2016-05-26,9096.0,9115.0,9064.0,9078.0,9334.0
2016-05-27,9078.0,9138.0,9073.0,9129.0,6002.0
2016-05-30,9101.0,9129.0,9082.0,9101.0,4050.0
2016-05-31,9105.0,9166.0,9096.0,9147.0,4001.0
2016-06-01,9096.0,9101.0,9068.0,9096.0,1106.0
2016-06-02,9026.0,9059.0,9026.0,9054.0,751.0
2016-06-03,9026.0,9026.0,8980.0,8999.0,122481.0
2016-06-07,9003.0,9115.0,9003.0,9115.0,2399.0
2016-06-08,9124.0,9198.0,9124.0,9198.0,1506.0
2016-06-09,9208.0,9217.0,9157.0,9166.0,601.0
2016-06-10,9170.0,9170.0,9138.0,9138.0,208.0
2016-06-13,9064.0,9064.0,8999.0,8999.0,155186.0
2016-06-14,8975.0,8980.0,8901.0,8906.0,122901.0
2016-06-15,8887.0,8943.0,8873.0,8901.0,509.0
2016-06-16,8901.0,8901.0,8752.0,8776.0,614.0
2016-06-17,8827.0,8831.0,8762.0,8803.0,943.0
2016-06-20,8892.0,8892.0,8873.0,8878.0,121.0
2016-06-21,8873.0,8873.0,8855.0,8855.0,114.0
2016-06-22,8924.0,8929.0,8882.0,8901.0,309.0
2016-06-23,8827.0,8845.0,8813.0,8841.0,306.0
2016-06-24,8864.0,8864.0,8418.0,8501.0,1482.0
2016-06-27,8353.0,8580.0,8353.0,8580.0,12.0
2016-06-28,8488.0,8594.0,8488.0,8594.0,106.0
2016-06-29,8636.0,8687.0,8636.0,8683.0,106.0
2016-06-30,8701.0,8701.0,8650.0,8669.0,90195.0
2016-07-01,8734.0,8748.0,8734.0,8748.0,8.0
2016-07-04,8748.0,8785.0,8748.0,8785.0,349.0
2016-07-05,8738.0,8738.0,8738.0,8738.0,2.0
2016-07-06,8706.0,8706.0,8557.0,8604.0,41.0
2016-07-07,8664.0,8697.0,8664.0,8697.0,2.0
2016-07-08,8669.0,8669.0,8604.0,8632.0,7.0
2016-07-11,8697.0,8724.0,8697.0,8724.0,101.0
2016-07-12,8729.0,8729.0,8729.0,8729.0,30.0
2016-07-13,8803.0,8836.0,8803.0,8808.0,70.0
2016-07-14,8803.0,8803.0,8780.0,8780.0,9440.0
2016-07-15,8817.0,8841.0,8817.0,8841.0,14.0
2016-07-18,8841.0,8841.0,8822.0,8822.0,2.0
2016-07-19,8855.0,8855.0,8813.0,8813.0,54.0
2016-07-20,8799.0,8799.0,8799.0,8799.0,1.0
2016-07-21,8845.0,8845.0,8813.0,8817.0,3.0
2016-07-22,8794.0,8817.0,8794.0,8817.0,55.0
2016-07-25,8827.0,8827.0,8827.0,8827.0,105.0
2016-07-26,8836.0,8882.0,8836.0,8882.0,950.0
2016-07-27,8892.0,8910.0,8892.0,8892.0,67.0
2016-07-28,8892.0,8892.0,8892.0,8892.0,1.0
