Datetime,Open,High,Low,Close,Volume
2017-05-16,9647.0,9671.0,9623.0,9623.0,530.0
2017-05-17,9652.0,9685.0,9647.0,9666.0,179.0
2017-05-18,9642.0,9656.0,9560.0,9647.0,227.0
2017-05-19,9661.0,9666.0,9647.0,9666.0,109.0
2017-05-22,9661.0,9685.0,9652.0,9685.0,3004.0
2017-05-23,9753.0,9806.0,9743.0,9806.0,2096.0
2017-05-24,9816.0,9840.0,9816.0,9835.0,265.0
2017-05-25,9772.0,9772.0,9739.0,9739.0,193.0
2017-05-26,9748.0,9840.0,9748.0,9826.0,9388.0
2017-05-29,9801.0,9801.0,9801.0,9801.0,11.0
2017-05-30,9830.0,9830.0,9806.0,9806.0,147.0
2017-05-31,9797.0,9797.0,9714.0,9758.0,67.0
2017-06-01,9845.0,9845.0,9830.0,9845.0,1250.0
2017-06-02,9908.0,9913.0,9893.0,9903.0,5093.0
2017-06-05,9966.0,9966.0,9932.0,9951.0,95.0
2017-06-07,9961.0,9985.0,9961.0,9976.0,3659.0
2017-06-08,9961.0,9985.0,9947.0,9947.0,438.0
2017-06-09,9927.0,9927.0,9845.0,9922.0,909.0
2017-06-12,9898.0,9947.0,9898.0,9937.0,6390.0
2017-06-13,9889.0,9927.0,9889.0,9918.0,961.0
2017-06-14,9922.0,9961.0,9922.0,9942.0,575.0
2017-06-15,9971.0,9980.0,9951.0,9980.0,121.0
2017-06-16,9942.0,9985.0,9937.0,9985.0,170.0
2017-06-19,10101.0,10101.0,10058.0,10087.0,497.0
2017-06-20,10111.0,10159.0,10111.0,10140.0,833.0
2017-06-21,10048.0,10077.0,10014.0,10077.0,10088.0
2017-06-22,10043.0,10043.0,10019.0,10034.0,770.0
2017-06-23,10034.0,10053.0,10034.0,10038.0,298.0
2017-06-26,10034.0,10034.0,10014.0,10029.0,3386.0
2017-06-27,10043.0,10087.0,10043.0,10067.0,3143.0
2017-06-28,10038.0,10077.0,10009.0,10077.0,10202.0
2017-06-29,10077.0,10101.0,10077.0,10101.0,830.0
2017-06-30,10082.0,10087.0,10019.0,10087.0,49.0
2017-07-03,10009.0,10034.0,9995.0,10024.0,263.0
2017-07-04,10053.0,10067.0,10043.0,10067.0,127.0
2017-07-05,10048.0,10058.0,10029.0,10058.0,161.0
2017-07-06,9985.0,10048.0,9985.0,10048.0,531.0
2017-07-07,10072.0,10077.0,10029.0,10058.0,1566.0
2017-07-10,10000.0,10000.0,9932.0,9980.0,252.0
2017-07-11,9980.0,10019.0,9980.0,10019.0,49.0
2017-07-12,9985.0,9985.0,9956.0,9966.0,231.0
