Datetime,Open,High,Low,Close,Volume
2017-07-11,10906.0,10966.0,10906.0,10966.0,20.0
2017-07-12,10961.0,10966.0,10961.0,10966.0,20.0
2017-07-13,11017.0,11095.0,11017.0,11049.0,30.0
2017-07-14,11113.0,11113.0,11113.0,11113.0,10.0
2017-07-17,11183.0,11183.0,11164.0,11169.0,28.0
2017-07-18,11159.0,11159.0,11155.0,11155.0,20.0
2017-07-19,11178.0,11178.0,11155.0,11155.0,20.0
2017-07-20,11196.0,11247.0,11196.0,11247.0,20.0
2017-07-21,11233.0,11275.0,11233.0,11275.0,20.0
2017-07-24,11270.0,11270.0,11270.0,11270.0,20.0
2017-07-25,11275.0,11279.0,11215.0,11215.0,48.0
2017-07-26,11256.0,11256.0,11215.0,11215.0,20.0
2017-07-27,11247.0,11247.0,11238.0,11238.0,20.0
2017-07-28,11178.0,11178.0,11067.0,11067.0,20.0
2017-07-31,10998.0,11067.0,10998.0,11067.0,20.0
2017-08-01,11040.0,11146.0,11040.0,11146.0,20.0
2017-08-02,11201.0,11201.0,11178.0,11178.0,20.0
2017-08-03,11150.0,11150.0,11003.0,11003.0,20020.0
2017-08-04,11021.0,11090.0,11021.0,11090.0,21.0
2017-08-07,11109.0,11146.0,11090.0,11095.0,49.0
2017-08-08,11104.0,11104.0,11049.0,11072.0,39.0
2017-08-09,10980.0,10980.0,10934.0,10934.0,53.0
2017-08-10,10888.0,10888.0,10832.0,10879.0,85.0
2017-08-11,10717.0,10745.0,10648.0,10699.0,169.0
2017-08-14,10759.0,10782.0,10759.0,10782.0,22.0
2017-08-16,10897.0,10897.0,10819.0,10819.0,30.0
2017-08-17,10842.0,10892.0,10842.0,10892.0,21.0
2017-08-18,10782.0,10874.0,10782.0,10874.0,24.0
2017-08-21,10883.0,10883.0,10869.0,10869.0,20.0
2017-08-22,10892.0,10902.0,10892.0,10902.0,20.0
2017-08-23,10961.0,10961.0,10902.0,10902.0,20.0
2017-08-24,10920.0,10920.0,10869.0,10869.0,282.0
2017-08-25,10952.0,10952.0,10938.0,10943.0,21.0
2017-08-28,10934.0,10934.0,10888.0,10888.0,28.0
2017-08-29,10819.0,10842.0,10800.0,10842.0,21.0
2017-08-30,10869.0,10883.0,10869.0,10883.0,20.0
2017-08-31,10902.0,10902.0,10819.0,10819.0,37.0
2017-09-01,10865.0,10865.0,10846.0,10846.0,20.0
2017-09-04,10644.0,10722.0,10644.0,10722.0,22.0
2017-09-05,10759.0,10759.0,10699.0,10699.0,20.0
2017-09-06,10676.0,10676.0,10630.0,10653.0,22.0
2017-09-07,10694.0,10786.0,10694.0,10786.0,20.0
2017-09-08,10791.0,10791.0,10727.0,10768.0,28.0
2017-09-11,10823.0,10846.0,10823.0,10846.0,20.0
2017-09-12,10920.0,10920.0,10855.0,10865.0,27.0
2017-09-13,10892.0,10892.0,10855.0,10883.0,42.0
2017-09-14,10888.0,10902.0,10823.0,10902.0,91.0
2017-09-15,10897.0,10957.0,10837.0,10957.0,91.0
2017-09-18,10975.0,11113.0,10975.0,11113.0,20.0
2017-09-19,11136.0,11136.0,11100.0,11100.0,21.0
2017-09-20,11132.0,11132.0,11090.0,11090.0,20.0
2017-09-21,11100.0,11113.0,11100.0,11113.0,20.0
2017-09-22,11113.0,11113.0,11058.0,11058.0,20.0
2017-09-25,11067.0,11067.0,11031.0,11040.0,28.0
2017-09-26,10980.0,10980.0,10938.0,10975.0,22.0
2017-09-27,10989.0,10989.0,10971.0,10971.0,20.0
2017-09-28,10994.0,11007.0,10994.0,11007.0,21.0
2017-09-29,11035.0,11072.0,11035.0,11072.0,20.0
2017-10-10,11224.0,11293.0,11224.0,11288.0,17021.0
2017-10-11,11330.0,11367.0,11298.0,11344.0,2657.0
2017-10-12,11394.0,11431.0,11344.0,11431.0,1398.0
2017-10-13,11381.0,11436.0,11381.0,11408.0,24.0
2017-10-16,11459.0,11459.0,11394.0,11408.0,2190.0
2017-10-17,11445.0,11445.0,11431.0,11431.0,20.0
2017-10-18,11404.0,11450.0,11404.0,11450.0,20.0
2017-10-19,11459.0,11459.0,11358.0,11399.0,23.0
2017-10-20,11408.0,11445.0,11385.0,11445.0,21.0
2017-10-23,11505.0,11505.0,11496.0,11496.0,20.0
2017-10-24,11477.0,11486.0,11477.0,11486.0,20.0
2017-10-25,11505.0,11505.0,11468.0,11486.0,27.0
2017-10-26,11468.0,11468.0,11436.0,11436.0,20.0
2017-10-27,11436.0,11486.0,11436.0,11486.0,20.0
2017-10-30,11556.0,11556.0,11505.0,11505.0,21.0
2017-10-31,11491.0,11620.0,11491.0,11620.0,570.0
2017-11-01,11666.0,11749.0,11666.0,11749.0,28.0
2017-11-02,11772.0,11772.0,11744.0,11744.0,20.0
2017-11-03,11772.0,11772.0,11754.0,11754.0,20.0
2017-11-06,11763.0,11763.0,11620.0,11652.0,404.0
2017-11-07,11675.0,11675.0,11652.0,11657.0,22.0
2017-11-08,11565.0,11675.0,11565.0,11675.0,21.0
2017-11-09,11685.0,11685.0,11675.0,11675.0,20.0
2017-11-10,11602.0,11634.0,11537.0,11592.0,840.0
2017-11-13,11652.0,11652.0,11579.0,11579.0,30.0
2017-11-14,11579.0,11579.0,11542.0,11542.0,20.0
2017-11-15,11505.0,11505.0,11413.0,11468.0,721.0
2017-11-16,11440.0,11546.0,11413.0,11546.0,1335.0
2017-11-17,11565.0,11565.0,11528.0,11528.0,20.0
2017-11-20,11514.0,11514.0,11477.0,11477.0,20.0
2017-11-21,11486.0,11491.0,11486.0,11491.0,20.0
2017-11-22,11560.0,11560.0,11477.0,11546.0,380.0
2017-11-23,11565.0,11565.0,11523.0,11523.0,20.0
2017-11-24,11523.0,11533.0,11523.0,11533.0,20.0
2017-11-27,11551.0,11551.0,11376.0,11394.0,48.0
2017-11-28,11385.0,11417.0,11385.0,11417.0,21.0
2017-11-29,11445.0,11445.0,11417.0,11436.0,23.0
2017-11-30,11362.0,11362.0,11302.0,11302.0,21.0
2017-12-01,11302.0,11302.0,11247.0,11270.0,21.0
2017-12-04,11307.0,11362.0,11252.0,11362.0,34.0
2017-12-05,11284.0,11422.0,11270.0,11422.0,222.0
2017-12-06,11436.0,11436.0,11302.0,11302.0,106.0
2017-12-07,11311.0,11311.0,11183.0,11256.0,1038.0
2017-12-08,11307.0,11307.0,11192.0,11270.0,1042.0
2017-12-11,11302.0,11302.0,11164.0,11252.0,632.0
2017-12-12,11261.0,11261.0,11150.0,11215.0,645.0
2017-12-13,11219.0,11293.0,11155.0,11293.0,225.0
2017-12-14,11330.0,11427.0,11330.0,11381.0,427.0
2017-12-15,11358.0,11358.0,11288.0,11339.0,424.0
2017-12-18,11344.0,11344.0,11344.0,11344.0,10.0
2017-12-19,11399.0,11399.0,11358.0,11376.0,323.0
2017-12-20,11362.0,11404.0,11358.0,11358.0,425.0
2017-12-21,11344.0,11344.0,11164.0,11164.0,21.0
2017-12-22,11141.0,11210.0,11118.0,11210.0,246.0
2017-12-26,11178.0,11238.0,11169.0,11169.0,1795.0
2017-12-27,11215.0,11279.0,11215.0,11279.0,21.0
2017-12-28,11302.0,11422.0,11302.0,11422.0,20.0
2018-01-02,11431.0,11468.0,11408.0,11468.0,777.0
2018-01-03,11510.0,11523.0,11454.0,11523.0,1238.0
2018-01-04,11565.0,11565.0,11427.0,11427.0,25.0
2018-01-05,11468.0,11565.0,11468.0,11565.0,20.0
2018-01-08,11588.0,11634.0,11588.0,11634.0,21.0
2018-01-09,11615.0,11615.0,11606.0,11606.0,20.0
2018-01-10,11597.0,11643.0,11537.0,11537.0,31.0
2018-01-11,11528.0,11528.0,11500.0,11500.0,20.0
2018-01-12,11514.0,11514.0,11436.0,11500.0,40.0
2018-01-15,11542.0,11542.0,11519.0,11519.0,20.0
2018-01-16,11523.0,11611.0,11523.0,11611.0,20.0
2018-01-17,11579.0,11579.0,11574.0,11574.0,20.0
2018-01-18,11634.0,11634.0,11565.0,11565.0,20.0
2018-01-19,11583.0,11606.0,11560.0,11606.0,21.0
2018-01-22,11588.0,11588.0,11523.0,11523.0,20.0
2018-01-23,11583.0,11657.0,11583.0,11657.0,20.0
2018-01-24,11657.0,11657.0,11657.0,11657.0,20.0
2018-01-25,11652.0,11790.0,11652.0,11790.0,21.0
2018-01-26,11758.0,11758.0,11754.0,11758.0,64.0
2018-01-29,11832.0,11878.0,11832.0,11878.0,53.0
2018-01-30,11827.0,11832.0,11744.0,11744.0,334.0
2018-01-31,11694.0,11763.0,11694.0,11763.0,332.0
2018-02-01,11786.0,11814.0,11767.0,11767.0,24.0
2018-02-02,11721.0,11721.0,11496.0,11546.0,21.0
2018-02-05,11367.0,11427.0,11367.0,11427.0,20.0
2018-02-06,11219.0,11242.0,11219.0,11242.0,20.0
2018-02-07,11358.0,11358.0,11017.0,11017.0,21.0
2018-02-08,10975.0,11077.0,10975.0,11077.0,21.0
2018-02-09,10791.0,10814.0,10791.0,10814.0,26.0
2018-02-12,10879.0,10943.0,10879.0,10943.0,20.0
2018-02-13,10984.0,11095.0,10984.0,11007.0,274.0
2018-02-14,11090.0,11104.0,11086.0,11104.0,24.0
2018-02-19,11261.0,11261.0,11187.0,11187.0,22.0
2018-02-20,11155.0,11155.0,11086.0,11086.0,20.0
2018-02-21,11100.0,11123.0,11100.0,11123.0,20.0
2018-02-22,11063.0,11063.0,11049.0,11049.0,20.0
2018-02-23,11113.0,11206.0,11113.0,11206.0,21.0
2018-02-26,11279.0,11279.0,11233.0,11242.0,28.0
2018-02-27,11330.0,11330.0,11229.0,11229.0,20.0
2018-02-28,11196.0,11196.0,11118.0,11118.0,20.0
2018-03-02,11017.0,11017.0,10911.0,10943.0,21.0
2018-03-05,10934.0,10934.0,10754.0,10754.0,272.0
2018-03-06,10925.0,11003.0,10925.0,11003.0,21.0
2018-03-07,11040.0,11040.0,11021.0,11021.0,20.0
2018-03-08,11086.0,11095.0,11086.0,11095.0,20.0
2018-03-09,11183.0,11302.0,11178.0,11256.0,32.0
2018-03-12,11376.0,11376.0,11362.0,11376.0,28.0
2018-03-13,11376.0,11427.0,11376.0,11427.0,28.0
2018-03-14,11367.0,11431.0,11367.0,11431.0,20.0
2018-03-15,11431.0,11454.0,11431.0,11454.0,20.0
2018-03-16,11445.0,11445.0,11431.0,11431.0,20.0
2018-03-19,11385.0,11427.0,11316.0,11362.0,27.0
2018-03-20,11279.0,11381.0,11233.0,11381.0,53.0
2018-03-21,11408.0,11408.0,11381.0,11381.0,593.0
2018-03-22,11431.0,11440.0,11422.0,11440.0,536.0
2018-03-23,11141.0,11206.0,11049.0,11049.0,23.0
2018-03-26,11040.0,11049.0,10984.0,11049.0,115.0
2018-03-27,11206.0,11206.0,11187.0,11187.0,20.0
2018-03-28,11067.0,11067.0,11035.0,11035.0,20.0
2018-03-29,11067.0,11123.0,11054.0,11123.0,25.0
2018-03-30,11187.0,11187.0,11118.0,11118.0,60465.0
2018-04-02,11141.0,11141.0,11067.0,11090.0,52128.0
2018-04-03,10975.0,11040.0,10975.0,11040.0,20.0
2018-04-04,11095.0,11095.0,10911.0,10911.0,23.0
2018-04-05,10998.0,11058.0,10998.0,11058.0,45.0
2018-04-06,10971.0,10998.0,10971.0,10998.0,20.0
2018-04-09,10998.0,11063.0,10998.0,11063.0,20.0
2018-04-10,11017.0,11077.0,10948.0,11058.0,39497.0
2018-04-11,11095.0,11095.0,11026.0,11035.0,9650.0
2018-04-12,11072.0,11118.0,11072.0,11118.0,20.0
2018-04-13,11132.0,11141.0,11109.0,11109.0,21.0
2018-04-16,11150.0,11150.0,11063.0,11104.0,66018.0
2018-04-17,11113.0,11113.0,11100.0,11100.0,20.0
2018-04-18,11178.0,11242.0,11178.0,11242.0,21.0
2018-04-19,11279.0,11344.0,11279.0,11334.0,78878.0
2018-04-20,11275.0,11298.0,11252.0,11252.0,32747.0
2018-04-23,11261.0,11275.0,11261.0,11275.0,20.0
2018-04-24,11298.0,11298.0,11196.0,11206.0,28459.0
2018-04-25,11118.0,11132.0,11067.0,11127.0,27169.0
2018-04-26,11169.0,11288.0,11169.0,11256.0,36712.0
2018-04-27,11368.0,11392.0,11336.0,11392.0,10020.0
2018-04-30,11401.0,11481.0,11401.0,11481.0,223.0
2018-05-02,11504.0,11504.0,11457.0,11457.0,40.0
2018-05-03,11481.0,11481.0,11420.0,11420.0,21.0
2018-05-04,11378.0,11967.0,11275.0,11275.0,27592.0
2018-05-08,11298.0,11298.0,11200.0,11228.0,14630.0
2018-05-09,11223.0,11223.0,11074.0,11181.0,14965.0
2018-05-10,11242.0,11247.0,11172.0,11233.0,5043.0
2018-05-11,11303.0,11308.0,11303.0,11308.0,20.0
2018-05-14,11326.0,11326.0,11294.0,11294.0,22.0
2018-05-15,11280.0,11280.0,11177.0,11186.0,23.0
2018-05-16,11135.0,11205.0,11135.0,11205.0,20.0
2018-05-17,11252.0,11252.0,11172.0,11172.0,20.0
2018-05-18,11195.0,11205.0,11195.0,11205.0,20.0
2018-05-21,11219.0,11252.0,11219.0,11252.0,20.0
2018-05-23,11237.0,11322.0,11237.0,11322.0,20.0
2018-05-24,11308.0,11308.0,11223.0,11233.0,22.0
2018-05-25,11163.0,11233.0,11163.0,11233.0,20.0
2018-05-28,11266.0,11298.0,11266.0,11298.0,29.0
2018-05-29,11266.0,11266.0,11167.0,11167.0,21.0
2018-05-30,11097.0,11097.0,10864.0,10948.0,23.0
2018-05-31,11008.0,11008.0,10948.0,10948.0,20.0
2018-06-01,10934.0,11027.0,10887.0,11027.0,29306.0
2018-06-04,11032.0,11111.0,11032.0,11111.0,20.0
2018-06-05,11111.0,11158.0,11111.0,11158.0,20.0
2018-06-07,11237.0,11237.0,11219.0,11219.0,20.0
2018-06-08,11191.0,11191.0,11139.0,11139.0,20.0
2018-06-11,11125.0,11228.0,11125.0,11228.0,21.0
2018-06-12,11247.0,11247.0,11209.0,11209.0,20.0
2018-06-14,11144.0,11144.0,11041.0,11041.0,21.0
2018-06-15,11069.0,11069.0,10915.0,10952.0,38307.0
2018-06-18,10929.0,10929.0,10723.0,10826.0,152926.0
2018-06-19,10803.0,10803.0,10658.0,10663.0,359.0
2018-06-20,10663.0,10793.0,10663.0,10793.0,58.0
2018-06-21,10779.0,10779.0,10667.0,10667.0,2851.0
2018-06-22,10592.0,10723.0,10583.0,10723.0,12915.0
2018-06-25,10686.0,10695.0,10686.0,10695.0,18.0
2018-06-26,10630.0,10742.0,10611.0,10742.0,22.0
2018-06-27,10714.0,10714.0,10686.0,10686.0,11.0
2018-06-28,10611.0,10611.0,10611.0,10611.0,10.0
2018-06-29,10574.0,10630.0,10466.0,10630.0,46.0
2018-07-02,10602.0,10620.0,10377.0,10377.0,272.0
2018-07-03,10424.0,10424.0,10415.0,10415.0,20.0
2018-07-04,10396.0,10396.0,10340.0,10340.0,20.0
2018-07-05,10321.0,10321.0,10307.0,10307.0,20.0
2018-07-06,10340.0,10401.0,10340.0,10401.0,20.0
2018-07-09,10405.0,10476.0,10396.0,10476.0,21586.0
2018-07-10,10536.0,10536.0,10490.0,10490.0,27.0
2018-07-11,10401.0,10452.0,10401.0,10452.0,20.0
2018-07-12,10466.0,10466.0,10457.0,10457.0,20.0
2018-07-13,10518.0,10620.0,10518.0,10620.0,22.0
