Datetime,Open,High,Low,Close,Volume
2017-06-29,97810.0,97810.0,97810.0,97810.0,13.0
2017-06-30,97805.0,97810.0,97805.0,97810.0,60019.0
2017-07-03,97819.0,97819.0,97819.0,97819.0,1.0
2017-07-04,97824.0,97824.0,97824.0,97824.0,20000.0
2017-07-05,97829.0,97829.0,97829.0,97829.0,10010.0
2017-07-06,97839.0,97839.0,97839.0,97839.0,1.0
2017-07-07,97849.0,97849.0,97849.0,97849.0,0.0
2017-07-10,97863.0,97863.0,97863.0,97863.0,3.0
2017-07-11,97863.0,97863.0,97863.0,97863.0,0.0
2017-07-12,97863.0,97863.0,97863.0,97863.0,0.0
2017-07-13,97863.0,97868.0,97863.0,97868.0,19.0
2017-07-14,97873.0,97873.0,97873.0,97873.0,500.0
2017-07-17,97878.0,97878.0,97878.0,97878.0,1.0
2017-07-18,97873.0,97873.0,97873.0,97873.0,500.0
2017-07-19,97878.0,97878.0,97878.0,97878.0,0.0
2017-07-20,97893.0,97893.0,97893.0,97893.0,0.0
2017-07-21,97898.0,97898.0,97898.0,97898.0,0.0
2017-07-24,97898.0,97898.0,97898.0,97898.0,0.0
2017-07-25,97898.0,97898.0,97898.0,97898.0,0.0
2017-07-26,97898.0,97898.0,97898.0,97898.0,0.0
2017-07-27,97912.0,97912.0,97912.0,97912.0,500.0
2017-07-28,97912.0,97912.0,97912.0,97912.0,0.0
2017-07-31,97912.0,97912.0,97912.0,97912.0,500.0
2017-08-01,97912.0,97912.0,97912.0,97912.0,0.0
2017-08-02,97917.0,97917.0,97917.0,97917.0,0.0
2017-08-03,97917.0,97917.0,97917.0,97917.0,1.0
2017-08-04,97942.0,97942.0,97942.0,97942.0,0.0
2017-08-07,97942.0,97942.0,97942.0,97942.0,10.0
2017-08-08,97951.0,97951.0,97951.0,97951.0,1.0
2017-08-09,97951.0,97951.0,97951.0,97951.0,61.0
2017-08-10,97947.0,97951.0,97947.0,97951.0,98.0
2017-08-11,97932.0,97932.0,97932.0,97932.0,18.0
2017-08-14,97932.0,97932.0,97932.0,97932.0,9.0
2017-08-16,97942.0,97942.0,97942.0,97942.0,63.0
2017-08-17,97947.0,97947.0,97947.0,97947.0,10.0
2017-08-18,97956.0,97956.0,97956.0,97956.0,8.0
2017-08-21,97961.0,97961.0,97961.0,97961.0,60.0
2017-08-22,97961.0,97961.0,97961.0,97961.0,120.0
2017-08-23,97971.0,97971.0,97971.0,97971.0,0.0
2017-08-24,97971.0,97971.0,97971.0,97971.0,100.0
2017-08-25,97986.0,97986.0,97986.0,97986.0,0.0
2017-08-28,97986.0,97986.0,97986.0,97986.0,0.0
2017-08-29,97995.0,97995.0,97995.0,97995.0,10.0
2017-08-30,97995.0,97995.0,97995.0,97995.0,0.0
2017-08-31,98000.0,98000.0,97995.0,97995.0,6.0
2017-09-01,98015.0,98015.0,98015.0,98015.0,0.0
2017-09-04,98015.0,98015.0,98015.0,98015.0,19.0
2017-09-05,98015.0,98015.0,98015.0,98015.0,57.0
2017-09-06,98035.0,98035.0,98035.0,98035.0,49.0
2017-09-07,98035.0,98035.0,98035.0,98035.0,0.0
2017-09-08,98044.0,98044.0,98044.0,98044.0,7.0
2017-09-11,98049.0,98049.0,98049.0,98049.0,10.0
2017-09-12,98049.0,98049.0,98049.0,98049.0,6.0
2017-09-13,98054.0,98054.0,98054.0,98054.0,2.0
2017-09-14,98059.0,98059.0,98059.0,98059.0,2.0
2017-09-15,98059.0,98059.0,98059.0,98059.0,0.0
2017-09-18,98059.0,98059.0,98059.0,98059.0,10.0
2017-09-19,98064.0,98064.0,98059.0,98059.0,4.0
2017-09-20,98069.0,98069.0,98069.0,98069.0,50.0
2017-09-21,98069.0,98074.0,98069.0,98074.0,6.0
2017-09-22,98074.0,98074.0,98074.0,98074.0,49.0
2017-09-25,98083.0,98083.0,98083.0,98083.0,5.0
2017-09-26,98088.0,98088.0,98088.0,98088.0,5.0
2017-09-27,98088.0,98088.0,98088.0,98088.0,0.0
2017-09-28,98093.0,98093.0,98093.0,98093.0,12009.0
2017-09-29,98157.0,98157.0,98157.0,98157.0,10.0
2017-10-10,98132.0,98132.0,98132.0,98132.0,1.0
2017-10-11,98132.0,98132.0,98132.0,98132.0,0.0
2017-10-12,98137.0,98137.0,98137.0,98137.0,0.0
2017-10-13,98147.0,98147.0,98147.0,98147.0,1.0
2017-10-16,98147.0,98147.0,98147.0,98147.0,0.0
2017-10-17,98147.0,98147.0,98147.0,98147.0,1.0
2017-10-18,98152.0,98152.0,98152.0,98152.0,0.0
2017-10-19,98162.0,98162.0,98162.0,98162.0,0.0
2017-10-20,98162.0,98162.0,98157.0,98157.0,9.0
2017-10-23,98157.0,98157.0,98157.0,98157.0,4.0
2017-10-24,98162.0,98162.0,98162.0,98162.0,6.0
2017-10-25,98147.0,98147.0,98147.0,98147.0,12.0
2017-10-26,98152.0,98152.0,98152.0,98152.0,12.0
2017-10-27,98157.0,98157.0,98157.0,98157.0,764.0
2017-10-30,98157.0,98157.0,98157.0,98157.0,0.0
2017-10-31,98152.0,98152.0,98152.0,98152.0,0.0
2017-11-01,98157.0,98157.0,98157.0,98157.0,4626.0
2017-11-02,98162.0,98162.0,98162.0,98162.0,346.0
2017-11-03,98157.0,98157.0,98157.0,98157.0,1198.0
2017-11-06,98162.0,98162.0,98162.0,98162.0,0.0
2017-11-07,98171.0,98171.0,98171.0,98171.0,6.0
2017-11-08,98181.0,98181.0,98181.0,98181.0,1115.0
2017-11-09,98186.0,98186.0,98186.0,98186.0,4.0
2017-11-10,98186.0,98186.0,98186.0,98186.0,8.0
2017-11-13,98191.0,98191.0,98191.0,98191.0,826.0
2017-11-14,98196.0,98196.0,98196.0,98196.0,3.0
2017-11-15,98211.0,98211.0,98211.0,98211.0,0.0
2017-11-16,98220.0,98220.0,98220.0,98220.0,81.0
2017-11-17,98220.0,98220.0,98220.0,98220.0,115.0
2017-11-20,98230.0,98230.0,98230.0,98230.0,19.0
2017-11-21,98225.0,98225.0,98225.0,98225.0,595.0
2017-11-22,98225.0,98230.0,98225.0,98230.0,4.0
2017-11-23,98235.0,98235.0,98235.0,98235.0,139.0
2017-11-24,98245.0,98245.0,98245.0,98245.0,0.0
2017-11-27,98250.0,98255.0,98250.0,98255.0,136.0
2017-11-28,98255.0,98255.0,98255.0,98255.0,0.0
2017-11-29,98255.0,98255.0,98255.0,98255.0,0.0
2017-11-30,98260.0,98284.0,98260.0,98284.0,210.0
2017-12-01,98284.0,98284.0,98284.0,98284.0,10.0
2017-12-04,98299.0,98299.0,98299.0,98299.0,249.0
2017-12-05,98304.0,98304.0,98304.0,98304.0,0.0
2017-12-06,98328.0,98328.0,98328.0,98328.0,644.0
2017-12-07,98328.0,98328.0,98328.0,98328.0,33.0
2017-12-08,98343.0,98343.0,98343.0,98343.0,0.0
2017-12-11,98343.0,98343.0,98343.0,98343.0,0.0
2017-12-12,98348.0,98348.0,98348.0,98348.0,5.0
2017-12-13,98367.0,98367.0,98362.0,98367.0,3524.0
2017-12-14,98372.0,98372.0,98372.0,98372.0,604.0
2017-12-15,98372.0,98372.0,98372.0,98372.0,0.0
2017-12-18,98387.0,98387.0,98387.0,98387.0,151.0
2017-12-19,98392.0,98392.0,98387.0,98392.0,1377.0
2017-12-20,98387.0,98392.0,98387.0,98387.0,65.0
2017-12-21,98387.0,98396.0,98387.0,98396.0,21086.0
2017-12-22,98396.0,98406.0,98392.0,98406.0,57.0
2017-12-26,98411.0,98411.0,98411.0,98411.0,770.0
2017-12-27,98416.0,98416.0,98416.0,98416.0,1.0
2017-12-28,98475.0,98475.0,98475.0,98475.0,5.0
2018-01-02,98376.0,98431.0,98376.0,98426.0,2537.0
2018-01-03,98426.0,98431.0,98426.0,98426.0,1431.0
2018-01-04,98440.0,98440.0,98426.0,98440.0,286.0
2018-01-05,98460.0,98485.0,98460.0,98485.0,14.0
2018-01-08,98485.0,98485.0,98485.0,98485.0,0.0
2018-01-09,98490.0,98490.0,98490.0,98490.0,0.0
2018-01-10,98504.0,98504.0,98504.0,98504.0,5.0
2018-01-11,98504.0,98514.0,98504.0,98514.0,61.0
2018-01-12,98534.0,98534.0,98534.0,98534.0,20.0
2018-01-15,98539.0,98539.0,98539.0,98539.0,14.0
2018-01-16,98539.0,98544.0,98539.0,98544.0,7.0
2018-01-17,98544.0,98549.0,98544.0,98549.0,68.0
2018-01-18,98549.0,98549.0,98549.0,98549.0,0.0
2018-01-19,98554.0,98554.0,98554.0,98554.0,0.0
2018-01-22,98554.0,98554.0,98549.0,98554.0,81.0
2018-01-23,98519.0,98519.0,98519.0,98519.0,7.0
2018-01-24,98519.0,98519.0,98519.0,98519.0,0.0
2018-01-25,98583.0,98583.0,98583.0,98583.0,10.0
2018-01-26,98583.0,98588.0,98578.0,98588.0,34.0
2018-01-29,98588.0,98593.0,98588.0,98593.0,3.0
2018-01-30,98598.0,98598.0,98598.0,98598.0,29.0
2018-01-31,98598.0,98603.0,98598.0,98598.0,31.0
2018-02-01,98593.0,98593.0,98593.0,98593.0,10691.0
2018-02-02,98608.0,98608.0,98608.0,98608.0,102.0
2018-02-05,98613.0,98613.0,98613.0,98613.0,50.0
2018-02-06,98617.0,98617.0,98617.0,98617.0,102.0
2018-02-07,98617.0,98617.0,98617.0,98617.0,0.0
2018-02-08,98617.0,98617.0,98617.0,98617.0,2.0
2018-02-09,98642.0,98642.0,98642.0,98642.0,100.0
2018-02-12,98642.0,98642.0,98642.0,98642.0,1.0
2018-02-13,98667.0,98667.0,98667.0,98667.0,1.0
2018-02-14,98677.0,98677.0,98677.0,98677.0,0.0
2018-02-19,98677.0,98677.0,98677.0,98677.0,100.0
