Datetime,Open,High,Low,Close,Volume
2018-02-07,8798.0,8798.0,8507.0,8507.0,292.0
2018-02-08,8536.0,8612.0,8493.0,8612.0,312.0
2018-02-09,8336.0,8426.0,8336.0,8426.0,103.0
2018-02-12,8498.0,8498.0,8498.0,8498.0,1.0
2018-02-13,8498.0,8498.0,8498.0,8498.0,0.0
2018-02-14,8588.0,8588.0,8588.0,8588.0,10.0
2018-02-19,8683.0,8683.0,8683.0,8683.0,10.0
2018-02-20,8683.0,8683.0,8683.0,8683.0,2.0
2018-02-21,8683.0,8683.0,8683.0,8683.0,0.0
2018-02-22,8664.0,8664.0,8588.0,8636.0,11.0
2018-02-23,8683.0,8755.0,8683.0,8755.0,7.0
2018-02-26,8822.0,8822.0,8779.0,8798.0,9.0
2018-02-27,8831.0,8831.0,8831.0,8831.0,10.0
2018-02-28,8712.0,8712.0,8712.0,8712.0,4.0
2018-03-02,8688.0,8688.0,8688.0,8688.0,0.0
2018-03-05,8722.0,8722.0,8722.0,8722.0,1.0
2018-03-06,8703.0,8703.0,8703.0,8703.0,101.0
2018-03-07,8631.0,8631.0,8631.0,8631.0,0.0
2018-03-08,8674.0,8674.0,8674.0,8674.0,1.0
2018-03-09,8855.0,8855.0,8850.0,8850.0,91.0
2018-03-12,8936.0,8936.0,8936.0,8936.0,0.0
2018-03-13,8941.0,8941.0,8941.0,8941.0,0.0
2018-03-14,8941.0,8941.0,8941.0,8941.0,0.0
2018-03-15,9002.0,9002.0,9002.0,9002.0,2.0
2018-03-16,8979.0,8979.0,8979.0,8979.0,57.0
2018-03-19,8950.0,8950.0,8950.0,8950.0,1.0
2018-03-20,8955.0,8955.0,8955.0,8955.0,0.0
2018-03-21,8993.0,8993.0,8955.0,8960.0,21.0
2018-03-22,8988.0,9012.0,8988.0,9002.0,21.0
2018-03-23,8779.0,8779.0,8764.0,8764.0,146.0
2018-03-26,8703.0,8703.0,8703.0,8703.0,100.0
2018-03-27,8807.0,8807.0,8807.0,8807.0,100.0
2018-03-28,8717.0,8717.0,8717.0,8717.0,0.0
2018-03-29,8755.0,8755.0,8755.0,8755.0,100.0
2018-03-30,8850.0,8850.0,8822.0,8822.0,5.0
2018-04-02,8879.0,8931.0,8798.0,8798.0,108428.0
2018-04-03,8755.0,8774.0,8717.0,8760.0,122695.0
2018-04-04,8841.0,8841.0,8769.0,8774.0,81324.0
