Datetime,Open,High,Low,Close,Volume
2018-03-16,9995.0,10030.0,9945.0,9980.0,6388.0
2018-03-19,9940.0,9985.0,9680.0,9680.0,7433.0
2018-03-20,9470.0,10025.0,9470.0,10025.0,9810.0
2018-03-21,10050.0,10170.0,9865.0,9865.0,61162.0
2018-03-22,10000.0,10050.0,9395.0,9420.0,70102.0
2018-03-23,8895.0,9080.0,8215.0,8225.0,129373.0
2018-03-26,8360.0,8935.0,8160.0,8930.0,579730.0
2018-03-27,9010.0,9070.0,8870.0,8915.0,77554.0
2018-03-28,8610.0,8775.0,8455.0,8680.0,96351.0
2018-03-29,8840.0,9165.0,8790.0,9165.0,103871.0
2018-03-30,9235.0,9290.0,9145.0,9230.0,22043.0
2018-04-02,9245.0,9315.0,9045.0,9070.0,43072.0
2018-04-03,8400.0,9200.0,8400.0,9200.0,154907.0
2018-04-04,9220.0,9300.0,8955.0,9040.0,37175.0
2018-04-05,9270.0,9345.0,9080.0,9200.0,38777.0
2018-04-06,9100.0,9200.0,9030.0,9170.0,79405.0
2018-04-09,9340.0,9365.0,9180.0,9365.0,11737.0
2018-04-10,9370.0,9380.0,9190.0,9375.0,11417.0
2018-04-11,9415.0,9460.0,9390.0,9435.0,4610.0
2018-04-12,9455.0,9480.0,9150.0,9150.0,9607.0
2018-04-13,9265.0,9425.0,9080.0,9335.0,12873.0
2018-04-16,9400.0,9465.0,9375.0,9405.0,190371.0
2018-04-17,9430.0,9430.0,9290.0,9375.0,206878.0
2018-04-18,9450.0,9455.0,9210.0,9210.0,226229.0
2018-04-19,9195.0,9205.0,8830.0,8905.0,320040.0
2018-04-20,8950.0,9040.0,8735.0,8950.0,227026.0
2018-04-23,8930.0,8930.0,8570.0,8635.0,218703.0
2018-04-24,8670.0,8740.0,8395.0,8400.0,214386.0
2018-04-25,8345.0,8495.0,8145.0,8340.0,284312.0
2018-04-26,8415.0,8615.0,8415.0,8615.0,236013.0
2018-04-27,8695.0,8825.0,8615.0,8825.0,385767.0
2018-04-30,8810.0,8810.0,8425.0,8505.0,1643648.0
2018-05-02,8300.0,8575.0,8205.0,8305.0,952794.0
2018-05-03,8315.0,8415.0,8160.0,8160.0,207269.0
2018-05-04,8155.0,8185.0,7775.0,7775.0,211898.0
2018-05-08,7930.0,8005.0,7040.0,7040.0,280926.0
2018-05-09,7095.0,7705.0,6770.0,7670.0,312548.0
2018-05-10,7665.0,7700.0,7430.0,7600.0,229656.0
2018-05-11,7635.0,7890.0,7635.0,7795.0,213431.0
2018-05-14,7795.0,7795.0,7435.0,7455.0,217869.0
2018-05-15,7625.0,7680.0,7460.0,7630.0,223846.0
2018-05-16,7605.0,7735.0,7490.0,7570.0,216920.0
2018-05-17,7610.0,7745.0,7515.0,7745.0,209319.0
2018-05-18,7795.0,7980.0,7740.0,7980.0,210894.0
2018-05-21,7985.0,8115.0,7900.0,7950.0,221026.0
2018-05-23,7990.0,7990.0,7800.0,7915.0,241463.0
2018-05-24,7995.0,8150.0,7995.0,8125.0,220486.0
2018-05-25,7995.0,8280.0,7995.0,8280.0,204602.0
2018-05-28,8240.0,8360.0,8180.0,8350.0,203108.0
2018-05-29,8275.0,8475.0,7965.0,7980.0,205605.0
2018-05-30,8120.0,8235.0,7815.0,8235.0,207882.0
2018-05-31,8335.0,8335.0,8090.0,8310.0,216430.0
2018-06-01,8260.0,8425.0,8260.0,8325.0,211320.0
2018-06-04,8305.0,8365.0,8015.0,8090.0,208408.0
2018-06-05,8150.0,8230.0,7970.0,8100.0,211142.0
2018-06-07,8150.0,8355.0,8100.0,8355.0,206598.0
2018-06-08,8300.0,8305.0,8060.0,8080.0,209702.0
2018-06-11,8100.0,8200.0,8040.0,8095.0,204952.0
