Datetime,Open,High,Low,Close,Volume
2018-07-24,21525.0,21586.0,21425.0,21562.0,317.0
2018-07-25,21643.0,21643.0,21482.0,21510.0,511.0
2018-07-26,21577.0,21681.0,21577.0,21619.0,5.0
2018-07-27,21662.0,21662.0,21648.0,21648.0,5.0
2018-07-30,21648.0,21648.0,21643.0,21643.0,5.0
2018-07-31,21633.0,21704.0,21624.0,21704.0,508.0
2018-08-01,21785.0,21846.0,21785.0,21808.0,26.0
2018-08-02,21700.0,21733.0,21354.0,21411.0,40.0
2018-08-03,21515.0,21633.0,21515.0,21633.0,5.0
2018-08-06,21714.0,21718.0,21600.0,21600.0,5.0
2018-08-07,21638.0,21752.0,21638.0,21752.0,5.0
2018-08-08,21818.0,21818.0,21752.0,21752.0,5.0
2018-08-09,21761.0,21766.0,21709.0,21737.0,5.0
2018-08-10,21704.0,21704.0,21558.0,21586.0,106.0
2018-08-13,21364.0,21440.0,21137.0,21179.0,1265.0
2018-08-14,21312.0,21383.0,21293.0,21383.0,6.0
2018-08-16,21033.0,21198.0,20981.0,21179.0,155.0
2018-08-17,21213.0,21269.0,21213.0,21246.0,5.0
2018-08-20,21345.0,21345.0,21250.0,21250.0,5.0
2018-08-21,21265.0,21430.0,21265.0,21430.0,1006.0
2018-08-22,21473.0,21534.0,21468.0,21506.0,8.0
2018-08-23,21548.0,21562.0,21444.0,21562.0,44005.0
2018-08-24,21515.0,21662.0,21463.0,21662.0,107.0
2018-08-27,21747.0,21747.0,21695.0,21742.0,7.0
2018-08-28,21770.0,21804.0,21671.0,21671.0,42.0
2018-08-29,21813.0,21832.0,21785.0,21818.0,7.0
2018-08-30,21841.0,21917.0,21808.0,21846.0,7.0
2018-08-31,21752.0,21964.0,21752.0,21964.0,65.0
2018-09-03,21889.0,21889.0,21780.0,21808.0,6.0
2018-09-04,21832.0,21898.0,21808.0,21898.0,5.0
2018-09-05,21841.0,21874.0,21671.0,21671.0,10.0
2018-09-06,21539.0,21638.0,21529.0,21529.0,46.0
2018-09-07,21520.0,21553.0,21421.0,21553.0,6.0
2018-09-10,21567.0,21619.0,21567.0,21614.0,5.0
2018-09-11,21652.0,21652.0,21562.0,21581.0,5.0
2018-09-12,21619.0,21619.0,21482.0,21572.0,5.0
2018-09-13,21614.0,21638.0,21600.0,21638.0,5.0
2018-09-14,21818.0,21908.0,21818.0,21908.0,7.0
2018-09-17,21851.0,21851.0,21737.0,21770.0,5.0
2018-09-18,21657.0,21827.0,21657.0,21822.0,59955.0
2018-09-19,21926.0,21926.0,21756.0,21804.0,9348.0
2018-09-20,21832.0,22054.0,21808.0,21908.0,27932.0
2018-09-21,22064.0,22082.0,21988.0,22054.0,44302.0
2018-09-27,22120.0,22295.0,22059.0,22253.0,16586.0
2018-09-28,22272.0,22272.0,22177.0,22196.0,30341.0
2018-10-01,22262.0,22262.0,22097.0,22149.0,35626.0
2018-10-02,22168.0,22168.0,21874.0,21874.0,4142.0
2018-10-04,21841.0,21841.0,21510.0,21544.0,1703.0
2018-10-05,21440.0,22607.0,21388.0,21520.0,468713.0
2018-10-08,21331.0,21458.0,21321.0,21326.0,200045.0
2018-10-10,21388.0,21388.0,21066.0,21109.0,3346.0
2018-10-11,20641.0,20707.0,20191.0,20191.0,2852.0
2018-10-12,20310.0,20546.0,20262.0,20480.0,299218.0
2018-10-15,20347.0,20456.0,20305.0,20310.0,9156.0
2018-10-16,20480.0,20480.0,20225.0,20295.0,1081.0
2018-10-17,20546.0,20584.0,20456.0,20560.0,29.0
2018-10-18,20480.0,20480.0,20329.0,20329.0,6.0
2018-10-19,20191.0,20414.0,20059.0,20414.0,22.0
2018-10-22,20196.0,20485.0,20196.0,20485.0,177654.0
2018-10-23,20371.0,20371.0,19860.0,19889.0,4045.0
2018-10-24,20059.0,20059.0,19846.0,19875.0,203233.0
2018-10-25,19421.0,19572.0,19284.0,19553.0,9380.0
2018-10-26,19544.0,19544.0,19109.0,19222.0,13401.0
2018-10-29,19331.0,19331.0,18939.0,18939.0,695233.0
2018-10-30,18806.0,19227.0,18806.0,19085.0,1317680.0
2018-10-31,19123.0,19236.0,18995.0,19236.0,13934.0
2018-11-01,19303.0,19397.0,19118.0,19137.0,67.0
2018-11-02,19449.0,19860.0,19449.0,19860.0,276.0
2018-11-05,19662.0,19667.0,19444.0,19596.0,786.0
2018-11-06,19723.0,19790.0,19704.0,19742.0,65.0
2018-11-07,19813.0,19950.0,19676.0,19676.0,16.0
2018-11-08,20050.0,20050.0,19889.0,19889.0,23.0
2018-11-09,19875.0,19875.0,19766.0,19766.0,5.0
2018-11-12,19615.0,19747.0,19615.0,19686.0,13.0
2018-11-13,19444.0,19615.0,19369.0,19615.0,7.0
2018-11-14,19582.0,19652.0,19478.0,19478.0,42.0
2018-11-15,19634.0,19771.0,19548.0,19771.0,17.0
