Date,Close,Open,High,Low,Volume,Change
2010-01-04,62.78,62.63,63.07,62.31,5840000.0,0.0054
2010-01-05,62.3,62.66,62.75,62.19,7100000.0,-0.0076
2010-01-06,61.45,62.2,62.41,61.06,10550000.0,-0.013600000000000001
2010-01-07,61.9,61.25,62.34,61.11,7520000.0,0.0073
2010-01-08,61.84,62.27,62.41,61.6,6110000.0,-0.001
2010-01-11,62.32,62.02,62.43,61.85,6080000.0,0.0078000000000000005
2010-01-12,62.66,62.03,62.66,62.0,7200000.0,0.0055000000000000005
2010-01-13,62.59,62.86,63.29,62.56,8620000.0,-0.0011
2010-01-14,62.65,62.56,62.73,62.09,7100000.0,0.001
2010-01-15,62.28,62.67,62.98,62.05,9430000.0,-0.0059
2010-01-19,63.48,62.9,63.82,62.77,8550000.0,0.019299999999999998
2010-01-20,63.01,63.49,63.6,62.75,7000000.0,-0.0074
2010-01-21,63.2,62.97,63.6,62.8,11730000.0,0.003
2010-01-22,63.39,63.23,64.78,62.81,15650000.0,0.003
2010-01-25,63.09,63.34,63.6,62.92,6380000.0,-0.004699999999999999
2010-01-26,63.81,62.75,64.0,62.75,9300000.0,0.011399999999999999
2010-01-27,63.73,63.67,64.0,63.3,8080000.0,-0.0013
2010-01-28,62.83,63.85,63.87,62.75,8560000.0,-0.0141
2010-01-29,62.43,62.82,63.22,62.39,7590000.0,-0.0064
2010-02-01,63.89,62.83,63.97,62.83,8070000.0,0.023399999999999997
2010-02-02,64.03,63.87,64.05,63.35,7270000.0,0.0022
2010-02-03,65.21,64.63,65.75,64.61,13700000.0,0.0184
2010-02-04,64.06,65.19,65.27,64.02,10870000.0,-0.0176
2010-02-05,63.37,64.07,64.34,62.63,14010000.0,-0.0108
2010-02-08,62.92,63.48,63.8,62.92,6980000.0,-0.0070999999999999995
2010-02-09,63.57,63.15,63.85,62.77,10130000.0,0.0103
2010-02-10,63.25,63.53,63.83,62.97,6160000.0,-0.005
2010-02-11,63.79,63.25,63.84,62.54,7480000.0,0.0085
2010-02-12,63.59,63.21,63.89,63.19,6750000.0,-0.0031
2010-02-16,64.01,63.5,64.18,63.28,7090000.0,0.0066
2010-02-17,64.26,64.21,64.35,63.77,5420000.0,0.0039000000000000003
2010-02-18,64.48,64.11,64.62,64.0,4980000.0,0.0034000000000000002
2010-02-19,64.74,64.46,64.89,64.3,5620000.0,0.004
2010-02-22,64.77,64.93,64.93,64.63,4270000.0,0.0005
2010-02-23,64.87,64.78,65.05,64.7,7490000.0,0.0015
2010-02-24,65.26,64.96,65.55,64.77,7580000.0,0.006
2010-02-25,64.38,64.29,64.64,63.76,8500000.0,-0.013500000000000002
2010-02-26,63.85,64.46,64.73,63.85,8289999.999999999,-0.008199999999999999
2010-03-01,63.98,63.98,64.14,63.67,6320000.0,0.002
2010-03-02,64.07,64.42,64.42,63.91,6270000.0,0.0014000000000000002
2010-03-03,63.63,64.25,64.34,63.45,6400000.0,-0.0069
2010-03-04,63.43,63.79,63.79,63.3,5960000.0,-0.0031
2010-03-05,63.67,63.72,63.76,63.25,8150000.0,0.0038
2010-03-08,65.12,64.41,65.54,64.23,11830000.0,0.022799999999999997
2010-03-09,65.1,64.99,65.5,64.84,7130000.0,-0.0003
2010-03-10,64.94,65.02,65.24,64.73,6900000.0,-0.0025
2010-03-11,65.21,64.8,65.21,64.67,4350000.0,0.0042
2010-03-12,65.53,65.46,65.98,65.36,6600000.0,0.0049
2010-03-15,65.93,65.7,66.19,65.69,5720000.0,0.0060999999999999995
2010-03-16,66.07,66.22,66.24,65.8,5710000.0,0.0021
2010-03-17,66.38,66.23,66.44,65.87,4820000.0,0.004699999999999999
2010-03-18,66.68,66.47,66.74,66.36,6210000.0,0.0045000000000000005
2010-03-19,66.53,66.89,66.91,66.0,10230000.0,-0.0022
2010-03-22,67.01,66.07,67.25,65.9,7390000.0,0.0072
2010-03-23,67.35,67.14,67.35,66.83,8060000.000000001,0.0051
2010-03-24,66.8,66.99,67.19,66.58,6360000.0,-0.008199999999999999
2010-03-25,66.9,67.13,67.44,66.84,5710000.0,0.0015
2010-03-26,67.26,67.09,67.45,66.93,5980000.0,0.0054
2010-03-29,67.07,67.46,67.48,66.59,6520000.0,-0.0028000000000000004
