Datetime,Open,High,Low,Close,Volume
2019-01-01,83.88,94.88,83.23,90.79,164228.85754
2019-01-02,90.83,94.21,88.71,92.81,136925.04186
2019-01-03,92.81,94.86,85.32,87.02,110140.77058999997
2019-01-04,87.02,88.83,83.61,86.13,90194.19610999998
2019-01-05,86.07,90.35,84.75,86.91,86154.38873000002
2019-01-06,86.92,89.79,85.35,88.3,77679.99821000002
2019-01-07,88.32,88.84,86.1,86.78,51877.886849999995
2019-01-08,86.78,87.4,84.75,86.0,51556.22505
2019-01-09,86.06,86.65,84.87,85.6,35946.0388
2019-01-10,85.6,88.5,72.82,73.99,129158.51544000002
2019-01-11,74.0,74.3,71.3,73.33,63486.611869999986
2019-01-12,73.25,84.01,73.1,81.0,251660.75334999996
2019-01-13,81.0,86.43,72.84,76.09,223182.87542000003
2019-01-14,76.09,81.13,74.59,78.91,134291.91877000005
2019-01-15,78.92,80.44,74.76,75.96,87446.69338000001
2019-01-16,75.97,78.04,75.18,76.89,68014.67011
2019-01-17,76.89,77.16,74.8,76.75,41120.48711999999
2019-01-18,76.74,76.74,74.07,74.88,42222.36171
2019-01-19,74.89,77.2,74.63,76.22,30492.456919999993
2019-01-20,76.21,76.21,72.85,74.14,30746.052000000003
2019-01-21,74.16,76.42,73.25,73.99,31325.5052
2019-01-22,74.0,76.17,71.78,75.23,38916.69825
2019-01-23,75.23,76.1,74.19,74.9,33949.54477
2019-01-24,74.9,74.95,73.36,73.89,20782.43725
2019-01-25,73.91,75.75,72.81,73.94,31464.938070000004
2019-01-26,73.97,75.28,73.0,73.24,21891.079640000007
2019-01-27,73.24,73.53,70.22,71.14,23153.831729999998
2019-01-28,71.17,71.17,61.65,64.34,67551.75925999999
2019-01-29,64.36,65.43,61.08,63.0,50258.04319
2019-01-30,62.99,67.86,62.49,65.85,52326.31051
2019-01-31,65.81,67.16,62.5,63.49,39890.52684
2019-02-01,63.52,64.99,62.8,63.85,23804.14575
2019-02-02,63.88,65.97,63.66,65.49,23348.20962000001
2019-02-03,65.49,65.65,63.33,63.78,21763.96561
2019-02-04,63.75,64.29,62.81,63.06,19207.63024
2019-02-05,63.05,63.13,60.66,61.0,23122.00781
2019-02-06,61.0,69.88,57.38,62.68,181149.71188999998
2019-02-07,62.67,66.19,60.88,62.49,106120.09629999998
2019-02-08,62.46,69.57,61.25,66.99,91079.41596999997
2019-02-09,67.1,67.49,65.07,65.89,42552.17754999999
2019-02-10,65.87,66.52,62.99,66.52,35176.02629
2019-02-11,66.47,66.75,64.49,64.72,25892.591780000002
2019-02-12,64.73,66.93,63.84,65.42,47417.658500000005
2019-02-13,65.38,66.01,64.0,64.32,27474.37841
2019-02-14,64.31,64.55,62.28,62.36,23164.822860000004
2019-02-15,62.27,63.43,61.67,62.21,23520.241680000006
2019-02-16,62.25,63.04,61.8,62.18,22680.279300000002
2019-02-17,62.22,63.71,61.73,62.72,27748.18874
2019-02-18,62.69,71.0,62.68,67.5,142548.18384999997
2019-02-19,67.43,70.83,66.55,66.58,105435.13872
2019-02-20,66.56,67.69,64.67,66.93,59805.008630000004
2019-02-21,66.92,67.49,64.51,65.11,36573.9118
2019-02-22,65.11,65.98,64.33,65.2,34730.79004999999
2019-02-23,65.26,68.71,64.66,68.71,47760.33218
2019-02-24,68.7,69.66,59.55,60.3,110498.87238
2019-02-25,60.35,71.89,60.18,67.52,188364.16723
2019-02-26,67.5,75.38,67.42,73.78,263788.11344000004
2019-02-27,73.74,73.81,65.7,67.31,122054.17694
2019-02-28,67.3,68.81,65.75,66.66,64843.36135
2019-03-01,66.66,68.13,65.92,66.43,36750.968160000004
2019-03-02,66.41,66.87,65.34,66.13,21263.282649999997
2019-03-03,66.14,66.54,64.4,64.76,18584.181889999996
2019-03-04,64.77,64.97,61.9,62.72,30184.026949999996
2019-03-05,62.72,67.27,62.67,66.53,72636.04176000001
2019-03-06,66.49,67.0,65.33,66.18,33868.76551
