Datetime,Open,High,Low,Close,Volume
2020-01-17,21.9,83.91,21.89,22.24,10164.596129999998
2020-01-18,22.5,24.52,21.68,22.22,8444.11221
2020-01-19,22.25,29.28,20.26,24.03,40957.50706
2020-01-20,23.83,25.49,23.64,24.55,37980.592619999996
2020-01-21,24.58,25.73,23.16,23.75,31945.385000000002
2020-01-22,23.73,25.0,23.17,24.44,17696.52574
2020-01-23,24.41,27.67,24.38,26.61,79724.61366
2020-01-24,26.77,28.32,25.6,26.34,70912.6146
2020-01-25,26.39,28.06,26.39,27.31,49018.24600000001
2020-01-26,27.32,27.75,24.65,24.72,50546.941190000005
2020-01-27,24.72,24.87,21.46,22.07,162694.36953999999
2020-01-28,22.1,22.11,18.24,18.46,259494.14262999996
2020-01-29,18.46,19.4,18.16,19.06,246289.84879000002
2020-01-30,19.05,19.71,17.25,17.82,291940.94896999997
2020-01-31,17.87,19.45,17.64,18.84,157953.91109999997
2020-02-01,18.77,19.05,18.05,18.52,105859.16131000001
2020-02-02,18.64,19.73,18.14,19.0,187733.19539999997
2020-02-03,18.94,19.7,17.4,19.42,185945.30844000002
2020-02-04,19.41,20.65,19.0,20.12,126619.97103
2020-02-05,20.12,20.31,16.12,16.86,277655.87539999996
2020-02-06,16.81,17.28,15.52,16.25,265588.85449999996
2020-02-07,16.25,16.6,15.68,16.04,163703.7506
2020-02-08,16.04,16.79,15.3,15.58,148429.49354999998
2020-02-09,15.51,15.58,14.28,14.43,167707.18307
2020-02-10,14.41,16.1,14.19,15.74,213046.62385000003
2020-02-11,15.75,16.44,13.45,13.81,350016.67412000004
2020-02-12,13.72,13.9,12.8,13.48,234142.80780999997
2020-02-13,13.48,14.59,12.71,14.14,274342.75776999997
2020-02-14,14.12,14.68,13.56,13.7,123268.25577000003
2020-02-15,13.67,15.84,13.56,15.52,132894.4557
2020-02-16,15.51,16.43,14.83,15.47,178892.15853
2020-02-17,15.48,17.64,15.35,16.35,230506.3049
2020-02-18,16.35,17.0,13.61,14.13,212597.22187
2020-02-19,14.15,16.75,13.5,16.54,206833.67161
2020-02-20,16.54,17.2,15.6,16.6,307697.42824000004
2020-02-21,16.55,16.75,15.77,16.28,140813.41045999998
2020-02-22,16.24,16.88,16.08,16.4,94587.54260999999
2020-02-23,16.4,16.4,14.63,14.86,142793.45320000002
2020-02-24,14.9,17.13,14.66,16.34,286212.6779
2020-02-25,16.35,18.48,16.29,18.23,287865.12875
2020-02-26,18.23,22.5,17.9,21.4,354902.3776499999
2020-02-27,21.41,23.35,19.97,21.22,225019.71490999998
2020-02-28,21.19,24.0,20.52,21.94,293950.88301
2020-02-29,21.98,23.39,21.3,23.39,120391.82769
2020-03-01,23.4,24.59,21.64,23.48,228800.27888999996
2020-03-02,23.48,23.79,19.87,20.3,183790.78889999996
2020-03-03,20.28,22.0,20.16,21.37,167254.78755
2020-03-04,21.33,22.0,20.71,21.43,94361.62079000002
2020-03-05,21.39,21.39,18.4,19.08,271614.9859
2020-03-06,19.12,19.55,18.4,18.6,199605.60223000002
2020-03-07,18.57,20.44,18.17,20.14,175253.73642
2020-03-08,20.2,26.25,20.16,26.04,354760.99500999996
2020-03-09,26.08,30.0,24.8,27.17,334741.01943000004
2020-03-10,27.12,29.35,24.95,27.66,321028.42143
2020-03-11,27.64,30.89,26.7,27.14,300000.0235700001
2020-03-12,27.2,62.0,26.9,58.62,503587.63666
2020-03-13,58.03,94.7,28.51,32.21,709044.6613300001
2020-03-14,32.34,41.87,31.24,39.79,396631.92058000003
2020-03-15,39.79,41.0,24.1,31.0,561262.7829700001
2020-03-16,31.1,47.68,30.32,36.0,786024.8797900002
2020-03-17,36.0,37.95,25.16,28.41,804216.07216
2020-03-18,28.63,33.73,26.97,27.28,985429.4621599999
2020-03-19,27.28,29.41,14.71,17.04,2042711.7466600002
2020-03-20,17.04,20.4,11.17,15.68,3535357.3869700003
2020-03-21,15.73,18.29,13.76,15.85,2492710.3347699996
2020-03-22,15.89,19.2,14.03,18.69,2544839.2755699996
2020-03-23,18.71,19.5,11.55,12.36,3677797.8818900003
2020-03-24,12.36,12.87,10.33,10.88,4868648.41019
2020-03-25,10.88,12.4,9.68,11.2,4857152.667200001
2020-03-26,11.2,12.0,10.64,10.82,2979519.8854400003
2020-03-27,10.83,12.94,10.27,12.7,3006208.67579
2020-03-28,12.7,14.62,12.66,13.31,3944198.4744599997
2020-03-29,13.32,15.68,13.09,15.58,1967853.3598199994
2020-03-30,15.6,15.62,10.18,11.56,2913943.94853
2020-03-31,11.56,11.6,10.86,10.97,640736.43698
