Datetime,Open,High,Low,Close,Volume
2020-05-14,10.36,11.2,9.5,10.28,10834.700000000003
2020-05-15,10.18,10.4,8.86,9.03,14389.310000000001
2020-05-16,9.06,9.72,8.99,9.32,89590.02
2020-05-17,9.26,10.31,9.2,9.83,106599.69
2020-05-18,9.88,10.4,9.4,9.94,286764.28
2020-05-19,9.93,10.38,9.45,10.17,311143.2499999999
2020-05-20,10.18,10.29,9.36,9.63,183476.08000000005
2020-05-21,9.62,9.74,8.26,8.73,643060.6499999999
2020-05-22,8.72,9.15,8.49,8.97,391173.02
2020-05-23,8.99,9.24,8.82,8.99,158422.08000000002
2020-05-24,8.99,9.22,8.07,8.12,361213.9900000001
2020-05-25,8.12,8.61,7.96,8.48,370592.51
2020-05-26,8.49,8.68,8.1,8.36,319221.45000000007
2020-05-27,8.38,9.1,8.32,9.05,409348.03
2020-05-28,9.06,9.82,8.9,9.72,567378.8499999999
2020-05-29,9.73,9.76,9.25,9.45,340785.62000000005
2020-05-30,9.44,10.08,9.25,9.96,437676.37999999995
2020-05-31,9.98,9.98,9.35,9.48,336313.75
2020-06-01,9.47,11.49,9.43,11.08,986342.73
2020-06-02,11.09,11.13,9.15,9.63,1264682.4100000004
2020-06-03,9.6,9.92,9.38,9.83,390061.24999999994
2020-06-04,9.89,10.31,9.45,10.12,948942.9199999999
2020-06-05,10.15,10.27,9.74,9.8,814495.21
2020-06-06,9.78,10.01,9.63,9.9,322755.07000000007
2020-06-07,9.87,10.16,9.3,10.02,929355.22
2020-06-08,10.05,10.14,9.8,10.08,304820.6
2020-06-09,10.08,10.28,9.65,10.03,539270.48
2020-06-10,10.07,10.53,9.92,10.31,401797.01
2020-06-11,10.31,10.46,8.58,9.01,1400155.72
2020-06-12,9.02,9.54,8.95,9.37,531158.6299999999
2020-06-13,9.39,9.43,9.15,9.38,212754.89000000004
2020-06-14,9.39,9.4,8.95,9.12,93376.01999999999
2020-06-15,9.12,9.46,8.32,9.27,244028.73
2020-06-16,9.31,9.65,9.22,9.51,184785.06999999995
2020-06-17,9.53,9.61,8.88,9.31,272361.97
2020-06-18,9.31,9.35,8.96,9.15,134287.35
2020-06-19,9.15,9.25,8.88,9.0,147012.69999999998
2020-06-20,9.02,9.17,8.75,9.11,57120.109999999986
2020-06-21,9.11,9.22,8.97,9.0,57029.53999999999
2020-06-22,8.98,9.96,8.96,9.79,124340.60999999999
2020-06-23,9.8,9.83,9.56,9.62,77318.65999999999
2020-06-24,9.63,9.73,8.81,8.98,196637.47000000003
2020-06-25,8.95,9.02,8.41,8.86,134893.84
2020-06-26,8.87,8.94,8.38,8.65,125930.67999999998
2020-06-27,8.67,8.75,7.9,8.32,169808.43999999997
2020-06-28,8.32,8.7,8.2,8.57,73543.83000000002
2020-06-29,8.53,8.83,8.33,8.72,77388.12
2020-06-30,8.73,8.74,8.41,8.6,80226.97
2020-07-01,8.58,8.93,8.49,8.78,102773.52
2020-07-02,8.81,8.85,8.12,8.47,127251.59
2020-07-03,8.45,8.54,8.34,8.39,72198.23000000001
2020-07-04,8.4,8.72,8.36,8.59,55945.73999999999
2020-07-05,8.6,8.61,8.01,8.45,101738.73999999998
2020-07-06,8.43,9.17,8.38,9.06,109043.78
2020-07-07,9.04,9.17,8.66,8.79,101756.08
2020-07-08,8.8,9.28,8.75,9.18,137365.49000000002
2020-07-09,9.18,9.2,8.59,8.74,95004.6
2020-07-10,8.76,8.92,8.52,8.84,68412.18
2020-07-11,8.87,8.89,8.63,8.75,21774.949999999997
2020-07-12,8.76,9.0,8.56,8.88,68156.72
2020-07-13,8.9,9.01,8.67,8.75,91862.32000000002
2020-07-14,8.74,8.83,8.48,8.8,66296.35000000002
2020-07-15,8.8,8.81,8.57,8.68,48119.79
2020-07-16,8.67,8.73,8.26,8.46,118024.09000000001
2020-07-17,8.46,8.57,8.37,8.5,50882.439999999995
2020-07-18,8.49,8.64,8.42,8.54,49042.76999999999
2020-07-19,8.57,8.69,8.38,8.63,46162.18
2020-07-20,8.64,8.66,8.45,8.5,52897.740000000005
2020-07-21,8.5,9.15,8.5,9.02,141918.09000000003
2020-07-22,9.03,9.36,8.77,9.34,110674.34999999998
2020-07-23,9.34,9.67,9.15,9.49,95165.98000000001
2020-07-24,9.51,9.6,9.2,9.34,121188.49000000002
2020-07-25,9.35,9.75,9.31,9.65,112019.26999999999
2020-07-26,9.63,10.95,9.57,10.16,280082.02999999997
2020-07-27,10.17,14.01,10.17,12.81,898665.06
2020-07-28,12.81,13.5,11.5,12.29,711530.43
2020-07-29,12.34,13.09,12.14,12.62,381395.41000000003
2020-07-30,12.6,12.75,12.06,12.56,242766.73
2020-07-31,12.61,13.22,12.34,13.0,513373.20000000007
2020-08-01,13.04,14.02,12.77,13.86,465632.14
2020-08-02,13.84,14.59,10.87,11.99,590003.0200000001
2020-08-03,11.99,12.74,11.75,12.23,146164.38999999996
2020-08-04,12.24,12.63,11.88,12.06,107094.20000000001
2020-08-05,12.07,13.31,11.97,13.21,216316.65000000005
2020-08-06,13.21,13.64,12.79,13.31,216391.18999999997
2020-08-07,13.26,13.6,12.31,12.82,129691.91
2020-08-08,12.85,13.35,12.7,13.18,56816.86
2020-08-09,13.26,13.32,12.66,13.1,96286.09000000001
2020-08-10,13.1,14.06,12.46,13.52,195927.00000000006
2020-08-11,13.4,13.67,11.82,12.36,134096.67999999996
2020-08-12,12.4,12.68,11.81,12.55,73576.12
2020-08-13,12.6,13.046,12.018,12.9,109374.50999999998
2020-08-14,13.0,13.2,12.767,12.98,77615.06
2020-08-15,12.98,13.45,12.766,13.08,92207.1
2020-08-16,13.156,13.349,12.825,13.2,138758.53
2020-08-17,13.2,14.237,12.94,13.767,215461.61000000004
2020-08-18,13.88,14.042,12.91,13.233,137385.19
2020-08-19,13.293,13.41,12.314,12.66,119835.7
2020-08-20,12.66,12.932,12.564,12.798,120895.55999999998
2020-08-21,12.881,12.913,11.944,12.128,77883.48
2020-08-22,12.12,12.486,11.705,12.426,30045.320000000007
2020-08-23,12.357,12.5,11.99,12.421,46074.450000000004
2020-08-24,12.348,12.79,12.215,12.56,61552.35
2020-08-25,12.56,12.625,11.111,11.522,134187.27000000002
2020-08-26,11.557,11.964,11.327,11.768,122920.57
2020-08-27,11.768,12.143,11.05,11.411,142434.28000000003
2020-08-28,11.472,12.17,11.312,11.9,102129.28000000004
2020-08-29,11.962,12.013,11.673,11.846,27795.45
2020-08-30,11.82,12.245,11.712,12.245,18282.969999999998
2020-08-31,12.244,12.355,11.979,12.027,18851.62
2020-09-01,12.081,12.889,11.853,12.61,70936.82
2020-09-02,12.61,12.68,11.24,11.642,88392.49999999999
2020-09-03,11.636,11.7,9.037,9.53,152453.99
2020-09-04,9.513,10.23,9.077,10.04,118777.71
2020-09-05,10.062,10.139,9.0,9.45,143493.18999999997
2020-09-06,9.512,9.82,9.183,9.68,74599.15000000002
2020-09-07,9.675,9.87,9.087,9.85,59133.729999999996
2020-09-08,9.853,9.91,9.03,9.424,53780.60000000001
2020-09-09,9.387,9.83,2.0,9.601,71858.46000000002
2020-09-10,9.608,10.069,9.58,9.787,36024.9
2020-09-11,9.797,9.89,9.579,9.782,14381.179999999998
2020-09-12,9.872,10.044,9.649,9.977,25756.300000000003
2020-09-13,9.96,10.214,9.517,9.745,37980.58
2020-09-14,9.699,10.517,9.558,10.385,34362.67
2020-09-15,10.385,10.929,10.259,10.599,66873.81999999999
2020-09-16,10.599,11.188,10.325,10.92,131796.38
2020-09-17,10.83,11.057,10.54,10.94,29781.099999999995
2020-09-18,10.947,11.071,10.635,10.841,55554.810000000005
2020-09-19,10.85,11.315,10.78,11.109,38122.82
2020-09-20,11.18,11.18,10.5,10.81,41140.850000000006
2020-09-21,10.874,10.977,9.66,9.888,41302.70000000001
2020-09-22,9.821,10.22,9.75,10.059,32460.000000000004
2020-09-23,10.003,10.125,9.379,9.559,28686.73
2020-09-24,9.505,10.591,9.49,10.523,36002.32
2020-09-25,10.518,10.55,10.132,10.42,31585.720000000005
2020-09-26,10.322,10.65,10.246,10.443,31581.389999999996
2020-09-27,10.447,10.641,10.206,10.491,29406.87
2020-09-28,10.567,11.006,10.249,10.349,43087.01999999999
2020-09-29,10.404,10.755,10.24,10.703,20497.199999999997
2020-09-30,10.703,10.742,10.303,10.483,22275.2
2020-10-01,10.549,10.85,9.855,10.2,44779.14000000001
2020-10-02,10.138,10.33,9.709,10.005,43673.34000000001
2020-10-03,10.006,10.128,9.921,10.004,6765.909999999999
2020-10-04,10.066,10.344,9.958,10.292,9509.1
2020-10-05,10.292,10.53,10.217,10.476,14328.049999999997
2020-10-06,10.54,10.6,10.0,10.163,23944.95
2020-10-07,10.191,10.323,10.08,10.283,9153.250000000002
