Datetime,Open,High,Low,Close,Volume
2019-12-20,5.94,5.94,5.88,5.922,10679.79
2019-12-21,5.922,5.95,5.922,5.927,27.919999999999998
2019-12-22,5.927,5.95,5.927,5.95,58.5
2019-12-23,5.95,5.961,5.92,5.961,6471.5
2019-12-24,5.959,5.961,5.929,5.937,735.3699999999999
2019-12-25,5.937,5.937,5.936,5.937,50.51
2019-12-26,5.937,5.944,5.926,5.944,141.41
2019-12-27,5.944,5.944,5.928,5.928,57.8
2019-12-28,5.928,5.937,5.928,5.937,22.62
2019-12-29,5.937,5.937,5.937,5.937,15.95
2019-12-30,5.937,5.962,5.934,5.934,134.13
2019-12-31,5.934,5.938,5.934,5.937,114.79
2020-01-01,5.937,5.96,5.937,5.96,116.78
2020-01-02,5.96,5.96,5.96,5.96,0.0
2020-01-03,5.96,5.982,5.96,5.981,16958.93
2020-01-04,5.981,5.981,5.981,5.981,3127.94
2020-01-05,5.981,5.981,5.956,5.956,881.44
2020-01-06,5.956,5.984,5.956,5.984,181.67000000000002
2020-01-07,5.984,5.986,5.964,5.964,111.66999999999999
2020-01-08,5.964,5.992,5.9,5.916,2821.5699999999997
2020-01-09,5.916,5.916,5.867,5.871,812.5500000000001
2020-01-10,5.871,5.893,5.865,5.881,4368.57
2020-01-11,5.881,5.883,5.881,5.882,461.45000000000005
2020-01-12,5.882,5.882,5.881,5.881,335.22
2020-01-13,5.881,5.885,5.854,5.878,3490.4900000000002
2020-01-14,5.878,5.908,5.871,5.9,3871.81
2020-01-15,5.9,5.909,5.865,5.865,3018.9500000000003
2020-01-16,5.892,5.892,5.849,5.849,186.31
2020-01-17,5.849,5.91,5.849,5.893,790.52
2020-01-18,5.879,5.879,5.879,5.879,25.650000000000002
2020-01-19,5.879,5.903,5.879,5.886,874.09
2020-01-20,5.886,5.925,5.886,5.908,353.11
2020-01-21,5.909,5.947,5.909,5.934,3198.9500000000003
2020-01-22,5.934,5.95,5.926,5.929,285.78000000000003
2020-01-23,5.929,5.984,5.926,5.944,15764.700000000003
2020-01-24,5.944,5.958,5.944,5.957,199.57999999999998
2020-01-25,5.958,5.959,5.949,5.958,346.31000000000006
2020-01-26,5.958,5.958,5.958,5.958,0.0
2020-01-27,5.958,5.97,5.953,5.969,299.86000000000007
2020-01-28,5.969,5.97,5.946,5.952,3999.1600000000003
2020-01-29,5.95,5.983,5.945,5.98,6707.320000000001
2020-01-30,5.98,5.993,5.976,5.976,1819.6299999999999
2020-01-31,5.976,5.994,5.976,5.994,79.58000000000001
2020-02-01,5.994,6.001,5.982,5.993,62.31
2020-02-02,5.993,5.995,5.982,5.993,121.91
2020-02-03,5.993,6.006,5.98,5.993,522.22
2020-02-04,5.993,5.994,5.977,5.994,417.56
2020-02-05,5.994,6.001,5.968,5.979,19546.739999999998
2020-02-06,5.979,5.996,5.975,5.994,558.3599999999999
2020-02-07,5.994,6.046,5.975,6.02,7447.96
2020-02-08,6.02,6.029,6.005,6.029,697.74
2020-02-09,6.029,6.049,6.005,6.025,9772.11
2020-02-10,6.025,6.032,5.99,6.012,980.46
2020-02-11,6.012,6.037,6.004,6.004,1759.1999999999998
2020-02-12,6.004,6.057,6.004,6.057,3506.2199999999993
2020-02-13,6.057,6.102,5.964,6.055,528629.9000000001
2020-02-14,6.055,6.068,6.039,6.06,3917.66
2020-02-15,6.06,6.079,6.06,6.066,40335.93
2020-02-16,6.043,6.085,6.043,6.057,80678.54
2020-02-17,6.057,6.114,6.052,6.061,57624.54
