Datetime,Open,High,Low,Close,Volume
2020-02-12,501.2,2399.92,461.57,478.73,1191.3578500000003
2020-02-13,481.63,525.2,442.38,487.42,3173.1351899999995
2020-02-14,489.07,509.7,453.76,488.41,1871.42332
2020-02-15,487.49,495.0,237.38,285.16,18270.61874
2020-02-16,283.83,305.33,176.0,208.0,46264.33132999999
2020-02-17,208.0,211.32,158.0,201.01,56696.0056
2020-02-18,202.9,243.04,187.02,232.42,29237.39739
2020-02-19,231.07,236.97,96.5,132.22,48844.44928
2020-02-20,131.26,139.0,116.0,133.71,96660.53914000002
2020-02-21,134.0,152.0,127.5,138.26,93059.7457
2020-02-22,138.55,148.53,129.51,142.06,50910.716669999994
2020-02-23,142.06,172.79,140.55,170.46,70637.88420999999
2020-02-24,170.49,172.86,118.0,133.51,138771.94507999998
2020-02-25,133.28,143.94,110.0,127.67,170672.95424
2020-02-26,127.34,130.5,70.03,77.59,305982.78542999993
2020-02-27,77.64,89.94,66.93,82.12,253177.64403999998
2020-02-28,82.2,86.5,63.16,74.5,272848.02213
2020-02-29,74.5,83.19,72.94,72.94,155370.32076000003
2020-03-01,72.93,81.63,66.7,72.33,175366.83467
2020-03-02,72.51,87.42,70.79,84.36,148443.63153999994
2020-03-03,84.27,84.28,73.1,77.95,145397.74615999998
2020-03-04,77.85,80.5,71.0,75.23,96910.2153
2020-03-05,75.23,90.29,75.23,85.83,111233.12712000002
2020-03-06,85.83,91.64,81.92,90.46,88681.76276000001
2020-03-07,90.51,90.9,74.6,76.0,119829.00364000001
2020-03-08,75.9,75.9,37.5,40.11,460940.82047000004
2020-03-09,40.35,44.95,31.62,40.55,565866.4397599999
2020-03-10,40.54,43.98,37.4,40.63,349121.75456999993
2020-03-11,40.6,42.45,31.5,39.99,349616.23988
2020-03-12,39.99,40.64,3.24,3.82,2879763.92607
2020-03-13,3.75,5.25,1.5,4.75,6497167.098059998
2020-03-14,4.73,4.95,3.54,3.7,2583442.1191800004
2020-03-15,3.73,4.78,3.55,4.12,2684957.38817
2020-03-16,4.12,4.17,2.12,3.08,4587737.08629
2020-03-17,3.09,3.76,2.94,3.46,2750782.50921
2020-03-18,3.45,3.64,2.9,3.61,2726951.22374
2020-03-19,3.62,5.83,3.43,5.16,3015761.84891
2020-03-20,5.15,6.74,2.7,4.18,3801631.3428399996
2020-03-21,4.19,5.1,3.66,4.6,2996768.7508900003
2020-03-22,4.58,5.28,3.61,3.74,3513290.80925
2020-03-23,3.74,4.75,3.3,4.49,2609063.792240001
2020-03-24,4.49,4.98,4.34,4.81,1784275.0691000004
2020-03-25,4.81,4.97,4.08,4.51,1586892.01829
2020-03-26,4.52,4.79,4.32,4.7,1385106.5735899997
2020-03-27,4.7,4.99,3.65,3.91,1519689.3840099997
2020-03-28,3.91,4.1,3.32,3.9,2303935.6454900005
2020-03-29,3.9,3.95,3.34,3.42,992392.78394
2020-03-30,3.42,4.22,3.4,3.99,1081866.3316100002
2020-03-31,4.01,4.12,3.8,3.96,171833.6684
