Datetime,Open,High,Low,Close,Volume
2020-08-06,0.05363,0.12,0.05363,0.05822,14196664.699999997
2020-08-07,0.0579,0.07594,0.05758,0.07484,51256029.900000006
2020-08-08,0.07498,0.10469,0.07259,0.10281,85765140.7
2020-08-09,0.10266,0.132,0.09924,0.09972,137647520.2
2020-08-10,0.09971,0.11224,0.09228,0.10139,71520828.9
2020-08-11,0.10135,0.104,0.08473,0.09057,33683534.300000004
2020-08-12,0.09057,0.10158,0.08509,0.09839,30789539.700000003
2020-08-13,0.098,0.10499,0.09054,0.09225,27932826.5
2020-08-14,0.09232,0.1035,0.09036,0.09529,28493547.600000005
2020-08-15,0.09532,0.1015,0.09473,0.09888,18572581.5
2020-08-16,0.09888,0.10028,0.094,0.0986,14696458.099999996
2020-08-17,0.0986,0.09988,0.09448,0.0958,13555096.700000001
2020-08-18,0.0958,0.09625,0.08615,0.09022,14059910.2
2020-08-19,0.09013,0.09163,0.08037,0.08275,9354251.1
2020-08-20,0.08291,0.09132,0.08001,0.09131,6378378.300000001
2020-08-21,0.09131,0.09475,0.0835,0.09378,15472080.600000001
2020-08-22,0.0943,0.115,0.08578,0.0969,60642295.4
2020-08-23,0.0969,0.09736,0.089,0.09193,10986132.5
2020-08-24,0.09233,0.09665,0.09065,0.09199,10238315.5
2020-08-25,0.09166,0.09364,0.08209,0.08573,5353220.2
2020-08-26,0.08573,0.08716,0.08379,0.087,4642478.300000001
2020-08-27,0.087,0.09473,0.086,0.09473,19387648.099999998
2020-08-28,0.09446,0.1139,0.09121,0.10632,52442016.1
2020-08-29,0.10684,0.1217,0.10138,0.10941,37981212.30000001
2020-08-30,0.10941,0.11194,0.10169,0.10348,9883578.600000001
2020-08-31,0.10346,0.10624,0.0969,0.09846,10818736.999999998
2020-09-01,0.09852,0.10217,0.09628,0.10051,7376409.800000001
2020-09-02,0.10073,0.1055,0.0906,0.10036,11564068.699999997
2020-09-03,0.10032,0.10185,0.0805,0.08238,8153790.300000002
2020-09-04,0.08252,0.08993,0.0803,0.08763,6705266.800000001
2020-09-05,0.08764,0.08977,0.07092,0.07854,6214755.800000001
2020-09-06,0.07854,0.08075,0.0723,0.07837,12567162.600000001
2020-09-07,0.07854,0.08088,0.07,0.07699,5071878.6
2020-09-08,0.07696,0.0775,0.07057,0.07363,5247266.8
2020-09-09,0.07389,0.07946,0.07146,0.07754,6777459.8
2020-09-10,0.07759,0.08236,0.03,0.08219,9084716.300000003
2020-09-11,0.08219,0.08657,0.07998,0.0854,7450810.3
2020-09-12,0.08542,0.0855,0.0813,0.08481,5682555.3
2020-09-13,0.085,0.08598,0.0788,0.08174,6744127.999999999
2020-09-14,0.08174,0.08371,0.07925,0.08235,3120852.0
2020-09-15,0.08235,0.08379,0.07901,0.07925,3546889.1
2020-09-16,0.0791,0.08046,0.07624,0.07851,3472846.999999999
2020-09-17,0.07874,0.08163,0.07667,0.07987,2660757.9999999995
2020-09-18,0.08035,0.08333,0.07819,0.07885,3132929.8999999994
2020-09-19,0.07896,0.08112,0.0785,0.08094,2719256.2
2020-09-20,0.08082,0.08104,0.07718,0.07884,1973557.5
2020-09-21,0.07885,0.07928,0.06804,0.06996,5912389.9
2020-09-22,0.06996,0.07278,0.06658,0.07272,5030315.899999999
2020-09-23,0.07285,0.07968,0.06847,0.06882,16268489.700000003
2020-09-24,0.06895,0.07583,0.06798,0.07556,8449848.0
2020-09-25,0.07551,0.07778,0.0719,0.07648,7785483.0
2020-09-26,0.07649,0.08281,0.07629,0.07976,10663853.600000001
2020-09-27,0.08,0.0821,0.07578,0.07889,7577948.199999999
2020-09-28,0.07926,0.08175,0.07891,0.07966,6988559.9
2020-09-29,0.07962,0.0915,0.07945,0.08878,29496253.499999996
2020-09-30,0.0888,0.08881,0.08139,0.08434,11035884.7
2020-10-01,0.08402,0.08615,0.07279,0.07755,18203730.499999996
2020-10-02,0.07724,0.07779,0.0715,0.07407,7704523.800000001
2020-10-03,0.07408,0.07586,0.07394,0.0752,2070128.5999999999
2020-10-04,0.07492,0.07558,0.07427,0.07534,1884787.5
2020-10-05,0.0754,0.07757,0.07491,0.07632,3539763.5999999996
2020-10-06,0.07632,0.0769,0.06935,0.07019,10561995.199999997
2020-10-07,0.07001,0.07107,0.06886,0.07107,2925321.7999999993
2020-10-08,0.07109,0.0745,0.06919,0.07423,2647044.0999999996
2020-10-09,0.07421,0.08006,0.07187,0.07976,6590423.4
2020-10-10,0.07976,0.0846,0.07888,0.07999,4840618.9
2020-10-11,0.07996,0.08049,0.07642,0.07862,2256079.2
2020-10-12,0.07862,0.08126,0.0765,0.07887,5121591.7
2020-10-13,0.07886,0.07891,0.07628,0.07724,2467403.0
2020-10-14,0.07724,0.07778,0.07474,0.07582,2035379.5999999996
2020-10-15,0.07582,0.07786,0.07307,0.07463,2688256.0999999996
2020-10-16,0.07469,0.07507,0.07076,0.07165,2852959.4
2020-10-17,0.07147,0.07617,0.07113,0.07379,1645653.0999999996
2020-10-18,0.07372,0.07873,0.07355,0.07612,1983386.9
2020-10-19,0.07636,0.07637,0.07379,0.07411,2127924.7
2020-10-20,0.074,0.07435,0.0705,0.07123,5021199.2
2020-10-21,0.07115,0.07494,0.07078,0.07411,2568062.1999999997
2020-10-22,0.0741,0.07665,0.07354,0.07483,2016913.0
2020-10-23,0.075,0.07517,0.07258,0.0734,1600655.2000000002
2020-10-24,0.07361,0.07737,0.07346,0.07479,3482700.2
2020-10-25,0.07462,0.07519,0.07249,0.07335,1811500.1999999997
2020-10-26,0.07319,0.07478,0.07077,0.07241,1730140.2000000002
2020-10-27,0.07241,0.0729,0.07082,0.0716,2611665.1
2020-10-28,0.07185,0.07224,0.06482,0.06606,3559969.0
2020-10-29,0.06631,0.06811,0.06372,0.06477,2132053.8
2020-10-30,0.06477,0.06576,0.06061,0.0635,6589191.6
2020-10-31,0.06349,0.06629,0.06297,0.0653,2801552.1
2020-11-01,0.06536,0.06593,0.06348,0.0647,1396162.4
2020-11-02,0.06475,0.06777,0.06277,0.06304,4191893.3000000007
2020-11-03,0.06304,0.06375,0.05963,0.06282,2785248.400000001
2020-11-04,0.06306,0.06412,0.06145,0.06362,2607661.4
2020-11-05,0.06351,0.07788,0.06342,0.0739,29785249.600000005
2020-11-06,0.074,0.09086,0.07342,0.08365,88066445.30000001
2020-11-07,0.08366,0.08813,0.0705,0.07443,23758655.7
2020-11-08,0.07443,0.08995,0.074,0.08657,30820557.999999996
2020-11-09,0.08676,0.10219,0.08182,0.09732,98874547.60000001
2020-11-10,0.09724,0.11227,0.08692,0.08787,107227878.30000001
2020-11-11,0.0881,0.09419,0.0811,0.08369,48833612.69999999
2020-11-12,0.08369,0.08496,0.0774,0.08357,25262322.1
2020-11-13,0.08383,0.08728,0.08072,0.08304,23462376.900000002
2020-11-14,0.08339,0.08349,0.07828,0.07972,10903617.799999999
2020-11-15,0.07972,0.08306,0.0764,0.07875,16943890.799999997
2020-11-16,0.07872,0.08312,0.077,0.07942,18084511.499999996
2020-11-17,0.07945,0.08284,0.07782,0.08061,19846270.0
2020-11-18,0.0809,0.08101,0.07562,0.07744,13907197.7
2020-11-19,0.07716,0.0789,0.07443,0.07805,10490284.4
2020-11-20,0.07791,0.08276,0.07791,0.08146,11997794.1
2020-11-21,0.08169,0.0895,0.08074,0.0877,18682827.8
2020-11-22,0.08803,0.09006,0.0792,0.08564,17935745.099999994
2020-11-23,0.08555,0.09341,0.08462,0.09018,24283276.599999998
2020-11-24,0.09036,0.0955,0.08553,0.0921,29409648.6
2020-11-25,0.09181,0.09897,0.088,0.09168,26614201.799999997
2020-11-26,0.09164,0.09659,0.07552,0.08013,29727117.300000004
2020-11-27,0.08013,0.08163,0.07594,0.08054,14523623.5
2020-11-28,0.08054,0.08641,0.07784,0.08338,13354945.199999996
2020-11-29,0.08338,0.08449,0.08111,0.08292,9987565.099999998
2020-11-30,0.08303,0.08849,0.08053,0.08839,12693576.099999998
2020-12-01,0.08849,0.09686,0.08201,0.08602,32268545.099999998
2020-12-02,0.08601,0.096,0.08518,0.09265,28092899.400000002
2020-12-03,0.09265,0.09689,0.091,0.09192,19494361.700000003
2020-12-04,0.09171,0.092,0.08549,0.08603,16667998.599999996
2020-12-05,0.08606,0.1,0.085,0.09203,33859070.8
2020-12-06,0.09184,0.09246,0.08851,0.09022,11854263.599999996
2020-12-07,0.09023,0.09046,0.08778,0.08894,8048533.500000001
2020-12-08,0.08882,0.09256,0.08349,0.08451,13559390.800000003
2020-12-09,0.08455,0.08488,0.08,0.08433,14723350.1
2020-12-10,0.08428,0.08468,0.08042,0.08151,8115574.199999999
2020-12-11,0.08151,0.08162,0.07642,0.0786,8970859.0
2020-12-12,0.07867,0.08326,0.07865,0.08212,4976608.100000001
2020-12-13,0.08229,0.095,0.08205,0.08628,12741996.099999998
2020-12-14,0.08625,0.087,0.08357,0.08679,8362073.299999998
2020-12-15,0.08681,0.09177,0.08567,0.08645,21992744.9
2020-12-16,0.08656,0.089,0.08213,0.08795,16247221.299999997
2020-12-17,0.08795,0.09088,0.08446,0.08696,21394637.599999994
2020-12-18,0.08694,0.09186,0.085,0.08907,15957656.600000003
2020-12-19,0.08907,0.09471,0.08898,0.09237,19419051.799999997
2020-12-20,0.09237,0.09749,0.087,0.08894,23741141.8
2020-12-21,0.08893,0.09075,0.082,0.08397,18415631.9
2020-12-22,0.08385,0.08541,0.08133,0.08412,12826635.699999997
2020-12-23,0.08412,0.0865,0.07253,0.07434,22684901.000000004
2020-12-24,0.07438,0.08125,0.07,0.0806,19138691.400000002
2020-12-25,0.08065,0.08185,0.07628,0.07989,10703763.500000004
2020-12-26,0.07995,0.08459,0.0763,0.07916,17138204.7
2020-12-27,0.079,0.08509,0.07699,0.08077,23763593.099999998
2020-12-28,0.08064,0.08499,0.08005,0.08098,21695787.400000006
2020-12-29,0.08098,0.0827,0.077,0.07971,14011896.299999997
2020-12-30,0.0797,0.08081,0.07693,0.07812,9650548.999999998
2020-12-31,0.07811,0.0791,0.075,0.07776,7445560.900000001
2021-01-01,0.07773,0.08372,0.07698,0.08354,19334828.300000004
2021-01-02,0.08337,0.08337,0.07718,0.07915,15621098.799999997
2021-01-03,0.07927,0.0828,0.07567,0.08113,23705364.700000003
2021-01-04,0.08117,0.08742,0.075,0.07892,35264477.3
2021-01-05,0.07892,0.08276,0.07687,0.0823,24679099.9
2021-01-06,0.08211,0.09327,0.08166,0.09225,44438090.400000006
2021-01-07,0.0923,0.13,0.08992,0.12914,177451266.89999998
2021-01-08,0.12914,0.16167,0.1073,0.12623,271383891.4
2021-01-09,0.12623,0.12807,0.11022,0.11523,56108874.300000004
2021-01-10,0.11528,0.121,0.09802,0.10655,61025798.699999996
2021-01-11,0.10681,0.10695,0.08,0.09419,55537096.1
2021-01-12,0.09415,0.11905,0.09122,0.11048,102507849.10000001
2021-01-13,0.11059,0.11642,0.09894,0.11467,42066384.099999994
2021-01-14,0.11487,0.11759,0.1077,0.11052,26782781.299999997
2021-01-15,0.11061,0.11438,0.09819,0.10662,40856110.400000006
2021-01-16,0.10662,0.11283,0.10542,0.10904,29939647.900000002
2021-01-17,0.10893,0.12065,0.1026,0.11075,48402994.09999999
2021-01-18,0.11075,0.11768,0.10741,0.11692,31742735.300000004
2021-01-19,0.11678,0.13522,0.11295,0.12221,86905427.10000001
2021-01-20,0.12187,0.14441,0.1203,0.13651,90182252.30000001
2021-01-21,0.13683,0.13753,0.1155,0.11807,69888508.1
2021-01-22,0.11806,0.16731,0.10263,0.15856,236132339.9
2021-01-23,0.15856,0.20296,0.15505,0.19318,210974510.5
2021-01-24,0.19403,0.19404,0.16493,0.17174,78366114.7
2021-01-25,0.172,0.1806,0.1598,0.16306,54110797.5
2021-01-26,0.16313,0.17165,0.14912,0.16644,48791232.00000001
2021-01-27,0.16644,0.16731,0.1401,0.14696,35929189.10000001
2021-01-28,0.14691,0.16515,0.14054,0.158,53317430.800000004
2021-01-29,0.15802,0.16126,0.1505,0.15393,41749787.5
2021-01-30,0.15398,0.16182,0.14912,0.15673,30002194.000000004
2021-01-31,0.15661,0.1581,0.14717,0.15468,25067980.200000003
2021-02-01,0.15493,0.15653,0.14513,0.15637,23280007.699999996
2021-02-02,0.15636,0.16971,0.15138,0.16757,34069367.00000001
2021-02-03,0.16767,0.185,0.16312,0.17645,52986547.599999994
2021-02-04,0.17645,0.17759,0.16546,0.17212,32983625.599999998
2021-02-05,0.17238,0.2481,0.16977,0.21793,100045897.69999999
2021-02-06,0.21775,0.274,0.18476,0.23499,176119369.39999998
2021-02-07,0.23499,0.28368,0.21685,0.23721,188733565.4
2021-02-08,0.23726,0.25301,0.226,0.2368,64669608.400000006
2021-02-09,0.23661,0.24578,0.23123,0.24349,48581591.49999999
2021-02-10,0.24352,0.26109,0.22786,0.25139,61586028.29999999
2021-02-11,0.25134,0.295,0.24419,0.2817,54526680.2
2021-02-12,0.28096,0.315,0.275,0.30196,81128009.80000001
2021-02-13,0.30192,0.376,0.29934,0.34594,162819004.30000004
2021-02-14,0.346,0.365,0.29682,0.31203,67785847.30000001
2021-02-15,0.31135,0.33,0.25678,0.2972,58863450.699999996
2021-02-16,0.29795,0.31684,0.265,0.29071,59982873.5
2021-02-17,0.29063,0.31,0.26888,0.29983,49033521.70000001
2021-02-18,0.29999,0.31992,0.28959,0.31297,51860019.89999999
2021-02-19,0.31297,0.3589,0.294,0.32832,56231270.0
2021-02-20,0.32744,0.32969,0.29,0.30191,44003402.199999996
2021-02-21,0.30191,0.32291,0.29442,0.31345,26696094.7
2021-02-22,0.3138,0.32842,0.23708,0.27213,82007907.9
2021-02-23,0.27178,0.275,0.186,0.23308,85185857.60000002
2021-02-24,0.23335,0.26564,0.21989,0.24722,41091461.400000006
2021-02-25,0.24765,0.29,0.23581,0.25613,46889393.80000001
2021-02-26,0.25682,0.26883,0.22291,0.25003,47895144.699999996
2021-02-27,0.25003,0.26329,0.24517,0.25282,20693660.0
2021-02-28,0.25194,0.25595,0.22019,0.23691,24907005.000000004
2021-03-01,0.23711,0.26,0.23395,0.25965,23076602.900000002
2021-03-02,0.25966,0.29,0.252,0.28098,47091120.099999994
2021-03-03,0.28048,0.34856,0.27338,0.34849,100306189.5
2021-03-04,0.34787,0.44735,0.33323,0.419,288094497.2999999
2021-03-05,0.41889,0.42599,0.3567,0.37487,129549915.49999997
2021-03-06,0.37493,0.3859,0.3388,0.36005,64148099.10000001
2021-03-07,0.3599,0.42,0.34805,0.4012,69115308.9
2021-03-08,0.40128,0.4995,0.40127,0.48593,167840119.70000002
2021-03-09,0.48578,0.594,0.4853,0.54823,217148660.59999996
2021-03-10,0.5481,0.56195,0.47589,0.48083,104669464.50000001
2021-03-11,0.47968,0.56108,0.47111,0.52103,118602189.10000001
2021-03-12,0.52155,0.685,0.51614,0.65939,208020685.39999998
2021-03-13,0.65857,1.191,0.60425,0.97442,744266820.2
2021-03-14,0.97435,1.215,0.87074,1.014,504742437.09999996
2021-03-15,1.01447,1.14438,0.93244,1.05,200858839.2
2021-03-16,1.04999,1.07551,0.8444,0.90915,133938803.89999999
2021-03-17,0.909,1.09,0.775,1.05941,256363242.39999998
2021-03-18,1.06003,1.08,0.96258,0.97987,122558833.69999997
2021-03-19,0.97987,1.02582,0.94,0.9622,60132733.699999996
2021-03-20,0.96285,1.019,0.88682,0.8949,56291451.1
2021-03-21,0.89713,1.02724,0.87373,0.98207,70460767.79999998
2021-03-22,0.9803,0.9898,0.885,0.91511,48965577.800000004
2021-03-23,0.91512,0.92227,0.81376,0.8476,46732729.0
2021-03-24,0.84694,1.0,0.82,0.85096,83163522.1
2021-03-25,0.85096,0.8888,0.8,0.81651,44142877.00000001
2021-03-26,0.81778,0.91129,0.81749,0.89597,35904848.2
2021-03-27,0.896,0.985,0.85366,0.92435,67946607.7
2021-03-28,0.925,1.18315,0.90501,1.14178,195763105.89999998
2021-03-29,1.143,1.18,1.04561,1.09186,110520742.10000002
2021-03-30,1.09402,1.12808,1.0421,1.08913,66842349.79999999
2021-03-31,1.08927,1.08963,0.9703,1.02086,59084262.29999999
2021-04-01,1.0205,1.07,0.986,1.01434,51272237.39999999
2021-04-02,1.01437,1.07132,0.99532,1.03623,44534247.69999999
2021-04-03,1.03652,1.0566,0.92,0.94328,55224463.099999994
2021-04-04,0.94391,1.01559,0.90756,1.00304,32939052.099999994
2021-04-05,1.00402,1.018,0.94507,1.00855,51171446.3
2021-04-06,1.00865,1.01183,0.91346,0.95762,34878803.2
2021-04-07,0.95768,0.96639,0.8346,0.92977,45888668.09999999
2021-04-08,0.9297,1.0192,0.91191,0.98888,40940906.300000004
2021-04-09,0.98787,1.12035,0.98771,1.03356,74862525.5
2021-04-10,1.03355,1.04106,0.97,1.01274,28777464.700000003
