Datetime,Open,High,Low,Close,Volume
2019-04-03,1.7,1.7,1.2729,1.3561,1346486.1399999997
2019-04-04,1.347,1.45,1.2729,1.3159,989461.1599999999
2019-04-05,1.3169,1.442,1.3065,1.4249,554146.21
2019-04-06,1.43,1.4667,1.3558,1.385,498969.80999999994
2019-04-07,1.3935,1.43,1.3665,1.405,298098.62999999995
2019-04-08,1.4049,1.7238,1.3959,1.5876,2705175.7200000007
2019-04-09,1.5875,1.85,1.5755,1.6745,3286361.7800000003
2019-04-10,1.674,1.7308,1.6,1.6131,1498483.53
2019-04-11,1.6194,1.6376,1.376,1.455,1453742.5699999996
2019-04-12,1.4628,1.66,1.373,1.63,1289441.41
2019-04-13,1.63,1.6589,1.5169,1.5452,663726.2500000002
2019-04-14,1.5451,1.6148,1.485,1.5684,501815.54000000004
2019-04-15,1.5721,1.63,1.4506,1.5228,695003.9999999999
2019-04-16,1.5164,1.57,1.4554,1.5182,657120.4500000001
2019-04-17,1.5169,1.6488,1.5169,1.6045,852791.46
2019-04-18,1.6099,1.694,1.6039,1.6482,581845.2200000002
2019-04-19,1.6482,1.7377,1.6006,1.7377,471601.72999999986
2019-04-20,1.7377,1.7749,1.6651,1.7173,531474.77
2019-04-21,1.7229,1.7274,1.5691,1.6705,530830.22
2019-04-22,1.6705,1.8034,1.6596,1.7679,744327.56
2019-04-23,1.7646,1.97,1.7615,1.9242,1728379.0200000003
2019-04-24,1.9247,1.9247,1.6759,1.7794,1391729.9900000002
2019-04-25,1.7801,1.85,1.6037,1.635,1044859.9199999999
2019-04-26,1.6357,1.68,1.4745,1.5728,1469845.4200000002
2019-04-27,1.5835,1.6183,1.5119,1.5923,434598.25
2019-04-28,1.5942,1.6788,1.5348,1.5539,485055.9200000001
2019-04-29,1.5536,1.5728,1.3875,1.4,699909.97
2019-04-30,1.4063,1.55,1.3999,1.5263,423952.1399999999
2019-05-01,1.5277,1.57,1.47,1.5005,321942.64999999997
2019-05-02,1.4971,1.5199,1.4571,1.469,273922.74
2019-05-03,1.4727,1.5146,1.42,1.4975,479648.63999999996
2019-05-04,1.4975,1.55,1.3611,1.4499,541907.74
2019-05-05,1.45,1.4798,1.4001,1.4078,212146.63999999998
2019-05-06,1.4134,1.4977,1.3766,1.447,340532.25999999995
2019-05-07,1.4499,1.6512,1.4499,1.5381,912906.35
2019-05-08,1.5242,1.5362,1.4556,1.5032,440929.86000000004
2019-05-09,1.4929,1.5379,1.4015,1.427,269290.11
2019-05-10,1.4271,1.5601,1.4228,1.4711,420405.59
2019-05-11,1.4696,1.6927,1.4639,1.591,970337.8500000001
2019-05-12,1.5829,1.7689,1.54,1.6099,1034127.4800000003
2019-05-13,1.6097,1.755,1.58,1.6482,858697.9100000001
2019-05-14,1.653,1.749,1.6099,1.6992,1087686.08
2019-05-15,1.7,1.9288,1.7,1.8797,815232.65
2019-05-16,1.868,2.07,1.7271,1.8225,1290238.17
2019-05-17,1.8221,1.8385,1.58,1.7579,916705.23
2019-05-18,1.7581,1.7793,1.6608,1.678,339071.58
2019-05-19,1.6753,1.87,1.6753,1.8022,520530.04000000004
2019-05-20,1.7925,1.8026,1.63,1.7044,610391.0800000001
2019-05-21,1.7037,1.8,1.67,1.7355,501759.23000000004
2019-05-22,1.7335,1.78,1.6115,1.6451,320588.2999999999
2019-05-23,1.6572,1.6891,1.55,1.668,370553.06
2019-05-24,1.668,1.77,1.64,1.6629,367318.19
2019-05-25,1.6679,1.71,1.6417,1.6748,225238.55999999997
2019-05-26,1.6748,1.76,1.6131,1.7186,392150.53
2019-05-27,1.7233,1.831,1.7032,1.7908,622636.5900000001
2019-05-28,1.7887,1.8,1.7216,1.7528,390460.44
2019-05-29,1.7592,1.8435,1.655,1.777,855930.7100000001
2019-05-30,1.7779,1.9124,1.61,1.6508,1205328.4400000002
2019-05-31,1.6508,1.735,1.5924,1.7278,544169.2300000001
2019-06-01,1.7347,1.75,1.6501,1.6777,586371.73
2019-06-02,1.6777,1.8168,1.6,1.7809,800922.2499999999
2019-06-03,1.7809,1.7817,1.607,1.62,420232.79
2019-06-04,1.6201,1.6201,1.4219,1.4885,791373.9800000001
2019-06-05,1.4885,1.5311,1.4414,1.4934,358186.22000000003
2019-06-06,1.4821,1.5244,1.4111,1.4952,393906.5399999999
2019-06-07,1.4966,1.6285,1.4766,1.5946,730598.2100000001
2019-06-08,1.5834,1.63,1.5349,1.5964,440060.26999999996
2019-06-09,1.5982,1.611,1.4628,1.5081,364589.88999999996
2019-06-10,1.5,1.61,1.4741,1.5883,423848.8599999999
2019-06-11,1.5849,1.59,1.4904,1.56,327079.89999999997
2019-06-12,1.5665,1.5983,1.5343,1.5773,392657.7100000001
2019-06-13,1.5773,1.78,1.5653,1.7565,811638.0899999999
2019-06-14,1.7596,1.7655,1.4993,1.565,1087405.0799999998
2019-06-15,1.5709,1.6208,1.5423,1.5589,473623.73000000004
2019-06-16,1.5589,1.5969,1.5275,1.569,483744.8699999999
2019-06-17,1.5801,1.5896,1.531,1.5727,466939.1199999999
2019-06-18,1.5726,1.5727,1.5036,1.521,279579.66000000003
2019-06-19,1.5132,1.64,1.5058,1.5552,709473.82
2019-06-20,1.56,1.5696,1.4218,1.455,624008.9
2019-06-21,1.4552,1.5,1.3927,1.4447,666157.9199999999
2019-06-22,1.4447,1.59,1.4015,1.5733,1154889.0000000002
2019-06-23,1.573,1.5999,1.4965,1.5086,634141.6599999999
2019-06-24,1.4991,1.5105,1.45,1.4652,444236.1899999999
2019-06-25,1.464,1.509,1.4186,1.4297,681743.15
2019-06-26,1.4315,1.5253,1.3157,1.3937,1718877.3699999996
2019-06-27,1.3957,1.436,1.2156,1.2806,817834.04
2019-06-28,1.2697,1.316,1.2472,1.2997,285746.96
2019-06-29,1.295,1.3999,1.24,1.3719,951685.2999999999
2019-06-30,1.3669,1.3864,1.2049,1.2371,873592.84
2019-07-01,1.2381,1.344,1.2,1.3371,775300.7800000001
2019-07-02,1.337,1.3428,1.2204,1.2611,589248.33
2019-07-03,1.2613,1.303,1.2253,1.3029,524411.62
2019-07-04,1.3005,1.303,1.2021,1.218,380778.3900000001
2019-07-05,1.2156,1.2485,1.206,1.2288,264501.57999999996
2019-07-06,1.2288,1.2647,1.2079,1.2423,352042.3600000001
2019-07-07,1.2436,1.3659,1.2301,1.3404,607672.21
2019-07-08,1.3312,1.459,1.3069,1.3826,1334928.75
2019-07-09,1.3825,1.4378,1.32,1.3818,561041.7299999997
2019-07-10,1.3797,1.3853,1.201,1.2412,830965.56
2019-07-11,1.2308,1.2511,1.0771,1.1001,593516.3800000001
2019-07-12,1.0998,1.2124,1.0685,1.1892,381226.54000000004
2019-07-13,1.1877,1.2629,1.1,1.1628,349444.0999999999
2019-07-14,1.1571,1.1628,1.01,1.0142,310477.30000000005
2019-07-15,1.0212,1.067,0.95,1.0191,497211.14999999997
2019-07-16,1.02,1.1784,0.8804,0.905,455141.85
2019-07-17,0.9122,1.2284,0.8747,1.13,2186946.17
2019-07-18,1.1299,1.1759,1.0501,1.1044,1021709.52
2019-07-19,1.1062,1.1195,1.0547,1.1036,448426.3
2019-07-20,1.105,1.25,1.0857,1.1888,947221.1400000001
2019-07-21,1.1904,1.2942,1.1519,1.2497,1487838.6
2019-07-22,1.2483,1.27,1.1671,1.2081,787323.2500000002
2019-07-23,1.2046,1.2182,1.1203,1.1596,398422.23000000004
2019-07-24,1.1553,1.23,1.1128,1.2072,345565.2800000001
2019-07-25,1.2073,1.4687,1.202,1.3835,1743286.89
2019-07-26,1.3825,1.43,1.3195,1.3671,1114116.91
2019-07-27,1.3694,1.4151,1.2678,1.2875,648646.4500000001
2019-07-28,1.2909,1.3787,1.2715,1.3545,475717.31000000006
2019-07-29,1.3549,1.455,1.331,1.3428,610169.66
2019-07-30,1.3379,1.3444,1.2674,1.2955,538896.4299999999
2019-07-31,1.2913,1.3335,1.2434,1.2752,518007.43000000005
2019-08-01,1.275,1.2771,1.1628,1.1892,776109.2899999999
2019-08-02,1.1849,1.1936,1.1114,1.1577,643262.23
2019-08-03,1.1566,1.1678,1.1109,1.1222,306946.26999999996
2019-08-04,1.1226,1.2172,1.1226,1.1705,497892.1999999999
2019-08-05,1.1702,1.195,1.1407,1.1464,395935.59
2019-08-06,1.1409,1.1613,1.083,1.0938,403915.35
2019-08-07,1.0938,1.1564,1.072,1.081,389463.89999999997
2019-08-08,1.0891,1.1214,1.049,1.0658,271202.05
2019-08-09,1.0591,1.1496,1.02,1.1297,438262.42999999993
2019-08-10,1.1273,1.1899,1.081,1.12,567990.7699999999
2019-08-11,1.12,1.15,1.1,1.1246,196603.11
2019-08-12,1.1254,1.1679,1.1079,1.1079,377092.27000000014
2019-08-13,1.1079,1.128,1.0489,1.0654,455908.4
2019-08-14,1.0685,1.0719,0.9827,0.99,313329.29000000004
2019-08-15,0.9899,1.0673,0.9899,1.0398,269762.46
2019-08-16,1.0419,1.0421,0.975,1.0283,256744.0799999999
2019-08-17,1.0283,1.0393,0.9976,1.0225,98934.76000000001
2019-08-18,1.0225,1.0585,0.9955,1.0322,126782.67
2019-08-19,1.0322,1.18,1.0168,1.0809,264563.08999999997
2019-08-20,1.0809,1.0877,1.03,1.0416,139884.1
2019-08-21,1.0416,1.045,0.9721,1.017,226104.15000000002
2019-08-22,1.0236,1.0647,0.9783,1.0298,168382.53
2019-08-23,1.0213,1.0418,1.0158,1.032,131756.13999999998
2019-08-24,1.032,1.0398,1.0,1.0317,158238.17
2019-08-25,1.0337,1.0821,1.008,1.0288,347480.47
2019-08-26,1.0317,1.0552,1.0165,1.0354,123017.57
2019-08-27,1.035,1.0393,1.01,1.0259,110622.78000000003
2019-08-28,1.0254,1.0254,0.9363,0.9585,164235.31000000003
2019-08-29,0.9575,0.9606,0.925,0.9561,155406.39
2019-08-30,0.9561,0.9804,0.9363,0.9763,93024.99
2019-08-31,0.9763,0.9827,0.936,0.9563,60506.06999999999
2019-09-01,0.9506,0.9805,0.94,0.9732,59904.21
2019-09-02,0.9732,1.03,0.962,1.0093,128229.41000000002
2019-09-03,1.0098,1.0196,0.9669,0.9732,212596.56000000003
2019-09-04,0.9778,0.9813,0.9528,0.9605,112769.62999999998
2019-09-05,0.9605,0.9634,0.887,0.9265,393525.92000000004
2019-09-06,0.9228,0.9424,0.863,0.8858,145969.34
2019-09-07,0.8863,0.9448,0.879,0.9305,128510.63
2019-09-08,0.935,0.9371,0.91,0.9254,81396.06999999999
2019-09-09,0.9212,0.932,0.9005,0.92,103181.0
2019-09-10,0.9241,0.9325,0.8918,0.9044,84714.06
2019-09-11,0.9095,0.9257,0.8776,0.9196,158158.73
2019-09-12,0.9196,0.9198,0.8716,0.8821,134240.78
2019-09-13,0.8821,0.9099,0.8798,0.8982,69425.87
2019-09-14,0.9011,0.906,0.8858,0.9014,62421.97
2019-09-15,0.9059,0.92,0.8952,0.9054,97376.45000000001
2019-09-16,0.9095,0.9145,0.8653,0.891,178677.95
2019-09-17,0.8877,0.9331,0.8672,0.9,300562.95
2019-09-18,0.9038,0.9726,0.9,0.9568,304398.71
2019-09-19,0.9568,0.9695,0.9002,0.9499,244191.51999999996
2019-09-20,0.95,0.9593,0.925,0.947,117195.79999999996
2019-09-21,0.947,0.9481,0.92,0.9236,50492.880000000005
2019-09-22,0.9203,0.9381,0.889,0.8974,244106.98
2019-09-23,0.8921,0.9094,0.8651,0.8756,128178.74
2019-09-24,0.873,0.8849,0.67,0.7479,307352.79999999993
2019-09-25,0.7444,0.7686,0.7287,0.7562,167399.78999999998
2019-09-26,0.7522,0.7949,0.7078,0.7538,192180.68000000002
2019-09-27,0.7607,0.7607,0.7145,0.7355,155225.08999999997
2019-09-28,0.7355,0.745,0.7226,0.7382,119623.21
2019-09-29,0.7382,0.7398,0.6914,0.7162,112120.46999999999
2019-09-30,0.7162,0.7454,0.6968,0.7429,125960.13
2019-10-01,0.7437,0.7582,0.7309,0.7341,152907.05
2019-10-02,0.7341,0.7475,0.7243,0.7474,63865.19
2019-10-03,0.7474,0.7495,0.7202,0.7429,117896.23999999999
2019-10-04,0.74,0.744,0.7118,0.7355,94925.26999999999
2019-10-05,0.7392,0.756,0.7278,0.7559,172081.75999999998
2019-10-06,0.756,0.76,0.7072,0.7161,164173.13000000003
2019-10-07,0.7161,0.7586,0.7146,0.7573,219841.90000000002
2019-10-08,0.7573,0.8059,0.756,0.8014,340271.76999999996
2019-10-09,0.8013,0.8234,0.7835,0.8145,221459.06
2019-10-10,0.8099,0.8132,0.771,0.775,115015.99000000003
2019-10-11,0.775,0.7876,0.761,0.7753,167777.80000000005
2019-10-12,0.7758,0.7876,0.7677,0.7738,79477.31
2019-10-13,0.7735,0.7877,0.7674,0.7717,109211.69000000002
2019-10-14,0.7759,0.793,0.7712,0.787,76518.75000000001
2019-10-15,0.787,0.9376,0.7821,0.8636,674773.7300000001
2019-10-16,0.8636,0.8695,0.7708,0.8149,366712.85
2019-10-17,0.808,0.8719,0.7915,0.842,227907.67
2019-10-18,0.8373,0.8427,0.7909,0.7981,157124.92
2019-10-19,0.7952,0.8007,0.7747,0.7817,182680.94
2019-10-20,0.7816,0.8364,0.772,0.8066,258330.97
2019-10-21,0.8066,0.8295,0.7902,0.8102,178249.92999999996
2019-10-22,0.8116,0.8137,0.7882,0.793,157866.12999999998
2019-10-23,0.792,0.792,0.7056,0.7216,287606.64
2019-10-24,0.7196,0.7678,0.7153,0.7566,130439.81
2019-10-25,0.7583,0.8356,0.7474,0.819,319201.30999999994
2019-10-26,0.819,0.8799,0.78,0.7998,402240.0200000001
2019-10-27,0.8054,0.8645,0.7895,0.8499,383141.7100000001
2019-10-28,0.8499,0.8938,0.8234,0.8286,341747.63000000006
2019-10-29,0.8264,0.8922,0.8235,0.8699,178372.26
2019-10-30,0.8669,0.8722,0.84,0.8666,164040.67999999996
2019-10-31,0.8716,0.879,0.8469,0.8587,90961.21999999997
2019-11-01,0.8575,0.8654,0.8437,0.8611,93166.23000000003
2019-11-02,0.8634,0.878,0.8505,0.86,94243.60999999999
2019-11-03,0.8598,0.8635,0.845,0.8517,94740.64
2019-11-04,0.8532,0.9235,0.845,0.9199,253093.37999999998
2019-11-05,0.9187,0.9876,0.875,0.9744,623566.9400000001
2019-11-06,0.9708,1.09,0.968,1.029,944013.4199999999
2019-11-07,1.0265,1.052,0.9386,1.0142,660507.95
2019-11-08,1.0091,1.042,0.9302,0.9707,429038.56999999995
2019-11-09,0.967,0.9954,0.9618,0.9782,121570.59000000003
2019-11-10,0.9752,1.08,0.9711,1.044,555330.0699999998
2019-11-11,1.0474,1.0659,1.006,1.0244,360536.55999999994
2019-11-12,1.0225,1.047,1.0065,1.0291,339927.75000000006
2019-11-13,1.0301,1.0374,0.9814,0.9917,274414.28
2019-11-14,0.992,0.9959,0.941,0.9846,434913.22
2019-11-15,0.9823,0.9838,0.92,0.9327,315722.60000000003
2019-11-16,0.9295,0.9434,0.9204,0.9308,95965.29000000001
2019-11-17,0.9322,0.9479,0.9108,0.9189,148872.75999999998
2019-11-18,0.9256,0.9288,0.8612,0.87,242030.45000000004
2019-11-19,0.8669,0.872,0.8466,0.868,129327.91000000003
