Datetime,Open,High,Low,Close,Volume
2019-01-01,0.5817,0.5938,0.5665,0.5935,2305249.6799999997
2019-01-02,0.5935,0.6439,0.5877,0.6306,4179137.45
2019-01-03,0.6312,0.6353,0.58,0.5945,3003308.37
2019-01-04,0.5947,0.6087,0.55,0.5979,2500421.9599999995
2019-01-05,0.5983,0.6302,0.593,0.616,2919230.8799999994
2019-01-06,0.6165,0.6555,0.598,0.6403,3778242.61
2019-01-07,0.6406,0.6549,0.618,0.6196,2778265.67
2019-01-08,0.6199,0.664,0.604,0.6308,3430205.1300000004
2019-01-09,0.6309,0.7312,0.6297,0.7112,5843602.2299999995
2019-01-10,0.7108,0.7371,0.5522,0.5828,10125184.86
2019-01-11,0.5834,0.6467,0.5703,0.6289,10130710.759999998
2019-01-12,0.6292,0.646,0.5915,0.6049,7009077.530000001
2019-01-13,0.6054,0.6104,0.549,0.5638,4551286.71
2019-01-14,0.5639,0.61,0.5589,0.5975,5334592.120000001
2019-01-15,0.5974,0.612,0.5618,0.5799,4525916.680000001
2019-01-16,0.5795,0.6472,0.5736,0.615,5288805.030000001
2019-01-17,0.6155,0.6217,0.598,0.6148,3043489.3999999994
2019-01-18,0.6151,0.6168,0.59,0.5986,1823263.0400000003
2019-01-19,0.5994,0.626,0.5941,0.6111,3100148.4399999995
2019-01-20,0.6098,0.6225,0.5696,0.5883,3009519.7999999993
2019-01-21,0.5892,0.5977,0.566,0.5776,2279566.2
2019-01-22,0.5779,0.612,0.5649,0.6011,2762262.52
2019-01-23,0.601,0.612,0.58,0.5928,2310623.6699999995
2019-01-24,0.5933,0.5999,0.5858,0.5936,1611360.8900000001
2019-01-25,0.5938,0.63,0.584,0.6121,4105979.4899999998
2019-01-26,0.613,0.6364,0.6001,0.6068,3660996.39
2019-01-27,0.606,0.6175,0.5801,0.599,2724461.1599999997
2019-01-28,0.5989,0.5996,0.5315,0.5576,4122558.0600000005
2019-01-29,0.5568,0.5607,0.5343,0.5417,2668985.51
2019-01-30,0.5411,0.5566,0.5325,0.5522,3929334.89
2019-01-31,0.5516,0.5615,0.5241,0.5326,2445402.95
2019-02-01,0.5314,0.5485,0.5211,0.5405,1489345.03
2019-02-02,0.541,0.5549,0.5339,0.551,793926.8200000001
2019-02-03,0.5515,0.5554,0.5296,0.5391,1329075.3800000001
2019-02-04,0.5385,0.544,0.5319,0.534,639937.98
2019-02-05,0.5339,0.5341,0.5207,0.5305,837800.5499999998
2019-02-06,0.5299,0.5323,0.5036,0.5143,1553783.5600000003
2019-02-07,0.5143,0.5296,0.5138,0.518,1124149.76
2019-02-08,0.517,0.5799,0.5146,0.5623,2694230.11
2019-02-09,0.5629,0.6035,0.553,0.5788,3089286.4099999997
2019-02-10,0.579,0.5883,0.5578,0.5871,2117894.0400000005
2019-02-11,0.5873,0.5874,0.567,0.579,1574369.0599999998
2019-02-12,0.579,0.5887,0.5617,0.579,2398179.450000001
2019-02-13,0.5777,0.61,0.5701,0.577,2694139.1799999997
2019-02-14,0.5775,0.5826,0.5588,0.5663,948670.4
2019-02-15,0.5664,0.6832,0.5615,0.6692,16754858.920000004
2019-02-16,0.6709,0.7156,0.6229,0.6233,16687442.690000003
2019-02-17,0.6233,0.678,0.62,0.6469,6798750.970000001
2019-02-18,0.647,0.683,0.6342,0.6791,7517901.14
2019-02-19,0.6798,0.7261,0.666,0.6806,9423697.5
2019-02-20,0.6812,0.7674,0.6585,0.749,7088711.83
2019-02-21,0.7491,0.766,0.6998,0.7346,6458954.790000001
2019-02-22,0.7342,0.8365,0.733,0.8128,10694011.905999998
2019-02-23,0.8132,0.998,0.8033,0.9666,21873559.943
2019-02-24,0.9651,1.1981,0.841,0.9784,46356087.31299999
2019-02-25,0.9795,1.043,0.9104,0.9773,23767645.840000004
2019-02-26,0.9771,1.0052,0.8811,0.9068,8461831.610000001
2019-02-27,0.906,0.918,0.852,0.8992,6800261.930000001
2019-02-28,0.8978,0.951,0.8765,0.9011,6720047.960000001
2019-03-01,0.9013,0.9537,0.8891,0.9282,3571668.5900000003
2019-03-02,0.9282,0.9296,0.8594,0.8789,2827768.1100000003
2019-03-03,0.8791,0.9009,0.864,0.8763,1336209.74
2019-03-04,0.8761,0.8811,0.7737,0.7946,5340675.0600000005
2019-03-05,0.795,0.927,0.7656,0.9195,7362256.890000001
2019-03-06,0.9185,0.9266,0.8805,0.9011,3989043.479999999
2019-03-07,0.9003,1.0457,0.9003,1.0107,10197014.399999999
2019-03-08,1.0108,1.06,0.959,0.9753,7553506.719999998
2019-03-09,0.9754,1.047,0.959,0.986,3989568.0100000002
2019-03-10,0.986,0.9964,0.9186,0.9542,3497874.74
2019-03-11,0.9559,0.97,0.8809,0.9111,3019896.409999999
2019-03-12,0.9104,1.0298,0.8752,0.9611,6194743.120000001
2019-03-13,0.961,1.0608,0.9196,1.013,9727669.74
2019-03-14,1.0134,1.0238,0.9551,0.9926,3390393.1600000006
2019-03-15,0.9929,1.0195,0.9742,1.001,2054385.64
2019-03-16,1.001,1.0878,0.9994,1.0724,4959641.29
2019-03-17,1.0728,1.1534,1.0205,1.1179,4474213.26
2019-03-18,1.1181,1.1441,1.0459,1.0861,3813846.51
2019-03-19,1.0859,1.1285,1.0596,1.1262,2997608.5100000007
2019-03-20,1.1252,1.3479,1.0751,1.3149,10979889.975999998
2019-03-21,1.3147,1.4067,1.16,1.2801,16854749.346
2019-03-22,1.2801,1.3459,1.2149,1.2769,6559158.1
2019-03-23,1.2764,1.326,1.2446,1.2609,4980198.39
2019-03-24,1.2611,1.2611,1.2037,1.2437,4317948.59
2019-03-25,1.2455,1.2686,1.1475,1.1916,4619744.76
2019-03-26,1.1916,1.1996,1.0989,1.1725,3931993.8200000003
2019-03-27,1.1723,1.2695,1.1578,1.2527,4517204.680000001
2019-03-28,1.2519,1.2595,1.2,1.2226,2432937.53
2019-03-29,1.2214,1.2554,1.2104,1.245,2965320.3800000004
2019-03-30,1.245,1.3331,1.241,1.292,4720015.15
2019-03-31,1.292,1.312,1.2628,1.3067,1874684.7299999997
2019-04-01,1.3067,1.3845,1.28,1.3186,4144236.4699999997
2019-04-02,1.3193,1.4796,1.2703,1.4563,10384215.320000002
2019-04-03,1.4569,1.686,1.3776,1.46,11725599.027
2019-04-04,1.4571,1.6531,1.4204,1.5842,10645308.74
2019-04-05,1.5855,1.6379,1.5613,1.6131,3672582.2299999995
2019-04-06,1.6149,1.6169,1.5435,1.5623,3734015.8299999996
2019-04-07,1.5659,1.586,1.478,1.5313,5065782.039999999
